# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000005981	2.5E-2
ENSG00000007174	ENSG00000262654	5.4E-3
ENSG00000005108	ENSG00000268013	2.3E-2
ENSG00000009694	ENSG00000264524	1.2E-2
ENSG00000002746	ENSG00000019505	1.1E-2
ENSG00000021645	ENSG00000025423	8.3E-3
ENSG00000013297	ENSG00000027644	1.5E-2
ENSG00000002746	ENSG00000029364	2.5E-2
ENSG00000009694	ENSG00000031003	1.1E-2
ENSG00000009694	ENSG00000037042	1.4E-2
ENSG00000013297	ENSG00000044115	1.4E-2
ENSG00000021645	ENSG00000269380	6.9E-3
ENSG00000046889	ENSG00000047617	1.8E-2
ENSG00000009694	ENSG00000049089	1.4E-2
ENSG00000018236	ENSG00000050165	2.2E-2
ENSG00000041515	ENSG00000050327	1.8E-2
ENSG00000009694	ENSG00000050438	2.3E-2
ENSG00000002746	ENSG00000053108	5.2E-3
ENSG00000042781	ENSG00000053438	1.1E-2
ENSG00000021645	ENSG00000055118	4.6E-3
ENSG00000041515	ENSG00000056998	5.3E-3
ENSG00000041515	ENSG00000057468	1.3E-2
ENSG00000007174	ENSG00000058085	1.6E-2
ENSG00000048052	ENSG00000058272	9.6E-3
ENSG00000021645	ENSG00000058866	8.4E-3
ENSG00000038945	ENSG00000059377	1.1E-2
ENSG00000018236	ENSG00000059573	8.1E-3
ENSG00000038945	ENSG00000060558	8.2E-3
ENSG00000018236	ENSG00000060718	1.4E-2
ENSG00000009694	ENSG00000063180	1.7E-2
ENSG00000060718	ENSG00000064666	1.5E-2
ENSG00000021645	ENSG00000065534	5.1E-3
ENSG00000048052	ENSG00000065534	6.2E-3
ENSG00000013297	ENSG00000065883	1.5E-2
ENSG00000007174	ENSG00000066230	4.5E-3
ENSG00000048052	ENSG00000068305	2.5E-2
ENSG00000048052	ENSG00000068383	1.4E-2
ENSG00000058091	ENSG00000068697	1.7E-2
ENSG00000013297	ENSG00000070778	1.9E-2
ENSG00000067715	ENSG00000070961	1.3E-2
ENSG00000040731	ENSG00000071539	1.1E-2
ENSG00000044524	ENSG00000071575	1.8E-2
ENSG00000013297	ENSG00000071677	6.2E-3
ENSG00000021645	ENSG00000072110	6.9E-3
ENSG00000007174	ENSG00000072182	5.7E-3
ENSG00000047617	ENSG00000072182	5.6E-3
ENSG00000005108	ENSG00000072657	3.4E-2
ENSG00000038945	ENSG00000072694	1.8E-2
ENSG00000069020	ENSG00000072778	1.1E-2
ENSG00000041515	ENSG00000073060	1.5E-2
ENSG00000046889	ENSG00000073754	1.6E-2
ENSG00000060709	ENSG00000073754	2.7E-2
ENSG00000067798	ENSG00000073792	1.1E-2
ENSG00000069020	ENSG00000074416	1.4E-2
ENSG00000060718	ENSG00000074590	2E-2
ENSG00000041515	ENSG00000074755	1.3E-2
ENSG00000058091	ENSG00000075151	1.5E-2
ENSG00000044524	ENSG00000075213	2.5E-2
ENSG00000007174	ENSG00000075290	1.1E-2
ENSG00000058091	ENSG00000075618	1.2E-2
ENSG00000002746	ENSG00000075673	5.6E-3
ENSG00000047617	ENSG00000076356	2.2E-2
ENSG00000041515	ENSG00000076555	3.4E-3
ENSG00000069020	ENSG00000076555	4.8E-3
ENSG00000072657	ENSG00000076555	4.6E-3
ENSG00000021645	ENSG00000077157	3.6E-3
ENSG00000048052	ENSG00000077157	4.4E-3
