# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000003436	3.7E-3
ENSG00000002746	ENSG00000004776	2.4E-3
ENSG00000002746	ENSG00000004838	4.4E-3
ENSG00000002746	ENSG00000005073	4.5E-3
ENSG00000002746	ENSG00000006116	8.9E-4
ENSG00000002746	ENSG00000006468	5.3E-3
ENSG00000002746	ENSG00000006611	5.3E-3
ENSG00000002746	ENSG00000007171	1.2E-3
ENSG00000002746	ENSG00000272684	4.7E-3
ENSG00000002746	ENSG00000008196	3.3E-3
ENSG00000002746	ENSG00000008277	4.3E-3
ENSG00000002746	ENSG00000008323	8.5E-4
ENSG00000002746	ENSG00000008735	3.5E-3
ENSG00000002746	ENSG00000010438	4.3E-3
ENSG00000002746	ENSG00000010704	4.8E-3
ENSG00000002746	ENSG00000011028	2.1E-3
ENSG00000002746	ENSG00000011083	5.2E-4
ENSG00000005108	ENSG00000011083	4.4E-3
ENSG00000002746	ENSG00000011114	3.5E-3
ENSG00000002746	ENSG00000011332	7.3E-4
ENSG00000002746	ENSG00000015520	3E-3
ENSG00000002746	ENSG00000015592	1.5E-3
ENSG00000002746	ENSG00000016082	3.2E-3
ENSG00000002746	ENSG00000016602	3.7E-3
ENSG00000002746	ENSG00000267867	3.7E-3
ENSG00000002746	ENSG00000019186	3.3E-3
ENSG00000002746	ENSG00000019505	2.4E-4
ENSG00000007174	ENSG00000019505	1.5E-3
ENSG00000013297	ENSG00000019505	1.4E-3
ENSG00000018236	ENSG00000019505	1.8E-3
ENSG00000002746	ENSG00000021461	4.9E-3
ENSG00000002746	ENSG00000021826	4.2E-3
ENSG00000002746	ENSG00000024422	4.5E-3
ENSG00000002746	ENSG00000027644	3E-3
ENSG00000002746	ENSG00000039537	2E-3
ENSG00000002746	ENSG00000040487	3.6E-3
ENSG00000002746	ENSG00000040731	3.8E-4
ENSG00000005108	ENSG00000040731	3.3E-3
ENSG00000007174	ENSG00000040731	3.1E-3
ENSG00000013297	ENSG00000040731	2.3E-3
ENSG00000018236	ENSG00000040731	3.3E-3
ENSG00000021645	ENSG00000040731	3.8E-3
ENSG00000021645	ENSG00000041515	4.4E-3
ENSG00000040731	ENSG00000041982	4E-3
ENSG00000040731	ENSG00000042781	2.3E-3
ENSG00000002746	ENSG00000042832	3.4E-3
ENSG00000041515	ENSG00000044524	2.7E-3
ENSG00000041515	ENSG00000046647	2.3E-3
ENSG00000009694	ENSG00000046651	1.3E-2
ENSG00000040731	ENSG00000046653	3.3E-3
ENSG00000041515	ENSG00000046774	3.8E-3
ENSG00000040731	ENSG00000047230	2.1E-3
ENSG00000002746	ENSG00000047936	1.7E-3
ENSG00000018236	ENSG00000047936	1.8E-2
ENSG00000040731	ENSG00000047936	1.5E-3
ENSG00000041515	ENSG00000048471	2.8E-3
ENSG00000041515	ENSG00000048540	3.6E-3
ENSG00000040731	ENSG00000048545	3.2E-3
ENSG00000048052	ENSG00000048991	2.4E-2
ENSG00000041515	ENSG00000049089	2.5E-3
ENSG00000040731	ENSG00000049130	3E-3
ENSG00000040731	ENSG00000049192	3.2E-3
ENSG00000002746	ENSG00000049249	4.5E-3
ENSG00000040731	ENSG00000049249	3.7E-3
ENSG00000021645	ENSG00000049883	8E-3
ENSG00000040731	ENSG00000049883	7E-4
ENSG00000041515	ENSG00000049883	7.6E-4
ENSG00000048471	ENSG00000049883	6.5E-3
ENSG00000041515	ENSG00000050165	2.9E-3
ENSG00000047648	ENSG00000050393	1E-2
ENSG00000002746	ENSG00000050628	4.5E-3
ENSG00000040731	ENSG00000052126	3E-3
ENSG00000041515	ENSG00000052344	2.8E-3
ENSG00000040731	ENSG00000052723	2.8E-3
ENSG00000048052	ENSG00000053371	6E-3
ENSG00000040731	ENSG00000053747	3.3E-3
ENSG00000048052	ENSG00000054277	5.2E-3
ENSG00000041515	ENSG00000056661	4.2E-3
ENSG00000040731	ENSG00000057019	2.7E-3
ENSG00000041515	ENSG00000057019	3.1E-3
ENSG00000048471	ENSG00000057019	2.5E-2
ENSG00000002746	ENSG00000057149	3.9E-3
ENSG00000040731	ENSG00000057149	3.7E-3
ENSG00000040731	ENSG00000057294	2.1E-3
ENSG00000002746	ENSG00000057593	6E-4
ENSG00000042781	ENSG00000057593	4E-3
ENSG00000046889	ENSG00000057593	4.9E-3
ENSG00000002746	ENSG00000058085	5E-3
ENSG00000040731	ENSG00000058085	4E-3
ENSG00000048052	ENSG00000058091	2E-2
ENSG00000002746	ENSG00000058335	4.7E-3
ENSG00000041515	ENSG00000058404	4.2E-3
ENSG00000041515	ENSG00000060140	3.3E-3
ENSG00000040731	ENSG00000061337	3.4E-3
ENSG00000047648	ENSG00000061918	1.1E-2
ENSG00000041515	ENSG00000267876	3.4E-3
ENSG00000040731	ENSG00000063660	3.4E-3
ENSG00000002746	ENSG00000064199	2.2E-3
ENSG00000060709	ENSG00000064199	1.7E-2
ENSG00000002746	ENSG00000064270	4.1E-3
ENSG00000040731	ENSG00000064270	3.9E-3
ENSG00000041515	ENSG00000064300	3.3E-3
ENSG00000040731	ENSG00000064655	3E-3
ENSG00000041515	ENSG00000064655	3.3E-3
ENSG00000041515	ENSG00000064692	7E-4
ENSG00000040731	ENSG00000064787	3.5E-3
ENSG00000041515	ENSG00000064787	3.6E-3
ENSG00000048052	ENSG00000064933	3.2E-3
ENSG00000040731	ENSG00000064989	2.5E-3
ENSG00000040731	ENSG00000065320	3.3E-3
ENSG00000041515	ENSG00000065320	3.6E-3
ENSG00000041515	ENSG00000065325	2.8E-3
ENSG00000002746	ENSG00000065328	3.8E-3
ENSG00000040731	ENSG00000065600	3.3E-3
ENSG00000040731	ENSG00000065609	2.5E-3
ENSG00000018236	ENSG00000065665	3.6E-2
ENSG00000040731	ENSG00000065665	2.1E-3
ENSG00000040731	ENSG00000065833	3.2E-3
ENSG00000002746	ENSG00000066135	4.9E-3
ENSG00000041515	ENSG00000066135	4.5E-3
ENSG00000040731	ENSG00000066230	2.9E-3
ENSG00000002746	ENSG00000066405	4.4E-3
ENSG00000041515	ENSG00000066405	4.3E-3
ENSG00000002746	ENSG00000066468	4.4E-3
ENSG00000040731	ENSG00000066468	3.9E-3
ENSG00000040731	ENSG00000066629	3.1E-3
ENSG00000002746	ENSG00000067191	4.4E-3
ENSG00000040731	ENSG00000067191	3.8E-3
ENSG00000040731	ENSG00000067445	3.8E-3
ENSG00000002746	ENSG00000067715	4.1E-3
ENSG00000040731	ENSG00000067715	4.1E-3
ENSG00000040731	ENSG00000067798	2.9E-3
ENSG00000009694	ENSG00000068489	9.7E-3
ENSG00000041515	ENSG00000068615	4.5E-3
ENSG00000048052	ENSG00000068793	4E-3
ENSG00000041515	ENSG00000068903	2.5E-3
ENSG00000002746	ENSG00000069122	4.7E-3
ENSG00000040731	ENSG00000069122	4.1E-3
ENSG00000041515	ENSG00000069122	4.1E-3
ENSG00000040731	ENSG00000069206	2.9E-3
ENSG00000040731	ENSG00000069482	3.8E-3
ENSG00000069667	ENSG00000069702	8.4E-3
ENSG00000041515	ENSG00000070018	4.1E-3
ENSG00000048471	ENSG00000070031	9.9E-3
ENSG00000066032	ENSG00000070031	1E-2
ENSG00000040731	ENSG00000070159	3.3E-3
ENSG00000009694	ENSG00000070190	1.4E-2
ENSG00000038945	ENSG00000070269	6.8E-3
ENSG00000060718	ENSG00000070269	6.9E-3
ENSG00000040731	ENSG00000070388	2.9E-3
ENSG00000002746	ENSG00000070601	3.9E-3
ENSG00000041515	ENSG00000070614	2.3E-3
ENSG00000040731	ENSG00000070729	3.5E-3
ENSG00000040731	ENSG00000070748	2.6E-3
ENSG00000058091	ENSG00000070759	1.1E-2
ENSG00000002746	ENSG00000070778	4.3E-3
ENSG00000040731	ENSG00000070778	3.8E-3
ENSG00000002746	ENSG00000070915	3.9E-3
ENSG00000041515	ENSG00000070915	4E-3
ENSG00000002746	ENSG00000071203	3.7E-3
ENSG00000041515	ENSG00000071203	3.5E-3
ENSG00000041515	ENSG00000071242	4.1E-3
ENSG00000041515	ENSG00000071282	2.5E-3
ENSG00000040731	ENSG00000071539	1.3E-3
ENSG00000002746	ENSG00000071677	8.6E-4
ENSG00000041515	ENSG00000072062	2.7E-3
ENSG00000040731	ENSG00000072133	3.3E-3
ENSG00000041515	ENSG00000072133	3.7E-3
ENSG00000040731	ENSG00000072134	3.2E-3
ENSG00000002746	ENSG00000072163	3.3E-4
ENSG00000013297	ENSG00000072163	1.8E-3
ENSG00000018236	ENSG00000072163	2.6E-3
ENSG00000041515	ENSG00000072163	2.7E-4
ENSG00000047617	ENSG00000072163	2.7E-3
ENSG00000058091	ENSG00000072163	2E-3
ENSG00000040731	ENSG00000072315	2.4E-3
