# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000008438	1.1E-2
ENSG00000013297	ENSG00000018236	2.3E-2
ENSG00000013297	ENSG00000019485	7.8E-3
ENSG00000002746	ENSG00000019505	5.5E-3
ENSG00000007174	ENSG00000027644	1.2E-2
ENSG00000018236	ENSG00000030419	6.7E-3
ENSG00000005108	ENSG00000042813	1.1E-2
ENSG00000042781	ENSG00000044524	1.5E-2
ENSG00000005108	ENSG00000046889	2.1E-2
ENSG00000007174	ENSG00000269002	1.2E-2
ENSG00000042781	ENSG00000050730	1.2E-2
ENSG00000002746	ENSG00000053108	8.6E-3
ENSG00000044524	ENSG00000053108	7E-3
ENSG00000048471	ENSG00000053108	3.6E-3
ENSG00000042781	ENSG00000053524	8.3E-3
ENSG00000048052	ENSG00000054219	1.6E-2
ENSG00000041515	ENSG00000054598	1.6E-2
ENSG00000042781	ENSG00000054796	7.6E-3
ENSG00000040731	ENSG00000057149	2.6E-2
ENSG00000046889	ENSG00000060709	2E-2
ENSG00000007174	ENSG00000062096	1.1E-2
ENSG00000038945	ENSG00000062096	9.6E-3
ENSG00000005108	ENSG00000063127	1.8E-2
ENSG00000047648	ENSG00000063180	2.2E-2
ENSG00000048052	ENSG00000064199	2.1E-2
ENSG00000047648	ENSG00000064692	8.7E-3
ENSG00000042781	ENSG00000066032	9.7E-3
ENSG00000042781	ENSG00000067048	1.4E-2
ENSG00000048052	ENSG00000067066	2.1E-2
ENSG00000046889	ENSG00000067208	2E-2
ENSG00000009694	ENSG00000067646	2.4E-2
ENSG00000042781	ENSG00000069206	1.7E-2
ENSG00000047648	ENSG00000069535	9.4E-3
ENSG00000069020	ENSG00000069667	2E-2
ENSG00000048052	ENSG00000069712	1.2E-2
ENSG00000069667	ENSG00000069869	1.7E-2
ENSG00000046889	ENSG00000070018	1.8E-2
ENSG00000021645	ENSG00000070214	1.7E-2
ENSG00000067798	ENSG00000070214	2E-2
ENSG00000048052	ENSG00000070882	2.3E-2
ENSG00000041515	ENSG00000071537	1.8E-2
ENSG00000009694	ENSG00000072041	2.1E-2
ENSG00000042781	ENSG00000072041	1E-2
ENSG00000013297	ENSG00000072182	5.8E-3
ENSG00000018236	ENSG00000072840	1.8E-2
ENSG00000041515	ENSG00000073711	1.7E-2
ENSG00000048471	ENSG00000073737	1.5E-2
ENSG00000060709	ENSG00000073754	7.8E-3
ENSG00000067715	ENSG00000073754	8.9E-3
ENSG00000060718	ENSG00000074590	1.4E-2
ENSG00000066032	ENSG00000074803	2.4E-2
ENSG00000042781	ENSG00000074966	1.2E-2
ENSG00000002746	ENSG00000075673	6.2E-3
ENSG00000018236	ENSG00000075673	4.1E-3
ENSG00000060709	ENSG00000075826	1.2E-2
ENSG00000066032	ENSG00000075891	2.8E-2
ENSG00000060709	ENSG00000076258	7.1E-3
ENSG00000067715	ENSG00000076258	8.1E-3
ENSG00000069667	ENSG00000076258	5.1E-3
ENSG00000005108	ENSG00000077264	7.7E-3
ENSG00000046889	ENSG00000077264	8.3E-3
ENSG00000048471	ENSG00000077264	5.4E-3
ENSG00000060709	ENSG00000077264	8.2E-3
ENSG00000069020	ENSG00000077264	7.1E-3
ENSG00000069667	ENSG00000077264	5.7E-3
ENSG00000018236	ENSG00000077498	1.6E-2
ENSG00000075884	ENSG00000077984	1.2E-2
ENSG00000060718	ENSG00000078098	1.2E-2
ENSG00000048471	ENSG00000078487	1.6E-2
ENSG00000072657	ENSG00000078725	1.6E-2
ENSG00000069667	ENSG00000079102	2E-2
ENSG00000018236	ENSG00000079112	4.1E-3
ENSG00000042781	ENSG00000079112	2.3E-3
ENSG00000044524	ENSG00000079112	4.9E-3
ENSG00000066032	ENSG00000079112	3.2E-3
ENSG00000078295	ENSG00000079112	6E-3
ENSG00000075213	ENSG00000079393	1.2E-2
ENSG00000072657	ENSG00000080007	2.7E-2
ENSG00000005108	ENSG00000081052	1.3E-2
ENSG00000058091	ENSG00000081052	1.1E-2
ENSG00000067715	ENSG00000081052	1.2E-2
ENSG00000079841	ENSG00000081148	5.8E-3
ENSG00000075884	ENSG00000262418	9.7E-3
ENSG00000069667	ENSG00000081377	2.1E-2
ENSG00000040731	ENSG00000081479	2.1E-2
ENSG00000048471	ENSG00000081665	1.8E-2
ENSG00000079841	ENSG00000081913	6.1E-3
ENSG00000069020	ENSG00000081923	1.2E-2
ENSG00000048471	ENSG00000082175	1.3E-2
ENSG00000060718	ENSG00000082196	2E-2
ENSG00000048471	ENSG00000082438	1.6E-2
ENSG00000060718	ENSG00000082781	2.2E-2
ENSG00000060718	ENSG00000083782	2.2E-2
ENSG00000060718	ENSG00000084636	1.1E-2
ENSG00000048471	ENSG00000084710	2.2E-2
ENSG00000047648	ENSG00000085563	1.4E-2
ENSG00000067715	ENSG00000085563	1.4E-2
ENSG00000069667	ENSG00000085563	1E-2
ENSG00000048471	ENSG00000086102	1.4E-2
ENSG00000079841	ENSG00000086159	7.8E-3
ENSG00000047617	ENSG00000086544	2.7E-2
ENSG00000021645	ENSG00000086696	1.4E-2
ENSG00000041515	ENSG00000086717	1.7E-2
ENSG00000060709	ENSG00000087095	2.2E-2
ENSG00000079841	ENSG00000087128	5.2E-3
ENSG00000060718	ENSG00000087245	8.2E-3
ENSG00000079841	ENSG00000087589	7.4E-3
ENSG00000048471	ENSG00000270886	6.5E-3
ENSG00000021645	ENSG00000088543	2.2E-2
ENSG00000069020	ENSG00000088808	1.4E-2
ENSG00000079841	ENSG00000088826	8.1E-3
ENSG00000007174	ENSG00000088926	8.3E-3
ENSG00000066032	ENSG00000088926	5.4E-3
ENSG00000018236	ENSG00000089057	2.8E-2
ENSG00000047648	ENSG00000089199	1.6E-2
ENSG00000069020	ENSG00000089682	9.7E-3
ENSG00000048052	ENSG00000089876	2.5E-2
ENSG00000066032	ENSG00000089916	1.2E-2
ENSG00000047617	ENSG00000090447	1E-2
ENSG00000085276	ENSG00000090447	1E-2
ENSG00000048471	ENSG00000090565	1.4E-2
ENSG00000079841	ENSG00000091128	9.6E-3
ENSG00000040731	ENSG00000091482	2.3E-2
ENSG00000042781	ENSG00000091482	1.2E-2
ENSG00000048471	ENSG00000091536	7.6E-3
ENSG00000066032	ENSG00000091651	1.5E-2
ENSG00000042781	ENSG00000091664	7E-3
ENSG00000075213	ENSG00000092009	1.8E-2
ENSG00000069020	ENSG00000092931	8.1E-3
ENSG00000075213	ENSG00000262993	1.4E-2
ENSG00000041515	ENSG00000095261	1.5E-2
ENSG00000038945	ENSG00000095370	3.7E-3
ENSG00000042781	ENSG00000095370	1.8E-3
ENSG00000044524	ENSG00000095370	4.2E-3
ENSG00000048471	ENSG00000095370	2.2E-3
ENSG00000072657	ENSG00000095370	2.3E-3
ENSG00000082293	ENSG00000095370	3.4E-3
ENSG00000085276	ENSG00000095370	4E-3
ENSG00000079841	ENSG00000095539	8.2E-3
