# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000006047	1.3E-2
ENSG00000002746	ENSG00000010438	1.1E-2
ENSG00000009694	ENSG00000011677	2.8E-2
ENSG00000018236	ENSG00000022267	2.4E-2
ENSG00000018236	ENSG00000272207	1.4E-2
ENSG00000009694	ENSG00000026652	2.4E-2
ENSG00000038945	ENSG00000039987	7.2E-3
ENSG00000047648	ENSG00000048052	2.7E-2
ENSG00000042781	ENSG00000050426	6.7E-3
ENSG00000039139	ENSG00000053702	2.1E-2
ENSG00000046889	ENSG00000054796	2E-2
ENSG00000038945	ENSG00000054938	3.3E-3
ENSG00000005108	ENSG00000057468	4.8E-2
ENSG00000039139	ENSG00000060656	1.3E-2
ENSG00000013297	ENSG00000062096	4.5E-3
ENSG00000033122	ENSG00000062096	3.6E-3
ENSG00000033122	ENSG00000267876	1.8E-2
ENSG00000007174	ENSG00000063660	9.9E-3
ENSG00000007174	ENSG00000064205	5E-3
ENSG00000021645	ENSG00000064205	3.6E-3
ENSG00000048471	ENSG00000067082	1.7E-2
ENSG00000055609	ENSG00000068305	1.5E-2
ENSG00000058091	ENSG00000068784	5.7E-3
ENSG00000013297	ENSG00000068976	7.6E-3
ENSG00000047648	ENSG00000069702	2.2E-2
ENSG00000048052	ENSG00000069702	1.8E-2
ENSG00000069667	ENSG00000069956	1.5E-2
ENSG00000039139	ENSG00000070031	1.2E-2
ENSG00000002746	ENSG00000070731	4.9E-3
ENSG00000055609	ENSG00000070961	1.7E-2
ENSG00000040731	ENSG00000072694	1.6E-2
ENSG00000039139	ENSG00000073067	7.8E-3
ENSG00000040731	ENSG00000073737	1.9E-2
ENSG00000047648	ENSG00000074590	1.5E-2
ENSG00000048052	ENSG00000074590	1.2E-2
ENSG00000066032	ENSG00000074966	1.2E-2
ENSG00000058091	ENSG00000075407	1.3E-2
ENSG00000047617	ENSG00000075673	1E-2
ENSG00000069020	ENSG00000076356	2.1E-2
ENSG00000075884	ENSG00000076513	1.9E-2
ENSG00000013297	ENSG00000077009	4.4E-3
ENSG00000075884	ENSG00000077097	5.6E-3
ENSG00000067715	ENSG00000077943	1.8E-2
ENSG00000066032	ENSG00000078018	2E-2
ENSG00000044524	ENSG00000078053	1.3E-2
ENSG00000042781	ENSG00000078081	1.9E-2
ENSG00000060718	ENSG00000078114	2E-2
ENSG00000021645	ENSG00000078328	3.5E-2
ENSG00000048471	ENSG00000078804	7.5E-3
ENSG00000055609	ENSG00000078804	7.8E-3
ENSG00000069667	ENSG00000078804	8.1E-3
ENSG00000002746	ENSG00000078898	1.7E-2
ENSG00000009694	ENSG00000079101	1.2E-2
ENSG00000060718	ENSG00000079101	1.7E-2
ENSG00000078295	ENSG00000079101	2.1E-2
ENSG00000041515	ENSG00000079432	1.1E-2
ENSG00000075884	ENSG00000079950	1E-2
ENSG00000018236	ENSG00000080224	1.8E-2
ENSG00000038945	ENSG00000080572	6.1E-3
ENSG00000055609	ENSG00000081019	1.2E-2
ENSG00000067715	ENSG00000081189	1.6E-2
ENSG00000039139	ENSG00000081248	1.1E-2
