# Gene_A	Gene_B	Weight
ENSG00000033122	ENSG00000034971	2.1E-2
ENSG00000007174	ENSG00000043039	8.5E-3
ENSG00000005108	ENSG00000043355	7.5E-3
ENSG00000018236	ENSG00000043514	1.8E-2
ENSG00000002746	ENSG00000052850	1.6E-2
ENSG00000042781	ENSG00000053254	1.7E-2
ENSG00000040731	ENSG00000053702	1.3E-2
ENSG00000041515	ENSG00000054598	8.4E-3
ENSG00000042781	ENSG00000055332	1.7E-2
ENSG00000042781	ENSG00000055813	1.8E-2
ENSG00000005108	ENSG00000056487	9.4E-3
ENSG00000005108	ENSG00000056661	1.3E-2
ENSG00000038945	ENSG00000059377	8.8E-3
ENSG00000018236	ENSG00000059573	8.4E-3
ENSG00000018236	ENSG00000060718	1.8E-2
ENSG00000041515	ENSG00000062096	6.9E-3
ENSG00000040731	ENSG00000063180	1.1E-2
ENSG00000009694	ENSG00000267876	4.9E-3
ENSG00000046889	ENSG00000267876	4.3E-3
ENSG00000047648	ENSG00000267876	5.1E-3
ENSG00000041515	ENSG00000063854	7.9E-3
ENSG00000041515	ENSG00000064199	8.6E-3
ENSG00000041515	ENSG00000064300	8.8E-3
ENSG00000005108	ENSG00000064651	1.3E-2
ENSG00000060718	ENSG00000064666	2.2E-2
ENSG00000060718	ENSG00000065371	7.8E-3
ENSG00000040731	ENSG00000066185	1.2E-2
ENSG00000041515	ENSG00000066248	1.1E-2
ENSG00000021645	ENSG00000066827	7.3E-3
ENSG00000040731	ENSG00000067715	1.2E-2
ENSG00000047617	ENSG00000069018	1.3E-2
ENSG00000021645	ENSG00000069248	1.1E-2
ENSG00000060709	ENSG00000069424	1.6E-2
ENSG00000048471	ENSG00000069764	1.1E-2
ENSG00000041515	ENSG00000070031	1E-2
ENSG00000060718	ENSG00000269216	1.5E-2
ENSG00000060709	ENSG00000070601	1.4E-2
ENSG00000048052	ENSG00000071909	2.3E-2
ENSG00000021645	ENSG00000072042	1.4E-2
ENSG00000042781	ENSG00000072134	1.7E-2
ENSG00000069667	ENSG00000072315	4.6E-3
ENSG00000007174	ENSG00000073067	6.3E-3
ENSG00000067715	ENSG00000074047	1E-2
ENSG00000041515	ENSG00000074370	1E-2
ENSG00000060718	ENSG00000074590	2.6E-2
ENSG00000047617	ENSG00000074771	3.1E-3
ENSG00000047648	ENSG00000074771	5.1E-3
ENSG00000042781	ENSG00000075073	1.2E-2
ENSG00000002746	ENSG00000075290	1.2E-2
ENSG00000041515	ENSG00000075461	1.2E-2
ENSG00000058091	ENSG00000075618	1.3E-2
ENSG00000021645	ENSG00000076344	1.6E-2
ENSG00000069020	ENSG00000076356	1.9E-2
ENSG00000067798	ENSG00000076555	8.6E-3
ENSG00000041515	ENSG00000076641	9.8E-3
ENSG00000039139	ENSG00000078081	1.1E-2
ENSG00000060718	ENSG00000078177	1.7E-2
ENSG00000041515	ENSG00000078808	7.1E-3
ENSG00000002746	ENSG00000078898	1.8E-2
ENSG00000041515	ENSG00000078902	1.3E-2
ENSG00000078328	ENSG00000079393	5E-3
ENSG00000067798	ENSG00000079435	1.3E-2
ENSG00000066032	ENSG00000079689	3.6E-2
ENSG00000005108	ENSG00000233280	1.1E-2
ENSG00000042781	ENSG00000081026	1.8E-2
ENSG00000021645	ENSG00000081059	1.8E-2
ENSG00000041515	ENSG00000081087	9.1E-3
ENSG00000005108	ENSG00000081377	1.4E-2
ENSG00000040731	ENSG00000081803	1.6E-2
ENSG00000067715	ENSG00000081803	1.1E-2
ENSG00000013297	ENSG00000082397	9.9E-3
ENSG00000041515	ENSG00000082482	1.2E-2
ENSG00000067715	ENSG00000082482	1E-2
ENSG00000005108	ENSG00000082684	7.8E-3
ENSG00000048471	ENSG00000082929	1.2E-2
ENSG00000060718	ENSG00000083544	1.5E-2
ENSG00000079841	ENSG00000083782	1E-2
ENSG00000075884	ENSG00000084070	1.6E-2
ENSG00000058091	ENSG00000084636	1.2E-2
ENSG00000013297	ENSG00000084734	2.8E-2
ENSG00000021645	ENSG00000085552	1.1E-2
ENSG00000075884	ENSG00000085832	1.6E-2
ENSG00000066032	ENSG00000086696	2.9E-2
ENSG00000021645	ENSG00000086717	8.9E-3
ENSG00000013297	ENSG00000087128	2.4E-2
ENSG00000048052	ENSG00000087495	2E-2
ENSG00000071909	ENSG00000087495	1.9E-2
ENSG00000086289	ENSG00000087502	2.1E-2
ENSG00000083067	ENSG00000268104	5.2E-3
ENSG00000078328	ENSG00000088387	1.3E-2
ENSG00000005108	ENSG00000260587	1E-2
ENSG00000080224	ENSG00000088782	8E-3
ENSG00000067715	ENSG00000088881	8.2E-3
ENSG00000066032	ENSG00000088882	1.6E-2
ENSG00000039139	ENSG00000089169	1E-2
ENSG00000078328	ENSG00000090097	1.3E-2
ENSG00000072657	ENSG00000090376	1.3E-2
ENSG00000055609	ENSG00000091009	1.8E-2
ENSG00000005108	ENSG00000091129	8.5E-3
ENSG00000085276	ENSG00000091583	1.7E-2
ENSG00000078328	ENSG00000092054	4.6E-3
ENSG00000082293	ENSG00000092200	7.7E-3
ENSG00000018236	ENSG00000092345	1.7E-2
ENSG00000007174	ENSG00000092445	1.3E-2
ENSG00000041515	ENSG00000092964	5.6E-3
ENSG00000048471	ENSG00000092964	1.4E-2
ENSG00000067715	ENSG00000092978	7.6E-3
ENSG00000075884	ENSG00000093072	8.1E-3
ENSG00000060709	ENSG00000095587	1.6E-2
ENSG00000038945	ENSG00000095970	2.2E-2
ENSG00000095777	ENSG00000096060	1.9E-2
