# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000009765	2.9E-3
ENSG00000007174	ENSG00000011083	5.5E-3
ENSG00000002746	ENSG00000013588	1.3E-2
ENSG00000013297	ENSG00000015413	9.8E-3
ENSG00000002746	ENSG00000019505	2E-2
ENSG00000005108	ENSG00000040731	8.2E-3
ENSG00000041515	ENSG00000042813	2.1E-2
ENSG00000005108	ENSG00000043355	1.1E-2
ENSG00000040731	ENSG00000043355	2.1E-3
ENSG00000040731	ENSG00000046774	7.6E-3
ENSG00000040731	ENSG00000049249	6.6E-3
ENSG00000033122	ENSG00000052850	1.7E-2
ENSG00000041515	ENSG00000053524	5.6E-3
ENSG00000039139	ENSG00000053702	5.1E-3
ENSG00000007174	ENSG00000055957	6.2E-3
ENSG00000040731	ENSG00000056487	7E-3
ENSG00000040731	ENSG00000060709	7.4E-3
ENSG00000047648	ENSG00000061918	2.6E-2
ENSG00000047648	ENSG00000062282	1.9E-2
ENSG00000013297	ENSG00000065618	1.1E-2
ENSG00000040731	ENSG00000066405	7.1E-3
ENSG00000040731	ENSG00000067798	7.8E-3
ENSG00000007174	ENSG00000269840	7E-3
ENSG00000038945	ENSG00000269840	7.5E-3
ENSG00000055609	ENSG00000069943	2.1E-2
ENSG00000042781	ENSG00000070019	1.6E-2
ENSG00000066032	ENSG00000071677	1E-2
ENSG00000033122	ENSG00000072080	1.6E-2
ENSG00000047648	ENSG00000072657	4.4E-3
ENSG00000048052	ENSG00000072657	3.7E-3
ENSG00000058091	ENSG00000072657	4.9E-3
ENSG00000060718	ENSG00000072657	5.9E-3
ENSG00000067715	ENSG00000072657	3.6E-3
ENSG00000067798	ENSG00000072657	5.1E-3
ENSG00000072657	ENSG00000073464	3.4E-3
ENSG00000040731	ENSG00000073711	7.1E-3
ENSG00000072657	ENSG00000073711	4.7E-3
ENSG00000040731	ENSG00000073712	7E-3
ENSG00000040731	ENSG00000073754	5.5E-3
ENSG00000072657	ENSG00000074660	4.7E-3
ENSG00000009694	ENSG00000075131	1.1E-2
ENSG00000040731	ENSG00000075388	5.5E-3
ENSG00000072657	ENSG00000075643	4.9E-3
ENSG00000040731	ENSG00000076067	5.1E-3
ENSG00000040731	ENSG00000077264	4.5E-3
ENSG00000041515	ENSG00000077264	1.9E-2
ENSG00000040731	ENSG00000077498	6.7E-3
ENSG00000072657	ENSG00000077616	6E-3
ENSG00000055609	ENSG00000263001	2.4E-2
ENSG00000075884	ENSG00000078081	8.7E-3
ENSG00000072657	ENSG00000078114	5E-3
ENSG00000002746	ENSG00000078898	1E-2
ENSG00000042781	ENSG00000079101	7.4E-3
ENSG00000055609	ENSG00000079134	6E-3
ENSG00000072657	ENSG00000079150	4E-3
ENSG00000072657	ENSG00000079156	5.8E-3
ENSG00000040731	ENSG00000079337	6.2E-3
ENSG00000021645	ENSG00000079689	6.8E-3
ENSG00000072657	ENSG00000079819	5.1E-3
ENSG00000072657	ENSG00000080166	4.7E-3
ENSG00000075884	ENSG00000080608	1E-2
ENSG00000069020	ENSG00000081059	1.2E-2
ENSG00000040731	ENSG00000081148	7E-3
ENSG00000072657	ENSG00000081148	4.6E-3
ENSG00000075884	ENSG00000262418	1.3E-2
ENSG00000040731	ENSG00000081479	6.3E-3
ENSG00000072657	ENSG00000081800	5.1E-3
ENSG00000072657	ENSG00000272633	3.4E-3
ENSG00000040731	ENSG00000082175	8E-3
ENSG00000048052	ENSG00000082482	1.3E-2
ENSG00000072657	ENSG00000082482	1.9E-3
ENSG00000040731	ENSG00000082497	8E-3
ENSG00000081803	ENSG00000083307	6.8E-3
ENSG00000009694	ENSG00000083535	1.2E-2
ENSG00000072657	ENSG00000083642	2.9E-3
ENSG00000005108	ENSG00000083782	3.1E-3
ENSG00000038945	ENSG00000083782	3.3E-3
ENSG00000040731	ENSG00000083782	5.9E-4
ENSG00000042781	ENSG00000083782	1.8E-3
ENSG00000044524	ENSG00000083782	3.6E-3
ENSG00000046889	ENSG00000083782	3.8E-3
ENSG00000047617	ENSG00000083782	3E-3
