# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000261920	2E-2
ENSG00000021645	ENSG00000040608	1E-2
ENSG00000040731	ENSG00000042286	1.3E-2
ENSG00000039139	ENSG00000043355	1.2E-2
ENSG00000021645	ENSG00000047230	1.4E-2
ENSG00000021645	ENSG00000047346	1.2E-2
ENSG00000047648	ENSG00000048392	1.3E-2
ENSG00000041515	ENSG00000053524	1.9E-2
ENSG00000039139	ENSG00000055044	9.7E-3
ENSG00000009694	ENSG00000058063	2.4E-2
ENSG00000018236	ENSG00000058091	1.2E-2
ENSG00000048052	ENSG00000064300	1.2E-2
ENSG00000018236	ENSG00000065457	1.5E-2
ENSG00000055609	ENSG00000065559	1.7E-2
ENSG00000041515	ENSG00000065675	1.9E-2
ENSG00000055609	ENSG00000067057	1.2E-2
ENSG00000066032	ENSG00000067365	1.2E-2
ENSG00000021645	ENSG00000068615	1.7E-2
ENSG00000018236	ENSG00000069974	1.9E-2
ENSG00000048052	ENSG00000070159	1.2E-2
ENSG00000021645	ENSG00000070214	1.1E-2
ENSG00000009694	ENSG00000070882	2.3E-2
ENSG00000055609	ENSG00000070882	1.7E-2
ENSG00000002746	ENSG00000072201	1.8E-2
ENSG00000055609	ENSG00000073614	1.6E-2
ENSG00000040731	ENSG00000074276	1.8E-2
ENSG00000055609	ENSG00000075223	1.4E-2
ENSG00000048052	ENSG00000077232	1.4E-2
ENSG00000066032	ENSG00000077274	1.2E-2
ENSG00000041515	ENSG00000077585	1.6E-2
ENSG00000047648	ENSG00000077616	1.3E-2
ENSG00000066032	ENSG00000078043	1.2E-2
ENSG00000055609	ENSG00000078177	1.6E-2
ENSG00000040731	ENSG00000078804	1.7E-2
ENSG00000048052	ENSG00000078898	1.4E-2
ENSG00000048052	ENSG00000079335	1.5E-2
ENSG00000060709	ENSG00000079337	2.2E-2
ENSG00000078295	ENSG00000079432	1.4E-2
ENSG00000047648	ENSG00000079459	1.3E-2
ENSG00000002746	ENSG00000079689	2E-2
ENSG00000040731	ENSG00000079841	1.6E-2
ENSG00000072657	ENSG00000079841	1.7E-2
ENSG00000041515	ENSG00000080709	1.4E-2
ENSG00000066032	ENSG00000080709	1.3E-2
ENSG00000018236	ENSG00000081052	1.5E-2
ENSG00000075884	ENSG00000082074	1.8E-2
ENSG00000066032	ENSG00000083290	7.3E-3
ENSG00000078295	ENSG00000083307	1.7E-2
ENSG00000055609	ENSG00000083312	1.2E-2
ENSG00000066032	ENSG00000084636	1.3E-2
ENSG00000041515	ENSG00000085382	1.7E-2
ENSG00000021645	ENSG00000085871	1.5E-2
ENSG00000055609	ENSG00000268980	1.6E-2
ENSG00000079841	ENSG00000087086	1.5E-2
ENSG00000078295	ENSG00000087274	1.2E-2
ENSG00000066032	ENSG00000087903	1.2E-2
ENSG00000072657	ENSG00000088280	1.3E-2
ENSG00000060709	ENSG00000088833	1.7E-2
ENSG00000048052	ENSG00000089060	1.2E-2
ENSG00000009694	ENSG00000089123	2.2E-2
ENSG00000060718	ENSG00000089199	1.7E-2
ENSG00000018236	ENSG00000089639	2E-2
ENSG00000040731	ENSG00000090020	2E-2
ENSG00000072657	ENSG00000090512	1.3E-2
ENSG00000018236	ENSG00000090615	1.4E-2
ENSG00000067715	ENSG00000090861	1E-2
ENSG00000055609	ENSG00000091136	1.5E-2
ENSG00000021645	ENSG00000091428	1.6E-2
ENSG00000058091	ENSG00000091490	1.1E-2
ENSG00000040731	ENSG00000091651	1.5E-2
ENSG00000039139	ENSG00000092148	1.4E-2
ENSG00000055609	ENSG00000093072	1.9E-2
ENSG00000067715	ENSG00000095002	1.2E-2
ENSG00000058091	ENSG00000095015	1.3E-2
ENSG00000079841	ENSG00000095397	1.3E-2
ENSG00000047648	ENSG00000096717	1.4E-2
ENSG00000060718	ENSG00000099817	1.6E-2
