# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000034239	1.8E-2
ENSG00000018236	ENSG00000260130	1.6E-2
ENSG00000007174	ENSG00000039537	1.2E-2
ENSG00000005108	ENSG00000041515	1.3E-2
ENSG00000040731	ENSG00000042813	5.4E-3
ENSG00000013297	ENSG00000044524	2.3E-2
ENSG00000013297	ENSG00000047644	1.6E-2
ENSG00000040731	ENSG00000050555	6.3E-3
ENSG00000002746	ENSG00000053702	1.4E-2
ENSG00000040731	ENSG00000053747	9.7E-3
ENSG00000021645	ENSG00000054598	2.3E-2
ENSG00000040731	ENSG00000054796	7.2E-3
ENSG00000005108	ENSG00000057704	2.4E-2
ENSG00000041515	ENSG00000057704	1.2E-2
ENSG00000047648	ENSG00000063438	9.6E-3
ENSG00000040731	ENSG00000267876	5.1E-3
ENSG00000047617	ENSG00000063761	4.4E-3
ENSG00000048052	ENSG00000064195	7.5E-3
ENSG00000007174	ENSG00000064199	6.3E-3
ENSG00000039139	ENSG00000064199	7E-3
ENSG00000040731	ENSG00000066827	7.5E-3
ENSG00000040731	ENSG00000263148	9.3E-3
ENSG00000042781	ENSG00000068137	3E-2
ENSG00000033122	ENSG00000069122	1.4E-2
ENSG00000040731	ENSG00000069424	1E-2
ENSG00000067798	ENSG00000070269	1.6E-2
ENSG00000002746	ENSG00000070601	7.4E-3
ENSG00000048052	ENSG00000070601	6.8E-3
ENSG00000048471	ENSG00000070915	2.1E-2
ENSG00000002746	ENSG00000070985	1.6E-2
ENSG00000040731	ENSG00000070985	4.9E-3
ENSG00000042781	ENSG00000071205	1.4E-2
ENSG00000005108	ENSG00000072041	1.7E-2
ENSG00000041515	ENSG00000072041	1.3E-2
ENSG00000047648	ENSG00000072163	7.6E-3
ENSG00000048471	ENSG00000073331	1.3E-2
ENSG00000033122	ENSG00000074054	1.2E-2
ENSG00000005108	ENSG00000074201	1.3E-2
ENSG00000007174	ENSG00000074706	1E-2
ENSG00000071909	ENSG00000075213	2.7E-2
