# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000016602	1.4E-2
ENSG00000038945	ENSG00000041357	8.4E-3
ENSG00000047648	ENSG00000049323	1.1E-2
ENSG00000002746	ENSG00000052344	1.1E-2
ENSG00000021645	ENSG00000052850	3E-2
ENSG00000040731	ENSG00000053702	1.5E-2
ENSG00000007174	ENSG00000056291	6.9E-3
ENSG00000021645	ENSG00000056291	7.1E-3
ENSG00000055609	ENSG00000060339	1.2E-2
ENSG00000047648	ENSG00000061918	1.3E-2
ENSG00000007174	ENSG00000267876	3.4E-3
ENSG00000021645	ENSG00000267876	3.5E-3
ENSG00000042781	ENSG00000267876	1.1E-3
ENSG00000060709	ENSG00000267876	2.8E-3
ENSG00000060718	ENSG00000267876	4.1E-3
ENSG00000042781	ENSG00000065491	8.6E-3
ENSG00000005108	ENSG00000065609	1.8E-2
ENSG00000042781	ENSG00000065970	1.2E-2
ENSG00000055609	ENSG00000066422	2.4E-2
ENSG00000038945	ENSG00000068079	7E-3
ENSG00000048052	ENSG00000068793	5.5E-3
ENSG00000002746	ENSG00000070019	9.5E-3
ENSG00000066032	ENSG00000070193	6.5E-3
ENSG00000055609	ENSG00000070961	2.1E-2
ENSG00000042781	ENSG00000262030	1.4E-2
ENSG00000042781	ENSG00000072134	8.2E-3
ENSG00000047648	ENSG00000072422	9.8E-3
ENSG00000055609	ENSG00000075407	1.5E-2
ENSG00000075884	ENSG00000076043	8E-3
ENSG00000075884	ENSG00000076554	4.2E-3
ENSG00000002746	ENSG00000077009	1.7E-2
ENSG00000041515	ENSG00000078098	4E-3
ENSG00000047617	ENSG00000078098	4.1E-3
ENSG00000058091	ENSG00000078098	3.2E-3
ENSG00000040731	ENSG00000078114	2.1E-2
ENSG00000075884	ENSG00000079246	7.4E-3
ENSG00000066032	ENSG00000079393	1.8E-2
ENSG00000048052	ENSG00000233280	1.1E-2
ENSG00000075884	ENSG00000269846	5.3E-3
ENSG00000075884	ENSG00000081386	3.5E-3
ENSG00000040731	ENSG00000081800	9.6E-3
ENSG00000002746	ENSG00000081803	1.2E-2
ENSG00000075884	ENSG00000083123	7.7E-3
ENSG00000075884	ENSG00000083535	4.3E-3
ENSG00000075884	ENSG00000083544	6.4E-3
ENSG00000005108	ENSG00000083782	2.9E-3
ENSG00000018236	ENSG00000083782	4.3E-3
ENSG00000033122	ENSG00000083782	4.1E-3
ENSG00000044524	ENSG00000083782	4E-3
ENSG00000046889	ENSG00000083782	4.7E-3
ENSG00000060718	ENSG00000083782	4.9E-3
ENSG00000067798	ENSG00000083782	4.4E-3
ENSG00000075213	ENSG00000083782	4.4E-3
ENSG00000079841	ENSG00000083782	3.9E-3
ENSG00000080224	ENSG00000083782	2.3E-3
ENSG00000075884	ENSG00000084072	7.7E-3
ENSG00000066032	ENSG00000084636	1.7E-2
ENSG00000042781	ENSG00000085185	1.2E-2
ENSG00000048052	ENSG00000085871	6.2E-3
ENSG00000075884	ENSG00000086189	7.4E-3
ENSG00000040731	ENSG00000086570	1.4E-2
ENSG00000041515	ENSG00000086696	4.5E-3
ENSG00000047617	ENSG00000086696	4.5E-3
ENSG00000041515	ENSG00000086967	1.9E-2
ENSG00000075884	ENSG00000087263	8E-3
ENSG00000086289	ENSG00000087842	8E-3
ENSG00000002746	ENSG00000268104	4.7E-3
ENSG00000040731	ENSG00000268104	3.4E-3
ENSG00000047648	ENSG00000270886	1.3E-2
ENSG00000075884	ENSG00000088543	6.8E-3
ENSG00000047648	ENSG00000088726	1E-2
ENSG00000038945	ENSG00000088827	1.1E-2
ENSG00000048471	ENSG00000088899	5E-3
ENSG00000075884	ENSG00000089012	6.6E-3
ENSG00000069020	ENSG00000089220	8.1E-3
ENSG00000069667	ENSG00000089737	1.1E-2
ENSG00000048052	ENSG00000090013	4.3E-3
ENSG00000069020	ENSG00000090097	2.7E-2
ENSG00000075884	ENSG00000090263	2.1E-3
ENSG00000075884	ENSG00000090554	2.5E-3
ENSG00000007174	ENSG00000091482	4.7E-3
ENSG00000013297	ENSG00000091482	4.8E-3
ENSG00000021645	ENSG00000091482	5E-3
ENSG00000060709	ENSG00000091482	4E-3
ENSG00000066032	ENSG00000091482	2.3E-3
ENSG00000078328	ENSG00000091482	4.9E-3
ENSG00000080224	ENSG00000091482	2.9E-3
ENSG00000083067	ENSG00000091482	5E-3
ENSG00000085276	ENSG00000091482	5.4E-3
ENSG00000042781	ENSG00000091664	7.6E-3
ENSG00000005108	ENSG00000091844	2E-2
ENSG00000091656	ENSG00000092009	2.1E-2
ENSG00000055609	ENSG00000092140	1.5E-2
ENSG00000002746	ENSG00000092377	1.7E-2
ENSG00000048052	ENSG00000092964	7.5E-3
ENSG00000080224	ENSG00000094661	1.6E-2
ENSG00000081803	ENSG00000094755	1.1E-2
ENSG00000069667	ENSG00000094975	8.8E-3
ENSG00000075884	ENSG00000095002	1.7E-3
ENSG00000039139	ENSG00000095464	6.4E-3
ENSG00000040731	ENSG00000095464	3.5E-3
ENSG00000069667	ENSG00000095574	1.1E-2
ENSG00000081803	ENSG00000095713	1.6E-2
ENSG00000044524	ENSG00000095917	3E-2
ENSG00000018236	ENSG00000096006	5.3E-3
ENSG00000039139	ENSG00000096006	4.2E-3
