# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000010361	1.2E-2
ENSG00000009694	ENSG00000011347	2.1E-2
ENSG00000018236	ENSG00000019186	1.4E-2
ENSG00000002746	ENSG00000025772	1.6E-2
ENSG00000021645	ENSG00000035664	1.8E-2
ENSG00000009694	ENSG00000060718	2.6E-2
ENSG00000044524	ENSG00000064199	2E-2
ENSG00000041515	ENSG00000064692	2.6E-2
ENSG00000009694	ENSG00000064886	6.2E-3
ENSG00000040731	ENSG00000065320	1.6E-2
ENSG00000044524	ENSG00000065325	2.4E-2
ENSG00000009694	ENSG00000065675	7.3E-3
ENSG00000058091	ENSG00000065809	9.3E-3
ENSG00000021645	ENSG00000066923	7.1E-3
ENSG00000058091	ENSG00000066923	1E-2
ENSG00000048052	ENSG00000067836	6.9E-3
ENSG00000048471	ENSG00000068793	1.4E-2
ENSG00000048052	ENSG00000069493	1.4E-2
ENSG00000067715	ENSG00000069493	1.1E-2
ENSG00000042781	ENSG00000069696	8.9E-3
ENSG00000033122	ENSG00000070193	2E-2
ENSG00000067715	ENSG00000071575	1.6E-2
ENSG00000018236	ENSG00000071677	1.5E-2
ENSG00000047617	ENSG00000072182	1.8E-2
ENSG00000058091	ENSG00000072832	1.1E-2
ENSG00000039139	ENSG00000073067	1.6E-2
ENSG00000067715	ENSG00000073350	2E-2
ENSG00000002746	ENSG00000073861	8.2E-3
ENSG00000067715	ENSG00000075651	2.2E-2
ENSG00000047617	ENSG00000075826	9.3E-3
ENSG00000002746	ENSG00000075886	1.1E-2
ENSG00000075884	ENSG00000075945	2.9E-3
ENSG00000042781	ENSG00000076053	8.7E-3
ENSG00000075884	ENSG00000076554	3.9E-3
ENSG00000046889	ENSG00000077009	1.9E-2
ENSG00000075884	ENSG00000077254	4.7E-3
ENSG00000075884	ENSG00000077348	1.2E-3
ENSG00000075884	ENSG00000077380	2.1E-3
ENSG00000069667	ENSG00000077585	1.2E-2
ENSG00000007174	ENSG00000077984	1.2E-2
ENSG00000040731	ENSG00000078549	1.7E-2
ENSG00000007174	ENSG00000078579	2E-2
ENSG00000040731	ENSG00000078596	4.5E-3
ENSG00000069020	ENSG00000078596	1.1E-2
ENSG00000075884	ENSG00000078618	5.4E-3
ENSG00000075884	ENSG00000078699	5.6E-3
ENSG00000069667	ENSG00000079134	9.8E-3
ENSG00000038945	ENSG00000079308	1.1E-2
ENSG00000018236	ENSG00000079482	1.1E-2
ENSG00000075213	ENSG00000080031	1.3E-2
ENSG00000078295	ENSG00000080224	3E-2
ENSG00000021645	ENSG00000080546	8.2E-3
ENSG00000038945	ENSG00000080546	1.2E-2
ENSG00000060709	ENSG00000080546	8.2E-3
ENSG00000009694	ENSG00000080644	6.7E-3
ENSG00000018236	ENSG00000080709	1.8E-2
ENSG00000069020	ENSG00000081041	3E-2
ENSG00000005108	ENSG00000081189	4.6E-3
ENSG00000058091	ENSG00000081189	6E-3
ENSG00000040731	ENSG00000081248	1.9E-2
ENSG00000047648	ENSG00000082397	2.4E-2
ENSG00000075884	ENSG00000083123	6.7E-3
ENSG00000066032	ENSG00000083457	1.1E-2
ENSG00000075884	ENSG00000083535	2.6E-3
ENSG00000009694	ENSG00000083857	1.3E-2
ENSG00000007174	ENSG00000084092	8.5E-3
ENSG00000007174	ENSG00000085117	9.9E-3
ENSG00000047648	ENSG00000085465	1.8E-2
ENSG00000067715	ENSG00000085662	7.1E-3
ENSG00000075884	ENSG00000085760	2.1E-3
ENSG00000078328	ENSG00000086061	6.8E-3
ENSG00000085276	ENSG00000086288	1.9E-2
ENSG00000047617	ENSG00000086506	1E-2
ENSG00000055609	ENSG00000086666	1.2E-2
ENSG00000086289	ENSG00000086827	6.4E-3
ENSG00000075884	ENSG00000087053	5.1E-3
ENSG00000005108	ENSG00000087253	3.1E-2
ENSG00000075884	ENSG00000088179	5.6E-3
ENSG00000075884	ENSG00000088205	5.8E-3
ENSG00000047648	ENSG00000260587	1.6E-2
ENSG00000075884	ENSG00000088682	5.9E-3
ENSG00000086289	ENSG00000088766	1.2E-2
ENSG00000007174	ENSG00000088782	1.4E-2
ENSG00000013297	ENSG00000088882	2.1E-2
ENSG00000086289	ENSG00000088986	3.6E-3
ENSG00000082293	ENSG00000089009	5.1E-3
ENSG00000085276	ENSG00000089009	5.7E-3
ENSG00000075884	ENSG00000089050	7.1E-3
ENSG00000005108	ENSG00000089177	1.6E-2
ENSG00000086289	ENSG00000090013	6E-3
ENSG00000079841	ENSG00000090447	2.2E-2
ENSG00000021645	ENSG00000090661	7.5E-3
ENSG00000075884	ENSG00000090686	5.6E-3
ENSG00000075884	ENSG00000090861	1.1E-3
ENSG00000086289	ENSG00000090861	1.8E-3
ENSG00000055609	ENSG00000091009	1.4E-2
ENSG00000048471	ENSG00000091592	1.4E-2
ENSG00000018236	ENSG00000091844	1.4E-2
ENSG00000081803	ENSG00000091972	9E-3
ENSG00000078295	ENSG00000092200	1.3E-2
ENSG00000071909	ENSG00000092345	2.1E-2
ENSG00000021645	ENSG00000092421	1.8E-2
