# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000008323	1.7E-2
ENSG00000005108	ENSG00000010818	1E-2
ENSG00000002746	ENSG00000264524	1.7E-2
ENSG00000021645	ENSG00000026297	6.3E-3
ENSG00000002746	ENSG00000039987	1.8E-2
ENSG00000040731	ENSG00000046647	1.4E-2
ENSG00000046889	ENSG00000047617	1.5E-2
ENSG00000048471	ENSG00000057294	2E-2
ENSG00000048471	ENSG00000058799	1E-2
ENSG00000040731	ENSG00000062096	1.2E-2
ENSG00000005108	ENSG00000064205	2.6E-2
ENSG00000005108	ENSG00000064651	1.4E-2
ENSG00000009694	ENSG00000064652	1.7E-2
ENSG00000018236	ENSG00000064652	2E-2
ENSG00000048471	ENSG00000064652	2E-2
ENSG00000009694	ENSG00000065325	1.5E-2
ENSG00000048052	ENSG00000065615	1.2E-2
ENSG00000040731	ENSG00000065833	1.4E-2
ENSG00000066032	ENSG00000066629	2E-2
ENSG00000002746	ENSG00000066933	2E-2
ENSG00000013297	ENSG00000068079	8.8E-3
ENSG00000048052	ENSG00000068793	1E-2
ENSG00000067715	ENSG00000068793	1.1E-2
ENSG00000046889	ENSG00000070019	1.3E-2
ENSG00000069020	ENSG00000070081	4.3E-3
ENSG00000044524	ENSG00000070669	1.7E-2
ENSG00000046889	ENSG00000070808	1.7E-2
ENSG00000069667	ENSG00000070882	3E-2
ENSG00000067798	ENSG00000072041	2.3E-2
ENSG00000040731	ENSG00000072182	1.2E-2
ENSG00000005108	ENSG00000072415	2E-2
ENSG00000072657	ENSG00000072682	1.6E-2
ENSG00000069667	ENSG00000073350	1.7E-2
ENSG00000002746	ENSG00000073737	2.4E-2
ENSG00000002746	ENSG00000074276	2E-2
ENSG00000047617	ENSG00000074771	1.6E-2
ENSG00000046889	ENSG00000074803	1.8E-2
ENSG00000044524	ENSG00000074966	2E-2
ENSG00000060718	ENSG00000074966	1.9E-2
ENSG00000021645	ENSG00000075035	1.9E-2
ENSG00000075884	ENSG00000075945	7E-3
ENSG00000075884	ENSG00000076003	1.8E-3
ENSG00000048471	ENSG00000076944	1.5E-2
ENSG00000048052	ENSG00000077097	5.8E-3
ENSG00000041515	ENSG00000077279	1.6E-2
ENSG00000018236	ENSG00000077327	2.4E-2
ENSG00000075884	ENSG00000077380	3.3E-3
ENSG00000060718	ENSG00000078401	1.9E-2
ENSG00000047648	ENSG00000078487	1.6E-2
ENSG00000072657	ENSG00000078487	1.3E-2
ENSG00000069020	ENSG00000078596	9E-3
ENSG00000069667	ENSG00000078596	5.9E-3
ENSG00000075884	ENSG00000078618	2.8E-3
ENSG00000075884	ENSG00000078668	9.8E-3
ENSG00000075213	ENSG00000078900	2.1E-2
ENSG00000002746	ENSG00000079393	1.8E-2
ENSG00000038945	ENSG00000079482	1.1E-2
ENSG00000040731	ENSG00000079557	1.1E-2
ENSG00000009694	ENSG00000079689	1.7E-2
ENSG00000038945	ENSG00000080546	1.5E-2
ENSG00000072657	ENSG00000080618	1.8E-2
ENSG00000047617	ENSG00000081014	1.7E-2
ENSG00000069667	ENSG00000081014	1.8E-2
ENSG00000069667	ENSG00000081041	1.6E-2
ENSG00000072657	ENSG00000081087	1.5E-2
ENSG00000048471	ENSG00000081138	1.9E-2
ENSG00000005108	ENSG00000081189	4.7E-3
ENSG00000058091	ENSG00000081189	7.8E-3
ENSG00000069667	ENSG00000262418	1.5E-2
ENSG00000040731	ENSG00000081479	1.1E-2
ENSG00000044524	ENSG00000081479	1.7E-2
ENSG00000041515	ENSG00000081800	2E-2
ENSG00000081803	ENSG00000081923	7.6E-3
ENSG00000048052	ENSG00000082397	1.4E-2
ENSG00000046889	ENSG00000082438	1.5E-2
ENSG00000079841	ENSG00000082482	1.7E-2
ENSG00000075884	ENSG00000082512	5.4E-3
ENSG00000041515	ENSG00000082781	1.6E-2
ENSG00000075884	ENSG00000082898	2.8E-3
ENSG00000013297	ENSG00000083067	2E-2
ENSG00000042781	ENSG00000083093	1.5E-2
ENSG00000002746	ENSG00000084674	1.6E-2
ENSG00000075884	ENSG00000085511	8.1E-3
ENSG00000067715	ENSG00000085662	1.1E-2
ENSG00000041515	ENSG00000086159	1.5E-2
ENSG00000041515	ENSG00000086205	1.6E-2
ENSG00000079841	ENSG00000086544	1.8E-2
ENSG00000067715	ENSG00000086619	1.2E-2
ENSG00000075884	ENSG00000087053	8E-3
ENSG00000060718	ENSG00000087095	1.5E-2
ENSG00000047617	ENSG00000087116	2.1E-2
ENSG00000072657	ENSG00000087303	1.3E-2
ENSG00000005108	ENSG00000087470	8.1E-3
ENSG00000079841	ENSG00000087903	1.5E-2
ENSG00000048052	ENSG00000088035	1.3E-2
ENSG00000075884	ENSG00000088035	5.6E-3
ENSG00000075884	ENSG00000088179	6.7E-3
ENSG00000075884	ENSG00000088205	8.3E-3
ENSG00000075884	ENSG00000088305	5.6E-3
ENSG00000075884	ENSG00000088325	4.4E-3
ENSG00000067715	ENSG00000088448	1.1E-2
ENSG00000082293	ENSG00000088543	1.8E-2
ENSG00000040731	ENSG00000088812	1.2E-2
ENSG00000018236	ENSG00000088926	2.1E-2
ENSG00000047617	ENSG00000089012	1.6E-2
ENSG00000075884	ENSG00000089063	2.9E-3
ENSG00000060709	ENSG00000089123	1.1E-2
ENSG00000047617	ENSG00000089163	1.8E-2
ENSG00000042781	ENSG00000089335	1.5E-2
ENSG00000041515	ENSG00000089692	1.5E-2
ENSG00000060709	ENSG00000090612	2.2E-2
ENSG00000040731	ENSG00000090659	1.2E-2
ENSG00000021645	ENSG00000090661	1.3E-2
ENSG00000075884	ENSG00000090686	7.4E-3
ENSG00000038945	ENSG00000090776	5.5E-3
ENSG00000075884	ENSG00000090861	5.7E-3
ENSG00000079841	ENSG00000091010	1.5E-2
ENSG00000048471	ENSG00000091128	2.9E-2
ENSG00000041515	ENSG00000091129	1.7E-2
ENSG00000079841	ENSG00000091129	1.7E-2
ENSG00000081803	ENSG00000091137	1.8E-2
ENSG00000079841	ENSG00000091317	8.8E-3
ENSG00000083067	ENSG00000091428	2.2E-2
ENSG00000047648	ENSG00000091622	7.8E-3
ENSG00000083067	ENSG00000264509	1.8E-2
ENSG00000040731	ENSG00000092068	1.4E-2
ENSG00000060709	ENSG00000092470	1.7E-2
ENSG00000075884	ENSG00000092847	5.6E-3
ENSG00000075884	ENSG00000092978	6.6E-3
ENSG00000009694	ENSG00000095464	1.9E-2
ENSG00000041515	ENSG00000095464	2E-2
ENSG00000048052	ENSG00000262509	5.3E-3
ENSG00000058091	ENSG00000262509	7.8E-3
ENSG00000067715	ENSG00000262509	5.3E-3
ENSG00000072657	ENSG00000262509	4E-3
ENSG00000066032	ENSG00000095587	1.9E-2
ENSG00000002746	ENSG00000095596	2E-2
