# Gene_A	Gene_B	Weight
ENSG00000009694	ENSG00000009709	3.2E-2
ENSG00000005108	ENSG00000011405	3.1E-2
ENSG00000007174	ENSG00000034239	1.3E-2
ENSG00000007174	ENSG00000034971	9.8E-3
ENSG00000007174	ENSG00000039537	8.8E-3
ENSG00000021645	ENSG00000269380	1.7E-2
ENSG00000044524	ENSG00000269380	2E-2
ENSG00000039139	ENSG00000048540	1.3E-2
ENSG00000009694	ENSG00000053108	3E-2
ENSG00000021645	ENSG00000053254	2.4E-2
ENSG00000018236	ENSG00000058063	1.8E-2
ENSG00000058091	ENSG00000060718	9.7E-3
ENSG00000060718	ENSG00000060982	1.1E-2
ENSG00000039139	ENSG00000064042	1.5E-2
ENSG00000021645	ENSG00000064309	2.5E-2
ENSG00000041515	ENSG00000064393	2.5E-2
ENSG00000021645	ENSG00000065154	1.4E-2
ENSG00000039139	ENSG00000065809	1.3E-2
ENSG00000055609	ENSG00000066654	4E-3
ENSG00000013297	ENSG00000267915	1.2E-2
ENSG00000039139	ENSG00000069122	5.3E-3
ENSG00000040731	ENSG00000069431	1.7E-2
ENSG00000069020	ENSG00000069764	8.4E-3
ENSG00000069667	ENSG00000069956	4.8E-3
ENSG00000041515	ENSG00000070019	1.2E-2
ENSG00000058091	ENSG00000070031	1.3E-2
ENSG00000066032	ENSG00000070601	1.5E-2
ENSG00000069667	ENSG00000070961	1.6E-2
ENSG00000040731	ENSG00000071677	5.7E-3
ENSG00000066032	ENSG00000269384	1.5E-2
ENSG00000071909	ENSG00000073146	2.8E-2
ENSG00000033122	ENSG00000073754	3.3E-2
ENSG00000060718	ENSG00000074590	8.8E-3
ENSG00000044524	ENSG00000074966	2.5E-2
ENSG00000047617	ENSG00000075290	1.1E-2
ENSG00000041515	ENSG00000075388	2.2E-2
ENSG00000060718	ENSG00000075391	1.2E-2
ENSG00000055609	ENSG00000075407	7.1E-3
ENSG00000069020	ENSG00000076356	1.8E-2
ENSG00000075884	ENSG00000076770	8.3E-3
ENSG00000013297	ENSG00000077080	1.5E-2
ENSG00000066032	ENSG00000077080	1.2E-2
ENSG00000005108	ENSG00000077097	3.7E-3
ENSG00000005108	ENSG00000077264	1.9E-2
ENSG00000066032	ENSG00000077279	1.9E-2
ENSG00000007174	ENSG00000077327	8.1E-3
ENSG00000060718	ENSG00000078053	1E-2
ENSG00000038945	ENSG00000078098	1.2E-2
ENSG00000060718	ENSG00000078098	6.6E-3
ENSG00000075884	ENSG00000078589	4.7E-3
ENSG00000075884	ENSG00000078596	6.5E-3
ENSG00000041515	ENSG00000078814	1.2E-2
ENSG00000067715	ENSG00000079393	1.8E-2
ENSG00000007174	ENSG00000080572	8.2E-3
ENSG00000060718	ENSG00000080573	4.9E-3
ENSG00000069020	ENSG00000080618	1.2E-2
ENSG00000072657	ENSG00000080618	1.1E-2
ENSG00000075884	ENSG00000081189	4.6E-3
ENSG00000075884	ENSG00000262418	7.4E-3
ENSG00000018236	ENSG00000081277	4.9E-3
ENSG00000075884	ENSG00000081320	9.4E-3
ENSG00000021645	ENSG00000081479	1.9E-2
ENSG00000039139	ENSG00000081803	5.7E-3
ENSG00000044524	ENSG00000081803	4.9E-3
ENSG00000081803	ENSG00000081923	7.4E-3
ENSG00000075884	ENSG00000082074	6.6E-3
ENSG00000060718	ENSG00000082196	9.5E-3
ENSG00000081803	ENSG00000082458	5.8E-3
ENSG00000060718	ENSG00000083782	1.4E-2
ENSG00000075884	ENSG00000083799	1.1E-2
ENSG00000013297	ENSG00000083838	1.6E-2
ENSG00000058091	ENSG00000084636	1.1E-2
ENSG00000072657	ENSG00000085265	1.4E-2
ENSG00000038945	ENSG00000085514	7.1E-3
ENSG00000075884	ENSG00000085563	9.5E-3
ENSG00000047617	ENSG00000085644	1.1E-2
ENSG00000048471	ENSG00000085644	8.6E-3
ENSG00000075884	ENSG00000085832	1.6E-3
ENSG00000038945	ENSG00000086300	1.2E-2
ENSG00000081803	ENSG00000272939	4.1E-3
ENSG00000005108	ENSG00000086717	2.1E-2
ENSG00000060718	ENSG00000086717	1.1E-2
ENSG00000060718	ENSG00000086991	7.9E-3
ENSG00000067715	ENSG00000087128	1.9E-2
ENSG00000048052	ENSG00000087250	1.4E-2
ENSG00000060718	ENSG00000087303	4.3E-3
ENSG00000081803	ENSG00000087495	5.8E-3
ENSG00000047617	ENSG00000088320	6.2E-3
ENSG00000018236	ENSG00000088726	5.8E-3
ENSG00000038945	ENSG00000088827	1.2E-2
ENSG00000040731	ENSG00000089169	1.1E-2
ENSG00000042781	ENSG00000089169	1.2E-2
ENSG00000066032	ENSG00000089199	1.7E-2
ENSG00000079841	ENSG00000089558	1.4E-2
ENSG00000075884	ENSG00000090104	9.8E-3
