# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000005302	1.7E-2
ENSG00000009694	ENSG00000030304	2.5E-2
ENSG00000007174	ENSG00000034239	1.8E-2
ENSG00000018236	ENSG00000038295	2.1E-2
ENSG00000018236	ENSG00000038427	7.7E-3
ENSG00000007174	ENSG00000047936	1.1E-2
ENSG00000041515	ENSG00000049249	1.1E-2
ENSG00000021645	ENSG00000053108	2.2E-2
ENSG00000005108	ENSG00000054219	2.1E-2
ENSG00000021645	ENSG00000056487	1.1E-2
ENSG00000047617	ENSG00000056487	9.2E-3
ENSG00000009694	ENSG00000057149	1E-2
ENSG00000040731	ENSG00000060709	1.5E-2
ENSG00000009694	ENSG00000061492	2.2E-2
ENSG00000048471	ENSG00000061936	1E-2
ENSG00000055609	ENSG00000061936	8E-3
ENSG00000021645	ENSG00000063180	1.5E-2
ENSG00000039139	ENSG00000064199	1.6E-2
ENSG00000041515	ENSG00000064201	2.3E-2
ENSG00000038945	ENSG00000064225	1E-2
ENSG00000007174	ENSG00000064692	5.9E-3
ENSG00000058091	ENSG00000064692	9.2E-3
ENSG00000055609	ENSG00000066135	1.4E-2
ENSG00000038945	ENSG00000066294	1.7E-2
ENSG00000067798	ENSG00000068615	2.1E-2
ENSG00000060718	ENSG00000070031	1.1E-2
ENSG00000067715	ENSG00000070269	8.8E-3
ENSG00000041515	ENSG00000269216	1.4E-2
ENSG00000048052	ENSG00000070808	2.1E-2
ENSG00000067798	ENSG00000070808	2E-2
ENSG00000040731	ENSG00000070886	1.5E-2
ENSG00000048471	ENSG00000072163	6.8E-3
ENSG00000048052	ENSG00000072786	8.8E-3
ENSG00000007174	ENSG00000073282	2E-2
ENSG00000009694	ENSG00000073464	2.4E-2
ENSG00000055609	ENSG00000073614	1.7E-2
ENSG00000018236	ENSG00000073712	1.1E-2
ENSG00000044524	ENSG00000073712	9.5E-3
ENSG00000021645	ENSG00000073910	1E-2
ENSG00000007174	ENSG00000074047	7.1E-3
ENSG00000067715	ENSG00000074201	1.7E-2
ENSG00000048471	ENSG00000074590	1.3E-2
ENSG00000009694	ENSG00000074657	1.8E-2
ENSG00000013297	ENSG00000075073	1.3E-2
ENSG00000044524	ENSG00000075213	1.8E-2
ENSG00000058091	ENSG00000075223	1.7E-2
ENSG00000071909	ENSG00000075790	1.1E-2
ENSG00000075884	ENSG00000076641	5.8E-3
ENSG00000040731	ENSG00000077009	8.5E-3
ENSG00000060709	ENSG00000077009	1.3E-2
ENSG00000048471	ENSG00000077238	1.9E-2
ENSG00000047617	ENSG00000077279	2E-2
ENSG00000075884	ENSG00000077420	7.6E-3
ENSG00000048052	ENSG00000078081	5.8E-3
ENSG00000075884	ENSG00000078081	3.5E-3
ENSG00000018236	ENSG00000078098	5.8E-3
ENSG00000058091	ENSG00000078098	5.3E-3
ENSG00000060718	ENSG00000078098	3.7E-3
ENSG00000075884	ENSG00000078589	9E-3
ENSG00000039139	ENSG00000078674	2.3E-2
ENSG00000058091	ENSG00000079150	6.9E-3
ENSG00000075213	ENSG00000079150	6.3E-3
ENSG00000075884	ENSG00000079263	7.3E-3
ENSG00000067715	ENSG00000079689	1.7E-2
ENSG00000067798	ENSG00000079689	1.6E-2
ENSG00000075213	ENSG00000079931	1.2E-2
ENSG00000039139	ENSG00000080298	1.8E-2
ENSG00000067798	ENSG00000080546	1.4E-2
ENSG00000042781	ENSG00000080572	1.9E-2
ENSG00000067715	ENSG00000081051	1.3E-2
ENSG00000075884	ENSG00000081052	6.2E-3
ENSG00000047648	ENSG00000081189	1.1E-2
ENSG00000069667	ENSG00000081189	1.2E-2
ENSG00000075884	ENSG00000262418	1.1E-2
ENSG00000040731	ENSG00000081248	1.6E-2
ENSG00000075884	ENSG00000081320	3.5E-3
ENSG00000021645	ENSG00000081479	2.2E-2
ENSG00000075884	ENSG00000082074	4.3E-3
ENSG00000060718	ENSG00000082196	1.7E-2
ENSG00000048052	ENSG00000082438	3.1E-2
ENSG00000009694	ENSG00000083099	1.5E-2
ENSG00000018236	ENSG00000083782	2.3E-2
ENSG00000038945	ENSG00000083782	2.3E-2
ENSG00000060718	ENSG00000083782	1.4E-2
ENSG00000075884	ENSG00000083799	6.4E-3
ENSG00000055609	ENSG00000084093	2.1E-2
ENSG00000067798	ENSG00000085563	1.4E-2
ENSG00000075884	ENSG00000085563	6.3E-3
ENSG00000038945	ENSG00000086717	1.7E-2
ENSG00000060718	ENSG00000086717	1.4E-2
ENSG00000060709	ENSG00000086967	9.9E-3
ENSG00000060718	ENSG00000086991	6.4E-3
ENSG00000041515	ENSG00000087086	9.5E-3
ENSG00000080224	ENSG00000087301	1.4E-2
ENSG00000069020	ENSG00000088543	1.2E-2
ENSG00000075213	ENSG00000088756	1E-2
ENSG00000081853	ENSG00000088826	1E-2
ENSG00000048471	ENSG00000088854	1.9E-2
ENSG00000066032	ENSG00000088930	8.4E-3
ENSG00000085276	ENSG00000088992	1.1E-2
ENSG00000042781	ENSG00000089558	1.9E-2
ENSG00000075884	ENSG00000090382	5.1E-3
ENSG00000047648	ENSG00000090530	1.5E-2
ENSG00000048052	ENSG00000090554	1.1E-2
ENSG00000040731	ENSG00000090612	1.1E-2
ENSG00000066032	ENSG00000090621	1.6E-2
ENSG00000075884	ENSG00000090659	7.2E-3
ENSG00000048471	ENSG00000090924	1.1E-2
ENSG00000081853	ENSG00000091009	6.2E-3
ENSG00000066032	ENSG00000091010	2.3E-2
ENSG00000067715	ENSG00000091039	2.5E-2
ENSG00000007174	ENSG00000091181	1.3E-2
ENSG00000021645	ENSG00000091428	2.3E-2
ENSG00000040731	ENSG00000091482	1.3E-2
ENSG00000058091	ENSG00000091656	1E-2
ENSG00000044524	ENSG00000091844	1.2E-2
ENSG00000075213	ENSG00000091844	1.3E-2
ENSG00000086289	ENSG00000091972	9.2E-3
ENSG00000091656	ENSG00000091986	5.4E-3
ENSG00000072657	ENSG00000092020	8.2E-3
ENSG00000069020	ENSG00000092096	1.5E-2
ENSG00000075884	ENSG00000092345	6.9E-3
ENSG00000048471	ENSG00000092529	1.3E-2
ENSG00000039139	ENSG00000092850	1.6E-2
ENSG00000013297	ENSG00000262993	2.3E-2
ENSG00000069020	ENSG00000095066	6.9E-3
ENSG00000060718	ENSG00000095596	1.2E-2
ENSG00000039139	ENSG00000096093	2E-2
ENSG00000083067	ENSG00000096264	1.8E-2
ENSG00000069667	ENSG00000096968	1.1E-2
ENSG00000075884	ENSG00000096968	4.2E-3
ENSG00000005108	ENSG00000099139	6.5E-3
ENSG00000091656	ENSG00000099139	3.6E-3
ENSG00000099139	ENSG00000099250	8.4E-3
ENSG00000085276	ENSG00000099260	1.7E-2
ENSG00000069020	ENSG00000099326	5.9E-3
ENSG00000072657	ENSG00000099365	2.2E-2
ENSG00000060718	ENSG00000099953	9.7E-3
ENSG00000095777	ENSG00000099998	1.5E-2
ENSG00000082293	ENSG00000100060	5.3E-3
ENSG00000075884	ENSG00000100079	4.4E-3
ENSG00000081803	ENSG00000100170	1E-2
ENSG00000060718	ENSG00000100234	1.3E-2
ENSG00000100154	ENSG00000100330	1.9E-2
ENSG00000042781	ENSG00000100341	1.7E-2
ENSG00000075884	ENSG00000100351	7.6E-3
ENSG00000100154	ENSG00000100425	1.4E-2
ENSG00000082293	ENSG00000100433	2.6E-2
ENSG00000082293	ENSG00000100453	8E-3
ENSG00000099139	ENSG00000100490	6.4E-3
ENSG00000075884	ENSG00000100523	7.3E-3
ENSG00000086289	ENSG00000100600	9.9E-3
ENSG00000047617	ENSG00000100604	7.9E-3
ENSG00000048052	ENSG00000100628	6.5E-3
ENSG00000082293	ENSG00000100628	7.1E-3
ENSG00000055609	ENSG00000100796	1.6E-2
ENSG00000055609	ENSG00000100813	1.9E-2
ENSG00000080224	ENSG00000100902	1.5E-2
ENSG00000075213	ENSG00000100934	9.8E-3
ENSG00000013297	ENSG00000100987	1.6E-2
ENSG00000075884	ENSG00000101096	9.8E-3
ENSG00000075884	ENSG00000101109	1E-2
ENSG00000100154	ENSG00000101115	1.5E-2
ENSG00000099139	ENSG00000101230	4.6E-3
ENSG00000002746	ENSG00000101280	2.4E-2
ENSG00000066032	ENSG00000101310	9.9E-3
ENSG00000086289	ENSG00000101335	8.3E-3
ENSG00000075884	ENSG00000101347	5.2E-3
ENSG00000099139	ENSG00000101384	4E-3
ENSG00000075884	ENSG00000101425	6.1E-3
ENSG00000060718	ENSG00000101463	6.1E-3
ENSG00000095777	ENSG00000101542	2.1E-2
ENSG00000067715	ENSG00000101544	1.2E-2
ENSG00000081803	ENSG00000101670	1.3E-2
ENSG00000069667	ENSG00000101745	1.2E-2
ENSG00000018236	ENSG00000101825	7.7E-3
ENSG00000048471	ENSG00000101825	7.9E-3
ENSG00000058091	ENSG00000101825	6.8E-3
ENSG00000091656	ENSG00000101825	4.2E-3
ENSG00000099139	ENSG00000101871	3.9E-3
ENSG00000041515	ENSG00000268349	2.6E-2
ENSG00000101333	ENSG00000101935	1.7E-2
ENSG00000099139	ENSG00000101955	3E-3
ENSG00000018236	ENSG00000268767	7E-3
ENSG00000044524	ENSG00000268767	5.8E-3
ENSG00000072657	ENSG00000268767	5E-3
ENSG00000075213	ENSG00000268767	5.4E-3
ENSG00000041515	ENSG00000269198	9.8E-3
ENSG00000095777	ENSG00000269198	1E-2
ENSG00000040731	ENSG00000102043	1.2E-2
ENSG00000079841	ENSG00000102245	1.8E-2
ENSG00000060718	ENSG00000102359	6.8E-3
ENSG00000081803	ENSG00000269173	1.5E-2
ENSG00000021645	ENSG00000102466	1.2E-2
ENSG00000047617	ENSG00000102466	1.5E-2
ENSG00000075884	ENSG00000102524	2.7E-3
ENSG00000040731	ENSG00000102678	9.1E-3
ENSG00000091656	ENSG00000102678	6.2E-3
ENSG00000021645	ENSG00000102755	2.2E-2
ENSG00000041515	ENSG00000102924	1.7E-2
ENSG00000041515	ENSG00000102970	1.3E-2
ENSG00000066032	ENSG00000103018	5.2E-3
ENSG00000078328	ENSG00000103034	1.8E-2
ENSG00000040731	ENSG00000103241	7.4E-3
ENSG00000067715	ENSG00000103274	1.3E-2
ENSG00000048052	ENSG00000103522	9.7E-3
ENSG00000083067	ENSG00000103647	1.1E-2
ENSG00000102466	ENSG00000103723	7E-3
ENSG00000099139	ENSG00000103742	6.5E-3
ENSG00000048052	ENSG00000103811	1.7E-2
ENSG00000060718	ENSG00000103888	1.8E-2
ENSG00000078295	ENSG00000104044	2.2E-2
ENSG00000069667	ENSG00000104047	1.7E-2
ENSG00000099139	ENSG00000104067	6.3E-3
ENSG00000047617	ENSG00000104112	1.1E-2
ENSG00000102466	ENSG00000104112	8.7E-3
ENSG00000067715	ENSG00000104154	2.5E-2
ENSG00000091656	ENSG00000104213	3.7E-3
ENSG00000099139	ENSG00000104213	2.6E-3
ENSG00000079841	ENSG00000104312	1.6E-2
ENSG00000040731	ENSG00000104327	1.3E-2
ENSG00000102466	ENSG00000104371	1.2E-2
ENSG00000104375	ENSG00000104388	8.6E-3
ENSG00000104375	ENSG00000104408	5.5E-3
ENSG00000104375	ENSG00000104412	4.5E-3
ENSG00000060718	ENSG00000104415	1.5E-2
ENSG00000075884	ENSG00000104432	4.9E-3
ENSG00000104375	ENSG00000104442	6E-3
ENSG00000039139	ENSG00000104447	2E-2
ENSG00000104375	ENSG00000104450	6.4E-3
ENSG00000104375	ENSG00000104497	9.6E-3
ENSG00000104375	ENSG00000104517	9.1E-3
ENSG00000048052	ENSG00000104856	1.5E-2
ENSG00000078295	ENSG00000104881	7.3E-3
ENSG00000100154	ENSG00000104957	6.5E-3
ENSG00000038945	ENSG00000270756	1.9E-2
ENSG00000102935	ENSG00000105088	1.6E-2
ENSG00000048471	ENSG00000105122	8.1E-3
ENSG00000021645	ENSG00000105198	2.5E-2
ENSG00000067715	ENSG00000105202	1.8E-2
ENSG00000091831	ENSG00000105219	1.8E-2
ENSG00000060709	ENSG00000105245	1.4E-2
ENSG00000048052	ENSG00000272985	1E-2
ENSG00000040731	ENSG00000105370	1.1E-2
ENSG00000013297	ENSG00000105374	9.9E-3
ENSG00000038945	ENSG00000105383	7.8E-3
ENSG00000075884	ENSG00000105483	1E-2
