# Gene_A	Gene_B	Weight
ENSG00000009694	ENSG00000010704	7.9E-3
ENSG00000009694	ENSG00000262552	4.5E-3
ENSG00000009694	ENSG00000013523	3.2E-3
ENSG00000009694	ENSG00000015592	3.4E-3
ENSG00000009694	ENSG00000018236	8.6E-3
ENSG00000002746	ENSG00000029559	2.3E-2
ENSG00000009694	ENSG00000033122	3.7E-3
ENSG00000009694	ENSG00000034053	1.9E-3
ENSG00000002746	ENSG00000034239	2.6E-2
ENSG00000013297	ENSG00000036473	9.6E-3
ENSG00000040731	ENSG00000048028	7.9E-3
ENSG00000040731	ENSG00000049618	1.1E-2
ENSG00000009694	ENSG00000050030	6.9E-3
ENSG00000038945	ENSG00000051108	7E-3
ENSG00000007174	ENSG00000052344	8.4E-3
ENSG00000047617	ENSG00000052850	5.3E-3
ENSG00000002746	ENSG00000053108	2.2E-2
ENSG00000013297	ENSG00000056661	7.8E-3
ENSG00000048052	ENSG00000056661	7.9E-3
ENSG00000005108	ENSG00000061455	1.1E-2
ENSG00000009694	ENSG00000062038	4E-3
ENSG00000058091	ENSG00000063660	1E-2
ENSG00000047648	ENSG00000065029	1.6E-2
ENSG00000009694	ENSG00000065665	7.4E-3
ENSG00000048052	ENSG00000069764	1.1E-2
ENSG00000040731	ENSG00000070018	6.6E-3
ENSG00000069020	ENSG00000070031	1.5E-2
ENSG00000060718	ENSG00000070214	9.7E-3
ENSG00000067798	ENSG00000070882	1.9E-2
ENSG00000009694	ENSG00000071203	2.3E-3
ENSG00000060718	ENSG00000071282	3.3E-3
ENSG00000009694	ENSG00000072133	8.5E-3
ENSG00000002746	ENSG00000072315	1.3E-2
ENSG00000060718	ENSG00000072415	1.5E-2
ENSG00000033122	ENSG00000072832	1.8E-2
ENSG00000067715	ENSG00000072858	1.4E-2
ENSG00000069020	ENSG00000073067	1.6E-2
ENSG00000009694	ENSG00000073464	6.8E-3
ENSG00000044524	ENSG00000073754	1.6E-2
ENSG00000009694	ENSG00000074356	6E-3
ENSG00000060718	ENSG00000074590	8.9E-3
ENSG00000047617	ENSG00000075388	1.8E-2
ENSG00000009694	ENSG00000075651	7.1E-3
ENSG00000009694	ENSG00000077463	4.3E-3
ENSG00000033122	ENSG00000077522	1.9E-2
ENSG00000009694	ENSG00000262532	3.7E-3
ENSG00000033122	ENSG00000262532	7.8E-3
ENSG00000060718	ENSG00000078098	3.1E-3
ENSG00000069667	ENSG00000078098	5.3E-3
ENSG00000067798	ENSG00000078804	7.5E-3
ENSG00000071909	ENSG00000078814	1.3E-2
ENSG00000007174	ENSG00000079112	1.7E-2
ENSG00000007174	ENSG00000080298	2.5E-2
ENSG00000009694	ENSG00000081014	6.6E-3
ENSG00000005108	ENSG00000081277	1E-2
ENSG00000009694	ENSG00000081320	4.4E-3
ENSG00000009694	ENSG00000081923	2.3E-3
ENSG00000080224	ENSG00000081923	5.9E-3
ENSG00000009694	ENSG00000082269	6.7E-3
ENSG00000081803	ENSG00000082482	1.5E-2
ENSG00000078295	ENSG00000082684	1.9E-2
ENSG00000067798	ENSG00000083223	2.2E-2
ENSG00000081803	ENSG00000083307	2.4E-2
ENSG00000033122	ENSG00000083782	1.3E-2
ENSG00000069020	ENSG00000083812	1.4E-2
ENSG00000048471	ENSG00000083844	7.2E-3
ENSG00000009694	ENSG00000084110	6.3E-3
ENSG00000081853	ENSG00000084764	5.5E-3
ENSG00000067715	ENSG00000085552	1.5E-2
ENSG00000058091	ENSG00000085644	1.1E-2
ENSG00000047648	ENSG00000086015	1.2E-2
ENSG00000021645	ENSG00000086570	1.3E-2
ENSG00000040731	ENSG00000086570	7.2E-3
ENSG00000060718	ENSG00000086991	1.3E-2
ENSG00000067798	ENSG00000087301	1.3E-2
ENSG00000009694	ENSG00000087338	6.7E-3
ENSG00000033122	ENSG00000087495	6.7E-3
ENSG00000079841	ENSG00000087495	1.2E-2
ENSG00000058091	ENSG00000088826	2E-2
ENSG00000021645	ENSG00000088899	1.5E-2
ENSG00000040731	ENSG00000088899	8E-3
ENSG00000082293	ENSG00000088926	7.9E-3
ENSG00000040731	ENSG00000089123	9E-3
ENSG00000071909	ENSG00000089169	1.1E-2
ENSG00000082293	ENSG00000090402	1.4E-2
ENSG00000044524	ENSG00000090447	8.4E-3
ENSG00000013297	ENSG00000090512	7.1E-3
ENSG00000085276	ENSG00000090661	6.7E-3
ENSG00000013297	ENSG00000090971	1.4E-2
ENSG00000071909	ENSG00000091010	1.6E-2
ENSG00000009694	ENSG00000091138	2.1E-3
ENSG00000081803	ENSG00000091164	8.6E-3
ENSG00000005108	ENSG00000092009	1.3E-2
ENSG00000075213	ENSG00000092140	2.8E-2
ENSG00000078328	ENSG00000092200	2.2E-2
ENSG00000066032	ENSG00000092345	1.4E-2
ENSG00000067798	ENSG00000092470	3.6E-3
ENSG00000075213	ENSG00000092470	4.6E-3
ENSG00000075884	ENSG00000092470	6.6E-3
ENSG00000060709	ENSG00000262993	8.2E-3
ENSG00000079841	ENSG00000095627	8.3E-3
ENSG00000009694	ENSG00000095787	2.1E-3
ENSG00000033122	ENSG00000095917	1.5E-2
ENSG00000081803	ENSG00000096093	3.1E-2
ENSG00000091656	ENSG00000099139	1.1E-2
ENSG00000069667	ENSG00000099284	1.6E-2
ENSG00000081853	ENSG00000272064	1E-2
ENSG00000060709	ENSG00000099617	9.7E-3
ENSG00000060709	ENSG00000099625	5.8E-3
ENSG00000009694	ENSG00000099715	7.8E-3
ENSG00000041515	ENSG00000099721	1.2E-2
ENSG00000091656	ENSG00000099721	6.1E-3
ENSG00000060718	ENSG00000099953	9.8E-3
ENSG00000069020	ENSG00000099960	1.3E-2
ENSG00000021645	ENSG00000100024	1.1E-2
ENSG00000040731	ENSG00000100024	5.8E-3
ENSG00000047648	ENSG00000268928	6.3E-3
ENSG00000021645	ENSG00000100092	8.7E-3
ENSG00000067715	ENSG00000100105	2E-2
ENSG00000047648	ENSG00000100122	9.8E-3
ENSG00000002746	ENSG00000100139	1.1E-2
ENSG00000078328	ENSG00000100170	1.6E-2
ENSG00000044524	ENSG00000100253	2E-2
ENSG00000060718	ENSG00000100290	1.2E-2
ENSG00000013297	ENSG00000100341	1E-2
ENSG00000067715	ENSG00000100372	1.8E-2
ENSG00000047617	ENSG00000100427	2.1E-2
ENSG00000100154	ENSG00000100439	1E-2
ENSG00000075213	ENSG00000100483	6.7E-3
ENSG00000075884	ENSG00000100483	9.6E-3
ENSG00000081803	ENSG00000100490	2.9E-2
