# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000006128	1.8E-2
ENSG00000002746	ENSG00000006377	2.2E-2
ENSG00000005108	ENSG00000009694	1.6E-2
ENSG00000009694	ENSG00000011201	1.9E-2
ENSG00000013297	ENSG00000019485	3.2E-3
ENSG00000018236	ENSG00000019505	4.1E-3
ENSG00000018236	ENSG00000021852	7.7E-3
ENSG00000021645	ENSG00000025800	2.1E-2
ENSG00000007174	ENSG00000027644	1.7E-2
ENSG00000005108	ENSG00000033170	1.5E-2
ENSG00000018236	ENSG00000039537	3.7E-3
ENSG00000002746	ENSG00000040199	2.8E-2
ENSG00000005108	ENSG00000040731	1.9E-2
ENSG00000007174	ENSG00000044012	8.3E-3
ENSG00000021645	ENSG00000044446	2.5E-2
ENSG00000038945	ENSG00000047457	1.4E-2
ENSG00000005108	ENSG00000048052	2.2E-2
ENSG00000009694	ENSG00000048052	2.6E-2
ENSG00000040731	ENSG00000048052	2.5E-2
ENSG00000009694	ENSG00000048540	1.6E-2
ENSG00000040731	ENSG00000048540	1.5E-2
ENSG00000009694	ENSG00000048740	6.9E-3
ENSG00000048052	ENSG00000049246	1.2E-2
ENSG00000009694	ENSG00000050344	1.9E-2
ENSG00000002746	ENSG00000053108	4.6E-3
ENSG00000041515	ENSG00000053108	2.2E-3
ENSG00000041515	ENSG00000054796	9.9E-3
ENSG00000047617	ENSG00000056558	1.3E-2
ENSG00000041515	ENSG00000057657	4.9E-3
ENSG00000060709	ENSG00000061987	2.2E-2
ENSG00000009694	ENSG00000062038	1.7E-2
ENSG00000007174	ENSG00000062096	5.7E-3
ENSG00000013297	ENSG00000062096	3.6E-3
ENSG00000005108	ENSG00000064042	1E-2
ENSG00000018236	ENSG00000064201	5.2E-3
ENSG00000044524	ENSG00000064655	1.6E-2
ENSG00000058091	ENSG00000064655	1.7E-2
ENSG00000058091	ENSG00000064763	1.7E-2
ENSG00000041515	ENSG00000064989	1.1E-2
ENSG00000021645	ENSG00000065457	1.4E-2
ENSG00000041515	ENSG00000065609	1E-2
ENSG00000005108	ENSG00000065717	1.7E-2
ENSG00000041515	ENSG00000067191	1.4E-2
ENSG00000048052	ENSG00000068366	1.9E-2
ENSG00000041515	ENSG00000069431	1.4E-2
ENSG00000021645	ENSG00000069667	2.1E-2
ENSG00000005108	ENSG00000069702	1E-2
ENSG00000069667	ENSG00000069702	1.1E-2
ENSG00000060709	ENSG00000069712	2.1E-2
ENSG00000047617	ENSG00000070182	2.3E-2
ENSG00000058091	ENSG00000071282	1.4E-2
ENSG00000007174	ENSG00000071677	7.1E-3
ENSG00000007174	ENSG00000072182	5.9E-3
ENSG00000013297	ENSG00000072182	3.2E-3
ENSG00000066032	ENSG00000072832	2.1E-2
ENSG00000069020	ENSG00000073331	1.1E-2
ENSG00000069667	ENSG00000074416	1.1E-2
ENSG00000021645	ENSG00000074603	7.2E-3
ENSG00000072657	ENSG00000074803	1.2E-2
ENSG00000040731	ENSG00000075223	2.2E-2
ENSG00000018236	ENSG00000076067	2.3E-2
ENSG00000041515	ENSG00000076067	1.2E-2
ENSG00000060709	ENSG00000076555	2.3E-2
ENSG00000005108	ENSG00000076716	1.1E-2
ENSG00000013297	ENSG00000076864	2.1E-2
ENSG00000066032	ENSG00000077080	2E-2
ENSG00000075884	ENSG00000077238	1.2E-2
ENSG00000060709	ENSG00000077264	1.3E-2
ENSG00000041515	ENSG00000077327	1.4E-2
ENSG00000002746	ENSG00000077498	8.2E-3
ENSG00000041515	ENSG00000077498	3.8E-3
ENSG00000021645	ENSG00000077684	1.6E-2
ENSG00000067715	ENSG00000077943	1.1E-2
ENSG00000041515	ENSG00000078579	1.1E-2
ENSG00000060718	ENSG00000079101	2E-2
ENSG00000075213	ENSG00000079101	2.6E-2
ENSG00000069667	ENSG00000079931	1.2E-2
ENSG00000047648	ENSG00000080573	1.7E-2
ENSG00000046889	ENSG00000080618	1E-2
ENSG00000013297	ENSG00000081051	2.1E-2
ENSG00000041515	ENSG00000081248	6.4E-3
ENSG00000069020	ENSG00000081923	1.1E-2
ENSG00000069020	ENSG00000082781	2.6E-2
ENSG00000047617	ENSG00000083123	1.9E-2
ENSG00000040731	ENSG00000083782	2.2E-2
ENSG00000021645	ENSG00000083812	1.5E-2
ENSG00000079841	ENSG00000083838	1.5E-2
ENSG00000009694	ENSG00000085563	2.2E-2
ENSG00000048052	ENSG00000085563	2.2E-2
ENSG00000075213	ENSG00000085662	1.5E-2
ENSG00000046889	ENSG00000085733	2.5E-2
ENSG00000060709	ENSG00000086102	2.2E-2
ENSG00000082293	ENSG00000086506	1.4E-2
ENSG00000041515	ENSG00000087008	1.1E-2
ENSG00000075884	ENSG00000087237	1.1E-2
ENSG00000041515	ENSG00000087494	1.5E-2
ENSG00000048052	ENSG00000087510	2.3E-2
ENSG00000060718	ENSG00000087842	2.3E-2
ENSG00000047617	ENSG00000088808	8.6E-3
ENSG00000007174	ENSG00000088926	1.3E-2
ENSG00000066032	ENSG00000089169	1.2E-2
ENSG00000072657	ENSG00000089199	1.7E-2
ENSG00000007174	ENSG00000089558	9.9E-3
ENSG00000069020	ENSG00000089682	1.6E-2
ENSG00000040731	ENSG00000089818	1.8E-2
ENSG00000069667	ENSG00000090376	2.7E-2
