# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000006128	6.8E-3
ENSG00000009694	ENSG00000029639	2.3E-2
ENSG00000009694	ENSG00000034053	1.1E-2
ENSG00000009694	ENSG00000047346	5E-3
ENSG00000009694	ENSG00000047634	8E-3
ENSG00000047648	ENSG00000049323	1E-2
ENSG00000005108	ENSG00000053524	3.9E-3
ENSG00000018236	ENSG00000053524	4.5E-3
ENSG00000042781	ENSG00000053524	2.3E-3
ENSG00000044524	ENSG00000053524	3.2E-3
ENSG00000048052	ENSG00000054277	1.2E-2
ENSG00000009694	ENSG00000055163	2.6E-2
ENSG00000048471	ENSG00000055609	1.4E-2
ENSG00000048052	ENSG00000057608	1.8E-2
ENSG00000009694	ENSG00000059588	5.1E-3
ENSG00000047648	ENSG00000061918	8.4E-3
ENSG00000048471	ENSG00000063127	7.4E-3
ENSG00000021645	ENSG00000064300	1.3E-2
ENSG00000055609	ENSG00000065243	1.7E-2
ENSG00000009694	ENSG00000065357	6.7E-3
ENSG00000048471	ENSG00000065413	2.5E-2
ENSG00000055609	ENSG00000065413	1.6E-2
ENSG00000038945	ENSG00000068079	8E-3
ENSG00000042781	ENSG00000069122	2E-2
ENSG00000069667	ENSG00000069702	6.9E-3
ENSG00000039139	ENSG00000071205	1.8E-2
ENSG00000055609	ENSG00000072364	1.7E-2
ENSG00000047648	ENSG00000072422	8.4E-3
ENSG00000005108	ENSG00000072657	8.1E-3
ENSG00000060718	ENSG00000072657	9E-3
ENSG00000048052	ENSG00000072694	9.9E-3
ENSG00000047617	ENSG00000073067	9.3E-3
ENSG00000069667	ENSG00000074527	1.7E-2
ENSG00000072657	ENSG00000074771	4.6E-3
ENSG00000047617	ENSG00000074855	1.6E-2
ENSG00000009694	ENSG00000074966	1.3E-2
ENSG00000055609	ENSG00000075239	1.4E-2
ENSG00000066032	ENSG00000075388	2.5E-2
ENSG00000055609	ENSG00000075407	4.6E-3
ENSG00000069020	ENSG00000075884	1.5E-2
ENSG00000075884	ENSG00000075945	1.3E-2
ENSG00000058091	ENSG00000076554	9E-3
ENSG00000069020	ENSG00000076641	2.8E-2
ENSG00000009694	ENSG00000077097	1.1E-2
ENSG00000048052	ENSG00000077232	2.2E-2
ENSG00000072657	ENSG00000077616	7E-3
ENSG00000007174	ENSG00000262532	1.4E-2
ENSG00000040731	ENSG00000078053	2.1E-2
ENSG00000033122	ENSG00000078098	2.4E-2
ENSG00000055609	ENSG00000078403	1.6E-2
ENSG00000058091	ENSG00000078589	7.9E-3
ENSG00000075884	ENSG00000078589	4.9E-3
ENSG00000069020	ENSG00000078596	7.4E-3
ENSG00000075884	ENSG00000078596	5.2E-3
ENSG00000005108	ENSG00000079112	4.7E-3
ENSG00000041515	ENSG00000079112	4E-3
ENSG00000060718	ENSG00000079112	4.9E-3
ENSG00000067798	ENSG00000079112	4.7E-3
ENSG00000072657	ENSG00000079112	1.3E-3
ENSG00000078295	ENSG00000079112	5.1E-3
ENSG00000075884	ENSG00000079335	1.5E-2
ENSG00000048471	ENSG00000079482	3.5E-3
ENSG00000055609	ENSG00000079482	3.5E-3
ENSG00000069667	ENSG00000079482	4.1E-3
ENSG00000048052	ENSG00000079950	1.5E-2
ENSG00000069020	ENSG00000080511	1.7E-2
ENSG00000072657	ENSG00000080618	6.6E-3
ENSG00000075213	ENSG00000080709	2.9E-2
ENSG00000055609	ENSG00000080802	1.4E-2
ENSG00000048052	ENSG00000081189	1.5E-2
ENSG00000058091	ENSG00000081189	1.6E-2
ENSG00000067715	ENSG00000272633	1.9E-2
ENSG00000040731	ENSG00000082126	2.5E-2
ENSG00000067715	ENSG00000082482	9.7E-3
ENSG00000072657	ENSG00000082482	2.9E-3
ENSG00000078328	ENSG00000082482	1.1E-2
ENSG00000080224	ENSG00000082482	1E-2
ENSG00000069667	ENSG00000083307	1.4E-2
ENSG00000075884	ENSG00000083544	1.8E-2
