# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000008294	1.5E-2
ENSG00000002746	ENSG00000011083	4E-3
ENSG00000007174	ENSG00000011083	3.6E-3
ENSG00000005108	ENSG00000014257	1.2E-2
ENSG00000005108	ENSG00000018236	1.1E-2
ENSG00000005108	ENSG00000019991	1.9E-2
ENSG00000018236	ENSG00000019991	1.4E-2
ENSG00000013297	ENSG00000022267	1.9E-2
ENSG00000021645	ENSG00000023697	1.4E-2
ENSG00000021645	ENSG00000026652	2.2E-2
ENSG00000007174	ENSG00000037280	1.8E-2
ENSG00000009694	ENSG00000039600	1.2E-2
ENSG00000018236	ENSG00000043514	1E-2
ENSG00000040731	ENSG00000044446	1.7E-2
ENSG00000005108	ENSG00000044524	1.5E-2
ENSG00000018236	ENSG00000044524	1.4E-2
ENSG00000009694	ENSG00000046653	1.6E-2
ENSG00000009694	ENSG00000048740	1.6E-2
ENSG00000021645	ENSG00000050730	2.5E-2
ENSG00000018236	ENSG00000056998	5.6E-3
ENSG00000044524	ENSG00000056998	7.1E-3
ENSG00000040731	ENSG00000057149	5.9E-3
ENSG00000038945	ENSG00000057593	4.5E-3
ENSG00000040731	ENSG00000058404	1.5E-2
ENSG00000013297	ENSG00000060138	2.1E-2
ENSG00000048052	ENSG00000060237	1.8E-2
ENSG00000046889	ENSG00000060709	3.1E-2
ENSG00000058091	ENSG00000064042	1.8E-2
ENSG00000060718	ENSG00000064205	6.1E-3
ENSG00000013297	ENSG00000065308	1.3E-2
ENSG00000018236	ENSG00000065325	1.2E-2
ENSG00000013297	ENSG00000065457	1.7E-2
ENSG00000046889	ENSG00000066032	2.3E-2
ENSG00000018236	ENSG00000066117	8.8E-3
ENSG00000002746	ENSG00000066230	1.8E-2
ENSG00000060718	ENSG00000066629	5.7E-3
ENSG00000005108	ENSG00000066654	1.4E-2
ENSG00000060718	ENSG00000268579	6.2E-3
ENSG00000048052	ENSG00000067334	1.1E-2
ENSG00000005108	ENSG00000067798	1.7E-2
ENSG00000018236	ENSG00000067798	1.3E-2
