# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000004776	3.3E-3
ENSG00000002746	ENSG00000006611	8.6E-3
ENSG00000002746	ENSG00000006659	2E-3
ENSG00000002746	ENSG00000008516	8.4E-3
ENSG00000002746	ENSG00000010318	9.2E-3
ENSG00000005108	ENSG00000010319	1.6E-2
ENSG00000007174	ENSG00000010379	1.7E-2
ENSG00000009694	ENSG00000010932	1.4E-2
ENSG00000005108	ENSG00000011465	4.7E-3
ENSG00000002746	ENSG00000012822	3.4E-3
ENSG00000002746	ENSG00000015592	5.8E-3
ENSG00000005108	ENSG00000017427	2.1E-2
ENSG00000002746	ENSG00000019505	4.4E-3
ENSG00000002746	ENSG00000021461	8.8E-3
ENSG00000002746	ENSG00000021852	7.3E-3
ENSG00000021645	ENSG00000033170	7.4E-3
ENSG00000013297	ENSG00000036565	1.3E-2
ENSG00000018236	ENSG00000040199	1.5E-2
ENSG00000040731	ENSG00000042304	1.3E-2
ENSG00000002746	ENSG00000048545	8.5E-3
ENSG00000002746	ENSG00000049192	4.2E-3
ENSG00000005108	ENSG00000049192	1.3E-2
ENSG00000013297	ENSG00000049239	1.6E-2
ENSG00000002746	ENSG00000052723	7.2E-3
ENSG00000046889	ENSG00000052841	1.2E-2
ENSG00000021645	ENSG00000053747	2.3E-2
ENSG00000002746	ENSG00000054267	9.2E-3
ENSG00000044524	ENSG00000055147	2.2E-2
ENSG00000018236	ENSG00000057468	8.9E-3
ENSG00000002746	ENSG00000058335	7.8E-3
ENSG00000040731	ENSG00000058453	1.1E-2
ENSG00000009694	ENSG00000065534	1E-2
ENSG00000009694	ENSG00000066056	8.4E-3
ENSG00000040731	ENSG00000066117	1.3E-2
ENSG00000013297	ENSG00000066405	1.8E-2
ENSG00000048471	ENSG00000066739	1.3E-2
ENSG00000009694	ENSG00000067113	7.4E-3
ENSG00000067715	ENSG00000067798	2.3E-2
ENSG00000018236	ENSG00000269875	1.5E-2
ENSG00000044524	ENSG00000069696	3E-2
ENSG00000002746	ENSG00000070366	6.5E-3
ENSG00000002746	ENSG00000070759	4.2E-3
ENSG00000013297	ENSG00000070778	1.2E-2
ENSG00000002746	ENSG00000071189	7.2E-3
ENSG00000005108	ENSG00000071282	2.2E-2
ENSG00000007174	ENSG00000072080	1.4E-2
ENSG00000069020	ENSG00000072310	7.2E-3
ENSG00000048471	ENSG00000072315	2.3E-2
ENSG00000060718	ENSG00000072422	1.3E-2
ENSG00000060718	ENSG00000072682	1.5E-2
ENSG00000038945	ENSG00000072694	1.4E-2
ENSG00000047648	ENSG00000073754	2.4E-2
ENSG00000048052	ENSG00000073792	1.8E-2
ENSG00000067715	ENSG00000074410	6.4E-3
ENSG00000072657	ENSG00000075213	1.8E-2
ENSG00000040731	ENSG00000075303	1.2E-2
ENSG00000007174	ENSG00000075388	9.7E-3
ENSG00000007174	ENSG00000075399	1.3E-2
ENSG00000002746	ENSG00000075673	3.2E-3
ENSG00000072657	ENSG00000075884	7.6E-3
ENSG00000021645	ENSG00000075886	1.1E-2
ENSG00000002746	ENSG00000076258	3.1E-3
ENSG00000018236	ENSG00000076258	6.1E-3
ENSG00000013297	ENSG00000272879	4.2E-3
ENSG00000002746	ENSG00000077092	1E-2
ENSG00000075884	ENSG00000077238	9.5E-3
ENSG00000002746	ENSG00000077522	6.5E-3
ENSG00000072657	ENSG00000077585	1.4E-2
ENSG00000041515	ENSG00000078018	2.1E-2
ENSG00000060718	ENSG00000078098	7.8E-3
ENSG00000002746	ENSG00000078328	4.7E-3
ENSG00000042781	ENSG00000078328	1.2E-2
ENSG00000066032	ENSG00000078579	2.1E-2
ENSG00000047617	ENSG00000078589	2E-2
ENSG00000075884	ENSG00000078596	7.8E-3
ENSG00000069667	ENSG00000079263	2.1E-2
ENSG00000040731	ENSG00000079277	8.3E-3
ENSG00000002746	ENSG00000079385	5.9E-3
ENSG00000002746	ENSG00000079482	1.3E-3
ENSG00000018236	ENSG00000079482	2.1E-3
ENSG00000040731	ENSG00000079482	2.1E-3
ENSG00000078295	ENSG00000079482	4.2E-3
ENSG00000078328	ENSG00000079482	2.1E-3
ENSG00000066032	ENSG00000079689	1.8E-2
ENSG00000013297	ENSG00000079841	1.3E-2
ENSG00000075884	ENSG00000079950	1.1E-2
ENSG00000060709	ENSG00000233280	1E-2
ENSG00000002746	ENSG00000080298	6.7E-3
ENSG00000002746	ENSG00000080493	9.6E-3
ENSG00000048471	ENSG00000080910	8.1E-3
ENSG00000078295	ENSG00000080910	1.3E-2
ENSG00000079841	ENSG00000081177	1.4E-2
ENSG00000069667	ENSG00000081189	2.7E-2
ENSG00000048052	ENSG00000262418	4.9E-3
ENSG00000075884	ENSG00000262418	3.1E-3
ENSG00000046889	ENSG00000081800	1.6E-2
ENSG00000041515	ENSG00000273256	2.3E-2
ENSG00000048471	ENSG00000273256	2.6E-2
ENSG00000081803	ENSG00000082196	2E-2
ENSG00000082293	ENSG00000082515	1.3E-2
ENSG00000002746	ENSG00000082805	4.9E-3
ENSG00000075884	ENSG00000083799	1E-2
ENSG00000002746	ENSG00000084734	6.2E-3
ENSG00000060709	ENSG00000085563	1.4E-2
ENSG00000085276	ENSG00000085563	2.1E-2
ENSG00000067715	ENSG00000085788	1.8E-2
ENSG00000072657	ENSG00000086288	1.9E-2
ENSG00000013297	ENSG00000086544	4.5E-3
ENSG00000078328	ENSG00000086544	4.4E-3
ENSG00000072657	ENSG00000086619	2.8E-2
ENSG00000060718	ENSG00000086717	1.4E-2
ENSG00000078295	ENSG00000086827	1.5E-2
ENSG00000005108	ENSG00000086991	1.6E-2
ENSG00000060718	ENSG00000086991	1.2E-2
ENSG00000075213	ENSG00000087076	1.4E-2
ENSG00000075213	ENSG00000087085	1.5E-2
ENSG00000038945	ENSG00000087086	9.9E-3
ENSG00000060709	ENSG00000087237	2.2E-2
ENSG00000060718	ENSG00000087245	3.8E-3
ENSG00000018236	ENSG00000087250	1.3E-2
ENSG00000078328	ENSG00000087250	1.2E-2
ENSG00000046889	ENSG00000087258	1.7E-2
ENSG00000082293	ENSG00000087470	7.6E-3
ENSG00000021645	ENSG00000088543	1.5E-2
ENSG00000002746	ENSG00000088726	4.4E-3
ENSG00000075884	ENSG00000089006	1E-2
ENSG00000002746	ENSG00000089250	1E-2
ENSG00000048052	ENSG00000089327	1.2E-2
ENSG00000002746	ENSG00000089775	5.9E-3
ENSG00000047617	ENSG00000089818	1.1E-2
ENSG00000075884	ENSG00000090382	4.7E-3
ENSG00000075884	ENSG00000090554	1.2E-2
ENSG00000078295	ENSG00000090857	1.1E-2
ENSG00000060718	ENSG00000091136	9.5E-3
ENSG00000041515	ENSG00000091428	2.6E-2
ENSG00000048052	ENSG00000091490	1.5E-2
ENSG00000002746	ENSG00000091536	3.2E-3
ENSG00000040731	ENSG00000091536	5.7E-3
ENSG00000078328	ENSG00000091536	5.4E-3
ENSG00000083067	ENSG00000091536	1.3E-2
ENSG00000046889	ENSG00000091656	8.9E-3
ENSG00000042781	ENSG00000091844	2E-2
ENSG00000060709	ENSG00000091844	1.7E-2
ENSG00000078328	ENSG00000091844	1.1E-2
ENSG00000058091	ENSG00000091972	2E-2
ENSG00000060709	ENSG00000091972	1.5E-2
ENSG00000069667	ENSG00000091972	1.9E-2
ENSG00000075213	ENSG00000092009	1.4E-2
ENSG00000079841	ENSG00000092054	2.7E-2
ENSG00000069020	ENSG00000092096	2.5E-2
ENSG00000018236	ENSG00000092200	6.8E-3
ENSG00000075213	ENSG00000092208	1.7E-2
ENSG00000002746	ENSG00000092931	4.6E-3
ENSG00000058091	ENSG00000092964	1.2E-2
ENSG00000021645	ENSG00000095059	1.1E-2
ENSG00000002746	ENSG00000095370	4.2E-3
ENSG00000013297	ENSG00000095587	1.4E-2
ENSG00000041515	ENSG00000095787	2.3E-2
ENSG00000038945	ENSG00000095970	1.5E-2
ENSG00000078328	ENSG00000096264	1.7E-2
ENSG00000002746	ENSG00000096395	4.7E-3
ENSG00000078328	ENSG00000096395	9.2E-3
ENSG00000069020	ENSG00000099622	7E-3
ENSG00000018236	ENSG00000099721	1.1E-2
ENSG00000069020	ENSG00000099812	1.4E-2
ENSG00000060718	ENSG00000099953	2.3E-2
ENSG00000002746	ENSG00000099957	1.1E-2
ENSG00000082293	ENSG00000100211	1.6E-2
ENSG00000067715	ENSG00000100219	3.8E-3
ENSG00000081803	ENSG00000100219	3.8E-3
ENSG00000091831	ENSG00000100219	5.8E-3
ENSG00000002746	ENSG00000100228	5.7E-3
