# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000006659	1.8E-2
ENSG00000013297	ENSG00000018236	7.9E-3
ENSG00000018236	ENSG00000019991	8.5E-3
ENSG00000018236	ENSG00000021826	1.1E-2
ENSG00000018236	ENSG00000029364	9.5E-3
ENSG00000002746	ENSG00000030304	1.7E-2
ENSG00000002746	ENSG00000030419	1.2E-2
ENSG00000018236	ENSG00000032742	7.3E-3
ENSG00000007174	ENSG00000034239	1.4E-2
ENSG00000007174	ENSG00000039537	1.8E-2
ENSG00000018236	ENSG00000039537	8.8E-3
ENSG00000018236	ENSG00000042813	9.2E-3
ENSG00000038945	ENSG00000043462	7.8E-3
ENSG00000042781	ENSG00000043591	1.9E-2
ENSG00000018236	ENSG00000044524	9.6E-3
ENSG00000007174	ENSG00000047578	6.1E-3
ENSG00000040731	ENSG00000047578	4.6E-3
ENSG00000040731	ENSG00000048545	1.5E-2
ENSG00000048052	ENSG00000048649	1.4E-2
ENSG00000018236	ENSG00000049130	1.1E-2
ENSG00000041515	ENSG00000049247	2.3E-2
ENSG00000042781	ENSG00000052850	2.3E-2
ENSG00000005108	ENSG00000054654	9.5E-3
ENSG00000048471	ENSG00000055955	2.4E-2
ENSG00000021645	ENSG00000056972	2.2E-2
ENSG00000040731	ENSG00000062096	8.7E-3
ENSG00000018236	ENSG00000063046	7.9E-3
ENSG00000007174	ENSG00000064199	1.4E-2
ENSG00000040731	ENSG00000064201	1.2E-2
ENSG00000048052	ENSG00000064490	9.9E-3
ENSG00000040731	ENSG00000064651	1.1E-2
ENSG00000048052	ENSG00000064655	1.1E-2
ENSG00000058091	ENSG00000065970	1.5E-2
ENSG00000047617	ENSG00000066135	1.8E-2
ENSG00000066032	ENSG00000066382	1.3E-2
ENSG00000047617	ENSG00000068615	2E-2
ENSG00000018236	ENSG00000069431	1.1E-2
ENSG00000047648	ENSG00000069535	1.3E-2
ENSG00000013297	ENSG00000070759	1.4E-2
ENSG00000069020	ENSG00000071242	1.5E-2
ENSG00000060718	ENSG00000072110	1.2E-2
ENSG00000047617	ENSG00000072163	1.6E-2
ENSG00000069020	ENSG00000072310	1.3E-2
ENSG00000038945	ENSG00000072694	1.1E-2
ENSG00000002746	ENSG00000073670	6.4E-3
ENSG00000060718	ENSG00000074590	1.3E-2
ENSG00000069667	ENSG00000074603	1.3E-2
ENSG00000072657	ENSG00000075239	1E-2
ENSG00000041515	ENSG00000075399	1.7E-2
ENSG00000066032	ENSG00000075891	1.4E-2
ENSG00000013297	ENSG00000076258	1.2E-2
ENSG00000018236	ENSG00000076258	7.5E-3
ENSG00000005108	ENSG00000076770	2E-2
ENSG00000013297	ENSG00000077009	1.4E-2
ENSG00000060709	ENSG00000077274	1.8E-2
ENSG00000047648	ENSG00000077616	1.5E-2
ENSG00000075213	ENSG00000263001	6.9E-3
ENSG00000060718	ENSG00000078098	1.2E-2
ENSG00000067715	ENSG00000078098	1.3E-2
ENSG00000018236	ENSG00000078142	1E-2
ENSG00000018236	ENSG00000078295	1.2E-2
ENSG00000021645	ENSG00000078579	9.4E-3
ENSG00000066032	ENSG00000078579	7.6E-3
ENSG00000067715	ENSG00000078579	1.1E-2
ENSG00000021645	ENSG00000078814	1.3E-2
ENSG00000048052	ENSG00000079215	1.5E-2
ENSG00000078328	ENSG00000079841	9.6E-3
ENSG00000066032	ENSG00000079931	1.2E-2
ENSG00000002746	ENSG00000080166	1.5E-2
ENSG00000060718	ENSG00000080573	1.5E-2
ENSG00000040731	ENSG00000080854	1.5E-2
ENSG00000079841	ENSG00000081014	9.9E-3
ENSG00000046889	ENSG00000081052	7.8E-3
ENSG00000038945	ENSG00000262418	8.9E-3
ENSG00000075884	ENSG00000262418	4.5E-3
ENSG00000078295	ENSG00000081386	1.1E-2
ENSG00000060709	ENSG00000081803	1.2E-2
ENSG00000002746	ENSG00000081923	3.9E-3
ENSG00000075884	ENSG00000082074	1.2E-2
ENSG00000021645	ENSG00000082175	9.7E-3
ENSG00000060718	ENSG00000082196	1.4E-2
ENSG00000075884	ENSG00000082397	8.7E-3
ENSG00000069667	ENSG00000082512	1.8E-2
ENSG00000060718	ENSG00000082781	1.4E-2
ENSG00000048471	ENSG00000082929	2.4E-2
ENSG00000047617	ENSG00000083067	1.8E-2
ENSG00000060718	ENSG00000083782	1.9E-2
ENSG00000079841	ENSG00000273439	4.4E-3
ENSG00000058091	ENSG00000083845	1.1E-2
