# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000006128	8.5E-3
ENSG00000018236	ENSG00000019991	2.5E-2
ENSG00000018236	ENSG00000023445	1.4E-2
ENSG00000040731	ENSG00000049089	2E-2
ENSG00000013297	ENSG00000053702	1.2E-2
ENSG00000009694	ENSG00000060718	1.6E-2
ENSG00000007174	ENSG00000062038	3.3E-3
ENSG00000033122	ENSG00000062038	3.4E-3
ENSG00000039139	ENSG00000062038	3.7E-3
ENSG00000044524	ENSG00000062038	3.1E-3
ENSG00000046889	ENSG00000062038	3.8E-3
ENSG00000060718	ENSG00000064655	1E-2
ENSG00000055609	ENSG00000064835	1.8E-2
ENSG00000018236	ENSG00000069702	1.1E-2
ENSG00000021645	ENSG00000070748	8.6E-3
ENSG00000009694	ENSG00000071205	2.1E-2
ENSG00000060718	ENSG00000071205	1.6E-2
ENSG00000021645	ENSG00000071677	6.8E-3
ENSG00000066032	ENSG00000071794	8.2E-3
ENSG00000047617	ENSG00000073067	7.4E-3
ENSG00000066032	ENSG00000073737	1.8E-2
ENSG00000009694	ENSG00000073756	1.6E-2
ENSG00000040731	ENSG00000073756	1.2E-2
ENSG00000060718	ENSG00000073756	1.2E-2
ENSG00000066032	ENSG00000074319	5.5E-3
ENSG00000002746	ENSG00000074356	2.8E-2
ENSG00000055609	ENSG00000075407	1.5E-2
ENSG00000066032	ENSG00000075643	1.5E-2
ENSG00000075884	ENSG00000077097	8.4E-3
ENSG00000060718	ENSG00000078114	1.5E-2
ENSG00000060718	ENSG00000262970	1.2E-2
ENSG00000048471	ENSG00000078579	4.6E-3
ENSG00000009694	ENSG00000078814	1.7E-2
ENSG00000060718	ENSG00000078814	1.2E-2
ENSG00000044524	ENSG00000079101	6.4E-3
ENSG00000078295	ENSG00000079101	7.9E-3
ENSG00000018236	ENSG00000079112	1.5E-2
ENSG00000067798	ENSG00000079112	2.7E-2
ENSG00000072657	ENSG00000079150	1.5E-2
ENSG00000067715	ENSG00000233280	1.9E-2
ENSG00000018236	ENSG00000080561	1.8E-2
ENSG00000033122	ENSG00000082929	7E-3
ENSG00000046889	ENSG00000082929	7.8E-3
ENSG00000081803	ENSG00000083845	6.9E-3
ENSG00000009694	ENSG00000084676	2E-2
ENSG00000060718	ENSG00000084676	1.5E-2
ENSG00000040731	ENSG00000084731	3E-2
ENSG00000013297	ENSG00000084734	7E-3
ENSG00000082293	ENSG00000084734	5E-3
ENSG00000067715	ENSG00000085365	2.7E-2
ENSG00000081803	ENSG00000085832	1.3E-2
ENSG00000066032	ENSG00000086300	1.5E-2
ENSG00000009694	ENSG00000086696	1.3E-2
ENSG00000060718	ENSG00000086696	1.1E-2
ENSG00000075884	ENSG00000267229	1.9E-2
ENSG00000080224	ENSG00000268104	1.2E-2
ENSG00000058091	ENSG00000088320	7E-3
ENSG00000007174	ENSG00000088782	6.7E-3
ENSG00000078328	ENSG00000088782	7.9E-3
ENSG00000009694	ENSG00000088881	1.1E-2
ENSG00000009694	ENSG00000088882	1.3E-2
ENSG00000060718	ENSG00000088882	1E-2
ENSG00000069020	ENSG00000088882	1.2E-2
ENSG00000033122	ENSG00000090402	1.7E-2
ENSG00000005108	ENSG00000091137	1.3E-2
ENSG00000042781	ENSG00000091137	6.1E-3
ENSG00000007174	ENSG00000091536	3.2E-3
ENSG00000033122	ENSG00000091536	3.2E-3
ENSG00000046889	ENSG00000091536	3.5E-3
ENSG00000047617	ENSG00000091536	2.5E-3
ENSG00000058091	ENSG00000091536	2.7E-3
ENSG00000060709	ENSG00000091536	3.5E-3
ENSG00000078295	ENSG00000091536	3.8E-3
ENSG00000078328	ENSG00000091536	3.6E-3
ENSG00000033122	ENSG00000091664	8.4E-3
ENSG00000058091	ENSG00000091664	7.2E-3
ENSG00000078295	ENSG00000091664	9.6E-3
ENSG00000018236	ENSG00000092964	8.4E-3
ENSG00000066032	ENSG00000095209	1.8E-2
ENSG00000042781	ENSG00000095383	1.4E-2
ENSG00000013297	ENSG00000095464	7.5E-3
ENSG00000060718	ENSG00000095587	1.5E-2
ENSG00000069020	ENSG00000095596	2.1E-2
ENSG00000086289	ENSG00000096384	5.4E-3
ENSG00000041515	ENSG00000099715	2E-2
ENSG00000066032	ENSG00000099785	1.4E-2
ENSG00000021645	ENSG00000100053	7.2E-3
ENSG00000078328	ENSG00000100078	9.8E-3
ENSG00000007174	ENSG00000100249	6.9E-3
ENSG00000038945	ENSG00000100249	5.1E-3
ENSG00000081803	ENSG00000100307	1.1E-2
ENSG00000018236	ENSG00000100373	9.7E-3
ENSG00000055609	ENSG00000100425	1.7E-2
ENSG00000018236	ENSG00000100450	8.7E-3
ENSG00000081803	ENSG00000100532	1.3E-2
ENSG00000040731	ENSG00000100554	1.8E-2
ENSG00000060718	ENSG00000100592	1.6E-2
ENSG00000009694	ENSG00000100593	7.6E-3
ENSG00000021645	ENSG00000100665	6.5E-3
ENSG00000081803	ENSG00000100883	1.2E-2
ENSG00000040731	ENSG00000100994	2.5E-2
ENSG00000040731	ENSG00000101017	3E-2
ENSG00000047617	ENSG00000101197	6.3E-3
ENSG00000072657	ENSG00000101323	6E-3
ENSG00000099139	ENSG00000101384	2.2E-2
ENSG00000018236	ENSG00000101463	1.1E-2
ENSG00000040731	ENSG00000101463	8.2E-3
ENSG00000099139	ENSG00000101493	7.3E-3
ENSG00000040731	ENSG00000101670	2.4E-2
ENSG00000095777	ENSG00000101825	9.3E-3
ENSG00000048471	ENSG00000268349	5.1E-3
ENSG00000005108	ENSG00000101981	3.5E-3
ENSG00000039139	ENSG00000101981	5E-3
ENSG00000041515	ENSG00000101981	2.7E-3
ENSG00000058091	ENSG00000101981	4.4E-3
ENSG00000078295	ENSG00000101981	5.5E-3
ENSG00000079841	ENSG00000101981	4.7E-3
ENSG00000085276	ENSG00000101981	4.8E-3
ENSG00000033122	ENSG00000268353	2.7E-2
ENSG00000040731	ENSG00000102038	1.6E-2
ENSG00000072657	ENSG00000102189	2E-2
ENSG00000075884	ENSG00000102226	1.4E-2
ENSG00000067715	ENSG00000102271	1.2E-2
ENSG00000007174	ENSG00000102290	1.1E-2
ENSG00000091656	ENSG00000102290	9.9E-3
ENSG00000013297	ENSG00000102302	1.3E-2
ENSG00000102290	ENSG00000102359	1.1E-2
ENSG00000040731	ENSG00000102882	1.3E-2
ENSG00000055609	ENSG00000102908	2.4E-2
