# Gene_A	Gene_B	Weight
ENSG00000048471	ENSG00000065243	8E-3
ENSG00000055609	ENSG00000065243	9.1E-3
ENSG00000069020	ENSG00000070047	2.5E-2
ENSG00000048471	ENSG00000070756	5.9E-3
ENSG00000055609	ENSG00000070961	2.1E-2
ENSG00000069667	ENSG00000074696	1.7E-2
ENSG00000048471	ENSG00000074966	1.6E-2
ENSG00000069667	ENSG00000074966	2.1E-2
ENSG00000069667	ENSG00000076242	7.6E-3
ENSG00000075884	ENSG00000076641	4E-3
ENSG00000048471	ENSG00000078177	1.9E-2
ENSG00000055609	ENSG00000078177	1.9E-2
ENSG00000060709	ENSG00000081148	2.1E-2
ENSG00000075884	ENSG00000262418	3.2E-3
ENSG00000075884	ENSG00000082996	8.4E-3
ENSG00000075884	ENSG00000086300	3.7E-3
ENSG00000069667	ENSG00000088179	1.3E-2
ENSG00000013297	ENSG00000090971	9E-3
ENSG00000069667	ENSG00000091009	1.9E-2
ENSG00000075884	ENSG00000091039	1.5E-2
ENSG00000075884	ENSG00000091317	3.9E-3
ENSG00000075884	ENSG00000092531	9.9E-3
ENSG00000075884	ENSG00000095015	6.8E-3
ENSG00000075884	ENSG00000097033	1.1E-2
ENSG00000099139	ENSG00000099204	5.5E-3
ENSG00000055609	ENSG00000100036	9.7E-3
ENSG00000013297	ENSG00000100053	9.2E-3
ENSG00000069020	ENSG00000262024	1.8E-2
ENSG00000069020	ENSG00000100416	1.8E-2
ENSG00000075884	ENSG00000100483	1.1E-2
ENSG00000075884	ENSG00000101109	1.2E-2
ENSG00000069020	ENSG00000101199	1.5E-2
ENSG00000060709	ENSG00000101216	2.4E-2
ENSG00000075884	ENSG00000101265	3.1E-3
ENSG00000069020	ENSG00000101350	2.3E-2
ENSG00000013297	ENSG00000101400	1.3E-2
ENSG00000060709	ENSG00000101405	1E-2
ENSG00000075884	ENSG00000101596	1.4E-2
ENSG00000055609	ENSG00000101745	1.3E-2
ENSG00000075884	ENSG00000101745	8.5E-3
ENSG00000081853	ENSG00000102302	1.3E-2
ENSG00000081853	ENSG00000268138	1E-2
ENSG00000075884	ENSG00000103569	3.5E-3
ENSG00000099139	ENSG00000104427	1.4E-2
ENSG00000060709	ENSG00000105245	9.2E-3
ENSG00000013297	ENSG00000105251	8.9E-3
ENSG00000060709	ENSG00000105251	6.9E-3
ENSG00000060709	ENSG00000105507	1E-2
ENSG00000081853	ENSG00000105516	1.3E-2
ENSG00000099139	ENSG00000105810	9.2E-3
ENSG00000013297	ENSG00000105974	6.2E-3
ENSG00000081853	ENSG00000105974	5.4E-3
ENSG00000060709	ENSG00000106128	7.1E-3
ENSG00000099139	ENSG00000106479	1.3E-2
ENSG00000075884	ENSG00000106714	1.1E-2
ENSG00000075884	ENSG00000107099	1.7E-2
ENSG00000069667	ENSG00000107679	1.8E-2
ENSG00000055609	ENSG00000108256	1E-2
ENSG00000099139	ENSG00000108669	4.5E-3
ENSG00000099139	ENSG00000109920	6.1E-3
ENSG00000081853	ENSG00000110492	1.9E-2
ENSG00000099139	ENSG00000111145	6.8E-3
ENSG00000109452	ENSG00000111716	6.7E-3
ENSG00000075884	ENSG00000111802	4E-3
ENSG00000060709	ENSG00000112116	2.2E-2
