# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000005801	4.7E-3
ENSG00000009694	ENSG00000262077	1.2E-2
ENSG00000040731	ENSG00000042832	6.9E-3
ENSG00000040731	ENSG00000043039	3.8E-3
ENSG00000005108	ENSG00000046653	2.2E-2
ENSG00000041515	ENSG00000047578	7.3E-3
ENSG00000005108	ENSG00000047634	7E-3
ENSG00000005108	ENSG00000049167	2.1E-2
ENSG00000040731	ENSG00000056487	1.1E-2
ENSG00000040731	ENSG00000057468	5.1E-3
ENSG00000055609	ENSG00000061936	1.8E-2
ENSG00000040731	ENSG00000063180	3.4E-3
ENSG00000040731	ENSG00000063438	7.8E-3
ENSG00000044524	ENSG00000064989	1.1E-2
ENSG00000042781	ENSG00000065600	9.4E-3
ENSG00000055609	ENSG00000066422	1.6E-2
ENSG00000066032	ENSG00000067646	1.7E-2
ENSG00000040731	ENSG00000067836	5.9E-3
ENSG00000042781	ENSG00000069018	1.2E-2
ENSG00000040731	ENSG00000069482	1.1E-2
ENSG00000066032	ENSG00000072133	1.6E-2
ENSG00000069020	ENSG00000072163	5.7E-3
ENSG00000007174	ENSG00000073067	1.1E-2
ENSG00000069020	ENSG00000073067	5.7E-3
ENSG00000055609	ENSG00000074054	1.1E-2
ENSG00000040731	ENSG00000074211	1.1E-2
ENSG00000058091	ENSG00000074771	1.5E-2
ENSG00000067715	ENSG00000074966	2.4E-2
ENSG00000055609	ENSG00000075151	2.1E-2
ENSG00000067715	ENSG00000076242	1E-2
ENSG00000055609	ENSG00000263001	2.1E-3
ENSG00000048052	ENSG00000078579	7.2E-3
ENSG00000058091	ENSG00000078579	6.9E-3
ENSG00000040731	ENSG00000078898	4.9E-3
ENSG00000048052	ENSG00000078898	1.1E-2
ENSG00000075884	ENSG00000079263	1.1E-2
ENSG00000033122	ENSG00000079393	2.8E-3
ENSG00000060709	ENSG00000079393	3.2E-3
ENSG00000078295	ENSG00000079393	3.1E-3
ENSG00000002746	ENSG00000079432	7E-3
ENSG00000078328	ENSG00000079432	6.5E-3
ENSG00000058091	ENSG00000079482	6E-3
ENSG00000009694	ENSG00000079557	7E-3
ENSG00000066032	ENSG00000080298	1.8E-2
ENSG00000075884	ENSG00000081189	1.6E-2
ENSG00000040731	ENSG00000082014	1.1E-2
ENSG00000081803	ENSG00000082146	6E-3
ENSG00000042781	ENSG00000082482	5.6E-3
ENSG00000071909	ENSG00000082482	1.3E-2
ENSG00000075884	ENSG00000083168	1.1E-2
ENSG00000013297	ENSG00000083307	1.1E-2
ENSG00000075884	ENSG00000083454	5.8E-3
ENSG00000042781	ENSG00000083520	1E-2
ENSG00000042781	ENSG00000083720	1.3E-2
ENSG00000081803	ENSG00000084073	7.9E-3
ENSG00000060718	ENSG00000084636	8.6E-3
ENSG00000007174	ENSG00000086544	3.5E-3
ENSG00000033122	ENSG00000086544	3.2E-3
ENSG00000042781	ENSG00000086717	4E-3
ENSG00000078328	ENSG00000086827	8.9E-3
ENSG00000058091	ENSG00000087128	1.2E-2
ENSG00000075884	ENSG00000087206	5.6E-3
ENSG00000018236	ENSG00000268104	1.2E-2
ENSG00000080224	ENSG00000088002	1.6E-2
ENSG00000069020	ENSG00000088808	2.3E-2
ENSG00000069667	ENSG00000088926	1.3E-2
ENSG00000055609	ENSG00000089280	2E-2
ENSG00000055609	ENSG00000089916	2E-2
ENSG00000007174	ENSG00000090097	5.2E-3
ENSG00000048471	ENSG00000090097	5.1E-3
ENSG00000078328	ENSG00000090097	6E-3
ENSG00000083067	ENSG00000090097	5.9E-3
ENSG00000038945	ENSG00000090263	5.3E-3
ENSG00000044524	ENSG00000091136	1.3E-2
ENSG00000040731	ENSG00000091536	2E-3
ENSG00000021645	ENSG00000091844	1.4E-2
ENSG00000033122	ENSG00000091844	1.6E-2
ENSG00000079841	ENSG00000092051	8.6E-3
ENSG00000040731	ENSG00000092068	8.9E-3
ENSG00000047617	ENSG00000094661	3.3E-3
ENSG00000048471	ENSG00000094661	3.7E-3
ENSG00000078295	ENSG00000094661	3.6E-3
ENSG00000078328	ENSG00000094661	4.4E-3
ENSG00000083067	ENSG00000094661	4.4E-3
ENSG00000042781	ENSG00000095485	1.4E-2
ENSG00000081803	ENSG00000095739	2E-2
ENSG00000071909	ENSG00000097096	2.6E-2
ENSG00000069020	ENSG00000099308	2.1E-2
ENSG00000040731	ENSG00000099331	1E-2
ENSG00000072657	ENSG00000099365	9E-3
ENSG00000021645	ENSG00000099399	7E-3
ENSG00000040731	ENSG00000099721	3.9E-3
ENSG00000042781	ENSG00000099812	3.3E-3
ENSG00000085276	ENSG00000099812	7.1E-3
ENSG00000095777	ENSG00000099812	8.8E-3
ENSG00000078295	ENSG00000099866	1.9E-2
ENSG00000009694	ENSG00000099937	4.5E-3
ENSG00000091831	ENSG00000099937	5.2E-3
ENSG00000013297	ENSG00000099998	2.3E-2
ENSG00000040731	ENSG00000100033	7.9E-3
ENSG00000047648	ENSG00000100078	8.1E-3
ENSG00000099139	ENSG00000100079	6.1E-3
ENSG00000067798	ENSG00000100167	1E-2
ENSG00000067715	ENSG00000100191	2.5E-2
ENSG00000091831	ENSG00000100344	1.3E-2
ENSG00000048052	ENSG00000100445	4.2E-3
