# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000009694	1.2E-2
ENSG00000002746	ENSG00000018280	2.5E-2
ENSG00000009694	ENSG00000021645	1.2E-2
ENSG00000002746	ENSG00000030419	1.3E-2
ENSG00000018236	ENSG00000034971	6.4E-3
ENSG00000018236	ENSG00000039537	1.2E-2
ENSG00000007174	ENSG00000044012	8.8E-3
ENSG00000005108	ENSG00000048052	1.6E-2
ENSG00000009694	ENSG00000048052	2.1E-2
ENSG00000040731	ENSG00000048052	2.2E-2
ENSG00000005108	ENSG00000050165	1.7E-2
ENSG00000002746	ENSG00000050628	2.5E-2
ENSG00000002746	ENSG00000053108	5.5E-3
ENSG00000018236	ENSG00000053108	5.2E-3
ENSG00000046889	ENSG00000055955	1.3E-2
ENSG00000013297	ENSG00000059728	1.9E-2
ENSG00000009694	ENSG00000062038	1.3E-2
ENSG00000005108	ENSG00000064042	9.2E-3
ENSG00000060709	ENSG00000064102	1E-2
ENSG00000018236	ENSG00000064201	7.6E-3
ENSG00000038945	ENSG00000064309	1.7E-2
ENSG00000005108	ENSG00000064655	7.3E-3
ENSG00000044524	ENSG00000064655	9.3E-3
ENSG00000058091	ENSG00000064655	8.5E-3
ENSG00000058091	ENSG00000064763	1.9E-2
ENSG00000041515	ENSG00000064989	8.6E-3
ENSG00000041515	ENSG00000065361	1.1E-2
ENSG00000060718	ENSG00000065485	1.2E-2
ENSG00000018236	ENSG00000065600	1.3E-2
ENSG00000005108	ENSG00000065717	1.4E-2
ENSG00000046889	ENSG00000066135	9.7E-3
ENSG00000041515	ENSG00000067191	1.4E-2
ENSG00000021645	ENSG00000067798	1.1E-2
ENSG00000044524	ENSG00000067798	1.4E-2
ENSG00000018236	ENSG00000069206	1.5E-2
ENSG00000021645	ENSG00000069667	2E-2
ENSG00000069667	ENSG00000069702	1.2E-2
ENSG00000060709	ENSG00000069712	2.6E-2
ENSG00000060709	ENSG00000070018	2E-2
ENSG00000047617	ENSG00000070182	2.4E-2
ENSG00000060709	ENSG00000070269	1.1E-2
ENSG00000060718	ENSG00000070731	1.1E-2
ENSG00000018236	ENSG00000070748	9.4E-3
ENSG00000002746	ENSG00000071189	2.2E-2
ENSG00000069020	ENSG00000071242	2.5E-2
ENSG00000058091	ENSG00000071282	1E-2
ENSG00000048471	ENSG00000072041	1.1E-2
ENSG00000069020	ENSG00000072071	2.2E-2
ENSG00000007174	ENSG00000072182	1E-2
ENSG00000041515	ENSG00000072657	8.3E-3
ENSG00000041515	ENSG00000072694	8.8E-3
ENSG00000069020	ENSG00000073331	7.5E-3
ENSG00000048471	ENSG00000073754	8.4E-3
ENSG00000069667	ENSG00000074416	1.1E-2
ENSG00000072657	ENSG00000074803	2.1E-2
ENSG00000047617	ENSG00000075073	7.6E-3
ENSG00000021645	ENSG00000075213	2.4E-2
ENSG00000007174	ENSG00000075290	1.5E-2
ENSG00000060709	ENSG00000075292	7.8E-3
ENSG00000007174	ENSG00000075429	9.2E-3
ENSG00000013297	ENSG00000075429	6.4E-3
ENSG00000047617	ENSG00000076356	2.6E-2
ENSG00000060709	ENSG00000076555	2.2E-2
ENSG00000005108	ENSG00000076716	7.9E-3
ENSG00000009694	ENSG00000076716	5.6E-3
ENSG00000067798	ENSG00000076716	5.6E-3
ENSG00000067715	ENSG00000077097	1.5E-2
ENSG00000048471	ENSG00000077264	8.1E-3
ENSG00000041515	ENSG00000077327	1E-2
ENSG00000002746	ENSG00000077498	2.4E-2
ENSG00000021645	ENSG00000077684	1.6E-2
ENSG00000069667	ENSG00000077684	1.8E-2
ENSG00000066032	ENSG00000077943	9.6E-3
ENSG00000005108	ENSG00000078114	1.7E-2
ENSG00000041515	ENSG00000078487	7.2E-3
ENSG00000041515	ENSG00000078967	1.4E-2
ENSG00000005108	ENSG00000079101	1.9E-2
ENSG00000067798	ENSG00000079101	1.3E-2
ENSG00000075213	ENSG00000079101	2.7E-2
ENSG00000078328	ENSG00000079215	2.1E-2
ENSG00000072657	ENSG00000079691	2.9E-2
ENSG00000044524	ENSG00000079931	1.3E-2
ENSG00000018236	ENSG00000080189	1.8E-2
ENSG00000069020	ENSG00000233280	2E-2
ENSG00000067798	ENSG00000080503	1.4E-2
ENSG00000078295	ENSG00000080511	1.4E-2
ENSG00000058091	ENSG00000080709	1.8E-2
ENSG00000041515	ENSG00000080910	7.9E-3
ENSG00000075213	ENSG00000080910	1.4E-2
ENSG00000009694	ENSG00000081177	1.1E-2
ENSG00000075884	ENSG00000262418	1.6E-2
ENSG00000078328	ENSG00000081248	1.3E-2
ENSG00000021645	ENSG00000081985	1.5E-2
ENSG00000067715	ENSG00000082482	2.4E-2
ENSG00000069020	ENSG00000082781	2.3E-2
ENSG00000069667	ENSG00000082929	1.4E-2
ENSG00000002746	ENSG00000083067	2E-2
ENSG00000082293	ENSG00000083454	1.4E-2
ENSG00000040731	ENSG00000083782	2.2E-2
ENSG00000078295	ENSG00000084110	8.8E-3
ENSG00000048471	ENSG00000085185	9.2E-3
ENSG00000047648	ENSG00000085465	7E-3
ENSG00000009694	ENSG00000085563	1.9E-2
ENSG00000048052	ENSG00000085563	2E-2
ENSG00000083067	ENSG00000085563	2E-2
ENSG00000040731	ENSG00000086189	2E-2
ENSG00000060718	ENSG00000086570	9.1E-3
ENSG00000041515	ENSG00000087008	1.3E-2
ENSG00000005108	ENSG00000087077	1.7E-2
ENSG00000066032	ENSG00000087095	1.5E-2
ENSG00000058091	ENSG00000087245	1.1E-2
ENSG00000067798	ENSG00000087245	8.8E-3
ENSG00000009694	ENSG00000087510	1.4E-2
ENSG00000066032	ENSG00000088992	1.7E-2
ENSG00000060709	ENSG00000089009	1.4E-2
ENSG00000079841	ENSG00000089060	6.7E-3
