# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000006128	8.6E-3
ENSG00000007174	ENSG00000008441	1.2E-2
ENSG00000013297	ENSG00000019505	5.3E-3
ENSG00000005108	ENSG00000019991	2.1E-2
ENSG00000018236	ENSG00000039537	1.4E-2
ENSG00000040731	ENSG00000041515	1.2E-2
ENSG00000021645	ENSG00000042304	8.7E-3
ENSG00000005108	ENSG00000042781	1.5E-2
ENSG00000013297	ENSG00000042813	7.3E-3
ENSG00000040731	ENSG00000042813	7.9E-3
ENSG00000041515	ENSG00000042813	5.1E-3
ENSG00000021645	ENSG00000043591	1.4E-2
ENSG00000009694	ENSG00000044524	2.4E-2
ENSG00000002746	ENSG00000046774	2.1E-2
ENSG00000046889	ENSG00000047617	2.1E-2
ENSG00000048052	ENSG00000054277	1.6E-2
ENSG00000007174	ENSG00000054356	1E-2
ENSG00000042781	ENSG00000054796	1.5E-2
ENSG00000041515	ENSG00000057468	1.2E-2
ENSG00000048052	ENSG00000058091	1.8E-2
ENSG00000005108	ENSG00000060140	2.3E-2
ENSG00000046889	ENSG00000060709	1.5E-2
ENSG00000048471	ENSG00000063127	1.1E-2
ENSG00000047648	ENSG00000064225	2E-2
ENSG00000060709	ENSG00000065361	1.6E-2
ENSG00000060709	ENSG00000065600	1.1E-2
ENSG00000009694	ENSG00000066032	1.9E-2
ENSG00000038945	ENSG00000066382	2.3E-2
ENSG00000048471	ENSG00000066933	1.3E-2
ENSG00000005108	ENSG00000067715	2E-2
ENSG00000058091	ENSG00000068383	1.7E-2
ENSG00000013297	ENSG00000068976	1.7E-2
ENSG00000007174	ENSG00000069188	4.3E-3
ENSG00000046889	ENSG00000069206	2.4E-2
ENSG00000048052	ENSG00000069248	8.9E-3
ENSG00000040731	ENSG00000069482	2.1E-2
ENSG00000058091	ENSG00000069493	1.4E-2
ENSG00000044524	ENSG00000069712	1.8E-2
ENSG00000046889	ENSG00000069712	1.9E-2
ENSG00000060709	ENSG00000069712	1.4E-2
ENSG00000060709	ENSG00000070019	1.5E-2
ENSG00000046889	ENSG00000070808	2E-2
ENSG00000047617	ENSG00000070808	3.5E-2
ENSG00000005108	ENSG00000071991	1E-2
ENSG00000038945	ENSG00000072422	1.7E-2
ENSG00000042781	ENSG00000072657	6.2E-3
ENSG00000047648	ENSG00000072657	1E-2
ENSG00000067798	ENSG00000072657	9.4E-3
ENSG00000007174	ENSG00000073067	4.6E-3
ENSG00000069020	ENSG00000073331	7.8E-3
ENSG00000021645	ENSG00000073598	1.1E-2
ENSG00000047648	ENSG00000073756	1.9E-2
ENSG00000047648	ENSG00000074803	1.1E-2
ENSG00000072657	ENSG00000074803	5.1E-3
ENSG00000047648	ENSG00000075391	2E-2
ENSG00000072657	ENSG00000075391	8E-3
ENSG00000075213	ENSG00000075618	1.4E-2
ENSG00000048052	ENSG00000075884	1.9E-2
ENSG00000009694	ENSG00000076716	1.9E-2
ENSG00000048052	ENSG00000076770	2.3E-2
ENSG00000021645	ENSG00000077009	5.5E-3
ENSG00000048052	ENSG00000077044	1.6E-2
ENSG00000048052	ENSG00000077097	6E-3
ENSG00000075884	ENSG00000077097	6E-3
ENSG00000060718	ENSG00000077942	1.8E-2
ENSG00000002746	ENSG00000078053	6.6E-3
ENSG00000060718	ENSG00000078098	8.6E-3
ENSG00000072657	ENSG00000078114	7.6E-3
ENSG00000075884	ENSG00000078304	1.7E-2
ENSG00000021645	ENSG00000078579	1.4E-2
ENSG00000005108	ENSG00000078814	2.1E-2
ENSG00000042781	ENSG00000079335	1.9E-2
ENSG00000069020	ENSG00000079393	1.6E-2
ENSG00000075884	ENSG00000079950	2E-2
ENSG00000069667	ENSG00000080709	2.5E-2
ENSG00000072657	ENSG00000080709	7.2E-3
ENSG00000044524	ENSG00000080910	9.4E-3
ENSG00000048471	ENSG00000081138	1.5E-2
ENSG00000007174	ENSG00000081248	8.4E-3
ENSG00000058091	ENSG00000081320	1.6E-2
ENSG00000072657	ENSG00000081377	7.9E-3
ENSG00000013297	ENSG00000081386	1.2E-2
ENSG00000005108	ENSG00000081479	2.1E-2
ENSG00000040731	ENSG00000081479	2.1E-2
ENSG00000042781	ENSG00000081479	1.7E-2
ENSG00000072657	ENSG00000081479	8.3E-3
ENSG00000069020	ENSG00000081923	7E-3
ENSG00000060718	ENSG00000082781	2.2E-2
ENSG00000046889	ENSG00000082805	2.5E-2
ENSG00000060709	ENSG00000082929	9.9E-3
ENSG00000060718	ENSG00000083782	2.6E-2
ENSG00000072657	ENSG00000083782	7.6E-3
ENSG00000047617	ENSG00000084628	2.5E-2
ENSG00000060718	ENSG00000084636	7.8E-3
ENSG00000078328	ENSG00000084734	2.7E-2
ENSG00000038945	ENSG00000085514	1.3E-2
ENSG00000013297	ENSG00000086506	1.3E-2
ENSG00000038945	ENSG00000086991	2E-2
ENSG00000060718	ENSG00000086991	1.6E-2
ENSG00000060718	ENSG00000087245	8.3E-3
ENSG00000041515	ENSG00000087510	1.1E-2
ENSG00000067798	ENSG00000268104	1.6E-2
ENSG00000072657	ENSG00000268104	7.2E-3
ENSG00000046889	ENSG00000270886	1.7E-2
ENSG00000021645	ENSG00000260587	2.1E-2
ENSG00000048471	ENSG00000088876	1.6E-2
ENSG00000072657	ENSG00000089472	9.1E-3
ENSG00000081803	ENSG00000089472	1.4E-2
ENSG00000069020	ENSG00000089682	2.2E-2
ENSG00000072657	ENSG00000090402	5.3E-3
ENSG00000069020	ENSG00000090920	1.6E-2
ENSG00000060718	ENSG00000091136	6.4E-3
ENSG00000072657	ENSG00000091138	8.7E-3
ENSG00000047648	ENSG00000091428	1.9E-2
ENSG00000058091	ENSG00000091490	1.4E-2
ENSG00000078295	ENSG00000091536	1.4E-2
ENSG00000013297	ENSG00000091622	1.3E-2
ENSG00000081803	ENSG00000091656	1.6E-2
ENSG00000072657	ENSG00000091664	8.1E-3
ENSG00000048471	ENSG00000091844	1.3E-2
ENSG00000007174	ENSG00000092009	1.4E-2
ENSG00000091831	ENSG00000092009	1.5E-2
ENSG00000013297	ENSG00000092200	1.7E-2
ENSG00000041515	ENSG00000092200	1.1E-2
ENSG00000060709	ENSG00000094755	1.1E-2
ENSG00000041515	ENSG00000095203	1.4E-2
ENSG00000009694	ENSG00000095397	1.8E-2
ENSG00000044524	ENSG00000095464	9.4E-3
ENSG00000072657	ENSG00000095464	4.7E-3
ENSG00000079841	ENSG00000095539	1.9E-2
ENSG00000042781	ENSG00000095587	1.7E-2
ENSG00000002746	ENSG00000095627	6.7E-3
ENSG00000060709	ENSG00000095627	5.5E-3
ENSG00000078295	ENSG00000095627	9.2E-3
ENSG00000083067	ENSG00000095627	8.4E-3
ENSG00000060709	ENSG00000095777	1.6E-2
ENSG00000082293	ENSG00000235650	8E-3
