# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000020181	1.4E-2
ENSG00000018236	ENSG00000025423	9.7E-3
ENSG00000007174	ENSG00000027644	2.1E-2
ENSG00000040731	ENSG00000048540	1.4E-2
ENSG00000040731	ENSG00000054967	9.2E-3
ENSG00000040731	ENSG00000055813	1.5E-2
ENSG00000002746	ENSG00000056291	6E-3
ENSG00000040731	ENSG00000056291	2.8E-3
ENSG00000040731	ENSG00000060709	1.9E-2
ENSG00000060718	ENSG00000060982	8E-3
ENSG00000007174	ENSG00000062096	1.3E-2
ENSG00000013297	ENSG00000064205	1.4E-2
ENSG00000013297	ENSG00000064300	1.3E-2
ENSG00000048052	ENSG00000064300	1.3E-2
ENSG00000044524	ENSG00000064989	1.1E-2
ENSG00000021645	ENSG00000066032	2.4E-2
ENSG00000048052	ENSG00000066336	1.1E-2
ENSG00000055609	ENSG00000066777	1.1E-2
ENSG00000040731	ENSG00000066923	1.2E-2
ENSG00000007174	ENSG00000267915	1.7E-2
ENSG00000021645	ENSG00000069020	2.4E-2
ENSG00000005108	ENSG00000069122	1.2E-2
ENSG00000055609	ENSG00000070269	2E-2
ENSG00000018236	ENSG00000071242	3E-2
ENSG00000060718	ENSG00000071282	1.1E-2
ENSG00000060718	ENSG00000072110	1E-2
ENSG00000021645	ENSG00000072163	1.9E-2
ENSG00000069020	ENSG00000072163	1.8E-2
ENSG00000038945	ENSG00000072694	1.1E-2
ENSG00000058091	ENSG00000072694	1E-2
ENSG00000048471	ENSG00000072786	2.7E-2
ENSG00000072657	ENSG00000074276	1.2E-2
ENSG00000009694	ENSG00000074317	6.4E-3
ENSG00000071909	ENSG00000074317	8E-3
ENSG00000018236	ENSG00000074590	6.3E-3
ENSG00000060718	ENSG00000074590	3.6E-3
ENSG00000040731	ENSG00000074771	1.3E-2
ENSG00000060718	ENSG00000075618	5.3E-3
ENSG00000005108	ENSG00000075673	1.3E-2
ENSG00000044524	ENSG00000075884	9.2E-3
ENSG00000069667	ENSG00000075884	7.1E-3
ENSG00000071909	ENSG00000077009	7.8E-3
ENSG00000040731	ENSG00000077264	4.3E-3
ENSG00000046889	ENSG00000077264	6.2E-3
ENSG00000075884	ENSG00000077420	8.4E-3
ENSG00000042781	ENSG00000077616	2.3E-2
ENSG00000055609	ENSG00000263001	6.4E-3
ENSG00000060718	ENSG00000078098	4.1E-3
ENSG00000040731	ENSG00000078328	1.6E-2
ENSG00000021645	ENSG00000078579	1.8E-2
ENSG00000066032	ENSG00000078579	1.6E-2
ENSG00000075884	ENSG00000078589	3.7E-3
ENSG00000075884	ENSG00000078596	6.9E-3
ENSG00000067715	ENSG00000078814	2.2E-2
ENSG00000060718	ENSG00000079150	1.1E-2
ENSG00000067715	ENSG00000079156	2E-2
ENSG00000075884	ENSG00000079257	5.9E-3
ENSG00000033122	ENSG00000079393	9E-3
ENSG00000040731	ENSG00000080224	1.6E-2
ENSG00000021645	ENSG00000080546	1.6E-2
ENSG00000079841	ENSG00000080572	6.7E-3
ENSG00000048052	ENSG00000080910	1E-2
ENSG00000069667	ENSG00000081189	1.7E-2
ENSG00000075884	ENSG00000081189	6.6E-3
ENSG00000075884	ENSG00000262418	9E-3
ENSG00000075884	ENSG00000081320	7.4E-3
ENSG00000075884	ENSG00000082074	8.1E-3
ENSG00000069667	ENSG00000082397	1.6E-2
ENSG00000075884	ENSG00000082397	5.9E-3
ENSG00000060718	ENSG00000083782	1.3E-2
ENSG00000075884	ENSG00000083799	9E-3
ENSG00000075884	ENSG00000084070	4.9E-3
ENSG00000060718	ENSG00000085433	6.5E-3
ENSG00000072657	ENSG00000085563	1.6E-2
ENSG00000075884	ENSG00000085662	6.6E-3
ENSG00000060718	ENSG00000086205	8E-3
