# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000007062	9E-3
ENSG00000002746	ENSG00000016082	2.4E-3
ENSG00000021645	ENSG00000026652	1.4E-2
ENSG00000021645	ENSG00000035403	1.7E-2
ENSG00000033122	ENSG00000040731	1.1E-2
ENSG00000002746	ENSG00000042813	2.3E-3
ENSG00000013297	ENSG00000042813	3.1E-3
ENSG00000018236	ENSG00000042813	3.6E-3
ENSG00000040731	ENSG00000042813	4.7E-4
ENSG00000041515	ENSG00000042813	3.4E-3
ENSG00000040731	ENSG00000042832	6.7E-3
ENSG00000040731	ENSG00000042980	8.8E-3
ENSG00000002746	ENSG00000044524	3.3E-2
ENSG00000042781	ENSG00000048462	1.9E-2
ENSG00000005108	ENSG00000054219	5.6E-3
ENSG00000040731	ENSG00000056736	9.9E-3
ENSG00000021645	ENSG00000060138	1.2E-2
ENSG00000048052	ENSG00000064199	1.5E-2
ENSG00000048052	ENSG00000065534	2.6E-2
ENSG00000033122	ENSG00000066032	9.1E-3
ENSG00000055609	ENSG00000066777	1.5E-2
ENSG00000066032	ENSG00000067221	4.9E-3
ENSG00000040731	ENSG00000067798	1E-2
ENSG00000067715	ENSG00000068793	1.5E-2
ENSG00000040731	ENSG00000070159	7E-3
ENSG00000066032	ENSG00000070159	6.4E-3
ENSG00000067715	ENSG00000071575	1.5E-2
ENSG00000039139	ENSG00000071677	2.3E-2
ENSG00000040731	ENSG00000072133	1.1E-2
ENSG00000072657	ENSG00000073350	1.3E-2
ENSG00000072657	ENSG00000074527	1.1E-2
ENSG00000007174	ENSG00000074590	5.6E-3
ENSG00000039139	ENSG00000074590	6.8E-3
ENSG00000066032	ENSG00000074590	9.1E-4
ENSG00000072657	ENSG00000075290	1.1E-2
ENSG00000075884	ENSG00000076242	4.6E-3
ENSG00000075884	ENSG00000076650	9.8E-3
ENSG00000075884	ENSG00000077380	4.5E-3
ENSG00000040731	ENSG00000077463	8.9E-3
ENSG00000066032	ENSG00000262532	3.3E-3
ENSG00000009694	ENSG00000078053	1.1E-2
ENSG00000044524	ENSG00000078081	1.2E-2
ENSG00000013297	ENSG00000078098	5.1E-3
ENSG00000033122	ENSG00000078098	5.2E-3
ENSG00000058091	ENSG00000078098	5.3E-3
ENSG00000009694	ENSG00000078579	7.5E-3
ENSG00000040731	ENSG00000078579	1.8E-3
ENSG00000071909	ENSG00000078579	1.1E-2
ENSG00000069020	ENSG00000078596	1.8E-2
ENSG00000066032	ENSG00000078814	7.1E-3
ENSG00000040731	ENSG00000079112	2.5E-3
ENSG00000066032	ENSG00000079435	6.6E-3
ENSG00000075884	ENSG00000079459	1E-2
ENSG00000002746	ENSG00000079482	1.2E-3
ENSG00000007174	ENSG00000079482	1.2E-3
ENSG00000013297	ENSG00000079482	1.5E-3
ENSG00000018236	ENSG00000079482	1.8E-3
ENSG00000033122	ENSG00000079482	1.5E-3
ENSG00000038945	ENSG00000079482	1.2E-3
ENSG00000039139	ENSG00000079482	1.5E-3
ENSG00000040731	ENSG00000079482	2.3E-4
ENSG00000041515	ENSG00000079482	1.4E-3
ENSG00000046889	ENSG00000079482	1.6E-3
ENSG00000058091	ENSG00000079482	1.5E-3
ENSG00000060709	ENSG00000079482	1.6E-3
ENSG00000060718	ENSG00000079482	1.3E-3
ENSG00000066032	ENSG00000079482	2.1E-4
ENSG00000067798	ENSG00000079482	1.6E-3
ENSG00000069667	ENSG00000079482	1.6E-3
ENSG00000072657	ENSG00000079482	4.1E-4
ENSG00000078328	ENSG00000079482	1.4E-3
ENSG00000066032	ENSG00000079691	7.8E-3
ENSG00000040731	ENSG00000080166	1.1E-2
ENSG00000048052	ENSG00000080511	6E-3
ENSG00000040731	ENSG00000080572	5.8E-3
ENSG00000066032	ENSG00000080618	5.4E-3
ENSG00000055609	ENSG00000080802	3.2E-2
ENSG00000072657	ENSG00000080822	1.2E-2
ENSG00000038945	ENSG00000080910	8.9E-3
ENSG00000072657	ENSG00000081014	1.6E-2
ENSG00000066032	ENSG00000081026	8.7E-3
ENSG00000042781	ENSG00000081051	2.3E-2
ENSG00000072657	ENSG00000081051	1.1E-2
ENSG00000040731	ENSG00000082175	1E-2
ENSG00000072657	ENSG00000082175	1.8E-2
ENSG00000072657	ENSG00000082805	1.5E-2
ENSG00000066032	ENSG00000082929	4.4E-3
ENSG00000075884	ENSG00000083535	1E-2
ENSG00000075884	ENSG00000083544	1.4E-2
ENSG00000040731	ENSG00000083642	6.7E-3
ENSG00000067715	ENSG00000083857	1E-2
ENSG00000040731	ENSG00000084093	7.4E-3
ENSG00000040731	ENSG00000084444	8.1E-3
ENSG00000066032	ENSG00000084764	8.3E-3
ENSG00000067715	ENSG00000085662	1.4E-2
ENSG00000040731	ENSG00000085733	1.1E-2
ENSG00000075884	ENSG00000085760	4.4E-3
ENSG00000075884	ENSG00000086065	1E-2
ENSG00000040731	ENSG00000086288	1.5E-3
ENSG00000041515	ENSG00000086288	1.1E-2
ENSG00000005108	ENSG00000086289	9.8E-3
ENSG00000018236	ENSG00000086991	1.2E-2
ENSG00000067798	ENSG00000086991	1E-2
ENSG00000048052	ENSG00000087095	2.6E-2
ENSG00000002746	ENSG00000087128	2.2E-3
ENSG00000018236	ENSG00000087128	3.2E-3
ENSG00000041515	ENSG00000087128	2.8E-3
ENSG00000042781	ENSG00000087128	1.3E-3
ENSG00000044524	ENSG00000087128	1.8E-3
ENSG00000047648	ENSG00000087128	1.9E-3
ENSG00000058091	ENSG00000087128	2.9E-3
ENSG00000078295	ENSG00000087128	3E-3
ENSG00000079841	ENSG00000087128	3.2E-3
ENSG00000066032	ENSG00000087299	6.6E-3
ENSG00000067715	ENSG00000087303	9.7E-3
ENSG00000067715	ENSG00000087495	8.8E-3
ENSG00000086289	ENSG00000088035	5.2E-3
ENSG00000040731	ENSG00000088179	8.3E-3
ENSG00000066032	ENSG00000088782	5.2E-3
ENSG00000066032	ENSG00000088881	3.3E-3
ENSG00000055609	ENSG00000088899	8.6E-3
ENSG00000075884	ENSG00000088986	2.3E-3
ENSG00000086289	ENSG00000088986	2.2E-3
ENSG00000066032	ENSG00000089057	4.9E-3
ENSG00000067715	ENSG00000089177	2E-2
ENSG00000040731	ENSG00000089472	9.6E-3
ENSG00000086289	ENSG00000089876	7.8E-3
ENSG00000048471	ENSG00000090238	1.7E-2
ENSG00000021645	ENSG00000090776	7.9E-3
ENSG00000086289	ENSG00000091127	4.6E-3
ENSG00000002746	ENSG00000091137	1.5E-3
ENSG00000007174	ENSG00000091137	1.7E-3
ENSG00000013297	ENSG00000091137	2.1E-3
ENSG00000033122	ENSG00000091137	2.1E-3
ENSG00000038945	ENSG00000091137	1.6E-3
ENSG00000039139	ENSG00000091137	1.9E-3
ENSG00000041515	ENSG00000091137	2E-3
ENSG00000044524	ENSG00000091137	1.2E-3
ENSG00000046889	ENSG00000091137	2.2E-3
ENSG00000058091	ENSG00000091137	2.2E-3
ENSG00000066032	ENSG00000091137	2.8E-4
ENSG00000067798	ENSG00000091137	2.1E-3
ENSG00000071909	ENSG00000091137	1.8E-3
ENSG00000072657	ENSG00000091137	5.3E-4
ENSG00000078295	ENSG00000091137	2.1E-3
ENSG00000078328	ENSG00000091137	1.9E-3
ENSG00000079841	ENSG00000091137	2.3E-3
ENSG00000081803	ENSG00000091137	5.8E-4
ENSG00000066032	ENSG00000091181	9.3E-3
ENSG00000086289	ENSG00000091436	1.3E-2
ENSG00000042781	ENSG00000091664	3.4E-3
ENSG00000060718	ENSG00000091664	6.5E-3
ENSG00000075213	ENSG00000091664	5.5E-3
ENSG00000082293	ENSG00000091664	3.6E-3
ENSG00000021645	ENSG00000091972	8.1E-3
ENSG00000013297	ENSG00000092054	4.2E-2
ENSG00000021645	ENSG00000092421	1.1E-2
ENSG00000048471	ENSG00000092421	1.7E-2
ENSG00000075884	ENSG00000092531	1.1E-2
ENSG00000005108	ENSG00000093072	1.1E-2
ENSG00000078328	ENSG00000094661	8.7E-3
ENSG00000086289	ENSG00000095303	1.1E-2
ENSG00000081803	ENSG00000095380	1.2E-2
ENSG00000075884	ENSG00000262509	8E-3
ENSG00000066032	ENSG00000095587	9.4E-3
ENSG00000067715	ENSG00000095637	2E-2
ENSG00000066032	ENSG00000096264	8.5E-3
ENSG00000075884	ENSG00000096968	1.1E-2
ENSG00000005108	ENSG00000099219	1E-2
ENSG00000086289	ENSG00000099219	6.2E-3
ENSG00000071909	ENSG00000099399	8.9E-3
ENSG00000091656	ENSG00000099617	5.5E-2
ENSG00000040731	ENSG00000099866	9.1E-4
ENSG00000060709	ENSG00000099866	6.3E-3
ENSG00000066032	ENSG00000099960	8.7E-3
ENSG00000040731	ENSG00000099984	5.8E-3
ENSG00000007174	ENSG00000100033	3.1E-3
ENSG00000038945	ENSG00000100033	3.6E-3
ENSG00000044524	ENSG00000100033	2.5E-3
ENSG00000047617	ENSG00000100033	3.1E-3
ENSG00000079841	ENSG00000100033	4.3E-3
ENSG00000091656	ENSG00000100033	4.4E-3
ENSG00000021645	ENSG00000100034	1.4E-2
ENSG00000040731	ENSG00000100078	5.4E-3
ENSG00000048471	ENSG00000100099	1.7E-2
ENSG00000067798	ENSG00000100121	8.9E-3
ENSG00000072657	ENSG00000100170	1.5E-2
ENSG00000081803	ENSG00000100196	1.9E-2
ENSG00000075884	ENSG00000100201	1.2E-2
ENSG00000040731	ENSG00000100211	8.9E-3
ENSG00000100154	ENSG00000100219	3.1E-2
ENSG00000007174	ENSG00000100249	5.1E-3
ENSG00000039139	ENSG00000100249	6.2E-3
ENSG00000040731	ENSG00000100249	9.3E-4
ENSG00000047617	ENSG00000100249	4.7E-3
ENSG00000075213	ENSG00000100249	5E-3
ENSG00000048471	ENSG00000100280	8.5E-3
ENSG00000069020	ENSG00000100280	9.4E-3
ENSG00000013297	ENSG00000100302	3.6E-2
ENSG00000048052	ENSG00000100320	1.8E-2
ENSG00000055609	ENSG00000100393	1.2E-2
ENSG00000005108	ENSG00000100439	1.5E-2
ENSG00000086289	ENSG00000100439	9.3E-3
ENSG00000042781	ENSG00000100605	1.8E-2
ENSG00000040731	ENSG00000100626	1.1E-2
ENSG00000048471	ENSG00000100644	1.2E-2
ENSG00000086289	ENSG00000100804	1.4E-2
ENSG00000072657	ENSG00000100852	1.5E-2
ENSG00000066032	ENSG00000101197	2.9E-3
ENSG00000081803	ENSG00000101294	1.2E-2
ENSG00000040731	ENSG00000101306	1.7E-3
ENSG00000086289	ENSG00000101343	4.7E-3
ENSG00000040731	ENSG00000101405	5.8E-3
ENSG00000066032	ENSG00000101405	5.1E-3
ENSG00000100154	ENSG00000101442	1.5E-2
ENSG00000047617	ENSG00000101448	3.1E-2
ENSG00000066032	ENSG00000101452	5.7E-3
ENSG00000040731	ENSG00000101670	6.3E-4
ENSG00000041515	ENSG00000101670	4.1E-3
ENSG00000060709	ENSG00000101670	4.4E-3
ENSG00000060718	ENSG00000101670	3.8E-3
ENSG00000066032	ENSG00000101670	5.8E-4
ENSG00000067798	ENSG00000101670	4E-3
ENSG00000083067	ENSG00000101670	4.9E-3
ENSG00000055609	ENSG00000101745	1.5E-2
ENSG00000044524	ENSG00000101825	1.1E-2
ENSG00000086289	ENSG00000101938	7.8E-3
ENSG00000100154	ENSG00000101938	1.9E-2
ENSG00000072657	ENSG00000101977	1.5E-2
ENSG00000042781	ENSG00000269057	2.3E-2
ENSG00000066032	ENSG00000268353	4.5E-3
ENSG00000040731	ENSG00000102043	8.6E-3
ENSG00000066032	ENSG00000102043	7.3E-3
ENSG00000072657	ENSG00000268646	9.5E-3
ENSG00000072657	ENSG00000102189	1E-2
ENSG00000066032	ENSG00000102243	8.6E-3
ENSG00000066032	ENSG00000102359	7.6E-3
ENSG00000018236	ENSG00000102383	4.6E-3
ENSG00000040731	ENSG00000102383	6.3E-4
ENSG00000058091	ENSG00000102383	4.3E-3
ENSG00000067798	ENSG00000102383	4.3E-3
ENSG00000071909	ENSG00000102383	3.4E-3
ENSG00000072657	ENSG00000102383	1.2E-3
ENSG00000085276	ENSG00000102383	4.6E-3
ENSG00000099139	ENSG00000102383	2.9E-3
ENSG00000101333	ENSG00000102383	3.1E-3
ENSG00000066032	ENSG00000102387	8.2E-3
ENSG00000081803	ENSG00000269173	1.1E-2
ENSG00000086289	ENSG00000102524	6.6E-3
ENSG00000066032	ENSG00000102539	4.4E-3
ENSG00000048471	ENSG00000102575	1.5E-2
ENSG00000066032	ENSG00000102595	7.6E-3
ENSG00000066032	ENSG00000102683	4.7E-3
ENSG00000075884	ENSG00000102699	5.6E-3
ENSG00000086289	ENSG00000102699	5.3E-3
ENSG00000072657	ENSG00000102780	6.8E-3
ENSG00000066032	ENSG00000102804	7.3E-3
ENSG00000086289	ENSG00000102805	1.3E-2
ENSG00000040731	ENSG00000102837	2.7E-3
ENSG00000055609	ENSG00000102908	1.5E-2
ENSG00000075884	ENSG00000102910	1.5E-2
ENSG00000066032	ENSG00000102931	4.3E-3
ENSG00000021645	ENSG00000102970	1.3E-2
ENSG00000002746	ENSG00000102981	2.4E-2
ENSG00000072657	ENSG00000102981	7.6E-3
ENSG00000102290	ENSG00000103043	2.7E-2
ENSG00000040731	ENSG00000103089	8.2E-3
ENSG00000086289	ENSG00000103150	1.1E-2
ENSG00000055609	ENSG00000103194	2E-2
ENSG00000007174	ENSG00000103241	6.7E-3
ENSG00000102290	ENSG00000103241	4.5E-3
ENSG00000040731	ENSG00000103269	5.3E-3
ENSG00000002746	ENSG00000103313	2E-3
ENSG00000013297	ENSG00000103313	2.6E-3
ENSG00000018236	ENSG00000103313	2.9E-3
ENSG00000038945	ENSG00000103313	2.1E-3
ENSG00000040731	ENSG00000103313	4E-4
ENSG00000041515	ENSG00000103313	2.6E-3
ENSG00000047617	ENSG00000103313	1.9E-3
ENSG00000067798	ENSG00000103313	2.7E-3
ENSG00000069667	ENSG00000103313	2.7E-3
ENSG00000072657	ENSG00000103313	7E-4
ENSG00000080224	ENSG00000103313	2.5E-3
ENSG00000083067	ENSG00000103313	3.1E-3
ENSG00000091656	ENSG00000103313	3E-3
ENSG00000091831	ENSG00000103313	2.9E-3
ENSG00000099139	ENSG00000103313	1.8E-3
ENSG00000102452	ENSG00000103313	2.4E-3
ENSG00000102466	ENSG00000103313	3E-3
ENSG00000102935	ENSG00000103316	1.7E-2
ENSG00000072657	ENSG00000103355	1.7E-2
ENSG00000005108	ENSG00000103485	8.9E-3
ENSG00000040731	ENSG00000103723	1.1E-2
ENSG00000005108	ENSG00000104043	9.9E-3
ENSG00000086289	ENSG00000104043	5.8E-3
ENSG00000100154	ENSG00000104043	9.6E-3
ENSG00000075884	ENSG00000104205	6.4E-3
ENSG00000095777	ENSG00000104290	2.9E-2
ENSG00000072657	ENSG00000104313	6.3E-3
ENSG00000075213	ENSG00000104313	2.2E-2
ENSG00000081803	ENSG00000104331	1.2E-2
ENSG00000040731	ENSG00000104368	5.6E-3
ENSG00000040731	ENSG00000104435	9.1E-3
ENSG00000104375	ENSG00000104442	8.5E-3
ENSG00000040731	ENSG00000104755	4.6E-3
ENSG00000075884	ENSG00000104823	3.5E-3
ENSG00000042781	ENSG00000104881	3.2E-3
ENSG00000078328	ENSG00000104881	6E-3
ENSG00000075884	ENSG00000104903	8.9E-3
ENSG00000075884	ENSG00000104904	5.3E-3
ENSG00000002746	ENSG00000104967	3.9E-2
ENSG00000082293	ENSG00000105198	6.5E-3
ENSG00000002746	ENSG00000105219	2.4E-3
ENSG00000018236	ENSG00000105219	3.3E-3
ENSG00000039139	ENSG00000105219	2.9E-3
ENSG00000041515	ENSG00000105219	2.9E-3
ENSG00000069667	ENSG00000105219	3.2E-3
ENSG00000078328	ENSG00000105219	2.6E-3
ENSG00000085276	ENSG00000105219	3.3E-3
ENSG00000091831	ENSG00000105219	3.3E-3
ENSG00000021645	ENSG00000105227	1.6E-2
ENSG00000095777	ENSG00000105370	1.6E-2
ENSG00000075884	ENSG00000105393	3E-3
ENSG00000040731	ENSG00000105507	2.8E-3
ENSG00000082293	ENSG00000105507	9.6E-3
ENSG00000104044	ENSG00000105642	1.6E-2
ENSG00000060718	ENSG00000105697	8.6E-3
ENSG00000066032	ENSG00000105723	7.9E-3
ENSG00000040731	ENSG00000105767	8.8E-3
ENSG00000040731	ENSG00000105793	9.2E-3
ENSG00000066032	ENSG00000105825	6E-3
ENSG00000040731	ENSG00000105849	3.6E-3
ENSG00000095777	ENSG00000105852	3.1E-2
ENSG00000104447	ENSG00000105855	5.5E-2
ENSG00000102935	ENSG00000105926	2E-2
ENSG00000040731	ENSG00000105971	7.9E-3
ENSG00000075884	ENSG00000105993	8E-3
ENSG00000048052	ENSG00000106034	2.5E-2
ENSG00000021645	ENSG00000106069	1.3E-2
ENSG00000021645	ENSG00000106070	1.1E-2
ENSG00000048052	ENSG00000106078	1.6E-2
ENSG00000081803	ENSG00000106080	1.2E-2
ENSG00000021645	ENSG00000106100	1E-2
ENSG00000048471	ENSG00000106100	1.6E-2
ENSG00000069020	ENSG00000260195	2.4E-2
ENSG00000086289	ENSG00000106236	9.2E-3
ENSG00000048052	ENSG00000106278	1.9E-2
ENSG00000066032	ENSG00000106351	9E-3
ENSG00000086289	ENSG00000106392	1.2E-2
ENSG00000040731	ENSG00000106511	8.7E-3
ENSG00000086289	ENSG00000106524	7.7E-3
ENSG00000042781	ENSG00000106526	1.9E-2
ENSG00000066032	ENSG00000106541	6.6E-3
ENSG00000066032	ENSG00000106571	5.8E-3
ENSG00000081803	ENSG00000106605	1E-2
ENSG00000048471	ENSG00000263226	1.1E-2
ENSG00000048471	ENSG00000106829	2.3E-2
ENSG00000066032	ENSG00000106976	6.6E-3
ENSG00000042781	ENSG00000107014	4.6E-3
ENSG00000101333	ENSG00000107014	7.8E-3
ENSG00000009694	ENSG00000107018	1.5E-3
ENSG00000013297	ENSG00000107018	2.2E-3
ENSG00000018236	ENSG00000107018	2.6E-3
ENSG00000033122	ENSG00000107018	2.2E-3
ENSG00000039139	ENSG00000107018	2.2E-3
ENSG00000040731	ENSG00000107018	3.4E-4
ENSG00000041515	ENSG00000107018	2.1E-3
ENSG00000042781	ENSG00000107018	1E-3
ENSG00000044524	ENSG00000107018	1.3E-3
ENSG00000046889	ENSG00000107018	2.4E-3
ENSG00000047648	ENSG00000107018	1.4E-3
ENSG00000058091	ENSG00000107018	2.1E-3
ENSG00000060718	ENSG00000107018	1.9E-3
ENSG00000066032	ENSG00000107018	2.9E-4
ENSG00000069667	ENSG00000107018	2.3E-3
ENSG00000071909	ENSG00000107018	1.8E-3
ENSG00000072657	ENSG00000107018	5.9E-4
ENSG00000078295	ENSG00000107018	2.3E-3
ENSG00000078328	ENSG00000107018	2E-3
ENSG00000079841	ENSG00000107018	2.5E-3
ENSG00000080224	ENSG00000107018	2E-3
ENSG00000083067	ENSG00000107018	2.6E-3
ENSG00000091656	ENSG00000107018	2.6E-3
ENSG00000091831	ENSG00000107018	2.4E-3
ENSG00000099139	ENSG00000107018	1.4E-3
ENSG00000101333	ENSG00000107018	1.8E-3
ENSG00000102290	ENSG00000107018	1.3E-3
ENSG00000102466	ENSG00000107018	2.6E-3
ENSG00000104447	ENSG00000107018	1.5E-3
ENSG00000105877	ENSG00000107018	2.1E-3
ENSG00000033122	ENSG00000107105	6E-3
ENSG00000046889	ENSG00000107105	6.3E-3
ENSG00000066032	ENSG00000107105	7.8E-4
ENSG00000078328	ENSG00000107105	5.5E-3
ENSG00000104044	ENSG00000107105	3.4E-3
ENSG00000007174	ENSG00000107159	1.2E-2
ENSG00000080224	ENSG00000107186	4.8E-2
ENSG00000048052	ENSG00000107242	2.7E-2
ENSG00000101333	ENSG00000107282	5.9E-2
ENSG00000102935	ENSG00000107290	2.2E-2
ENSG00000069020	ENSG00000107485	1.5E-2
ENSG00000100154	ENSG00000107485	1.4E-2
ENSG00000002746	ENSG00000272811	4.6E-2
ENSG00000081803	ENSG00000108039	1.1E-2
ENSG00000055609	ENSG00000108061	5.1E-3
ENSG00000081803	ENSG00000108176	1.5E-2
ENSG00000044524	ENSG00000108255	2.1E-2
ENSG00000106536	ENSG00000108264	2E-2
ENSG00000106536	ENSG00000263022	2E-2
ENSG00000067715	ENSG00000108468	8.7E-3
ENSG00000075884	ENSG00000108651	1.1E-2
ENSG00000044524	ENSG00000108684	3.3E-2
ENSG00000086289	ENSG00000108826	5.7E-3
ENSG00000048052	ENSG00000262275	1.8E-2
ENSG00000086289	ENSG00000109016	1.3E-2
ENSG00000069020	ENSG00000109099	1.9E-2
ENSG00000009694	ENSG00000109132	1.5E-3
ENSG00000013297	ENSG00000109132	2.3E-3
ENSG00000018236	ENSG00000109132	2.7E-3
ENSG00000033122	ENSG00000109132	2.6E-3
ENSG00000041515	ENSG00000109132	2.3E-3
ENSG00000046889	ENSG00000109132	2.5E-3
ENSG00000060709	ENSG00000109132	2.5E-3
ENSG00000066032	ENSG00000109132	3.1E-4
ENSG00000078295	ENSG00000109132	2.5E-3
ENSG00000078328	ENSG00000109132	2.3E-3
ENSG00000080224	ENSG00000109132	2E-3
ENSG00000081803	ENSG00000109132	6.8E-4
ENSG00000083067	ENSG00000109132	2.7E-3
ENSG00000085276	ENSG00000109132	2.7E-3
ENSG00000091656	ENSG00000109132	2.6E-3
ENSG00000091831	ENSG00000109132	2.6E-3
ENSG00000102452	ENSG00000109132	2.1E-3
ENSG00000104044	ENSG00000109132	1.4E-3
ENSG00000105877	ENSG00000109132	2.4E-3
ENSG00000107611	ENSG00000109132	1.2E-3
ENSG00000107736	ENSG00000109132	2.1E-3
ENSG00000108018	ENSG00000109132	2.3E-3
ENSG00000108684	ENSG00000109132	1.1E-3
ENSG00000066032	ENSG00000109158	6.5E-3
ENSG00000040731	ENSG00000109208	5.2E-3
ENSG00000021645	ENSG00000109458	1.5E-2
ENSG00000055609	ENSG00000109606	5.1E-3
ENSG00000066032	ENSG00000109654	9.2E-3
ENSG00000040731	ENSG00000109667	9.9E-3
ENSG00000021645	ENSG00000109670	1.1E-2
ENSG00000091831	ENSG00000109674	4.8E-3
ENSG00000109452	ENSG00000109674	3.6E-3
ENSG00000040731	ENSG00000109686	1E-2
ENSG00000066032	ENSG00000109705	4.2E-3
ENSG00000040731	ENSG00000263007	5.3E-3
ENSG00000055609	ENSG00000109920	2.3E-2
ENSG00000072657	ENSG00000109944	2.1E-2
ENSG00000040731	ENSG00000110013	9.9E-3
ENSG00000055609	ENSG00000110048	1.3E-2
ENSG00000066032	ENSG00000110092	6.9E-3
ENSG00000066032	ENSG00000110169	7.5E-3
ENSG00000021645	ENSG00000110237	1E-2
ENSG00000048471	ENSG00000110237	1.4E-2
ENSG00000104044	ENSG00000110328	2.7E-2
ENSG00000040731	ENSG00000110375	4.6E-3
ENSG00000040731	ENSG00000110436	9.9E-3
ENSG00000086289	ENSG00000110871	2.5E-3
ENSG00000075213	ENSG00000110887	8.5E-3
ENSG00000081803	ENSG00000111057	1E-2
ENSG00000047617	ENSG00000111058	1.9E-2
