# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000269587	7.9E-3
ENSG00000018236	ENSG00000020426	1.4E-2
ENSG00000013297	ENSG00000042813	1.5E-2
ENSG00000039139	ENSG00000050393	8.1E-3
ENSG00000048471	ENSG00000051108	1.3E-2
ENSG00000048052	ENSG00000063169	6.7E-3
ENSG00000060718	ENSG00000267876	1.8E-2
ENSG00000002746	ENSG00000064666	7.2E-3
ENSG00000058091	ENSG00000064726	4.2E-3
ENSG00000021645	ENSG00000064999	1.6E-2
ENSG00000040731	ENSG00000065361	1.9E-2
ENSG00000047617	ENSG00000065609	1.9E-2
ENSG00000002746	ENSG00000067836	1.1E-2
ENSG00000007174	ENSG00000067836	9.9E-3
ENSG00000067798	ENSG00000069696	1.1E-2
ENSG00000069667	ENSG00000069702	1E-2
ENSG00000069020	ENSG00000071051	9.5E-3
ENSG00000002746	ENSG00000072163	5.7E-3
ENSG00000069667	ENSG00000073861	8E-3
ENSG00000005108	ENSG00000074966	7.2E-3
ENSG00000040731	ENSG00000076356	2E-2
ENSG00000040731	ENSG00000076706	1.6E-2
ENSG00000042781	ENSG00000077063	1.5E-2
ENSG00000013297	ENSG00000078579	1.9E-2
ENSG00000042781	ENSG00000078898	1.3E-2
ENSG00000002746	ENSG00000079432	8.1E-3
ENSG00000005108	ENSG00000081803	1.5E-2
ENSG00000081803	ENSG00000081985	1.5E-2
ENSG00000066032	ENSG00000083845	4.1E-3
ENSG00000021645	ENSG00000084070	5.5E-3
ENSG00000048471	ENSG00000084207	1.2E-2
ENSG00000060718	ENSG00000085117	1.2E-2
ENSG00000005108	ENSG00000085433	7.7E-3
ENSG00000041515	ENSG00000085465	1.1E-2
ENSG00000080224	ENSG00000085465	9.3E-3
ENSG00000075884	ENSG00000085662	6.7E-3
ENSG00000080224	ENSG00000085741	1E-2
ENSG00000060709	ENSG00000085788	6.4E-3
ENSG00000040731	ENSG00000085999	1.4E-2
ENSG00000066032	ENSG00000086015	1.7E-2
ENSG00000060718	ENSG00000086544	1.6E-2
ENSG00000081803	ENSG00000086717	1.5E-2
ENSG00000060718	ENSG00000087086	1.3E-2
ENSG00000042781	ENSG00000087206	1.2E-2
ENSG00000066032	ENSG00000087303	1.3E-2
ENSG00000078328	ENSG00000268104	1.8E-2
ENSG00000081803	ENSG00000268104	1.3E-2
ENSG00000021645	ENSG00000088002	1.8E-2
ENSG00000067798	ENSG00000270886	1.3E-2
ENSG00000075884	ENSG00000088298	9.1E-3
ENSG00000081803	ENSG00000088298	1E-2
ENSG00000040731	ENSG00000088320	7.2E-3
ENSG00000044524	ENSG00000088726	1.3E-2
ENSG00000066032	ENSG00000088881	4.1E-3
ENSG00000075884	ENSG00000089009	2.6E-3
