# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000005189	6.4E-3
ENSG00000002746	ENSG00000006047	2.7E-3
ENSG00000007174	ENSG00000008735	1.9E-2
ENSG00000007174	ENSG00000262077	3.3E-3
ENSG00000007174	ENSG00000011332	1.7E-2
ENSG00000005108	ENSG00000019991	2.2E-2
ENSG00000018236	ENSG00000033867	1.4E-2
ENSG00000009694	ENSG00000040731	1.4E-2
ENSG00000009694	ENSG00000041515	1.4E-2
ENSG00000040731	ENSG00000041515	1.1E-2
ENSG00000039139	ENSG00000044012	1.4E-2
ENSG00000018236	ENSG00000049130	2.7E-2
ENSG00000018236	ENSG00000049323	1.1E-2
ENSG00000018236	ENSG00000050628	1.9E-2
ENSG00000033122	ENSG00000053524	4.6E-3
ENSG00000042781	ENSG00000053524	5.6E-3
ENSG00000018236	ENSG00000054598	1.1E-2
ENSG00000002746	ENSG00000055957	2.2E-2
ENSG00000013297	ENSG00000055957	1.9E-2
ENSG00000018236	ENSG00000056998	2.8E-2
ENSG00000055609	ENSG00000058063	1.5E-2
ENSG00000048471	ENSG00000059377	8.2E-3
ENSG00000005108	ENSG00000060140	1.9E-2
ENSG00000041515	ENSG00000060140	1.2E-2
ENSG00000055609	ENSG00000060339	4.4E-3
ENSG00000033122	ENSG00000060656	8.8E-3
ENSG00000039139	ENSG00000060656	8.8E-3
ENSG00000039139	ENSG00000061492	1.5E-2
ENSG00000040731	ENSG00000061676	1.4E-2
ENSG00000041515	ENSG00000061676	1.5E-2
ENSG00000007174	ENSG00000062096	1.6E-2
ENSG00000047617	ENSG00000062096	1.2E-2
ENSG00000058091	ENSG00000064102	3.6E-3
ENSG00000058091	ENSG00000064651	2E-2
ENSG00000018236	ENSG00000064692	1.3E-2
ENSG00000055609	ENSG00000065243	1.8E-2
ENSG00000018236	ENSG00000067113	1.6E-2
ENSG00000005108	ENSG00000067715	2.4E-2
ENSG00000040731	ENSG00000069482	1.7E-2
ENSG00000069667	ENSG00000069702	1.3E-2
ENSG00000005108	ENSG00000070018	2E-2
ENSG00000048471	ENSG00000070190	2.1E-2
ENSG00000018236	ENSG00000070193	2.1E-2
ENSG00000067715	ENSG00000071205	2.3E-2
ENSG00000041515	ENSG00000072657	6.3E-3
ENSG00000042781	ENSG00000072657	1E-2
ENSG00000038945	ENSG00000072694	1.8E-2
ENSG00000069667	ENSG00000073861	1E-2
ENSG00000002746	ENSG00000074276	5.6E-3
ENSG00000007174	ENSG00000074276	7.1E-3
ENSG00000021645	ENSG00000074276	5E-3
ENSG00000066032	ENSG00000074276	4.7E-3
ENSG00000048471	ENSG00000074966	1E-2
ENSG00000005108	ENSG00000075240	1E-2
ENSG00000075884	ENSG00000076258	8.3E-3
ENSG00000018236	ENSG00000076716	1.5E-2
ENSG00000007174	ENSG00000077009	1.4E-2
ENSG00000075884	ENSG00000077380	4.1E-3
ENSG00000069667	ENSG00000078589	1.5E-2
ENSG00000060709	ENSG00000078898	1.2E-2
ENSG00000040731	ENSG00000079102	1.4E-2
ENSG00000041515	ENSG00000079102	1.3E-2
ENSG00000044524	ENSG00000079112	6.9E-3
ENSG00000060709	ENSG00000079112	8.4E-3
ENSG00000060718	ENSG00000079112	8.1E-3
ENSG00000067798	ENSG00000079112	6.5E-3
ENSG00000072657	ENSG00000079112	2.8E-3
ENSG00000075884	ENSG00000079246	1.1E-2
ENSG00000067715	ENSG00000080709	1.7E-2
ENSG00000055609	ENSG00000080802	1.8E-2
ENSG00000048052	ENSG00000081189	1.6E-2
ENSG00000058091	ENSG00000081386	1.3E-2
ENSG00000042781	ENSG00000081800	1.2E-2
ENSG00000060718	ENSG00000081800	1.5E-2
ENSG00000038945	ENSG00000082397	1.1E-2
