# Gene_A	Gene_B	Weight
ENSG00000009694	ENSG00000037965	1.9E-2
ENSG00000021645	ENSG00000040731	4.6E-3
ENSG00000038945	ENSG00000040731	4.5E-3
ENSG00000040731	ENSG00000042286	3.9E-3
ENSG00000013297	ENSG00000042813	2.5E-3
ENSG00000021645	ENSG00000042813	3.5E-3
ENSG00000018236	ENSG00000043514	4.2E-3
ENSG00000040731	ENSG00000046647	3.4E-3
ENSG00000040731	ENSG00000047230	3.9E-3
ENSG00000040731	ENSG00000047648	3.5E-3
ENSG00000040731	ENSG00000049089	2.4E-3
ENSG00000040731	ENSG00000049130	4.8E-3
ENSG00000040731	ENSG00000049167	3.6E-3
ENSG00000040731	ENSG00000049192	5.2E-3
ENSG00000040731	ENSG00000049618	3.5E-3
ENSG00000040731	ENSG00000049759	4E-3
ENSG00000040731	ENSG00000049883	4E-3
ENSG00000040731	ENSG00000050405	4.5E-3
ENSG00000040731	ENSG00000050438	4.3E-3
ENSG00000040731	ENSG00000050555	3.9E-3
ENSG00000040731	ENSG00000050767	2.7E-3
ENSG00000018236	ENSG00000056277	7.5E-3
ENSG00000055609	ENSG00000058673	3.1E-2
ENSG00000042781	ENSG00000058804	1.6E-2
ENSG00000040731	ENSG00000060140	4.4E-3
ENSG00000040731	ENSG00000060656	2.3E-3
ENSG00000039139	ENSG00000062038	7.8E-3
ENSG00000048471	ENSG00000065029	8.2E-3
ENSG00000009694	ENSG00000065485	5E-3
ENSG00000048471	ENSG00000065485	5.3E-3
ENSG00000018236	ENSG00000065609	6E-3
ENSG00000040731	ENSG00000065621	2.2E-3
ENSG00000040731	ENSG00000065717	3.6E-3
ENSG00000040731	ENSG00000065833	4.8E-3
ENSG00000040731	ENSG00000066557	3.9E-3
ENSG00000055609	ENSG00000067066	2.2E-2
ENSG00000040731	ENSG00000067191	3.9E-3
ENSG00000042781	ENSG00000263148	1.5E-2
ENSG00000040731	ENSG00000068615	4.5E-3
ENSG00000040731	ENSG00000068724	4.1E-3
ENSG00000009694	ENSG00000269840	2.7E-2
ENSG00000066032	ENSG00000269840	1.6E-2
ENSG00000069667	ENSG00000069702	1.5E-2
ENSG00000039139	ENSG00000070087	6.5E-3
ENSG00000069020	ENSG00000070087	6.1E-3
ENSG00000040731	ENSG00000071246	4.1E-3
ENSG00000002746	ENSG00000071677	7.9E-3
ENSG00000040731	ENSG00000072041	4.7E-3
ENSG00000040731	ENSG00000073008	3.7E-3
