# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000006047	3.1E-3
ENSG00000002746	ENSG00000012822	7.4E-3
ENSG00000002746	ENSG00000018869	4.7E-3
ENSG00000009694	ENSG00000018869	6.1E-3
ENSG00000005108	ENSG00000033170	8.2E-3
ENSG00000009694	ENSG00000034971	6.3E-3
ENSG00000007174	ENSG00000037965	8.6E-3
ENSG00000002746	ENSG00000039987	5.3E-3
ENSG00000018236	ENSG00000039987	5.8E-3
ENSG00000044524	ENSG00000048462	1.3E-2
ENSG00000048052	ENSG00000048462	1.1E-2
ENSG00000048052	ENSG00000058804	1.2E-2
ENSG00000018236	ENSG00000060656	1E-2
ENSG00000046889	ENSG00000060656	8.8E-3
ENSG00000018236	ENSG00000063180	1.4E-2
ENSG00000058091	ENSG00000064763	1.1E-2
ENSG00000055609	ENSG00000065559	9.4E-3
ENSG00000040731	ENSG00000065609	1.5E-2
ENSG00000058091	ENSG00000065615	1.6E-2
ENSG00000055609	ENSG00000066777	9.1E-3
ENSG00000007174	ENSG00000267915	1.4E-2
ENSG00000067798	ENSG00000069764	5.6E-3
ENSG00000069667	ENSG00000069956	7.8E-3
ENSG00000067715	ENSG00000070748	1E-2
ENSG00000048471	ENSG00000070759	1.1E-2
ENSG00000060709	ENSG00000071051	1.1E-2
ENSG00000013297	ENSG00000268188	6E-3
ENSG00000007174	ENSG00000073598	2.3E-2
ENSG00000038945	ENSG00000073910	2.1E-2
ENSG00000021645	ENSG00000074416	8.8E-3
ENSG00000060709	ENSG00000074416	6.3E-3
ENSG00000069667	ENSG00000074706	1.2E-2
ENSG00000058091	ENSG00000075884	1.4E-2
ENSG00000002746	ENSG00000076864	2.9E-2
ENSG00000044524	ENSG00000077097	1.1E-2
ENSG00000060718	ENSG00000077984	5.9E-3
ENSG00000058091	ENSG00000078589	7.5E-3
ENSG00000075884	ENSG00000078589	4.7E-3
ENSG00000040731	ENSG00000078898	4E-3
ENSG00000041515	ENSG00000078898	7.7E-3
ENSG00000047648	ENSG00000078898	6.9E-3
ENSG00000002746	ENSG00000080493	2.3E-2
ENSG00000042781	ENSG00000080618	1.8E-2
ENSG00000060709	ENSG00000081189	1.2E-2
ENSG00000075884	ENSG00000262418	1.3E-2
ENSG00000082293	ENSG00000082556	1.6E-2
ENSG00000002746	ENSG00000082684	2E-3
ENSG00000041515	ENSG00000082684	3.1E-3
ENSG00000046889	ENSG00000082684	1.9E-3
ENSG00000047617	ENSG00000082684	3.5E-3
ENSG00000047648	ENSG00000082684	2.9E-3
ENSG00000078295	ENSG00000082684	2.8E-3
ENSG00000081803	ENSG00000083123	1.1E-2
ENSG00000048052	ENSG00000083454	8.4E-3
ENSG00000055609	ENSG00000083535	1.3E-2
ENSG00000007174	ENSG00000084628	2.9E-2
ENSG00000002746	ENSG00000085465	3.8E-3
ENSG00000040731	ENSG00000085465	3.3E-3
ENSG00000072657	ENSG00000085465	3.7E-3
ENSG00000085276	ENSG00000085465	5.7E-3
ENSG00000046889	ENSG00000085552	1.6E-2
ENSG00000060718	ENSG00000086570	2.6E-2
ENSG00000055609	ENSG00000087206	1E-2
ENSG00000066032	ENSG00000087269	6.7E-3
ENSG00000058091	ENSG00000087586	1.2E-2
ENSG00000081803	ENSG00000087842	7.3E-3
ENSG00000075213	ENSG00000089199	1.8E-2
ENSG00000078295	ENSG00000089356	6E-3
ENSG00000080224	ENSG00000089356	5.1E-3
ENSG00000083067	ENSG00000089356	6.1E-3
ENSG00000075213	ENSG00000090861	1.5E-2
ENSG00000005108	ENSG00000091136	8.9E-3
ENSG00000081803	ENSG00000091136	6E-3
ENSG00000055609	ENSG00000092140	1E-2
ENSG00000021645	ENSG00000092345	1.7E-2
ENSG00000048471	ENSG00000093072	1.4E-2
ENSG00000082293	ENSG00000094661	3.3E-3
ENSG00000091831	ENSG00000094661	5.6E-3
ENSG00000055609	ENSG00000095564	6.7E-3
ENSG00000080224	ENSG00000096395	1.7E-2
ENSG00000002746	ENSG00000099365	1E-2
ENSG00000018236	ENSG00000099864	6.3E-3
ENSG00000069020	ENSG00000099864	8.4E-3
ENSG00000079841	ENSG00000099864	6.7E-3
ENSG00000018236	ENSG00000099998	7.9E-3
ENSG00000047617	ENSG00000099998	1.2E-2
ENSG00000086289	ENSG00000100097	7.4E-3
ENSG00000048471	ENSG00000100104	1.2E-2
ENSG00000079841	ENSG00000100121	2.1E-2
ENSG00000007174	ENSG00000100122	1.4E-2
ENSG00000067798	ENSG00000100228	1.7E-2
ENSG00000086289	ENSG00000100246	1.1E-2
ENSG00000007174	ENSG00000100253	7.9E-3
ENSG00000033122	ENSG00000100341	1.3E-2
ENSG00000071909	ENSG00000100345	8.3E-3
ENSG00000044524	ENSG00000100351	7.4E-3
ENSG00000048052	ENSG00000100351	7.5E-3
ENSG00000075884	ENSG00000100385	9.1E-3
ENSG00000005108	ENSG00000100422	7.5E-3
ENSG00000018236	ENSG00000100448	3.5E-3
ENSG00000079841	ENSG00000100448	3E-3
ENSG00000085276	ENSG00000100448	4E-3
ENSG00000086289	ENSG00000100505	1.3E-2
ENSG00000075884	ENSG00000100592	1.2E-2
ENSG00000047617	ENSG00000100652	5.1E-3
ENSG00000067715	ENSG00000100652	3.2E-3
ENSG00000078328	ENSG00000100652	4.9E-3
ENSG00000082293	ENSG00000100652	2.5E-3
ENSG00000083067	ENSG00000100652	5.2E-3
ENSG00000095777	ENSG00000100652	4.2E-3
ENSG00000058091	ENSG00000258790	2.2E-2
ENSG00000081803	ENSG00000101079	1.1E-2
ENSG00000007174	ENSG00000101197	4.2E-3
ENSG00000079841	ENSG00000101197	4.6E-3
ENSG00000091831	ENSG00000101197	6.7E-3
ENSG00000009694	ENSG00000101280	1.4E-2
ENSG00000009694	ENSG00000101292	1.1E-2
ENSG00000041515	ENSG00000101292	1.2E-2
ENSG00000047648	ENSG00000101292	1E-2
ENSG00000080224	ENSG00000101292	1E-2
ENSG00000047617	ENSG00000101306	1.3E-2
ENSG00000067798	ENSG00000101425	3.7E-2
ENSG00000009694	ENSG00000101463	4.9E-3
ENSG00000040731	ENSG00000101463	2.9E-3
ENSG00000041515	ENSG00000101463	6.1E-3
ENSG00000042781	ENSG00000101463	3.5E-3
ENSG00000047648	ENSG00000101463	5.2E-3
ENSG00000060718	ENSG00000101463	3.8E-3
ENSG00000042781	ENSG00000101605	2.3E-2
ENSG00000041515	ENSG00000101638	3.6E-2
ENSG00000075884	ENSG00000101901	9E-3
ENSG00000075213	ENSG00000268740	1.3E-2
ENSG00000040731	ENSG00000101955	1.9E-2
ENSG00000047648	ENSG00000101977	2.4E-2
ENSG00000085276	ENSG00000267900	6.3E-3
ENSG00000091656	ENSG00000267900	7.5E-3
ENSG00000091656	ENSG00000269198	1.1E-2
ENSG00000100154	ENSG00000269198	7.2E-3
ENSG00000099139	ENSG00000102048	9.3E-3
ENSG00000048052	ENSG00000102069	1.2E-2
ENSG00000018236	ENSG00000102098	1E-2
ENSG00000046889	ENSG00000102098	9.2E-3
ENSG00000007174	ENSG00000102245	1.8E-2
ENSG00000040731	ENSG00000102271	2.1E-2
ENSG00000067715	ENSG00000102302	1.5E-2
ENSG00000066032	ENSG00000102753	1.6E-2
ENSG00000067715	ENSG00000102891	1.1E-2
ENSG00000086289	ENSG00000102897	5.4E-3
