# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000006047	5.3E-3
ENSG00000009694	ENSG00000026652	1.8E-2
ENSG00000039139	ENSG00000043039	1E-2
ENSG00000042781	ENSG00000049130	8.6E-3
ENSG00000042781	ENSG00000050030	9.1E-3
ENSG00000040731	ENSG00000050327	1E-2
ENSG00000048052	ENSG00000050767	1.9E-2
ENSG00000048471	ENSG00000051108	8.9E-3
ENSG00000007174	ENSG00000053702	1.2E-2
ENSG00000044524	ENSG00000054796	1.9E-2
ENSG00000042781	ENSG00000058091	7.7E-3
ENSG00000009694	ENSG00000059588	8.4E-3
ENSG00000048052	ENSG00000061492	2E-2
ENSG00000021645	ENSG00000062038	6E-3
ENSG00000041515	ENSG00000062038	4.7E-3
ENSG00000018236	ENSG00000065609	1.4E-2
ENSG00000058091	ENSG00000065609	1.2E-2
ENSG00000042781	ENSG00000066382	6.2E-3
ENSG00000040731	ENSG00000066923	1.1E-2
ENSG00000042781	ENSG00000067798	8.1E-3
ENSG00000042781	ENSG00000069431	8.5E-3
ENSG00000069667	ENSG00000069702	1.2E-2
ENSG00000044524	ENSG00000071203	1E-2
ENSG00000039139	ENSG00000071677	6.8E-3
ENSG00000042781	ENSG00000071991	9.6E-3
ENSG00000038945	ENSG00000072571	1.2E-2
ENSG00000058091	ENSG00000072657	1.2E-2
ENSG00000060718	ENSG00000072657	1.3E-2
ENSG00000046889	ENSG00000072832	1.7E-2
ENSG00000007174	ENSG00000073067	7.6E-3
ENSG00000072657	ENSG00000073464	1.1E-2
ENSG00000042781	ENSG00000073712	6.9E-3
ENSG00000042781	ENSG00000074317	5.7E-3
ENSG00000047648	ENSG00000074416	1.1E-2
ENSG00000069667	ENSG00000074590	1.3E-2
ENSG00000042781	ENSG00000074621	5.3E-3
ENSG00000058091	ENSG00000074657	2.2E-2
ENSG00000040731	ENSG00000075391	2.3E-2
ENSG00000041515	ENSG00000075673	4E-3
ENSG00000047617	ENSG00000075673	3.1E-3
ENSG00000060709	ENSG00000075673	4.4E-3
ENSG00000009694	ENSG00000075826	8.2E-3
ENSG00000075884	ENSG00000076248	8.2E-3
ENSG00000075884	ENSG00000077097	5.3E-3
ENSG00000005108	ENSG00000077264	7.4E-3
ENSG00000041515	ENSG00000077264	7.1E-3
ENSG00000069667	ENSG00000077984	7.4E-3
ENSG00000042781	ENSG00000078579	7.2E-3
ENSG00000072657	ENSG00000078579	1.2E-2
ENSG00000075884	ENSG00000078589	5.8E-3
ENSG00000072657	ENSG00000078795	9.5E-3
ENSG00000060718	ENSG00000079112	1.1E-2
ENSG00000018236	ENSG00000079482	6.6E-3
ENSG00000042781	ENSG00000079482	2E-3
ENSG00000067798	ENSG00000079482	6.6E-3
ENSG00000072657	ENSG00000079482	2.2E-3
ENSG00000066032	ENSG00000079689	1.7E-2
ENSG00000075884	ENSG00000079785	2.8E-3
ENSG00000041515	ENSG00000079841	3.6E-2
ENSG00000042781	ENSG00000080493	7.9E-3
ENSG00000060709	ENSG00000080618	1.1E-2
ENSG00000080224	ENSG00000080618	1.1E-2
ENSG00000044524	ENSG00000080709	1.1E-2
ENSG00000075213	ENSG00000080709	9.7E-3
ENSG00000039139	ENSG00000081248	1.4E-2
ENSG00000018236	ENSG00000081803	8.3E-3
ENSG00000042781	ENSG00000081803	2.2E-3
ENSG00000044524	ENSG00000081803	5.7E-3
ENSG00000047617	ENSG00000081803	6.5E-3
ENSG00000066032	ENSG00000081803	5.3E-3
ENSG00000067798	ENSG00000081803	7.5E-3
ENSG00000042781	ENSG00000082482	6.7E-3
ENSG00000081803	ENSG00000082556	7.7E-3
ENSG00000002746	ENSG00000082684	8E-3
ENSG00000047648	ENSG00000082781	2E-2
ENSG00000075884	ENSG00000083720	1.4E-2
ENSG00000044524	ENSG00000083782	2.3E-2
ENSG00000075884	ENSG00000083799	1.5E-2
ENSG00000081803	ENSG00000084453	8.1E-3
ENSG00000005108	ENSG00000084628	2.2E-2
ENSG00000081803	ENSG00000085276	8.1E-3
ENSG00000075884	ENSG00000085511	3.3E-3
ENSG00000005108	ENSG00000085741	3.9E-3
ENSG00000041515	ENSG00000085741	3.4E-3
ENSG00000046889	ENSG00000085741	4.1E-3
ENSG00000075213	ENSG00000085741	2.4E-3
ENSG00000075884	ENSG00000085788	2.9E-3
ENSG00000069667	ENSG00000085978	2.7E-2
ENSG00000038945	ENSG00000272939	2.1E-2
ENSG00000009694	ENSG00000267229	5.3E-3
ENSG00000081803	ENSG00000086991	5.2E-3
ENSG00000081803	ENSG00000087128	5E-3
ENSG00000009694	ENSG00000087237	1.3E-2
ENSG00000071909	ENSG00000087237	1.3E-2
ENSG00000086289	ENSG00000087586	1.6E-2
ENSG00000044524	ENSG00000087842	1.6E-2
ENSG00000042781	ENSG00000268104	6.8E-3
ENSG00000069020	ENSG00000088543	2E-2
ENSG00000007174	ENSG00000088881	1.2E-2
ENSG00000081803	ENSG00000089472	6.5E-3
ENSG00000069667	ENSG00000089775	1E-2
ENSG00000048471	ENSG00000089818	9E-3
ENSG00000042781	ENSG00000091138	7.4E-3
ENSG00000066032	ENSG00000091138	3.1E-2
ENSG00000072657	ENSG00000091428	1.1E-2
ENSG00000044524	ENSG00000091482	1.7E-2
ENSG00000042781	ENSG00000091664	3.1E-3
ENSG00000044524	ENSG00000091664	1E-2
ENSG00000040731	ENSG00000092345	1.9E-2
ENSG00000075884	ENSG00000095002	3.5E-3
ENSG00000040731	ENSG00000095203	2.3E-2
ENSG00000038945	ENSG00000096006	1.6E-2
ENSG00000013297	ENSG00000096088	3.1E-2
ENSG00000072657	ENSG00000099282	1E-2
ENSG00000081803	ENSG00000099282	5.7E-3
ENSG00000021645	ENSG00000099812	4.2E-3
