# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000007062	1.2E-2
ENSG00000002746	ENSG00000008323	1.6E-2
ENSG00000005108	ENSG00000016864	1.1E-2
ENSG00000013297	ENSG00000267867	1.7E-2
ENSG00000013297	ENSG00000019485	1.3E-2
ENSG00000002746	ENSG00000021488	1.8E-2
ENSG00000009694	ENSG00000260130	2.6E-2
ENSG00000002746	ENSG00000039537	1.3E-2
ENSG00000018236	ENSG00000040487	1E-2
ENSG00000021645	ENSG00000042832	2.2E-2
ENSG00000041515	ENSG00000043591	6.3E-3
ENSG00000040731	ENSG00000047936	9.7E-3
ENSG00000047648	ENSG00000048052	1.3E-2
ENSG00000044524	ENSG00000048462	1.8E-2
ENSG00000048052	ENSG00000048462	1.6E-2
ENSG00000046889	ENSG00000049167	1.4E-2
ENSG00000041515	ENSG00000049249	8.3E-3
ENSG00000042781	ENSG00000049283	2E-2
ENSG00000009694	ENSG00000049449	1.4E-2
ENSG00000007174	ENSG00000269002	2.5E-2
ENSG00000021645	ENSG00000049883	2E-2
ENSG00000048471	ENSG00000049883	2.3E-2
ENSG00000042781	ENSG00000050730	2.3E-2
ENSG00000041515	ENSG00000053108	7.3E-3
ENSG00000044524	ENSG00000053747	1.7E-2
ENSG00000047648	ENSG00000053747	1.6E-2
ENSG00000048052	ENSG00000053747	1.3E-2
ENSG00000009694	ENSG00000056998	2E-2
ENSG00000048471	ENSG00000057019	1.2E-2
ENSG00000048471	ENSG00000057657	2E-2
ENSG00000041515	ENSG00000058453	6.2E-3
ENSG00000044524	ENSG00000060982	1.6E-2
ENSG00000048052	ENSG00000060982	1.2E-2
ENSG00000018236	ENSG00000062038	2.9E-3
ENSG00000040731	ENSG00000062038	3.4E-3
ENSG00000041515	ENSG00000062038	2E-3
ENSG00000048471	ENSG00000062038	5.8E-3
ENSG00000047617	ENSG00000062096	8.2E-3
ENSG00000013297	ENSG00000063176	1.4E-2
ENSG00000007174	ENSG00000063245	7.2E-3
ENSG00000005108	ENSG00000064652	8.6E-3
ENSG00000042781	ENSG00000065325	3E-2
ENSG00000021645	ENSG00000065485	2.4E-2
ENSG00000048052	ENSG00000065882	1.5E-2
ENSG00000060718	ENSG00000066056	1.8E-2
ENSG00000046889	ENSG00000066135	1.3E-2
ENSG00000041515	ENSG00000066405	8.4E-3
ENSG00000041515	ENSG00000066629	7.6E-3
ENSG00000002746	ENSG00000268579	2.9E-2
ENSG00000009694	ENSG00000068024	1.6E-2
ENSG00000013297	ENSG00000068137	1.1E-2
ENSG00000048052	ENSG00000068793	1.3E-2
ENSG00000013297	ENSG00000068976	1.5E-2
ENSG00000041515	ENSG00000069431	8.4E-3
ENSG00000013297	ENSG00000069696	6.5E-3
ENSG00000041515	ENSG00000069764	4.5E-3
ENSG00000018236	ENSG00000070018	1.2E-2
ENSG00000009694	ENSG00000070159	1.1E-2
ENSG00000040731	ENSG00000070159	1E-2
ENSG00000044524	ENSG00000070601	1.8E-2
ENSG00000047648	ENSG00000070601	1.9E-2
ENSG00000048052	ENSG00000070601	1.1E-2
ENSG00000044524	ENSG00000070669	1.5E-2
ENSG00000048052	ENSG00000070669	1.2E-2
ENSG00000041515	ENSG00000071189	6E-3
ENSG00000040731	ENSG00000071203	3.5E-3
ENSG00000041515	ENSG00000071203	2E-3
ENSG00000067715	ENSG00000071575	7.6E-3
ENSG00000013297	ENSG00000071677	7E-3
ENSG00000040731	ENSG00000072041	8E-3
ENSG00000041515	ENSG00000072041	3.7E-3
ENSG00000048471	ENSG00000072041	1.1E-2
ENSG00000018236	ENSG00000072080	6.7E-3
ENSG00000060709	ENSG00000072163	1.5E-2
ENSG00000005108	ENSG00000072736	1.8E-2
ENSG00000047648	ENSG00000073464	1.8E-2
ENSG00000048052	ENSG00000073464	1.4E-2
ENSG00000018236	ENSG00000263298	1.1E-2
ENSG00000021645	ENSG00000073754	1.8E-2
ENSG00000005108	ENSG00000073792	1.3E-2
ENSG00000060709	ENSG00000074054	1E-2
ENSG00000040731	ENSG00000074771	1.2E-2
ENSG00000066032	ENSG00000075035	1.9E-2
ENSG00000058091	ENSG00000075151	2.3E-2
ENSG00000044524	ENSG00000075213	2E-2
ENSG00000047648	ENSG00000075213	1.7E-2
ENSG00000002746	ENSG00000075461	3.1E-2
ENSG00000067715	ENSG00000075651	1.5E-2
ENSG00000018236	ENSG00000075673	8E-3
ENSG00000069667	ENSG00000075826	1.8E-2
ENSG00000041515	ENSG00000075891	8.2E-3
