# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000011677	1.8E-2
ENSG00000009694	ENSG00000011677	1.4E-2
ENSG00000002746	ENSG00000012504	1.4E-2
ENSG00000009694	ENSG00000012817	1.6E-2
ENSG00000005108	ENSG00000015592	8.6E-3
ENSG00000005108	ENSG00000016082	7.4E-3
ENSG00000002746	ENSG00000027644	6.5E-3
ENSG00000002746	ENSG00000036828	6.7E-3
ENSG00000040731	ENSG00000042304	2.1E-2
ENSG00000039139	ENSG00000047346	6E-3
ENSG00000005108	ENSG00000053438	7.6E-3
ENSG00000041515	ENSG00000054796	2.4E-3
ENSG00000042781	ENSG00000054796	2.7E-3
ENSG00000021645	ENSG00000056487	1.7E-2
ENSG00000055609	ENSG00000057149	1.3E-2
ENSG00000060718	ENSG00000060982	1.1E-2
ENSG00000048471	ENSG00000061273	1.6E-2
ENSG00000048471	ENSG00000061936	9.8E-3
ENSG00000021645	ENSG00000062194	1.1E-2
ENSG00000018236	ENSG00000064205	2.4E-2
ENSG00000058091	ENSG00000064652	1.4E-2
ENSG00000005108	ENSG00000064692	2.7E-2
ENSG00000033122	ENSG00000065325	1.5E-2
ENSG00000040731	ENSG00000066032	1.8E-2
ENSG00000060709	ENSG00000267915	1.5E-2
ENSG00000021645	ENSG00000067900	1.3E-2
ENSG00000021645	ENSG00000068615	2.3E-2
ENSG00000033122	ENSG00000269840	7.9E-3
ENSG00000033122	ENSG00000069122	1.4E-2
ENSG00000048471	ENSG00000070031	1.9E-2
ENSG00000060718	ENSG00000070031	1.2E-2
ENSG00000069020	ENSG00000070081	1.3E-2
ENSG00000021645	ENSG00000070614	2.2E-2
ENSG00000002746	ENSG00000070748	2.3E-2
ENSG00000009694	ENSG00000070778	2.3E-2
ENSG00000041515	ENSG00000072315	2.5E-3
ENSG00000042781	ENSG00000072315	2.8E-3
ENSG00000038945	ENSG00000072694	1.5E-2
ENSG00000042781	ENSG00000073754	9.6E-3
ENSG00000071909	ENSG00000073754	7.1E-3
ENSG00000048471	ENSG00000074590	1.7E-2
ENSG00000058091	ENSG00000074590	1.2E-2
ENSG00000060718	ENSG00000074590	1E-2
ENSG00000067715	ENSG00000075223	1E-2
ENSG00000042781	ENSG00000271760	1.9E-2
ENSG00000060709	ENSG00000075388	1.1E-2
ENSG00000013297	ENSG00000075420	1.3E-2
ENSG00000040731	ENSG00000075891	1.2E-2
ENSG00000071909	ENSG00000076356	1.8E-2
ENSG00000075884	ENSG00000076641	1E-2
ENSG00000044524	ENSG00000077009	1.3E-2
ENSG00000048471	ENSG00000077238	2.7E-2
ENSG00000067715	ENSG00000077327	1.1E-2
ENSG00000048471	ENSG00000077420	1.4E-2
ENSG00000075884	ENSG00000077420	1E-2
ENSG00000018236	ENSG00000077942	2.5E-2
ENSG00000048471	ENSG00000077943	1.9E-2
ENSG00000067798	ENSG00000077943	1.9E-2
ENSG00000013297	ENSG00000078018	1.8E-2
ENSG00000071909	ENSG00000078053	2.3E-2
ENSG00000060718	ENSG00000078098	8.3E-3
ENSG00000069667	ENSG00000078098	9.6E-3
ENSG00000041515	ENSG00000078579	1.6E-2
ENSG00000009694	ENSG00000079112	2.2E-3
ENSG00000041515	ENSG00000079112	2.3E-3
ENSG00000042781	ENSG00000079112	2.5E-3
ENSG00000048052	ENSG00000079112	3.6E-3
ENSG00000072657	ENSG00000079112	2.2E-3
ENSG00000078295	ENSG00000079112	3.2E-3
ENSG00000021645	ENSG00000079156	2.2E-2
ENSG00000013297	ENSG00000080293	1.1E-2
ENSG00000071909	ENSG00000080644	9.9E-3
ENSG00000042781	ENSG00000080910	1.1E-2
ENSG00000080224	ENSG00000080910	9.7E-3
ENSG00000067715	ENSG00000081138	1.2E-2
ENSG00000071909	ENSG00000081138	1.1E-2
ENSG00000075884	ENSG00000081189	9.4E-3
ENSG00000075884	ENSG00000262418	1.3E-2
ENSG00000009694	ENSG00000081248	1.5E-2
ENSG00000021645	ENSG00000081923	1.5E-2
ENSG00000075884	ENSG00000082074	6.2E-3
ENSG00000039139	ENSG00000082175	1.1E-2
ENSG00000039139	ENSG00000082196	2.4E-2
ENSG00000060718	ENSG00000082196	1.2E-2
ENSG00000042781	ENSG00000082293	1.2E-2
ENSG00000080224	ENSG00000082293	1.1E-2
ENSG00000081853	ENSG00000082516	8.1E-3
ENSG00000055609	ENSG00000082701	1.9E-2
ENSG00000041515	ENSG00000082929	2.5E-2
ENSG00000042781	ENSG00000083642	2E-2
ENSG00000018236	ENSG00000083782	2.7E-2
ENSG00000040731	ENSG00000083782	2.5E-2
ENSG00000060718	ENSG00000083782	1.4E-2
ENSG00000067798	ENSG00000083782	2.3E-2
ENSG00000075884	ENSG00000083799	1E-2
ENSG00000069020	ENSG00000084628	1.4E-2
ENSG00000040731	ENSG00000084674	1.2E-2
ENSG00000081853	ENSG00000085185	1.4E-2
ENSG00000075884	ENSG00000086288	1.1E-2
ENSG00000038945	ENSG00000086300	2.3E-2
ENSG00000060718	ENSG00000086991	1.2E-2
ENSG00000018236	ENSG00000087245	8.6E-3
ENSG00000067798	ENSG00000087245	8.7E-3
ENSG00000058091	ENSG00000087250	1.3E-2
ENSG00000060718	ENSG00000087303	8.5E-3
ENSG00000069667	ENSG00000087589	1.5E-2
ENSG00000060718	ENSG00000088756	1.1E-2
ENSG00000080224	ENSG00000088782	1E-2
ENSG00000082293	ENSG00000088782	8.3E-3
