# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000022355	6E-3
ENSG00000013297	ENSG00000027644	1.4E-2
ENSG00000018236	ENSG00000028203	1.4E-2
ENSG00000021645	ENSG00000029639	4.5E-3
ENSG00000002746	ENSG00000039987	1.3E-2
ENSG00000040731	ENSG00000042304	4.4E-3
ENSG00000040731	ENSG00000044524	7.4E-3
ENSG00000046889	ENSG00000047617	1.3E-2
ENSG00000048052	ENSG00000048991	1.6E-2
ENSG00000042781	ENSG00000049249	1.6E-2
ENSG00000005108	ENSG00000049883	5.1E-3
ENSG00000007174	ENSG00000049883	6.6E-3
ENSG00000038945	ENSG00000050344	5.8E-3
ENSG00000040731	ENSG00000050344	1.2E-3
ENSG00000041515	ENSG00000050438	1.1E-2
ENSG00000040731	ENSG00000050628	7E-3
ENSG00000002746	ENSG00000053524	2.6E-3
ENSG00000007174	ENSG00000053524	4.9E-3
ENSG00000009694	ENSG00000053524	1.7E-3
ENSG00000038945	ENSG00000053524	4E-3
ENSG00000048052	ENSG00000053524	1.5E-3
ENSG00000048471	ENSG00000053524	1.7E-3
ENSG00000048052	ENSG00000053747	9.2E-3
ENSG00000048471	ENSG00000054392	1.9E-2
ENSG00000040731	ENSG00000058085	6.8E-3
ENSG00000048052	ENSG00000060982	1.3E-2
ENSG00000040731	ENSG00000062096	4.4E-3
ENSG00000048052	ENSG00000062650	1.1E-2
ENSG00000040731	ENSG00000063169	4.7E-3
ENSG00000048471	ENSG00000063169	1.4E-2
ENSG00000040731	ENSG00000065600	4.9E-3
ENSG00000040731	ENSG00000065717	5.4E-3
ENSG00000047648	ENSG00000065717	3.4E-2
ENSG00000040731	ENSG00000065833	8.2E-3
ENSG00000048052	ENSG00000065882	1.3E-2
ENSG00000040731	ENSG00000065883	7.9E-3
ENSG00000047617	ENSG00000065989	1.5E-2
ENSG00000047617	ENSG00000066135	1.4E-2
ENSG00000040731	ENSG00000066294	8.4E-3
ENSG00000040731	ENSG00000066405	9.8E-3
ENSG00000048052	ENSG00000066651	1.1E-2
ENSG00000013297	ENSG00000066926	1.4E-2
ENSG00000060709	ENSG00000067221	9.5E-3
ENSG00000066032	ENSG00000068078	1.8E-2
ENSG00000048471	ENSG00000068097	1.9E-2
ENSG00000042781	ENSG00000068650	1.8E-2
ENSG00000048052	ENSG00000068793	7.6E-3
ENSG00000007174	ENSG00000069018	6.2E-3
ENSG00000042781	ENSG00000069018	3E-3
ENSG00000047648	ENSG00000069018	4.5E-3
ENSG00000048052	ENSG00000069018	2E-3
ENSG00000067798	ENSG00000069018	5.5E-3
ENSG00000041515	ENSG00000069020	1.4E-2
ENSG00000060709	ENSG00000069188	1.1E-2
ENSG00000040731	ENSG00000069431	9.7E-3
ENSG00000047617	ENSG00000069696	7E-3
ENSG00000040731	ENSG00000069712	4.2E-3
ENSG00000040731	ENSG00000070018	6.8E-3
ENSG00000048052	ENSG00000070031	1.1E-2
ENSG00000048052	ENSG00000070081	4.9E-3
ENSG00000048471	ENSG00000070269	6.3E-3
ENSG00000040731	ENSG00000070366	5.3E-3
ENSG00000066032	ENSG00000070366	1.5E-2
ENSG00000060709	ENSG00000070413	1.2E-2
ENSG00000042781	ENSG00000070601	7.3E-3
ENSG00000047648	ENSG00000070601	1.1E-2
ENSG00000048052	ENSG00000070601	5E-3
ENSG00000048052	ENSG00000070669	1.3E-2
ENSG00000067715	ENSG00000071575	1.4E-2
ENSG00000067798	ENSG00000072041	1.6E-2
ENSG00000013297	ENSG00000072062	2.7E-2
ENSG00000042781	ENSG00000072080	1.6E-2
ENSG00000040731	ENSG00000072121	6.1E-3
ENSG00000048052	ENSG00000072121	1.2E-2
ENSG00000058091	ENSG00000072163	1.9E-2
ENSG00000040731	ENSG00000072657	4.4E-3
ENSG00000066032	ENSG00000073067	4.5E-3
ENSG00000040731	ENSG00000073282	5.6E-3
ENSG00000038945	ENSG00000073670	7.2E-3
ENSG00000048052	ENSG00000073670	2.4E-3
ENSG00000040731	ENSG00000073711	5.7E-3
ENSG00000002746	ENSG00000073737	1.7E-2
ENSG00000041515	ENSG00000073849	1.5E-2
ENSG00000040731	ENSG00000074410	9.1E-3
ENSG00000060709	ENSG00000074695	1E-2
ENSG00000046889	ENSG00000074803	1.8E-2
ENSG00000060709	ENSG00000075089	6.4E-3
ENSG00000040731	ENSG00000075223	6.6E-3
ENSG00000040731	ENSG00000075234	5.6E-3
ENSG00000048052	ENSG00000075234	1.3E-2
ENSG00000040731	ENSG00000271760	7.8E-3
ENSG00000041515	ENSG00000271760	1.6E-2
ENSG00000040731	ENSG00000075388	3.5E-3
ENSG00000058091	ENSG00000075884	5.8E-3
ENSG00000075884	ENSG00000075945	4.6E-3
ENSG00000075884	ENSG00000076003	1.8E-3
ENSG00000075884	ENSG00000076043	2.8E-3
ENSG00000075884	ENSG00000076242	2.7E-3
ENSG00000075884	ENSG00000076248	2.9E-3
ENSG00000040731	ENSG00000076258	3.4E-3
ENSG00000005108	ENSG00000077080	3.3E-3
ENSG00000060709	ENSG00000077080	1.8E-3
ENSG00000075884	ENSG00000077097	2.3E-3
ENSG00000040731	ENSG00000077264	4.1E-3
ENSG00000075884	ENSG00000077380	1.5E-3
ENSG00000075884	ENSG00000077420	4.1E-3
ENSG00000040731	ENSG00000078114	5.9E-3
ENSG00000072657	ENSG00000078487	1.5E-2
ENSG00000078295	ENSG00000078589	1.7E-2
ENSG00000075884	ENSG00000078618	2.4E-3
ENSG00000075884	ENSG00000078668	5.1E-3
ENSG00000060718	ENSG00000078725	1.5E-2
ENSG00000040731	ENSG00000078747	5.2E-3
ENSG00000013297	ENSG00000078814	2.1E-2
ENSG00000075213	ENSG00000078900	1.4E-2
ENSG00000040731	ENSG00000078967	7.7E-3
ENSG00000002746	ENSG00000079393	1.7E-2
ENSG00000040731	ENSG00000079557	4.5E-3
ENSG00000009694	ENSG00000079689	1.3E-2
ENSG00000013297	ENSG00000079689	1.7E-2
ENSG00000048471	ENSG00000079689	1.5E-2
ENSG00000078328	ENSG00000079841	1.1E-2
ENSG00000007174	ENSG00000080298	1.3E-2
ENSG00000072657	ENSG00000080618	2.1E-2
ENSG00000046889	ENSG00000080709	2.1E-2
ENSG00000047617	ENSG00000081014	1.4E-2
ENSG00000013297	ENSG00000081052	5.2E-3
ENSG00000021645	ENSG00000081052	1.1E-2
ENSG00000040731	ENSG00000081052	1.9E-3
ENSG00000041515	ENSG00000081052	4E-3
ENSG00000048052	ENSG00000081087	7.3E-3
ENSG00000072657	ENSG00000081087	8.9E-3
ENSG00000048471	ENSG00000081138	7.5E-3
ENSG00000075884	ENSG00000081189	2.4E-3
ENSG00000060709	ENSG00000081307	8.3E-3
ENSG00000040731	ENSG00000081479	3.1E-3
ENSG00000044524	ENSG00000081479	1.2E-2
ENSG00000047617	ENSG00000081479	6.2E-3
ENSG00000048471	ENSG00000081665	1.8E-2
ENSG00000079841	ENSG00000273256	6.4E-3
ENSG00000075884	ENSG00000081870	5.6E-3
ENSG00000046889	ENSG00000081985	1.8E-2
ENSG00000075884	ENSG00000082068	3.4E-3
ENSG00000047617	ENSG00000082397	1.2E-2
ENSG00000048052	ENSG00000082397	1.2E-2
ENSG00000079841	ENSG00000082482	1.2E-2
ENSG00000075884	ENSG00000082512	3.5E-3
ENSG00000013297	ENSG00000083307	1.8E-2
ENSG00000013297	ENSG00000083782	1.1E-2
ENSG00000047617	ENSG00000083782	8.3E-3
ENSG00000067715	ENSG00000083857	1.3E-2
ENSG00000075884	ENSG00000084072	5.8E-3
ENSG00000040731	ENSG00000084674	3.8E-3
ENSG00000075213	ENSG00000084734	1.5E-2
ENSG00000047617	ENSG00000085274	1.2E-2
ENSG00000040731	ENSG00000085276	7.4E-3
ENSG00000075884	ENSG00000085511	4.9E-3
ENSG00000083067	ENSG00000085563	1.1E-2
ENSG00000060718	ENSG00000085978	2.3E-2
ENSG00000066032	ENSG00000085978	1.4E-2
ENSG00000013297	ENSG00000085998	8.4E-3
ENSG00000066032	ENSG00000086015	1.5E-2
ENSG00000075884	ENSG00000086232	6.1E-3
ENSG00000058091	ENSG00000086475	2.4E-2
ENSG00000075884	ENSG00000086475	4.1E-3
ENSG00000041515	ENSG00000086506	6.4E-3
ENSG00000079841	ENSG00000086544	8.8E-3
ENSG00000060718	ENSG00000086696	1.7E-2
ENSG00000042781	ENSG00000087008	1.6E-2
ENSG00000005108	ENSG00000087076	7.9E-3
ENSG00000060718	ENSG00000087095	2.1E-2
ENSG00000021645	ENSG00000087128	7.3E-3
ENSG00000041515	ENSG00000087128	2.7E-3
ENSG00000067798	ENSG00000087128	7.2E-3
ENSG00000048052	ENSG00000087237	6.1E-3
ENSG00000040731	ENSG00000087245	3.7E-3
ENSG00000041515	ENSG00000087245	1E-2
ENSG00000041515	ENSG00000268104	4.8E-3
ENSG00000079841	ENSG00000268104	5.9E-3
ENSG00000075884	ENSG00000088035	4.9E-3
ENSG00000075884	ENSG00000088205	4.7E-3
ENSG00000075884	ENSG00000088298	4.3E-3
ENSG00000075884	ENSG00000088325	3.1E-3
ENSG00000040731	ENSG00000088386	6.5E-3
ENSG00000075884	ENSG00000088682	3.2E-3
ENSG00000018236	ENSG00000088726	7.2E-3
ENSG00000040731	ENSG00000088726	2.5E-3
ENSG00000066032	ENSG00000088726	6.3E-3
ENSG00000040731	ENSG00000088812	7.7E-3
ENSG00000041515	ENSG00000088826	1.7E-2
ENSG00000075884	ENSG00000088888	4.5E-3
ENSG00000018236	ENSG00000088926	1.7E-2
ENSG00000047617	ENSG00000089012	1E-2
ENSG00000040731	ENSG00000089050	6E-3
ENSG00000075884	ENSG00000089063	1.9E-3
ENSG00000060709	ENSG00000089123	7.3E-3
ENSG00000047617	ENSG00000089163	1.7E-2
ENSG00000040731	ENSG00000089250	7.7E-3
ENSG00000075884	ENSG00000089335	4.1E-3
