# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000008197	5.6E-3
ENSG00000007174	ENSG00000008226	8.6E-3
ENSG00000009694	ENSG00000011083	9.5E-3
ENSG00000007174	ENSG00000016402	1.3E-2
ENSG00000007174	ENSG00000034239	1.6E-2
ENSG00000007174	ENSG00000039139	1.5E-2
ENSG00000018236	ENSG00000046653	1.7E-2
ENSG00000005108	ENSG00000052795	2E-2
ENSG00000021645	ENSG00000057704	1.2E-2
ENSG00000060718	ENSG00000061455	5.8E-3
ENSG00000058091	ENSG00000062370	9.1E-3
ENSG00000047617	ENSG00000064655	1.5E-2
ENSG00000038945	ENSG00000064989	1.7E-2
ENSG00000021645	ENSG00000064999	9.5E-3
ENSG00000047617	ENSG00000065882	1.4E-2
ENSG00000038945	ENSG00000066405	1.3E-2
ENSG00000058091	ENSG00000067141	1.1E-2
ENSG00000060718	ENSG00000067141	9.5E-3
ENSG00000058091	ENSG00000067445	1.3E-2
ENSG00000060718	ENSG00000067445	1.1E-2
ENSG00000018236	ENSG00000267915	1E-2
ENSG00000040731	ENSG00000068078	2.5E-2
ENSG00000067798	ENSG00000068971	1.2E-2
ENSG00000013297	ENSG00000069206	9.7E-3
ENSG00000048471	ENSG00000069399	1.6E-2
ENSG00000038945	ENSG00000069764	1.5E-2
ENSG00000040731	ENSG00000070759	1.5E-2
ENSG00000040731	ENSG00000070961	1.4E-2
ENSG00000048052	ENSG00000071677	1.3E-2
ENSG00000041515	ENSG00000071991	1.4E-2
ENSG00000067798	ENSG00000072041	2E-2
ENSG00000048471	ENSG00000072135	1.3E-2
ENSG00000047648	ENSG00000072682	1.5E-2
ENSG00000039139	ENSG00000073737	1.7E-2
ENSG00000067715	ENSG00000074211	1.5E-2
ENSG00000067715	ENSG00000074317	6.6E-3
ENSG00000042781	ENSG00000074771	2.1E-2
ENSG00000002746	ENSG00000075035	1.7E-2
ENSG00000005108	ENSG00000075388	1.6E-2
ENSG00000075213	ENSG00000075618	1.8E-2
ENSG00000048052	ENSG00000075891	1.4E-2
ENSG00000075884	ENSG00000272879	1.1E-2
ENSG00000021645	ENSG00000077063	1.2E-2
ENSG00000075213	ENSG00000077232	2E-2
ENSG00000066032	ENSG00000077274	1.1E-2
ENSG00000071909	ENSG00000077274	1.8E-2
ENSG00000075884	ENSG00000077420	1.1E-2
ENSG00000066032	ENSG00000078018	1.5E-2
ENSG00000002746	ENSG00000078053	1.6E-2
ENSG00000066032	ENSG00000078053	1.4E-2
ENSG00000038945	ENSG00000078081	1.1E-2
ENSG00000067715	ENSG00000078295	1.6E-2
ENSG00000075884	ENSG00000078596	1.3E-2
ENSG00000041515	ENSG00000078814	1.5E-2
ENSG00000060718	ENSG00000079150	9.4E-3
ENSG00000021645	ENSG00000079215	2.6E-2
ENSG00000069667	ENSG00000079393	1.9E-2
ENSG00000055609	ENSG00000079432	1.4E-2
ENSG00000033122	ENSG00000080224	2.6E-2
ENSG00000066032	ENSG00000080298	7.4E-3
ENSG00000021645	ENSG00000081026	1.7E-2
ENSG00000040731	ENSG00000081026	1.8E-2
ENSG00000040731	ENSG00000081051	1.6E-2
ENSG00000075884	ENSG00000081059	1.2E-2
ENSG00000075884	ENSG00000262418	1.1E-2
ENSG00000066032	ENSG00000272633	1.1E-2
ENSG00000075884	ENSG00000082074	1.1E-2
ENSG00000044524	ENSG00000082126	1.8E-2
ENSG00000005108	ENSG00000082438	2E-2
ENSG00000047617	ENSG00000082684	1.2E-2
ENSG00000055609	ENSG00000082701	1.4E-2
ENSG00000047617	ENSG00000083067	1.6E-2
ENSG00000066032	ENSG00000083067	1.3E-2
ENSG00000047617	ENSG00000083307	1.5E-2
ENSG00000048471	ENSG00000083844	1.3E-2
ENSG00000066032	ENSG00000084710	1.4E-2
ENSG00000007174	ENSG00000085465	1.2E-2
ENSG00000079841	ENSG00000086288	2.2E-2
ENSG00000038945	ENSG00000272939	1.2E-2
ENSG00000047648	ENSG00000087245	2.2E-2
ENSG00000078328	ENSG00000087250	8.2E-3
ENSG00000067715	ENSG00000087258	1.6E-2
ENSG00000047617	ENSG00000087510	1.3E-2
ENSG00000082293	ENSG00000088881	1.3E-2
ENSG00000060718	ENSG00000088882	1.7E-2
ENSG00000009694	ENSG00000089012	1.5E-2
ENSG00000075884	ENSG00000089012	1E-2
ENSG00000067798	ENSG00000089041	1.4E-2
