# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000003400	1.1E-2
ENSG00000005108	ENSG00000008311	1.9E-2
ENSG00000007174	ENSG00000008438	6.2E-3
ENSG00000005108	ENSG00000010319	1.6E-2
ENSG00000002746	ENSG00000030419	9.1E-3
ENSG00000002746	ENSG00000042813	8.7E-3
ENSG00000042781	ENSG00000042813	2.8E-2
ENSG00000005108	ENSG00000044459	1.7E-2
ENSG00000005108	ENSG00000046889	2E-2
ENSG00000007174	ENSG00000052850	7.5E-3
ENSG00000009694	ENSG00000053702	1.5E-2
ENSG00000021645	ENSG00000054938	6.8E-3
ENSG00000009694	ENSG00000059915	6.5E-3
ENSG00000039139	ENSG00000060558	1.3E-2
ENSG00000039139	ENSG00000060656	1.4E-2
ENSG00000058091	ENSG00000060718	1.4E-2
ENSG00000038945	ENSG00000060982	1.7E-2
ENSG00000060718	ENSG00000060982	9.5E-3
ENSG00000044524	ENSG00000061918	8E-3
ENSG00000007174	ENSG00000062096	5.3E-3
ENSG00000047617	ENSG00000062096	6.1E-3
ENSG00000013297	ENSG00000064205	2.1E-2
ENSG00000018236	ENSG00000064205	2.1E-2
ENSG00000013297	ENSG00000064300	1.7E-2
ENSG00000055609	ENSG00000064419	1.6E-2
ENSG00000021645	ENSG00000064692	2.6E-2
ENSG00000021645	ENSG00000065717	1.2E-2
ENSG00000021645	ENSG00000066032	2.3E-2
ENSG00000005108	ENSG00000066629	1.2E-2
ENSG00000066032	ENSG00000067715	2.7E-2
ENSG00000021645	ENSG00000068615	1.4E-2
ENSG00000005108	ENSG00000069431	2E-2
ENSG00000048052	ENSG00000070193	2.1E-2
ENSG00000055609	ENSG00000070269	1.1E-2
ENSG00000067798	ENSG00000070404	1.1E-2
ENSG00000009694	ENSG00000072163	5.9E-3
ENSG00000021645	ENSG00000072163	5.8E-3
ENSG00000046889	ENSG00000072163	6.1E-3
ENSG00000048052	ENSG00000072163	6.8E-3
ENSG00000069020	ENSG00000072163	6.8E-3
ENSG00000033122	ENSG00000072182	3E-3
ENSG00000047617	ENSG00000072182	2.9E-3
ENSG00000009694	ENSG00000072195	2.4E-2
ENSG00000038945	ENSG00000072694	9.7E-3
ENSG00000058091	ENSG00000072694	7.5E-3
ENSG00000033122	ENSG00000073598	7E-3
