# Gene_A	Gene_B	Weight
ENSG00000009694	ENSG00000010361	1.4E-2
ENSG00000013297	ENSG00000019991	2E-2
ENSG00000018236	ENSG00000020426	1.1E-2
ENSG00000009694	ENSG00000021488	1.6E-2
ENSG00000018236	ENSG00000021645	2.1E-2
ENSG00000009694	ENSG00000021826	1.3E-2
ENSG00000018236	ENSG00000028839	5.7E-3
ENSG00000009694	ENSG00000269411	1.3E-2
ENSG00000007174	ENSG00000039537	1.8E-2
ENSG00000039139	ENSG00000047346	1.1E-2
ENSG00000039139	ENSG00000048540	1.4E-2
ENSG00000040731	ENSG00000056291	9E-3
ENSG00000047648	ENSG00000060566	3.3E-3
ENSG00000039139	ENSG00000064042	1.3E-2
ENSG00000047648	ENSG00000064201	1.3E-2
ENSG00000041515	ENSG00000064655	1.5E-2
ENSG00000055609	ENSG00000064687	1.5E-2
ENSG00000009694	ENSG00000065154	2.1E-2
ENSG00000013297	ENSG00000065675	2.9E-2
ENSG00000055609	ENSG00000065717	1.2E-2
ENSG00000033122	ENSG00000267915	1.2E-2
ENSG00000039139	ENSG00000069122	4.7E-3
ENSG00000058091	ENSG00000069943	1E-2
ENSG00000018236	ENSG00000069998	1E-2
ENSG00000060709	ENSG00000070019	1.5E-2
ENSG00000046889	ENSG00000070193	1.4E-2
ENSG00000021645	ENSG00000070269	1.8E-2
ENSG00000002746	ENSG00000070366	2.6E-2
ENSG00000060718	ENSG00000070540	1.4E-2
ENSG00000033122	ENSG00000071203	1.1E-2
ENSG00000067715	ENSG00000071539	7.7E-3
ENSG00000021645	ENSG00000072042	1.8E-2
ENSG00000047617	ENSG00000072182	1.1E-2
ENSG00000033122	ENSG00000072315	2.2E-2
ENSG00000038945	ENSG00000072694	1.7E-2
ENSG00000067798	ENSG00000074527	1.4E-2
ENSG00000060718	ENSG00000074590	1.4E-2
ENSG00000058091	ENSG00000075223	1.3E-2
ENSG00000021645	ENSG00000075673	1.3E-2
ENSG00000069020	ENSG00000075826	1.7E-2
ENSG00000038945	ENSG00000075884	7E-3
ENSG00000055609	ENSG00000076513	1.6E-2
ENSG00000048471	ENSG00000076555	3.2E-2
ENSG00000075884	ENSG00000076662	2.8E-3
ENSG00000067715	ENSG00000077152	6.7E-3
ENSG00000067798	ENSG00000077420	1.6E-2
ENSG00000021645	ENSG00000077782	2.2E-2
ENSG00000075884	ENSG00000078081	5.4E-3
ENSG00000058091	ENSG00000078098	6.4E-3
ENSG00000060718	ENSG00000078098	5.6E-3
ENSG00000013297	ENSG00000078579	1.2E-2
ENSG00000075884	ENSG00000078589	4.8E-3
ENSG00000075884	ENSG00000078596	4E-3
ENSG00000078328	ENSG00000078814	1.7E-2
ENSG00000058091	ENSG00000079150	1.6E-2
ENSG00000075884	ENSG00000079257	4.5E-3
ENSG00000075884	ENSG00000079263	6.9E-3
ENSG00000060709	ENSG00000079689	1.3E-2
ENSG00000071909	ENSG00000079841	3.1E-2
ENSG00000075884	ENSG00000079931	5.2E-3
ENSG00000007174	ENSG00000080572	1.4E-2
ENSG00000060718	ENSG00000080573	1E-2
ENSG00000075884	ENSG00000262418	7.6E-3
ENSG00000069667	ENSG00000081277	5.2E-3
ENSG00000075213	ENSG00000082153	1.2E-2
ENSG00000060718	ENSG00000082196	1.4E-2
ENSG00000080224	ENSG00000082293	1.6E-2
ENSG00000060718	ENSG00000083782	1.7E-2
ENSG00000075213	ENSG00000083937	1.9E-2
ENSG00000075884	ENSG00000084070	4.6E-3
ENSG00000060709	ENSG00000084628	1.1E-2
ENSG00000082293	ENSG00000084674	1.5E-2
ENSG00000046889	ENSG00000084734	1.3E-2
ENSG00000075884	ENSG00000085265	5.4E-3
ENSG00000069020	ENSG00000085465	1.4E-2
ENSG00000038945	ENSG00000085514	1.4E-2
ENSG00000078295	ENSG00000085741	1.8E-2
ENSG00000075884	ENSG00000085832	5.3E-3
ENSG00000021645	ENSG00000086205	1.8E-2
ENSG00000009694	ENSG00000086619	1.4E-2
ENSG00000060718	ENSG00000086717	1.4E-2
ENSG00000075884	ENSG00000262128	6.3E-3
ENSG00000046889	ENSG00000086967	1.5E-2
ENSG00000067798	ENSG00000086967	1.8E-2
ENSG00000060718	ENSG00000086991	1.4E-2
ENSG00000060718	ENSG00000087116	1.6E-2
ENSG00000060718	ENSG00000087303	9.8E-3
ENSG00000009694	ENSG00000087495	2.6E-2
ENSG00000069667	ENSG00000088726	9.7E-3
ENSG00000055609	ENSG00000088808	1.2E-2
ENSG00000069020	ENSG00000088808	1.5E-2
ENSG00000060718	ENSG00000088882	7.5E-3
ENSG00000018236	ENSG00000088986	1.3E-2
ENSG00000075884	ENSG00000089012	6.7E-3
ENSG00000041515	ENSG00000089163	2.1E-2
ENSG00000072657	ENSG00000089775	1.7E-2
ENSG00000048471	ENSG00000268876	1.3E-2
ENSG00000075884	ENSG00000090104	5.7E-3
ENSG00000075213	ENSG00000090339	6.7E-3
ENSG00000086289	ENSG00000090339	5.9E-3
ENSG00000075884	ENSG00000090382	6.6E-3
ENSG00000079841	ENSG00000091073	1.4E-2
ENSG00000086289	ENSG00000091262	5.7E-3
ENSG00000069667	ENSG00000091409	9.9E-3
ENSG00000060709	ENSG00000091428	1.9E-2
ENSG00000067715	ENSG00000091428	1.9E-2
ENSG00000075884	ENSG00000091490	6.4E-3
ENSG00000081803	ENSG00000091844	5.6E-3
ENSG00000081803	ENSG00000092964	3.7E-3
ENSG00000075884	ENSG00000093072	4.8E-3
ENSG00000075884	ENSG00000262509	5.3E-3
ENSG00000066032	ENSG00000095587	2.3E-2
ENSG00000021645	ENSG00000095596	6.6E-3
ENSG00000040731	ENSG00000095713	1.4E-2
ENSG00000038945	ENSG00000095970	1.1E-2
ENSG00000047648	ENSG00000095970	9.5E-3
ENSG00000075884	ENSG00000095970	2.7E-3
ENSG00000044524	ENSG00000096088	1.5E-2
ENSG00000085276	ENSG00000096088	1.9E-2
ENSG00000048471	ENSG00000099308	1.3E-2
ENSG00000069020	ENSG00000099308	1.5E-2
ENSG00000002746	ENSG00000099365	1E-2
ENSG00000081803	ENSG00000099622	7.3E-3
ENSG00000042781	ENSG00000099721	1.4E-2
ENSG00000082293	ENSG00000099721	9.8E-3
ENSG00000091831	ENSG00000099721	1.8E-2
ENSG00000040731	ENSG00000099840	9.6E-3
ENSG00000042781	ENSG00000099960	3E-2
ENSG00000086289	ENSG00000099994	5.4E-3
ENSG00000069020	ENSG00000099998	1.2E-2
ENSG00000041515	ENSG00000100068	2E-2
ENSG00000021645	ENSG00000100078	2.1E-2
ENSG00000075884	ENSG00000100079	7.2E-3
ENSG00000060718	ENSG00000100097	5.4E-3
ENSG00000021645	ENSG00000100154	2.4E-2
ENSG00000086289	ENSG00000100196	1.6E-2
ENSG00000067715	ENSG00000100206	2E-2
ENSG00000100154	ENSG00000100209	2.1E-2
ENSG00000100154	ENSG00000100221	1.3E-2
ENSG00000047617	ENSG00000100249	1.6E-2
ENSG00000047617	ENSG00000100276	5.8E-3
ENSG00000069020	ENSG00000100307	1.4E-2
ENSG00000091831	ENSG00000100341	1.1E-2
ENSG00000075884	ENSG00000100351	5.1E-3
ENSG00000042781	ENSG00000100362	1.6E-2
ENSG00000100154	ENSG00000100364	1.6E-2
ENSG00000075884	ENSG00000100365	2.2E-3
ENSG00000075884	ENSG00000100368	2.3E-3
ENSG00000047648	ENSG00000100399	1.7E-2
ENSG00000100154	ENSG00000100399	1.2E-2
ENSG00000021645	ENSG00000100422	1.6E-2
ENSG00000100154	ENSG00000100422	1.9E-2
ENSG00000009694	ENSG00000100519	9E-3
ENSG00000046889	ENSG00000100557	2.5E-2
ENSG00000075884	ENSG00000100600	4.7E-3
