# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000005001	4.2E-3
ENSG00000005108	ENSG00000005379	2.7E-2
ENSG00000005108	ENSG00000007062	1.8E-2
ENSG00000002746	ENSG00000008988	1.6E-3
ENSG00000005108	ENSG00000036530	2.1E-2
ENSG00000033122	ENSG00000040731	3.9E-3
ENSG00000040731	ENSG00000042813	2.9E-3
ENSG00000040731	ENSG00000042832	2.4E-3
ENSG00000040731	ENSG00000046774	4.1E-3
ENSG00000040731	ENSG00000048342	4.3E-3
ENSG00000040731	ENSG00000048540	4E-3
ENSG00000040731	ENSG00000049130	5E-3
ENSG00000040731	ENSG00000049283	3.2E-3
ENSG00000009694	ENSG00000051009	9E-3
ENSG00000040731	ENSG00000055813	3.4E-3
ENSG00000018236	ENSG00000056998	4.3E-2
ENSG00000040731	ENSG00000057149	3.8E-3
ENSG00000040731	ENSG00000058404	4.7E-3
ENSG00000040731	ENSG00000060709	3.9E-3
ENSG00000040731	ENSG00000060718	4.4E-3
ENSG00000040731	ENSG00000061337	4.9E-3
ENSG00000040731	ENSG00000064205	2.7E-3
ENSG00000055609	ENSG00000064313	3.9E-2
ENSG00000040731	ENSG00000064655	2.4E-3
ENSG00000040731	ENSG00000065361	4.4E-3
ENSG00000040731	ENSG00000065717	3E-3
ENSG00000055609	ENSG00000066135	9.4E-3
ENSG00000040731	ENSG00000066629	4.2E-3
ENSG00000040731	ENSG00000067191	3.6E-3
ENSG00000040731	ENSG00000068615	3.5E-3
ENSG00000040731	ENSG00000069018	3.5E-3
ENSG00000040731	ENSG00000069122	1.9E-3
ENSG00000040731	ENSG00000069206	4.7E-3
ENSG00000040731	ENSG00000069431	4.9E-3
ENSG00000040731	ENSG00000069696	2.5E-3
ENSG00000040731	ENSG00000069812	4E-3
ENSG00000040731	ENSG00000070159	3.9E-3
ENSG00000040731	ENSG00000070601	2.3E-3
ENSG00000069667	ENSG00000070718	2.7E-2
ENSG00000040731	ENSG00000070748	2.9E-3
ENSG00000005108	ENSG00000070882	2E-2
ENSG00000033122	ENSG00000071677	4.4E-3
ENSG00000040731	ENSG00000071677	2.6E-4
ENSG00000060709	ENSG00000071677	4.4E-3
