# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000006695	6.4E-3
ENSG00000007174	ENSG00000007372	4.6E-3
ENSG00000009694	ENSG00000012048	1.4E-2
ENSG00000009694	ENSG00000021826	1.8E-3
ENSG00000021645	ENSG00000022355	1.5E-3
ENSG00000018236	ENSG00000025423	1.9E-2
ENSG00000007174	ENSG00000032389	7.1E-3
ENSG00000021645	ENSG00000034713	6.7E-3
ENSG00000033122	ENSG00000036828	9.3E-3
ENSG00000007174	ENSG00000041982	2.3E-2
ENSG00000021645	ENSG00000044012	4.8E-3
ENSG00000047617	ENSG00000048471	3.9E-3
ENSG00000047617	ENSG00000048740	4.4E-3
ENSG00000007174	ENSG00000050438	5.9E-3
ENSG00000021645	ENSG00000050438	2.4E-3
ENSG00000038945	ENSG00000054277	1.1E-2
ENSG00000021645	ENSG00000054793	9.2E-3
ENSG00000021645	ENSG00000055813	5.4E-3
ENSG00000009694	ENSG00000057149	1.8E-2
ENSG00000021645	ENSG00000058404	1.5E-3
ENSG00000042781	ENSG00000059915	8.8E-3
ENSG00000044524	ENSG00000060140	1.2E-2
ENSG00000018236	ENSG00000060642	1.8E-2
ENSG00000040731	ENSG00000061676	1.3E-2
ENSG00000048052	ENSG00000061918	9.4E-3
ENSG00000048471	ENSG00000061936	1.5E-2
ENSG00000047617	ENSG00000269759	4.9E-3
ENSG00000021645	ENSG00000064999	2.2E-3
ENSG00000047617	ENSG00000064999	1.2E-3
ENSG00000005108	ENSG00000065609	4.9E-3
ENSG00000048052	ENSG00000065609	4.8E-3
ENSG00000058091	ENSG00000065609	3.9E-3
ENSG00000060709	ENSG00000065609	4.8E-3
ENSG00000055609	ENSG00000065883	2.1E-2
ENSG00000021645	ENSG00000066032	3.8E-3
ENSG00000013297	ENSG00000066294	1.8E-2
ENSG00000038945	ENSG00000066294	9E-3
ENSG00000007174	ENSG00000066827	2.7E-2
ENSG00000021645	ENSG00000066933	6.4E-3
ENSG00000018236	ENSG00000067141	1.6E-2
ENSG00000060718	ENSG00000067445	1.8E-2
ENSG00000021645	ENSG00000067715	2E-3
ENSG00000042781	ENSG00000267915	1.6E-2
ENSG00000058091	ENSG00000068305	1.8E-2
ENSG00000041515	ENSG00000069206	7.2E-3
ENSG00000021645	ENSG00000069329	8E-3
ENSG00000021645	ENSG00000069509	5.9E-3
ENSG00000040731	ENSG00000070159	1.2E-2
ENSG00000040731	ENSG00000070182	1.4E-2
ENSG00000047617	ENSG00000070601	4.9E-3
ENSG00000021645	ENSG00000070718	4.7E-3
ENSG00000067715	ENSG00000070718	4.6E-3
ENSG00000047617	ENSG00000070729	2.7E-3
ENSG00000067715	ENSG00000070785	5.5E-3
ENSG00000067715	ENSG00000070961	1.7E-3
ENSG00000047617	ENSG00000071246	3.9E-3
ENSG00000040731	ENSG00000072041	1.2E-2
ENSG00000040731	ENSG00000072201	1E-2
ENSG00000021645	ENSG00000072210	5.8E-3
ENSG00000067715	ENSG00000072210	6.2E-3
ENSG00000058091	ENSG00000072422	1.5E-2
ENSG00000067715	ENSG00000072422	4.3E-3
ENSG00000047617	ENSG00000072803	5E-3
ENSG00000021645	ENSG00000072832	3E-3
ENSG00000021645	ENSG00000073578	4E-3
ENSG00000005108	ENSG00000073910	2.2E-2
ENSG00000021645	ENSG00000073910	4.8E-3
ENSG00000021645	ENSG00000073969	6E-3
ENSG00000067715	ENSG00000073969	5.8E-3
ENSG00000005108	ENSG00000074201	1.5E-2
ENSG00000021645	ENSG00000074317	1.3E-3
ENSG00000047617	ENSG00000074621	2E-3
ENSG00000042781	ENSG00000075035	1.2E-2
ENSG00000044524	ENSG00000075035	9.4E-3
ENSG00000047617	ENSG00000075213	4.6E-3
ENSG00000067798	ENSG00000075223	1.2E-2
ENSG00000066032	ENSG00000075292	1.2E-2
ENSG00000067715	ENSG00000075292	5.8E-3
ENSG00000047617	ENSG00000075391	5E-3
ENSG00000067715	ENSG00000075407	5.2E-3
ENSG00000047617	ENSG00000075539	4.1E-3
ENSG00000038945	ENSG00000075643	9.5E-3
ENSG00000005108	ENSG00000075945	8.3E-3
ENSG00000047648	ENSG00000076555	1.8E-2
ENSG00000067715	ENSG00000076650	3.9E-3
ENSG00000047617	ENSG00000077044	1.6E-3
ENSG00000048471	ENSG00000077044	9.3E-3
ENSG00000021645	ENSG00000077063	4.4E-3
ENSG00000047617	ENSG00000077097	1.3E-3
ENSG00000047617	ENSG00000077279	3.8E-3
ENSG00000072657	ENSG00000262532	1.1E-2
ENSG00000075884	ENSG00000077984	1.2E-2
ENSG00000069667	ENSG00000078018	1.1E-2
ENSG00000038945	ENSG00000262970	1.6E-2
ENSG00000067715	ENSG00000078177	3.5E-3
ENSG00000021645	ENSG00000078295	8.4E-3
ENSG00000067715	ENSG00000078674	8.5E-3
ENSG00000047617	ENSG00000078699	5E-3
ENSG00000047617	ENSG00000079101	3.1E-3
ENSG00000021645	ENSG00000079102	6.2E-3
ENSG00000009694	ENSG00000079134	2.3E-2
ENSG00000005108	ENSG00000079156	1.3E-2
ENSG00000021645	ENSG00000079156	3.2E-3
ENSG00000021645	ENSG00000079739	6E-3
ENSG00000002746	ENSG00000079841	1.6E-2
ENSG00000040731	ENSG00000080493	8.1E-3
ENSG00000047617	ENSG00000080511	2.2E-3
ENSG00000047617	ENSG00000080823	4.7E-3
ENSG00000058091	ENSG00000269562	1.7E-2
ENSG00000039139	ENSG00000080910	2.4E-2
ENSG00000021645	ENSG00000081026	3.8E-3
ENSG00000067715	ENSG00000081026	3.7E-3
ENSG00000067715	ENSG00000081148	2.2E-3
ENSG00000047648	ENSG00000081320	1E-2
ENSG00000075884	ENSG00000081320	1.1E-2
ENSG00000047617	ENSG00000082126	1.7E-3
ENSG00000066032	ENSG00000082196	1.6E-2
ENSG00000040731	ENSG00000082497	7.9E-3
ENSG00000081853	ENSG00000082516	1.9E-2
ENSG00000058091	ENSG00000082701	9.5E-3
ENSG00000067715	ENSG00000082701	2.9E-3
ENSG00000058091	ENSG00000082805	1.7E-2
ENSG00000067715	ENSG00000082805	5.2E-3
ENSG00000080224	ENSG00000083782	6.6E-3
ENSG00000078328	ENSG00000084628	1E-2
ENSG00000067715	ENSG00000084764	2.5E-3
ENSG00000067715	ENSG00000268946	8.2E-3
ENSG00000048052	ENSG00000085433	4.4E-3
ENSG00000075213	ENSG00000085433	4.4E-3
ENSG00000047617	ENSG00000085552	3E-3
ENSG00000081803	ENSG00000085563	4.6E-3
ENSG00000085276	ENSG00000085999	1.6E-2
ENSG00000047617	ENSG00000086065	4.3E-3
ENSG00000007174	ENSG00000086205	2E-2
ENSG00000021645	ENSG00000086300	3.2E-3
ENSG00000066032	ENSG00000086300	5.9E-3
ENSG00000007174	ENSG00000087250	1.4E-2
ENSG00000081803	ENSG00000087253	1.7E-2
ENSG00000047617	ENSG00000087274	4.5E-3
ENSG00000042781	ENSG00000087299	1.4E-2
ENSG00000047617	ENSG00000087510	4.1E-3
ENSG00000021645	ENSG00000088179	9.8E-3
ENSG00000067715	ENSG00000088179	9.5E-3
ENSG00000047617	ENSG00000088899	7.6E-4
ENSG00000069667	ENSG00000088899	5.4E-3
ENSG00000075213	ENSG00000088899	5.1E-3
ENSG00000069020	ENSG00000089060	4.6E-3
ENSG00000048052	ENSG00000089163	1.1E-2
ENSG00000044524	ENSG00000089169	1.5E-2
ENSG00000021645	ENSG00000089199	2.4E-3
ENSG00000078295	ENSG00000089199	9.5E-3
ENSG00000078295	ENSG00000089486	9.1E-3
ENSG00000067715	ENSG00000089737	7.1E-3
ENSG00000066032	ENSG00000089876	9.9E-3
ENSG00000072657	ENSG00000090447	1.3E-2
ENSG00000081853	ENSG00000090905	1.9E-2
ENSG00000040731	ENSG00000091010	8.7E-3
ENSG00000079841	ENSG00000091010	2.2E-2
ENSG00000005108	ENSG00000091129	8.8E-3
ENSG00000021645	ENSG00000091129	2.2E-3
ENSG00000021645	ENSG00000091157	1.3E-3
ENSG00000048052	ENSG00000091157	4.7E-3
ENSG00000067715	ENSG00000091157	1.2E-3
ENSG00000081803	ENSG00000091436	1.6E-2
ENSG00000066032	ENSG00000091513	1.4E-2
ENSG00000040731	ENSG00000091664	3.2E-3
ENSG00000086289	ENSG00000091664	5.6E-3
ENSG00000091656	ENSG00000091664	4.1E-3
ENSG00000033122	ENSG00000091844	1.5E-2
ENSG00000042781	ENSG00000092096	6E-3
