# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000262077	1.4E-2
ENSG00000047648	ENSG00000049323	1.2E-2
ENSG00000042781	ENSG00000057468	2.1E-2
ENSG00000048052	ENSG00000057608	1.6E-2
ENSG00000041515	ENSG00000057704	4.3E-3
ENSG00000009694	ENSG00000058063	1.8E-2
ENSG00000058091	ENSG00000059804	9.1E-3
ENSG00000048471	ENSG00000063169	1.5E-2
ENSG00000002746	ENSG00000064666	5.7E-3
ENSG00000018236	ENSG00000065609	1.5E-2
ENSG00000060709	ENSG00000065609	1.6E-2
ENSG00000048471	ENSG00000066135	3.2E-2
ENSG00000066032	ENSG00000066230	1.5E-2
ENSG00000047617	ENSG00000067182	5.1E-3
ENSG00000009694	ENSG00000068305	2.5E-2
ENSG00000047617	ENSG00000068976	1.7E-2
ENSG00000009694	ENSG00000070269	2.1E-2
ENSG00000002746	ENSG00000269216	8.4E-3
ENSG00000041515	ENSG00000070731	6.6E-3
ENSG00000069667	ENSG00000070882	1.3E-2
ENSG00000040731	ENSG00000070985	9.6E-3
ENSG00000040731	ENSG00000071203	2.1E-2
ENSG00000066032	ENSG00000071282	1.7E-2
ENSG00000066032	ENSG00000072133	1.6E-2
ENSG00000047648	ENSG00000072422	1.4E-2
ENSG00000040731	ENSG00000072832	1.3E-2
ENSG00000021645	ENSG00000073067	4.2E-3
ENSG00000067798	ENSG00000073756	9E-3
ENSG00000041515	ENSG00000073910	2E-2
ENSG00000069667	ENSG00000076248	6.3E-3
ENSG00000055609	ENSG00000076513	1.7E-2
ENSG00000055609	ENSG00000076662	5.8E-3
ENSG00000048052	ENSG00000077585	1.5E-2
ENSG00000039139	ENSG00000077984	1.7E-2
ENSG00000018236	ENSG00000078098	1.9E-2
ENSG00000042781	ENSG00000078098	1.7E-2
ENSG00000041515	ENSG00000078804	1.2E-2
ENSG00000060718	ENSG00000079112	9.5E-3
ENSG00000060718	ENSG00000079841	2.9E-2
ENSG00000048052	ENSG00000233280	6.4E-3
ENSG00000067798	ENSG00000080572	1.3E-2
ENSG00000069020	ENSG00000081059	8.3E-3
ENSG00000007174	ENSG00000081148	3E-2
ENSG00000047648	ENSG00000081181	1E-2
ENSG00000002746	ENSG00000081803	9.1E-3
ENSG00000044524	ENSG00000081803	9.8E-3
ENSG00000060718	ENSG00000081803	8.7E-3
ENSG00000081803	ENSG00000272633	7.2E-3
ENSG00000081803	ENSG00000083067	9.8E-3
ENSG00000081803	ENSG00000083782	5.9E-3
ENSG00000055609	ENSG00000084234	1.5E-2
ENSG00000055609	ENSG00000084676	2.5E-2
ENSG00000078328	ENSG00000085117	5.2E-3
ENSG00000081803	ENSG00000085276	1E-2
ENSG00000038945	ENSG00000086061	1.1E-2
ENSG00000009694	ENSG00000086288	1.5E-2
ENSG00000047617	ENSG00000086544	8E-3
ENSG00000086289	ENSG00000086717	2.1E-2
ENSG00000082293	ENSG00000086967	1.9E-2
ENSG00000081803	ENSG00000086991	8E-3
ENSG00000058091	ENSG00000087074	9.8E-3
ENSG00000066032	ENSG00000087206	7.9E-3
ENSG00000066032	ENSG00000087495	1.8E-2
ENSG00000067798	ENSG00000087589	1.8E-2
ENSG00000047648	ENSG00000270886	1.1E-2
ENSG00000081803	ENSG00000088280	8.4E-3
ENSG00000086289	ENSG00000088325	9.7E-3
ENSG00000060718	ENSG00000088386	2.4E-2
ENSG00000079841	ENSG00000088386	2.6E-2
ENSG00000080224	ENSG00000088782	1.3E-2
ENSG00000069020	ENSG00000088808	1.4E-2
ENSG00000078328	ENSG00000089169	2.5E-2
ENSG00000069020	ENSG00000089220	4.4E-3
ENSG00000069667	ENSG00000089220	4.6E-3
ENSG00000075884	ENSG00000089289	5.5E-3
ENSG00000048471	ENSG00000090061	1.3E-2
ENSG00000040731	ENSG00000090402	1.5E-2
ENSG00000086289	ENSG00000090520	2E-2
ENSG00000069020	ENSG00000090554	1E-2
ENSG00000048471	ENSG00000090863	1.3E-2
ENSG00000086289	ENSG00000090889	9.3E-3
ENSG00000021645	ENSG00000091010	1.9E-2
ENSG00000066032	ENSG00000091513	1.7E-2
ENSG00000055609	ENSG00000091592	1.4E-2
ENSG00000079841	ENSG00000091656	2.9E-2
ENSG00000038945	ENSG00000264509	2.4E-2
ENSG00000009694	ENSG00000092036	1.6E-2
ENSG00000041515	ENSG00000092200	1.7E-2
ENSG00000048052	ENSG00000092964	9.4E-3
ENSG00000066032	ENSG00000092969	1.8E-2
ENSG00000048471	ENSG00000093072	7.6E-3
ENSG00000013297	ENSG00000262993	5.6E-3
ENSG00000078328	ENSG00000262993	6.2E-3
ENSG00000091831	ENSG00000262993	8.7E-3
ENSG00000047648	ENSG00000095303	1E-2
ENSG00000007174	ENSG00000095981	1.1E-2
ENSG00000009694	ENSG00000096063	8.4E-3
ENSG00000058091	ENSG00000096063	9.7E-3
ENSG00000069667	ENSG00000096092	6.7E-3
ENSG00000042781	ENSG00000096696	3.3E-2
ENSG00000058091	ENSG00000097033	1.1E-2
ENSG00000069020	ENSG00000099204	5.8E-3
ENSG00000048471	ENSG00000099381	9.8E-3
ENSG00000047617	ENSG00000099991	1.1E-2
ENSG00000075213	ENSG00000100033	1.8E-2
ENSG00000007174	ENSG00000100078	1.5E-2
ENSG00000033122	ENSG00000100078	1.3E-2
ENSG00000078295	ENSG00000100078	1.2E-2
ENSG00000046889	ENSG00000100104	7.3E-3
ENSG00000085276	ENSG00000100122	2.3E-2
ENSG00000013297	ENSG00000100156	5.9E-3
ENSG00000081803	ENSG00000100191	7.6E-3
ENSG00000048052	ENSG00000100209	1.6E-2
ENSG00000082293	ENSG00000100209	1.5E-2
ENSG00000048471	ENSG00000100242	6.7E-3
ENSG00000013297	ENSG00000100253	2.9E-2
ENSG00000058091	ENSG00000100504	6.5E-3
ENSG00000048052	ENSG00000100528	8.1E-3
ENSG00000021645	ENSG00000100593	1.5E-2
ENSG00000055609	ENSG00000100647	7.8E-3
ENSG00000033122	ENSG00000100665	7.3E-3
ENSG00000048471	ENSG00000100888	7.5E-3
ENSG00000021645	ENSG00000101197	6.6E-3
ENSG00000067798	ENSG00000101197	4.6E-3
ENSG00000078295	ENSG00000101197	6.7E-3
ENSG00000046889	ENSG00000101210	3.3E-3
ENSG00000091831	ENSG00000101210	4.5E-3
ENSG00000069020	ENSG00000101224	3.4E-3
ENSG00000069667	ENSG00000101224	3.8E-3
ENSG00000067798	ENSG00000101265	5.4E-3
ENSG00000047648	ENSG00000101335	9.3E-3
ENSG00000099139	ENSG00000101391	4.1E-3
ENSG00000066032	ENSG00000101438	1.8E-2
ENSG00000069667	ENSG00000101445	1.1E-2
ENSG00000075213	ENSG00000101446	1E-2
ENSG00000086289	ENSG00000101447	1.5E-2
ENSG00000041515	ENSG00000101493	7.4E-3
ENSG00000081803	ENSG00000101670	4.1E-3
ENSG00000041515	ENSG00000101746	2.5E-2
ENSG00000085276	ENSG00000101825	1.7E-2
ENSG00000047648	ENSG00000101856	1.4E-2
ENSG00000048052	ENSG00000101911	7.7E-3
ENSG00000038945	ENSG00000101938	2E-2
ENSG00000040731	ENSG00000101955	1.7E-2
ENSG00000042781	ENSG00000101955	2.4E-2
ENSG00000082293	ENSG00000101958	1.9E-2
ENSG00000018236	ENSG00000101981	1.9E-2
ENSG00000009694	ENSG00000102010	6.8E-3
ENSG00000058091	ENSG00000102010	8E-3
ENSG00000100154	ENSG00000102226	5.2E-3
ENSG00000081803	ENSG00000102239	6.4E-3
ENSG00000040731	ENSG00000102452	2.4E-2
ENSG00000005108	ENSG00000102882	4.4E-3
ENSG00000039139	ENSG00000102962	1.6E-2
ENSG00000085276	ENSG00000103023	2.3E-2
ENSG00000102935	ENSG00000103175	5.4E-3
ENSG00000060718	ENSG00000103241	1.2E-2
ENSG00000081803	ENSG00000103241	4.3E-3
ENSG00000101333	ENSG00000103241	1.4E-2
ENSG00000007174	ENSG00000103253	7.4E-3
ENSG00000002746	ENSG00000103313	6E-3
ENSG00000013297	ENSG00000103313	5.7E-3
ENSG00000039139	ENSG00000103313	5.4E-3
ENSG00000078328	ENSG00000103313	6.5E-3
ENSG00000007174	ENSG00000103375	1.2E-2
ENSG00000039139	ENSG00000103375	1E-2
ENSG00000069667	ENSG00000103423	5E-3
ENSG00000058091	ENSG00000103569	6.2E-3
ENSG00000081803	ENSG00000103599	7.7E-3
ENSG00000067715	ENSG00000103671	7.7E-3
ENSG00000086289	ENSG00000104043	9.3E-3
ENSG00000040731	ENSG00000104112	9.4E-3
ENSG00000046889	ENSG00000104112	1.6E-2
ENSG00000047617	ENSG00000104140	1.2E-2
ENSG00000039139	ENSG00000104213	2.1E-2
ENSG00000102452	ENSG00000104213	2.1E-2
ENSG00000075213	ENSG00000104237	1.2E-2
ENSG00000095777	ENSG00000104237	1.4E-2
ENSG00000066032	ENSG00000104267	4.3E-3
ENSG00000099139	ENSG00000104356	2E-2
ENSG00000102290	ENSG00000104537	2.1E-2
ENSG00000002746	ENSG00000104755	2.6E-2
ENSG00000071909	ENSG00000104760	2.1E-2
ENSG00000040731	ENSG00000104826	1.3E-2
ENSG00000067798	ENSG00000104826	1.7E-2
ENSG00000095777	ENSG00000104879	1.7E-2
ENSG00000100154	ENSG00000104880	8.1E-3
ENSG00000046889	ENSG00000104899	4.8E-3
ENSG00000082293	ENSG00000104899	3.9E-3
ENSG00000091656	ENSG00000104899	4.8E-3
ENSG00000072657	ENSG00000105058	8.1E-3
ENSG00000104447	ENSG00000105186	8.6E-3
ENSG00000069020	ENSG00000105202	4.7E-3
