# Gene_A	Gene_B	Weight
ENSG00000047648	ENSG00000058668	1E-2
ENSG00000060718	ENSG00000064989	1.9E-2
ENSG00000060718	ENSG00000066056	1.5E-2
ENSG00000018236	ENSG00000066933	1.8E-2
ENSG00000067715	ENSG00000072571	1.8E-2
ENSG00000060718	ENSG00000072858	1.7E-2
ENSG00000060718	ENSG00000073921	9.6E-3
ENSG00000047648	ENSG00000075213	1.3E-2
ENSG00000038945	ENSG00000075785	1E-2
ENSG00000047648	ENSG00000077380	1.6E-2
ENSG00000075213	ENSG00000077942	1.3E-2
ENSG00000060718	ENSG00000078596	1.4E-2
ENSG00000047648	ENSG00000087303	7.3E-3
ENSG00000067715	ENSG00000087338	1.1E-2
ENSG00000075213	ENSG00000087494	9.9E-3
ENSG00000018236	ENSG00000088387	1.6E-2
ENSG00000044524	ENSG00000091136	1.3E-2
ENSG00000047648	ENSG00000091136	1.6E-2
ENSG00000075213	ENSG00000091136	1E-2
ENSG00000060718	ENSG00000091972	1.8E-2
ENSG00000075213	ENSG00000095564	8.4E-3
ENSG00000060718	ENSG00000099381	1.6E-2
ENSG00000047648	ENSG00000099998	1.6E-2
ENSG00000075213	ENSG00000100097	1.1E-2
ENSG00000067715	ENSG00000100321	2.2E-2
ENSG00000091831	ENSG00000100362	9.5E-3
ENSG00000091831	ENSG00000100417	4.6E-3
ENSG00000091831	ENSG00000100519	6.5E-3
ENSG00000091831	ENSG00000100612	9.4E-3
ENSG00000038945	ENSG00000100644	1.3E-2
ENSG00000091831	ENSG00000100934	5.8E-3
ENSG00000075213	ENSG00000101746	1.1E-2
ENSG00000067715	ENSG00000102038	1.7E-2
ENSG00000067715	ENSG00000102189	1.8E-2
ENSG00000075213	ENSG00000102265	1E-2
ENSG00000047648	ENSG00000102271	1.7E-2
ENSG00000075213	ENSG00000102271	1.3E-2
ENSG00000075213	ENSG00000102554	1.3E-2
ENSG00000091831	ENSG00000102996	6.8E-3
ENSG00000102935	ENSG00000103064	1.8E-2
ENSG00000067715	ENSG00000103671	1.2E-2
ENSG00000044524	ENSG00000104043	1.3E-2
ENSG00000104044	ENSG00000104267	7.6E-3
ENSG00000047648	ENSG00000104368	1.3E-2
ENSG00000075213	ENSG00000104368	1.1E-2
ENSG00000104044	ENSG00000104888	7.9E-3
ENSG00000102935	ENSG00000104899	1.5E-2
ENSG00000102935	ENSG00000104979	1.8E-2
ENSG00000060718	ENSG00000105610	1.4E-2
ENSG00000102935	ENSG00000105610	1.7E-2
ENSG00000102935	ENSG00000105613	2.1E-2
ENSG00000091831	ENSG00000105649	1.2E-2
ENSG00000104044	ENSG00000105649	1E-2
ENSG00000104044	ENSG00000105722	9.7E-3
ENSG00000060718	ENSG00000105852	1.1E-2
ENSG00000102935	ENSG00000105852	1E-2
ENSG00000104375	ENSG00000105855	7.1E-3
ENSG00000091831	ENSG00000105996	9.7E-3
ENSG00000060718	ENSG00000263024	1.6E-2
ENSG00000104044	ENSG00000106278	8.4E-3
ENSG00000104044	ENSG00000106299	9.2E-3
ENSG00000075213	ENSG00000106348	1.3E-2
ENSG00000067715	ENSG00000106571	1.6E-2
ENSG00000105877	ENSG00000106571	1E-2
ENSG00000104044	ENSG00000106631	7.8E-3
