# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000005249	1.5E-2
ENSG00000040731	ENSG00000042832	1.9E-3
ENSG00000042781	ENSG00000043039	1.3E-2
ENSG00000021645	ENSG00000047578	6.8E-3
ENSG00000040731	ENSG00000048405	3.2E-3
ENSG00000040731	ENSG00000049192	3.8E-3
ENSG00000040731	ENSG00000050555	3.1E-3
ENSG00000040731	ENSG00000050628	3.5E-3
ENSG00000048471	ENSG00000051009	9E-3
ENSG00000040731	ENSG00000053438	2.6E-3
ENSG00000040731	ENSG00000053747	3.9E-3
ENSG00000048471	ENSG00000054392	9.7E-3
ENSG00000040731	ENSG00000054796	2.3E-3
ENSG00000047648	ENSG00000054983	1.6E-2
ENSG00000040731	ENSG00000056291	2.4E-3
ENSG00000040731	ENSG00000056487	3E-3
ENSG00000040731	ENSG00000057019	3E-3
ENSG00000040731	ENSG00000057468	2.4E-3
ENSG00000040731	ENSG00000057593	8.8E-4
ENSG00000040731	ENSG00000058335	3.8E-3
ENSG00000040731	ENSG00000058404	3.3E-3
ENSG00000048052	ENSG00000060558	1.2E-2
ENSG00000040731	ENSG00000060709	3.4E-3
ENSG00000040731	ENSG00000060718	2.7E-3
ENSG00000033122	ENSG00000061492	5.1E-3
ENSG00000040731	ENSG00000061492	4.8E-4
ENSG00000060718	ENSG00000061492	4.4E-3
ENSG00000040731	ENSG00000062096	2.1E-3
ENSG00000039139	ENSG00000062194	3.1E-3
ENSG00000040731	ENSG00000063015	3.4E-3
ENSG00000040731	ENSG00000064195	3.2E-3
ENSG00000040731	ENSG00000064201	2.7E-3
ENSG00000048052	ENSG00000064763	2.8E-2
ENSG00000040731	ENSG00000065600	3.4E-3
ENSG00000040731	ENSG00000066032	2.3E-3
ENSG00000044524	ENSG00000066032	3.1E-2
ENSG00000040731	ENSG00000067715	2.8E-3
ENSG00000005108	ENSG00000067798	2.8E-2
ENSG00000042781	ENSG00000069535	2.9E-2
ENSG00000055609	ENSG00000070269	9.7E-3
ENSG00000040731	ENSG00000070915	3E-3
ENSG00000039139	ENSG00000071794	4.8E-3
ENSG00000040731	ENSG00000071991	3.8E-3
ENSG00000040731	ENSG00000072080	1.6E-3
ENSG00000009694	ENSG00000072163	6.3E-3
ENSG00000042781	ENSG00000072163	5.3E-3
ENSG00000039139	ENSG00000072422	5.8E-3
ENSG00000005108	ENSG00000073712	2.6E-2
ENSG00000047648	ENSG00000075142	1.2E-2
ENSG00000067798	ENSG00000075142	8.6E-3
ENSG00000040731	ENSG00000271760	3E-3
ENSG00000040731	ENSG00000075388	3.5E-3
ENSG00000040731	ENSG00000075429	3.5E-3
ENSG00000040731	ENSG00000075702	3.3E-3
ENSG00000040731	ENSG00000075891	2.5E-3
ENSG00000058091	ENSG00000076258	1.1E-2
ENSG00000040731	ENSG00000076344	2.8E-3
ENSG00000075884	ENSG00000076641	8.5E-3
ENSG00000075884	ENSG00000076662	7.9E-3
ENSG00000040731	ENSG00000076706	3.6E-3
ENSG00000007174	ENSG00000077327	6.1E-3
ENSG00000075884	ENSG00000077420	1.7E-2
ENSG00000040731	ENSG00000077498	2.8E-3
ENSG00000040731	ENSG00000077522	3.5E-3
ENSG00000040731	ENSG00000262532	2.9E-3
ENSG00000042781	ENSG00000077935	1.4E-2
ENSG00000040731	ENSG00000077943	3.5E-3
ENSG00000075884	ENSG00000077984	7.9E-3
ENSG00000040731	ENSG00000078053	2.1E-3
ENSG00000040731	ENSG00000078328	3.9E-3
ENSG00000040731	ENSG00000078549	2.9E-3
ENSG00000005108	ENSG00000078596	2.3E-2
ENSG00000040731	ENSG00000078795	2.9E-3
ENSG00000055609	ENSG00000079134	3.2E-3
ENSG00000069667	ENSG00000079134	3.5E-3
ENSG00000039139	ENSG00000079156	1.4E-2
ENSG00000067798	ENSG00000079156	1.4E-2
ENSG00000039139	ENSG00000079335	2.4E-2
ENSG00000040731	ENSG00000079393	6.8E-4
ENSG00000078328	ENSG00000079393	6.8E-3
ENSG00000067715	ENSG00000079689	2.8E-2
ENSG00000055609	ENSG00000233280	4.1E-3
ENSG00000040731	ENSG00000080224	3E-3
ENSG00000047648	ENSG00000080546	9E-3
ENSG00000021645	ENSG00000080823	1.3E-2
ENSG00000069667	ENSG00000080824	1E-2
ENSG00000075884	ENSG00000262418	1.8E-2
ENSG00000040731	ENSG00000081248	1.2E-3
ENSG00000040731	ENSG00000081800	2.8E-3
