# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000007933	1.5E-2
ENSG00000002746	ENSG00000013297	1.6E-2
ENSG00000002746	ENSG00000015592	6E-3
ENSG00000018236	ENSG00000019505	2.6E-2
ENSG00000018236	ENSG00000031081	1.8E-2
ENSG00000002746	ENSG00000050165	8.5E-3
ENSG00000013297	ENSG00000050165	1.1E-2
ENSG00000009694	ENSG00000055955	1.7E-2
ENSG00000055609	ENSG00000059588	1.3E-2
ENSG00000018236	ENSG00000060718	1.7E-2
ENSG00000058091	ENSG00000061918	2.1E-2
ENSG00000058091	ENSG00000065882	1.9E-2
ENSG00000066032	ENSG00000070182	1.4E-2
ENSG00000066032	ENSG00000070413	9.8E-3
ENSG00000018236	ENSG00000071242	2.5E-2
ENSG00000058091	ENSG00000073050	2E-2
ENSG00000009694	ENSG00000073350	8E-3
ENSG00000066032	ENSG00000073754	8.5E-3
ENSG00000067715	ENSG00000073969	1.9E-2
ENSG00000072657	ENSG00000074276	2E-2
ENSG00000055609	ENSG00000077235	1.3E-2
ENSG00000013297	ENSG00000077782	9.6E-3
ENSG00000040731	ENSG00000078401	2E-2
ENSG00000058091	ENSG00000078902	1.8E-2
ENSG00000075884	ENSG00000081041	1.9E-2
ENSG00000018236	ENSG00000081052	1.6E-2
ENSG00000075884	ENSG00000081189	1.5E-2
ENSG00000079841	ENSG00000081189	1.5E-2
ENSG00000055609	ENSG00000084234	1.1E-2
ENSG00000058091	ENSG00000084731	1E-2
ENSG00000067715	ENSG00000085365	1.3E-2
ENSG00000072657	ENSG00000085465	1.4E-2
ENSG00000013297	ENSG00000085563	2.6E-2
ENSG00000002746	ENSG00000086570	1.4E-2
ENSG00000047648	ENSG00000087111	2.2E-2
ENSG00000060718	ENSG00000087842	1.2E-2
ENSG00000067715	ENSG00000089234	1.2E-2
ENSG00000078328	ENSG00000090263	1.7E-2
ENSG00000058091	ENSG00000090920	1.3E-2
ENSG00000078328	ENSG00000092009	1.3E-2
ENSG00000079841	ENSG00000092445	1.6E-2
ENSG00000040731	ENSG00000092969	1.5E-2
ENSG00000055609	ENSG00000235650	8.2E-3
ENSG00000009694	ENSG00000099204	1.3E-2
ENSG00000066032	ENSG00000100031	1.8E-2
ENSG00000002746	ENSG00000100106	1.6E-2
ENSG00000066032	ENSG00000100106	1.5E-2
ENSG00000067715	ENSG00000100604	1.9E-2
ENSG00000099139	ENSG00000100652	1.7E-2
ENSG00000079841	ENSG00000101003	1.1E-2
ENSG00000067715	ENSG00000101323	1.8E-2
ENSG00000060718	ENSG00000101343	1.8E-2
ENSG00000002746	ENSG00000101440	2E-2
ENSG00000072657	ENSG00000101452	1.6E-2
ENSG00000055609	ENSG00000101470	1.2E-2
ENSG00000009694	ENSG00000101972	1.5E-2
ENSG00000078328	ENSG00000268501	2.2E-2
ENSG00000009694	ENSG00000268281	1.7E-2
ENSG00000040731	ENSG00000267841	1.6E-2
ENSG00000075884	ENSG00000102265	1.6E-2
ENSG00000047648	ENSG00000102287	1.7E-2
ENSG00000078328	ENSG00000102302	1.7E-2
ENSG00000078328	ENSG00000102781	2.4E-2
ENSG00000067715	ENSG00000103034	1.4E-2
ENSG00000040731	ENSG00000103489	1.6E-2
ENSG00000102290	ENSG00000103494	1.9E-2
ENSG00000040731	ENSG00000103540	2.1E-2
ENSG00000058091	ENSG00000103647	2.2E-2
ENSG00000099139	ENSG00000104290	1.8E-2
ENSG00000060718	ENSG00000104332	1.7E-2
ENSG00000104044	ENSG00000104447	2.1E-2
ENSG00000104447	ENSG00000104517	1.2E-2
ENSG00000104375	ENSG00000104524	2.2E-2
ENSG00000072657	ENSG00000104884	2.1E-2
ENSG00000104044	ENSG00000104888	1.4E-2
ENSG00000072657	ENSG00000104894	2.6E-2
ENSG00000055609	ENSG00000104899	1.1E-2
ENSG00000104447	ENSG00000104936	1.6E-2
ENSG00000009694	ENSG00000104946	8.5E-3
ENSG00000104059	ENSG00000104976	2.6E-2
ENSG00000104447	ENSG00000105255	1.4E-2
ENSG00000072657	ENSG00000105270	1.6E-2
ENSG00000072657	ENSG00000105507	2E-2
ENSG00000060718	ENSG00000105519	2.2E-2
ENSG00000066032	ENSG00000105664	1.6E-2
ENSG00000018236	ENSG00000105696	2.2E-2
ENSG00000104447	ENSG00000105707	1.5E-2
ENSG00000101333	ENSG00000105825	1.4E-2
ENSG00000075884	ENSG00000105854	1.1E-2
ENSG00000055609	ENSG00000105856	1.2E-2
ENSG00000013297	ENSG00000105974	5.8E-3
ENSG00000078328	ENSG00000106404	2.4E-2
ENSG00000072657	ENSG00000106785	1.8E-2
ENSG00000105778	ENSG00000106804	1.6E-2
ENSG00000105778	ENSG00000108264	9.9E-3
ENSG00000055609	ENSG00000108389	8.3E-3
ENSG00000067715	ENSG00000108406	1.6E-2
ENSG00000066032	ENSG00000108439	1.4E-2
ENSG00000047648	ENSG00000108474	2.4E-2
ENSG00000047648	ENSG00000263077	2.2E-2
ENSG00000072657	ENSG00000108666	1.8E-2
ENSG00000040731	ENSG00000108691	2.4E-2
ENSG00000079841	ENSG00000108784	1.4E-2
ENSG00000060718	ENSG00000108821	8.1E-3
ENSG00000104059	ENSG00000108823	2.9E-2
ENSG00000101333	ENSG00000108878	1.5E-2
ENSG00000099139	ENSG00000108924	2.1E-2
ENSG00000002746	ENSG00000109339	1.6E-2
ENSG00000018236	ENSG00000260380	2.2E-2
ENSG00000060718	ENSG00000263007	2.1E-2
ENSG00000066032	ENSG00000110075	1.8E-2
ENSG00000105778	ENSG00000110429	1.9E-2
ENSG00000055609	ENSG00000110514	8.7E-3
ENSG00000075884	ENSG00000110665	2.4E-2
ENSG00000060718	ENSG00000110799	5.5E-3
ENSG00000055609	ENSG00000110851	1.3E-2
ENSG00000013297	ENSG00000111145	1E-2
ENSG00000109339	ENSG00000111269	1.4E-2
ENSG00000108018	ENSG00000111275	1.8E-2
ENSG00000109339	ENSG00000111276	1.6E-2
ENSG00000075884	ENSG00000111321	2.4E-2
ENSG00000067715	ENSG00000111596	1.1E-2
ENSG00000102290	ENSG00000111879	1.7E-2
ENSG00000099139	ENSG00000112053	2.1E-2
ENSG00000075884	ENSG00000112077	1.5E-2
ENSG00000075884	ENSG00000112096	2.5E-2
ENSG00000055609	ENSG00000112234	8.3E-3
ENSG00000055609	ENSG00000112379	1.4E-2
ENSG00000104447	ENSG00000112406	1.4E-2
ENSG00000060718	ENSG00000112759	2.2E-2
ENSG00000078328	ENSG00000112964	2E-2
ENSG00000067715	ENSG00000113300	1.1E-2
ENSG00000101333	ENSG00000113318	6.8E-3
ENSG00000075884	ENSG00000113328	2.3E-2
ENSG00000104447	ENSG00000113494	2E-2
ENSG00000002746	ENSG00000113657	9E-3
ENSG00000013297	ENSG00000113657	1.1E-2
ENSG00000102290	ENSG00000113716	1.2E-2
ENSG00000104447	ENSG00000113916	2.2E-2
ENSG00000072657	ENSG00000114126	1.3E-2
ENSG00000079841	ENSG00000114166	1.9E-2
ENSG00000102290	ENSG00000114316	2.2E-2
ENSG00000018236	ENSG00000114374	2E-2
ENSG00000104044	ENSG00000114439	2.1E-2
ENSG00000112902	ENSG00000114638	1.4E-2
ENSG00000114279	ENSG00000114988	1.2E-2
ENSG00000105778	ENSG00000115073	1.6E-2
ENSG00000104059	ENSG00000115266	1.8E-2
ENSG00000009694	ENSG00000115271	1.4E-2
ENSG00000113448	ENSG00000115282	1.7E-2
ENSG00000099139	ENSG00000115290	1.8E-2
ENSG00000013297	ENSG00000115380	1.6E-2
ENSG00000013297	ENSG00000115425	2.1E-2
ENSG00000101333	ENSG00000115425	1.5E-2
ENSG00000104447	ENSG00000115825	8.8E-3
ENSG00000009694	ENSG00000115884	1.1E-2
ENSG00000114861	ENSG00000115884	8.2E-3
ENSG00000075884	ENSG00000116044	1.9E-2
ENSG00000112902	ENSG00000116237	1.9E-2
ENSG00000055609	ENSG00000116266	1.2E-2
ENSG00000104375	ENSG00000116266	1.8E-2
ENSG00000104375	ENSG00000116473	2.2E-2
ENSG00000115896	ENSG00000116497	6.7E-3
ENSG00000066032	ENSG00000116574	1.2E-2
ENSG00000112699	ENSG00000116679	1.1E-2
ENSG00000115896	ENSG00000116679	7.6E-3
ENSG00000104044	ENSG00000116731	2.3E-2
ENSG00000104044	ENSG00000116750	2.1E-2
ENSG00000116183	ENSG00000116774	1.5E-2
ENSG00000115896	ENSG00000117000	6E-3
ENSG00000018236	ENSG00000117009	1.4E-2
ENSG00000109339	ENSG00000117009	1.4E-2
ENSG00000104447	ENSG00000117139	2.4E-2
ENSG00000114279	ENSG00000117152	1E-2
ENSG00000115896	ENSG00000117586	7E-3
ENSG00000013297	ENSG00000117676	2E-2
ENSG00000009694	ENSG00000117707	1.2E-2
ENSG00000116183	ENSG00000117758	1.3E-2
ENSG00000055609	ENSG00000117868	1.2E-2
ENSG00000066032	ENSG00000117868	1.6E-2
ENSG00000117114	ENSG00000118160	2.8E-2
ENSG00000099139	ENSG00000118197	1.8E-2
ENSG00000072657	ENSG00000118402	2.2E-2
ENSG00000114861	ENSG00000118518	1.2E-2
ENSG00000066032	ENSG00000118526	2E-2
ENSG00000116183	ENSG00000118855	1.4E-2
ENSG00000018236	ENSG00000118985	1.1E-2
ENSG00000109339	ENSG00000119203	1.5E-2
ENSG00000104044	ENSG00000119397	1.2E-2
ENSG00000055609	ENSG00000119402	1.2E-2
ENSG00000101333	ENSG00000119408	8.9E-3
ENSG00000102290	ENSG00000119411	1.7E-2
