# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000008441	9.8E-3
ENSG00000002746	ENSG00000011114	1.5E-2
ENSG00000018236	ENSG00000050393	1.5E-2
ENSG00000018236	ENSG00000055957	9.8E-3
ENSG00000047648	ENSG00000056097	1.3E-2
ENSG00000018236	ENSG00000059377	1.6E-2
ENSG00000058091	ENSG00000067191	1.6E-2
ENSG00000066032	ENSG00000070061	1.8E-2
ENSG00000060718	ENSG00000070729	1.4E-2
ENSG00000058091	ENSG00000071051	1.5E-2
ENSG00000055609	ENSG00000268160	1.2E-2
ENSG00000067715	ENSG00000072310	1.6E-2
ENSG00000072657	ENSG00000073711	1.7E-2
ENSG00000072657	ENSG00000073803	1.5E-2
ENSG00000002746	ENSG00000074706	1.1E-2
ENSG00000002746	ENSG00000075234	1E-2
ENSG00000047648	ENSG00000075785	2.1E-2
ENSG00000002746	ENSG00000272879	1.3E-2
ENSG00000060718	ENSG00000077942	1.1E-2
ENSG00000060718	ENSG00000078053	9.2E-3
ENSG00000075884	ENSG00000078618	2.4E-2
ENSG00000058091	ENSG00000081052	1.5E-2
ENSG00000060718	ENSG00000081189	8E-3
ENSG00000067715	ENSG00000262418	2E-2
ENSG00000075884	ENSG00000083223	1.2E-2
ENSG00000072657	ENSG00000083799	2.3E-2
ENSG00000060709	ENSG00000084207	8.5E-3
ENSG00000066032	ENSG00000085998	1.4E-2
ENSG00000002746	ENSG00000086205	1.4E-2
ENSG00000060718	ENSG00000086205	1.3E-2
ENSG00000066032	ENSG00000087008	2.1E-2
ENSG00000060718	ENSG00000087074	1.2E-2
ENSG00000075884	ENSG00000087095	2E-2
ENSG00000060709	ENSG00000088833	2E-2
ENSG00000058091	ENSG00000089012	1.2E-2
ENSG00000002746	ENSG00000090432	1.2E-2
ENSG00000072657	ENSG00000090447	2.5E-2
ENSG00000055609	ENSG00000090920	1.4E-2
ENSG00000018236	ENSG00000091428	1.2E-2
ENSG00000060718	ENSG00000091656	1.2E-2
ENSG00000091831	ENSG00000092621	1.4E-2
ENSG00000018236	ENSG00000094755	1.5E-2
ENSG00000055609	ENSG00000095002	6.8E-3
ENSG00000060718	ENSG00000095739	1.1E-2
ENSG00000067715	ENSG00000097021	1.7E-2
ENSG00000075884	ENSG00000099326	2E-2
ENSG00000067715	ENSG00000099937	2.2E-2
ENSG00000002746	ENSG00000100106	1.4E-2
ENSG00000002746	ENSG00000100196	9.2E-3
ENSG00000060718	ENSG00000100365	1.1E-2
ENSG00000091831	ENSG00000100385	1.4E-2
ENSG00000060709	ENSG00000100652	1.5E-2
ENSG00000091656	ENSG00000100888	1.6E-2
ENSG00000060709	ENSG00000101384	1.6E-2
ENSG00000060709	ENSG00000102098	1.7E-2
ENSG00000018236	ENSG00000102290	1.1E-2
ENSG00000099139	ENSG00000102290	1.1E-2
ENSG00000047648	ENSG00000102409	2.1E-2
ENSG00000066032	ENSG00000102699	1.6E-2
ENSG00000060718	ENSG00000102924	1.2E-2
ENSG00000018236	ENSG00000102981	1.1E-2
ENSG00000066032	ENSG00000103021	2.4E-2
ENSG00000018236	ENSG00000103175	1.6E-2
ENSG00000002746	ENSG00000103202	1.6E-2
ENSG00000102290	ENSG00000103707	1.3E-2
ENSG00000075884	ENSG00000103742	1.8E-2
ENSG00000018236	ENSG00000104059	1.6E-2
ENSG00000075884	ENSG00000104327	2E-2
ENSG00000104375	ENSG00000104517	1.5E-2
ENSG00000104059	ENSG00000104524	1.8E-2
ENSG00000091656	ENSG00000104722	2E-2
ENSG00000060709	ENSG00000104755	1.8E-2
ENSG00000060718	ENSG00000104814	1.2E-2
ENSG00000104447	ENSG00000104823	9.3E-3
ENSG00000066032	ENSG00000104826	2.1E-2
ENSG00000104375	ENSG00000104833	2.1E-2
ENSG00000091831	ENSG00000104960	1.1E-2
ENSG00000091831	ENSG00000105137	1.4E-2
ENSG00000104447	ENSG00000105137	1.5E-2
ENSG00000058091	ENSG00000105186	2.1E-2
ENSG00000055609	ENSG00000105197	1.2E-2
ENSG00000075884	ENSG00000105205	2.2E-2
ENSG00000091831	ENSG00000105220	1.3E-2
ENSG00000060718	ENSG00000105270	9.2E-3
ENSG00000066032	ENSG00000272985	1.3E-2
ENSG00000058091	ENSG00000272743	1.5E-2
ENSG00000072657	ENSG00000272743	1.8E-2
ENSG00000060718	ENSG00000105664	1.6E-2
ENSG00000091656	ENSG00000105664	1.9E-2
ENSG00000002746	ENSG00000105669	8.3E-3
ENSG00000055609	ENSG00000105829	1.6E-2
ENSG00000075884	ENSG00000105854	1.8E-2
ENSG00000002746	ENSG00000105855	1.1E-2
ENSG00000060718	ENSG00000105855	9.9E-3
ENSG00000058091	ENSG00000105856	1.5E-2
ENSG00000060709	ENSG00000105974	1.1E-2
ENSG00000102290	ENSG00000105989	1.2E-2
ENSG00000055609	ENSG00000106244	1.3E-2
ENSG00000055609	ENSG00000106290	1.2E-2
ENSG00000047648	ENSG00000106299	2E-2
ENSG00000072657	ENSG00000106617	1.8E-2
ENSG00000018236	ENSG00000106780	1.9E-2
ENSG00000060718	ENSG00000106819	1E-2
ENSG00000102290	ENSG00000106819	1E-2
ENSG00000075884	ENSG00000107242	1.7E-2
ENSG00000091831	ENSG00000107485	1E-2
ENSG00000067715	ENSG00000266524	2.1E-2
ENSG00000002746	ENSG00000107807	1.3E-2
ENSG00000060709	ENSG00000107807	1.6E-2
ENSG00000002746	ENSG00000107874	1.2E-2
ENSG00000104375	ENSG00000261508	2.2E-2
ENSG00000091831	ENSG00000108384	1E-2
ENSG00000105877	ENSG00000108468	1.3E-2
ENSG00000018236	ENSG00000108509	1.7E-2
ENSG00000091656	ENSG00000108784	1.6E-2
ENSG00000060718	ENSG00000108797	8.1E-3
ENSG00000058091	ENSG00000108819	1.5E-2
ENSG00000002746	ENSG00000108947	1.4E-2
ENSG00000091831	ENSG00000109103	1.6E-2
ENSG00000099139	ENSG00000109471	2E-2
ENSG00000018236	ENSG00000109832	1.7E-2
ENSG00000018236	ENSG00000110076	1.4E-2
ENSG00000102290	ENSG00000110076	1.1E-2
ENSG00000055609	ENSG00000110514	1.3E-2
ENSG00000055609	ENSG00000110958	6.5E-3
ENSG00000002746	ENSG00000111046	1.5E-2
ENSG00000104447	ENSG00000111110	1.8E-2
ENSG00000072657	ENSG00000111245	2E-2
ENSG00000002746	ENSG00000111249	1.1E-2
ENSG00000102290	ENSG00000111262	1.1E-2
ENSG00000104447	ENSG00000111341	1.5E-2
ENSG00000109339	ENSG00000111596	1.7E-2
ENSG00000104059	ENSG00000111644	2.3E-2
ENSG00000102290	ENSG00000111713	1.1E-2
ENSG00000091831	ENSG00000111885	1.4E-2
ENSG00000104447	ENSG00000111885	2.1E-2
ENSG00000109339	ENSG00000111962	1.4E-2
ENSG00000109339	ENSG00000112149	1.8E-2
ENSG00000104375	ENSG00000112159	1.7E-2
ENSG00000058091	ENSG00000112306	1.4E-2
ENSG00000109452	ENSG00000112343	2E-2
ENSG00000104447	ENSG00000112559	1E-2
ENSG00000060718	ENSG00000112773	9.8E-3
ENSG00000002746	ENSG00000112992	9.6E-3
ENSG00000102290	ENSG00000113088	9.7E-3
ENSG00000104447	ENSG00000113108	1.5E-2
ENSG00000055609	ENSG00000113141	1.1E-2
ENSG00000060709	ENSG00000113327	1.9E-2
ENSG00000091831	ENSG00000113328	1.6E-2
ENSG00000109339	ENSG00000113328	1.9E-2
ENSG00000058091	ENSG00000113360	1.3E-2
ENSG00000105877	ENSG00000113360	1.5E-2
ENSG00000072657	ENSG00000113460	1.7E-2
ENSG00000018236	ENSG00000113492	1.6E-2
ENSG00000055609	ENSG00000113593	1.5E-2
ENSG00000113448	ENSG00000113621	1.4E-2
ENSG00000060718	ENSG00000113719	9.3E-3
ENSG00000113396	ENSG00000113721	2.2E-2
ENSG00000099139	ENSG00000113805	1.9E-2
ENSG00000067715	ENSG00000113905	1.7E-2
ENSG00000002746	ENSG00000114279	1.3E-2
ENSG00000060718	ENSG00000114279	1.3E-2
ENSG00000055609	ENSG00000114416	1.2E-2
ENSG00000110693	ENSG00000114491	1.6E-2
ENSG00000058091	ENSG00000114646	1.4E-2
ENSG00000072657	ENSG00000114646	1.8E-2
ENSG00000112699	ENSG00000114656	1.3E-2
ENSG00000104447	ENSG00000114770	1.6E-2
ENSG00000075884	ENSG00000114796	2.1E-2
ENSG00000113396	ENSG00000114805	1.7E-2
ENSG00000108684	ENSG00000114812	1.7E-2
ENSG00000067715	ENSG00000115129	1.7E-2
ENSG00000110693	ENSG00000115268	1.5E-2
ENSG00000102290	ENSG00000115421	1.3E-2
ENSG00000002746	ENSG00000115526	1.2E-2
ENSG00000113396	ENSG00000115590	1.4E-2
ENSG00000104447	ENSG00000115738	1.7E-2
ENSG00000060718	ENSG00000116288	1.2E-2
ENSG00000066032	ENSG00000116455	3.1E-2
ENSG00000105877	ENSG00000116525	1.3E-2
ENSG00000102290	ENSG00000116574	1.3E-2
ENSG00000060718	ENSG00000116690	1.1E-2
ENSG00000060709	ENSG00000116701	2.4E-2
ENSG00000018236	ENSG00000116748	1.8E-2
ENSG00000058091	ENSG00000116748	1.6E-2
ENSG00000108684	ENSG00000116761	1.8E-2
ENSG00000115896	ENSG00000116833	1.1E-2
ENSG00000104375	ENSG00000116852	2.1E-2
ENSG00000113396	ENSG00000116962	1.6E-2
ENSG00000075884	ENSG00000117009	1.9E-2
ENSG00000116183	ENSG00000117152	1.6E-2
ENSG00000110693	ENSG00000117395	1.5E-2
