# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000010379	5.6E-3
ENSG00000007174	ENSG00000013297	5.7E-3
ENSG00000005108	ENSG00000015592	1.9E-2
ENSG00000013297	ENSG00000016602	3.4E-3
ENSG00000013297	ENSG00000017427	5.4E-3
ENSG00000013297	ENSG00000018408	5.1E-3
ENSG00000018236	ENSG00000021852	1.3E-2
ENSG00000009694	ENSG00000023909	1.2E-2
ENSG00000013297	ENSG00000027644	3.8E-3
ENSG00000021645	ENSG00000040487	1.1E-2
ENSG00000013297	ENSG00000042781	3.2E-3
ENSG00000013297	ENSG00000043039	3.7E-3
ENSG00000013297	ENSG00000044524	4.4E-3
ENSG00000041515	ENSG00000046653	1.8E-2
ENSG00000042781	ENSG00000046889	9.1E-3
ENSG00000013297	ENSG00000049239	5E-3
ENSG00000047648	ENSG00000049323	1.8E-2
ENSG00000013297	ENSG00000269002	5.7E-3
ENSG00000048471	ENSG00000050327	8.4E-3
ENSG00000046889	ENSG00000053438	5.9E-3
ENSG00000013297	ENSG00000053702	1.4E-3
ENSG00000044524	ENSG00000053702	1E-2
ENSG00000013297	ENSG00000054179	4.1E-3
ENSG00000002746	ENSG00000054598	1.4E-2
ENSG00000041515	ENSG00000054598	7.5E-3
ENSG00000047617	ENSG00000054598	6.4E-3
ENSG00000013297	ENSG00000055957	2.9E-3
ENSG00000013297	ENSG00000056661	6.3E-3
ENSG00000046889	ENSG00000057149	1.1E-2
ENSG00000041515	ENSG00000057294	1.9E-2
ENSG00000009694	ENSG00000058063	5.2E-3
ENSG00000048052	ENSG00000058091	9.7E-3
ENSG00000047648	ENSG00000061918	1.8E-2
ENSG00000048471	ENSG00000062038	9.4E-3
ENSG00000058091	ENSG00000063127	1.3E-2
ENSG00000013297	ENSG00000063660	3.3E-3
ENSG00000013297	ENSG00000064300	3E-3
ENSG00000048471	ENSG00000064545	5.7E-3
ENSG00000060709	ENSG00000064692	1.1E-2
ENSG00000048052	ENSG00000064933	5E-3
ENSG00000047648	ENSG00000065534	1.8E-2
ENSG00000013297	ENSG00000065609	3.8E-3
ENSG00000013297	ENSG00000066230	5.3E-3
ENSG00000009694	ENSG00000067064	1.4E-2
ENSG00000009694	ENSG00000068305	1.7E-2
ENSG00000009694	ENSG00000068366	7.1E-3
ENSG00000009694	ENSG00000068650	2.1E-2
ENSG00000069667	ENSG00000069702	1E-2
ENSG00000058091	ENSG00000070087	1.4E-2
ENSG00000013297	ENSG00000070182	5.4E-3
ENSG00000007174	ENSG00000070404	3.9E-3
ENSG00000013297	ENSG00000070404	4.4E-4
ENSG00000069020	ENSG00000070404	3E-3
ENSG00000044524	ENSG00000070748	3E-2
ENSG00000042781	ENSG00000070808	3E-2
ENSG00000042781	ENSG00000071203	2.5E-2
ENSG00000013297	ENSG00000071205	3.2E-3
ENSG00000069667	ENSG00000071575	2E-2
ENSG00000069667	ENSG00000071626	1.9E-2
ENSG00000013297	ENSG00000072163	1.5E-3
ENSG00000066032	ENSG00000072195	1.9E-2
ENSG00000047648	ENSG00000072422	1.8E-2
ENSG00000002746	ENSG00000072832	4.3E-3
ENSG00000040731	ENSG00000072832	3.3E-3
ENSG00000046889	ENSG00000072832	1.3E-3
ENSG00000013297	ENSG00000072840	5.6E-3
ENSG00000018236	ENSG00000073670	1.8E-2
ENSG00000060709	ENSG00000073670	1.6E-2
ENSG00000013297	ENSG00000074181	6.3E-3
ENSG00000013297	ENSG00000074276	4E-3
ENSG00000047648	ENSG00000074416	1.5E-2
ENSG00000069667	ENSG00000074803	2.1E-2
ENSG00000009694	ENSG00000075223	1.7E-2
ENSG00000047617	ENSG00000075290	1.1E-2
ENSG00000038945	ENSG00000075673	1E-2
ENSG00000013297	ENSG00000075891	5.3E-3
ENSG00000013297	ENSG00000076864	5E-3
ENSG00000075213	ENSG00000077080	2.3E-2
ENSG00000005108	ENSG00000077264	1.2E-2
ENSG00000013297	ENSG00000077279	4.8E-3
ENSG00000075884	ENSG00000077684	2.6E-2
ENSG00000066032	ENSG00000262532	1.3E-2
ENSG00000046889	ENSG00000078053	7.3E-3
ENSG00000038945	ENSG00000078328	1E-2
ENSG00000048471	ENSG00000078401	1.9E-2
ENSG00000075213	ENSG00000078900	9.7E-3
ENSG00000048471	ENSG00000078967	2.3E-2
ENSG00000078328	ENSG00000079102	1.1E-2
ENSG00000060718	ENSG00000079112	2.8E-2
ENSG00000021645	ENSG00000079841	8.5E-3
ENSG00000067798	ENSG00000079841	6.4E-3
ENSG00000007174	ENSG00000080031	5.4E-3
ENSG00000013297	ENSG00000080031	5.9E-4
ENSG00000072657	ENSG00000080031	2.6E-3
ENSG00000013297	ENSG00000080293	2.3E-3
ENSG00000046889	ENSG00000080493	1E-2
ENSG00000038945	ENSG00000080823	6.1E-3
ENSG00000067798	ENSG00000080823	4.9E-3
ENSG00000075213	ENSG00000080823	4.8E-3
ENSG00000013297	ENSG00000080854	5E-3
ENSG00000013297	ENSG00000081051	4.7E-3
ENSG00000058091	ENSG00000081052	1.8E-2
ENSG00000048052	ENSG00000081189	1.6E-2
ENSG00000009694	ENSG00000081320	1.4E-2
ENSG00000041515	ENSG00000081803	2.3E-2
ENSG00000046889	ENSG00000081803	1.2E-2
ENSG00000013297	ENSG00000273256	3.4E-3
ENSG00000047648	ENSG00000082781	2.3E-2
ENSG00000078328	ENSG00000082929	8.7E-3
ENSG00000048052	ENSG00000083099	1.4E-2
ENSG00000013297	ENSG00000083838	1.9E-3
ENSG00000046889	ENSG00000084453	1.3E-2
ENSG00000079841	ENSG00000084674	6.7E-3
ENSG00000047648	ENSG00000084693	1.8E-2
ENSG00000078328	ENSG00000084734	8.7E-3
ENSG00000047648	ENSG00000085733	2E-2
ENSG00000005108	ENSG00000085741	8.7E-3
ENSG00000078295	ENSG00000085741	1E-2
ENSG00000078328	ENSG00000085741	2.6E-3
ENSG00000013297	ENSG00000085831	5.6E-3
ENSG00000085276	ENSG00000085999	7.8E-3
ENSG00000013297	ENSG00000086159	5.7E-3
ENSG00000013297	ENSG00000086205	5.7E-3
ENSG00000079841	ENSG00000086205	9.1E-3
ENSG00000009694	ENSG00000086288	1.6E-2
ENSG00000046889	ENSG00000086544	7.5E-3
ENSG00000047617	ENSG00000086544	1.2E-2
ENSG00000078328	ENSG00000086570	7.7E-3
ENSG00000075884	ENSG00000086589	1.3E-2
ENSG00000047648	ENSG00000087237	1.9E-2
ENSG00000078328	ENSG00000087237	6.8E-3
ENSG00000081803	ENSG00000087245	1.4E-2
ENSG00000041515	ENSG00000087494	2.2E-2
ENSG00000078328	ENSG00000087903	5E-3
ENSG00000067798	ENSG00000088002	7.3E-3
ENSG00000069020	ENSG00000088002	7.7E-3
ENSG00000075213	ENSG00000088002	7.2E-3
ENSG00000069667	ENSG00000088179	2.5E-2
ENSG00000079841	ENSG00000088305	6.4E-3
ENSG00000013297	ENSG00000088320	6.9E-4
ENSG00000079841	ENSG00000260587	7.4E-3
ENSG00000048052	ENSG00000089006	1.5E-2
ENSG00000078328	ENSG00000089050	1E-2
ENSG00000058091	ENSG00000089057	2.5E-2
ENSG00000041515	ENSG00000089163	2.1E-2
ENSG00000013297	ENSG00000089199	4.1E-3
ENSG00000002746	ENSG00000089356	1.1E-2
ENSG00000041515	ENSG00000089356	6E-3
ENSG00000078295	ENSG00000089356	9.2E-3
ENSG00000013297	ENSG00000089558	3.3E-3
ENSG00000079841	ENSG00000089558	5.2E-3
ENSG00000069667	ENSG00000089737	1.6E-2
ENSG00000078328	ENSG00000090061	8.6E-3
ENSG00000079841	ENSG00000090061	6.9E-3
ENSG00000009694	ENSG00000090376	1.2E-2
ENSG00000046889	ENSG00000090447	7.9E-3
ENSG00000047617	ENSG00000090447	1.2E-2
ENSG00000013297	ENSG00000090512	5.2E-3
ENSG00000078328	ENSG00000090534	9.8E-3
ENSG00000013297	ENSG00000090539	3E-3
ENSG00000046889	ENSG00000090857	1.3E-2
ENSG00000041515	ENSG00000090889	1.6E-2
