# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000262654	8.8E-3
ENSG00000013297	ENSG00000018869	1.5E-2
ENSG00000005108	ENSG00000019549	1.3E-2
ENSG00000005108	ENSG00000020181	2.8E-2
ENSG00000018236	ENSG00000021826	3E-2
ENSG00000018236	ENSG00000030110	1.7E-2
ENSG00000005108	ENSG00000039560	1.1E-2
ENSG00000033122	ENSG00000039987	7.1E-3
ENSG00000005108	ENSG00000040731	3.1E-2
ENSG00000005108	ENSG00000044524	2.6E-2
ENSG00000002746	ENSG00000047617	2.3E-2
ENSG00000047648	ENSG00000053702	1.1E-2
ENSG00000007174	ENSG00000059915	1.4E-2
ENSG00000058091	ENSG00000060069	8.3E-3
ENSG00000005108	ENSG00000061918	7.6E-3
ENSG00000041515	ENSG00000064195	1.7E-2
ENSG00000021645	ENSG00000065325	1.3E-2
ENSG00000047648	ENSG00000067836	9.2E-3
ENSG00000041515	ENSG00000069966	2E-2
ENSG00000066032	ENSG00000070019	4.2E-3
ENSG00000069667	ENSG00000070159	1.8E-2
ENSG00000021645	ENSG00000070731	8.9E-3
ENSG00000002746	ENSG00000070886	2.2E-2
ENSG00000018236	ENSG00000070985	4.8E-3
ENSG00000060709	ENSG00000070985	5.3E-3
ENSG00000047648	ENSG00000071205	1.1E-2
ENSG00000048471	ENSG00000071205	9.1E-3
ENSG00000069667	ENSG00000071205	9.9E-3
ENSG00000018236	ENSG00000071677	4.5E-3
ENSG00000033122	ENSG00000071677	5.7E-3
ENSG00000039139	ENSG00000071677	5.3E-3
ENSG00000039139	ENSG00000072080	1.8E-2
ENSG00000071909	ENSG00000072080	2.1E-2
ENSG00000060718	ENSG00000072110	1.6E-2
ENSG00000041515	ENSG00000072415	1.9E-2
ENSG00000058091	ENSG00000073050	7.6E-3
ENSG00000066032	ENSG00000073350	8.9E-3
ENSG00000038945	ENSG00000073737	2E-2
ENSG00000007174	ENSG00000074276	3.3E-3
ENSG00000021645	ENSG00000074276	3.5E-3
ENSG00000060709	ENSG00000074276	3.7E-3
ENSG00000048052	ENSG00000074317	7.9E-3
ENSG00000046889	ENSG00000074416	6.9E-3
ENSG00000047648	ENSG00000074416	7.7E-3
ENSG00000069020	ENSG00000074416	6E-3
ENSG00000060709	ENSG00000075073	7.7E-3
ENSG00000044524	ENSG00000075884	2.4E-2
ENSG00000042781	ENSG00000075891	1.8E-2
ENSG00000066032	ENSG00000076770	8.2E-3
ENSG00000018236	ENSG00000262532	3.1E-3
ENSG00000071909	ENSG00000262532	4.4E-3
ENSG00000044524	ENSG00000078098	6.3E-3
ENSG00000060718	ENSG00000078098	6.9E-3
ENSG00000066032	ENSG00000078579	4.5E-3
ENSG00000066032	ENSG00000079112	3.3E-3
ENSG00000005108	ENSG00000079257	1.3E-2
ENSG00000078328	ENSG00000079393	2.4E-3
ENSG00000002746	ENSG00000079482	1.1E-2
ENSG00000042781	ENSG00000079482	1.4E-2
ENSG00000060709	ENSG00000079689	1.2E-2
ENSG00000055609	ENSG00000233280	1.5E-2
ENSG00000078328	ENSG00000080503	1.1E-2
ENSG00000047617	ENSG00000080511	8.9E-3
ENSG00000013297	ENSG00000080572	1.5E-2
ENSG00000060718	ENSG00000080573	6.6E-3
ENSG00000046889	ENSG00000080910	1.4E-2
ENSG00000078328	ENSG00000081052	1.4E-2
ENSG00000002746	ENSG00000081148	1.8E-2
ENSG00000078328	ENSG00000081248	3.3E-3
ENSG00000041515	ENSG00000081277	2.1E-2
ENSG00000066032	ENSG00000081479	9E-3
ENSG00000042781	ENSG00000081800	1.6E-2
ENSG00000075884	ENSG00000082397	2E-2
ENSG00000048471	ENSG00000082482	1.3E-2
ENSG00000060718	ENSG00000083444	9.3E-3
ENSG00000041515	ENSG00000083750	7.3E-3
ENSG00000060718	ENSG00000083857	1E-2
ENSG00000005108	ENSG00000084636	1.5E-2
ENSG00000044524	ENSG00000084636	1.3E-2
ENSG00000060718	ENSG00000084636	1.1E-2
ENSG00000072657	ENSG00000085382	6.5E-3
ENSG00000078328	ENSG00000085662	1E-2
