# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000012822	2.5E-3
ENSG00000002746	ENSG00000025772	4.5E-3
ENSG00000046889	ENSG00000049323	1.6E-2
ENSG00000040731	ENSG00000269002	9.4E-3
ENSG00000038945	ENSG00000049860	9.1E-3
ENSG00000042781	ENSG00000050426	7E-3
ENSG00000040731	ENSG00000052344	8E-3
ENSG00000040731	ENSG00000053747	1E-2
ENSG00000040731	ENSG00000054356	4.2E-3
ENSG00000040731	ENSG00000055813	8.4E-3
ENSG00000040731	ENSG00000057149	1.1E-2
ENSG00000033122	ENSG00000060656	9.5E-3
ENSG00000060718	ENSG00000061455	1.4E-2
ENSG00000040731	ENSG00000061492	8.1E-3
ENSG00000044524	ENSG00000064989	1.7E-2
ENSG00000040731	ENSG00000065361	1.2E-2
ENSG00000007174	ENSG00000065618	5.3E-3
ENSG00000039139	ENSG00000068078	3E-2
ENSG00000047617	ENSG00000068976	6.2E-3
ENSG00000005108	ENSG00000069122	1.1E-2
ENSG00000047648	ENSG00000069122	1.1E-2
ENSG00000040731	ENSG00000069431	9.2E-3
ENSG00000005108	ENSG00000070018	3.5E-2
ENSG00000066032	ENSG00000070601	2.2E-2
ENSG00000069667	ENSG00000070731	2.1E-2
ENSG00000042781	ENSG00000071539	4.9E-3
ENSG00000069667	ENSG00000071967	1.8E-2
ENSG00000033122	ENSG00000072163	1.2E-2
ENSG00000058091	ENSG00000072163	1.3E-2
ENSG00000005108	ENSG00000072422	1.3E-2
ENSG00000048471	ENSG00000072609	1.7E-2
ENSG00000048471	ENSG00000072786	1.4E-2
ENSG00000069667	ENSG00000073712	8.1E-3
ENSG00000067715	ENSG00000074276	2.6E-2
ENSG00000005108	ENSG00000074527	1.9E-2
ENSG00000005108	ENSG00000074590	9.5E-3
ENSG00000047648	ENSG00000074590	7.3E-3
ENSG00000060718	ENSG00000074590	5E-3
ENSG00000069020	ENSG00000074590	5.3E-3
ENSG00000048471	ENSG00000075240	1.5E-2
ENSG00000055609	ENSG00000075407	5.9E-3
ENSG00000041515	ENSG00000075826	4E-3
ENSG00000067798	ENSG00000077063	1.5E-2
ENSG00000075213	ENSG00000077063	2.1E-2
ENSG00000055609	ENSG00000077097	9.9E-3
ENSG00000069667	ENSG00000078081	2E-2
ENSG00000060718	ENSG00000078098	6.4E-3
ENSG00000007174	ENSG00000079689	2.2E-2
ENSG00000072657	ENSG00000080819	2.2E-2
ENSG00000072657	ENSG00000080986	8.9E-3
ENSG00000048471	ENSG00000081059	2.1E-2
ENSG00000075884	ENSG00000081138	1.4E-2
ENSG00000042781	ENSG00000081913	2.6E-2
ENSG00000060718	ENSG00000082781	1.8E-2
ENSG00000040731	ENSG00000083067	9.7E-3
ENSG00000060718	ENSG00000083782	1.3E-2
ENSG00000005108	ENSG00000083857	8.1E-3
ENSG00000047617	ENSG00000084110	2.7E-2
ENSG00000041515	ENSG00000084628	2.9E-2
ENSG00000081803	ENSG00000272939	7E-3
ENSG00000007174	ENSG00000086570	1.6E-2
ENSG00000040731	ENSG00000086570	6.5E-3
