# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000268013	1.3E-2
ENSG00000002746	ENSG00000008516	1.4E-2
ENSG00000009694	ENSG00000010932	1.3E-2
ENSG00000002746	ENSG00000016082	9.1E-4
ENSG00000002746	ENSG00000020256	1.3E-2
ENSG00000002746	ENSG00000040731	1E-3
ENSG00000038945	ENSG00000042493	1.1E-2
ENSG00000021645	ENSG00000042813	6E-3
ENSG00000042781	ENSG00000042813	4.6E-3
ENSG00000040731	ENSG00000043039	2.5E-3
ENSG00000018236	ENSG00000043355	2.6E-3
ENSG00000039139	ENSG00000043355	2.3E-3
ENSG00000040731	ENSG00000044012	2.9E-3
ENSG00000040731	ENSG00000046774	4E-3
ENSG00000040731	ENSG00000047936	3.7E-3
ENSG00000040731	ENSG00000048545	3.6E-3
ENSG00000040731	ENSG00000049249	4.4E-3
ENSG00000040731	ENSG00000049283	3.1E-3
ENSG00000002746	ENSG00000050555	1.7E-2
ENSG00000040731	ENSG00000050555	4E-3
ENSG00000044524	ENSG00000054796	5E-3
ENSG00000040731	ENSG00000055118	3.5E-3
ENSG00000040731	ENSG00000058335	3.7E-3
ENSG00000040731	ENSG00000061337	3.4E-3
ENSG00000040731	ENSG00000061492	3E-3
ENSG00000040731	ENSG00000062524	1.7E-3
ENSG00000040731	ENSG00000064270	3.2E-3
ENSG00000060718	ENSG00000064666	2.4E-3
ENSG00000040731	ENSG00000064787	3.8E-3
ENSG00000040731	ENSG00000064835	3E-3
ENSG00000040731	ENSG00000064933	3.9E-3
ENSG00000040731	ENSG00000065361	2.8E-3
ENSG00000009694	ENSG00000065485	7.9E-3
ENSG00000013297	ENSG00000065485	7.3E-3
ENSG00000048471	ENSG00000065485	8.1E-3
ENSG00000040731	ENSG00000065665	4E-3
ENSG00000041515	ENSG00000065809	6.7E-3
ENSG00000040731	ENSG00000066230	1.7E-3
ENSG00000040731	ENSG00000263148	3.7E-3
ENSG00000040731	ENSG00000068831	3E-3
ENSG00000055609	ENSG00000068976	2.8E-3
ENSG00000005108	ENSG00000069702	6.3E-3
ENSG00000041515	ENSG00000069702	6.4E-3
ENSG00000048471	ENSG00000069702	5.3E-3
ENSG00000040731	ENSG00000069812	3.4E-3
ENSG00000040731	ENSG00000070019	1.4E-3
ENSG00000002746	ENSG00000070729	1.2E-2
ENSG00000040731	ENSG00000070814	3.5E-3
ENSG00000040731	ENSG00000070886	4.1E-3
ENSG00000002746	ENSG00000071909	1.8E-2
ENSG00000040731	ENSG00000071909	3.8E-3
ENSG00000040731	ENSG00000071991	3.9E-3
ENSG00000040731	ENSG00000072133	3.7E-3
ENSG00000040731	ENSG00000072315	3.4E-3
ENSG00000046889	ENSG00000072657	1E-2
ENSG00000048471	ENSG00000072786	1.5E-2
ENSG00000060718	ENSG00000072858	1.7E-2
ENSG00000072657	ENSG00000073605	9.7E-3
ENSG00000002746	ENSG00000073670	1E-2
ENSG00000040731	ENSG00000073670	2.6E-3
ENSG00000055609	ENSG00000073711	4E-3
ENSG00000038945	ENSG00000073737	9.8E-3
ENSG00000040731	ENSG00000074211	3.8E-3
ENSG00000041515	ENSG00000074416	6E-3
ENSG00000047648	ENSG00000074590	1.2E-2
ENSG00000007174	ENSG00000074706	1.1E-2
ENSG00000040731	ENSG00000074771	2.6E-3
ENSG00000040731	ENSG00000074803	4.2E-3
ENSG00000040731	ENSG00000075043	3E-3
ENSG00000066032	ENSG00000075131	9.1E-3
ENSG00000040731	ENSG00000075218	3E-3
ENSG00000040731	ENSG00000075461	4.4E-3
ENSG00000072657	ENSG00000075643	8.3E-3
ENSG00000072657	ENSG00000075651	1E-2
ENSG00000002746	ENSG00000075673	3.1E-3
ENSG00000040731	ENSG00000075673	6.8E-4
ENSG00000047648	ENSG00000075884	1.5E-2
ENSG00000040731	ENSG00000076864	3.6E-3
ENSG00000002746	ENSG00000077092	1.7E-2
ENSG00000040731	ENSG00000077092	3.9E-3
ENSG00000040731	ENSG00000077279	3.9E-3
ENSG00000040731	ENSG00000077327	4E-3
ENSG00000038945	ENSG00000077585	4.4E-3
ENSG00000055609	ENSG00000078328	7.6E-3
ENSG00000066032	ENSG00000079101	1.5E-2
ENSG00000067715	ENSG00000079112	3.1E-2
ENSG00000078328	ENSG00000079156	3.7E-3
ENSG00000040731	ENSG00000079313	3.6E-3
ENSG00000078295	ENSG00000079393	8.8E-3
ENSG00000002746	ENSG00000079482	4.3E-4
ENSG00000018236	ENSG00000079482	1.9E-3
ENSG00000021645	ENSG00000079482	1.1E-3
ENSG00000033122	ENSG00000079482	1.5E-3
ENSG00000039139	ENSG00000079482	1.6E-3
ENSG00000040731	ENSG00000079482	9.8E-5
ENSG00000042781	ENSG00000079482	9.8E-4
ENSG00000048052	ENSG00000079482	1.4E-3
ENSG00000058091	ENSG00000079482	1.7E-3
ENSG00000060709	ENSG00000079482	1.6E-3
ENSG00000066032	ENSG00000079482	4.9E-4
ENSG00000067715	ENSG00000079482	1.3E-3
ENSG00000069667	ENSG00000079482	1.2E-3
ENSG00000071909	ENSG00000079482	1.6E-3
ENSG00000078295	ENSG00000079739	5.7E-3
ENSG00000040731	ENSG00000079841	4.1E-3
ENSG00000069020	ENSG00000233280	1.9E-2
ENSG00000040731	ENSG00000080224	3.7E-3
ENSG00000040731	ENSG00000080298	3.9E-3
ENSG00000040731	ENSG00000080561	1.8E-3
ENSG00000040731	ENSG00000080618	2E-3
ENSG00000078328	ENSG00000081052	1.1E-2
ENSG00000002746	ENSG00000081386	5.3E-3
ENSG00000040731	ENSG00000081800	2.9E-3
ENSG00000046889	ENSG00000081803	4.1E-3
ENSG00000067798	ENSG00000081803	3.9E-3
ENSG00000081803	ENSG00000082497	4.2E-3
ENSG00000081803	ENSG00000082512	3.9E-3
ENSG00000081803	ENSG00000082556	3.4E-3
ENSG00000047617	ENSG00000082684	1.6E-2
ENSG00000081803	ENSG00000082684	2.1E-3
ENSG00000081803	ENSG00000083223	3.3E-3
ENSG00000040731	ENSG00000083312	2.1E-3
ENSG00000040731	ENSG00000083635	4.1E-3
ENSG00000072657	ENSG00000083720	8.5E-3
ENSG00000081803	ENSG00000083720	3.6E-3
ENSG00000078328	ENSG00000083799	6.2E-3
ENSG00000041515	ENSG00000083857	4.1E-3
ENSG00000040731	ENSG00000084453	4.4E-3
ENSG00000072657	ENSG00000084674	7.7E-3
ENSG00000040731	ENSG00000084710	3.2E-3
ENSG00000081803	ENSG00000085276	4.5E-3
ENSG00000067798	ENSG00000085382	7.4E-3
ENSG00000072657	ENSG00000085382	2.1E-3
ENSG00000081803	ENSG00000085382	9.3E-4
ENSG00000085276	ENSG00000085382	8E-3
ENSG00000066032	ENSG00000085552	1.2E-2
ENSG00000081803	ENSG00000085563	4E-3
ENSG00000078328	ENSG00000085662	1.7E-3
ENSG00000081803	ENSG00000085982	2.4E-3
ENSG00000081803	ENSG00000086200	3.5E-3
ENSG00000066032	ENSG00000086288	9.5E-3
ENSG00000066032	ENSG00000086717	1.4E-2
ENSG00000002746	ENSG00000086827	6.1E-3
