# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000261920	1.2E-2
ENSG00000002746	ENSG00000008441	3E-2
ENSG00000021645	ENSG00000023171	1.2E-2
ENSG00000040731	ENSG00000042980	9.9E-3
ENSG00000040731	ENSG00000046774	1E-2
ENSG00000002746	ENSG00000047578	3.4E-3
ENSG00000018236	ENSG00000047578	3.7E-3
ENSG00000038945	ENSG00000047578	4.2E-3
ENSG00000040731	ENSG00000047578	1.4E-3
ENSG00000048052	ENSG00000048649	8E-3
ENSG00000048052	ENSG00000050426	5.8E-3
ENSG00000047648	ENSG00000055147	4E-3
ENSG00000047648	ENSG00000055332	1.5E-2
ENSG00000060709	ENSG00000064692	2E-2
ENSG00000048471	ENSG00000065457	6.5E-3
ENSG00000018236	ENSG00000065600	2.2E-2
ENSG00000047648	ENSG00000066933	3.9E-2
ENSG00000040731	ENSG00000067715	8.4E-3
ENSG00000047648	ENSG00000068784	1.1E-2
ENSG00000058091	ENSG00000068784	1.3E-2
ENSG00000002746	ENSG00000068903	3.5E-3
ENSG00000046889	ENSG00000068903	4.2E-3
ENSG00000040731	ENSG00000069018	1.3E-2
ENSG00000066032	ENSG00000069702	2.5E-2
ENSG00000058091	ENSG00000069943	6.6E-3
ENSG00000041515	ENSG00000070031	2.7E-2
ENSG00000069667	ENSG00000070087	1.8E-2
ENSG00000067715	ENSG00000070159	1.6E-2
ENSG00000021645	ENSG00000070718	1.7E-2
ENSG00000040731	ENSG00000070729	1.7E-2
ENSG00000018236	ENSG00000071677	1.1E-2
ENSG00000040731	ENSG00000071991	1.2E-2
ENSG00000060709	ENSG00000073712	1.3E-2
ENSG00000067715	ENSG00000073792	1.6E-2
ENSG00000013297	ENSG00000074582	1.1E-2
ENSG00000040731	ENSG00000074771	1.1E-2
ENSG00000040731	ENSG00000074803	1.3E-2
ENSG00000041515	ENSG00000074803	2.5E-2
ENSG00000040731	ENSG00000075213	1.3E-2
ENSG00000040731	ENSG00000075223	1.2E-2
ENSG00000067715	ENSG00000075223	2E-2
ENSG00000005108	ENSG00000075388	8.3E-3
ENSG00000009694	ENSG00000075415	3.9E-3
ENSG00000048052	ENSG00000075539	2.6E-2
ENSG00000041515	ENSG00000075624	3.3E-3
ENSG00000058091	ENSG00000077380	5.1E-3
ENSG00000048471	ENSG00000077684	1.1E-2
ENSG00000067715	ENSG00000079112	1.8E-2
ENSG00000048471	ENSG00000079277	4.8E-3
ENSG00000075884	ENSG00000079459	6.3E-3
ENSG00000075884	ENSG00000079950	8.2E-3
ENSG00000018236	ENSG00000080189	2.3E-2
ENSG00000060709	ENSG00000080709	2E-2
ENSG00000048052	ENSG00000080822	1.2E-2
ENSG00000021645	ENSG00000081059	1.7E-2
ENSG00000060709	ENSG00000081059	1.1E-2
ENSG00000069667	ENSG00000081059	1.3E-2
ENSG00000075884	ENSG00000262418	1.2E-2
ENSG00000075884	ENSG00000081320	9.3E-3
ENSG00000040731	ENSG00000081386	3E-3
ENSG00000078295	ENSG00000081386	8.9E-3
ENSG00000075884	ENSG00000082512	6.5E-3
ENSG00000041515	ENSG00000083307	1.1E-2
ENSG00000058091	ENSG00000083828	1.5E-2
ENSG00000067798	ENSG00000083845	5.8E-3
ENSG00000013297	ENSG00000084072	1.8E-2
ENSG00000042781	ENSG00000086504	1.2E-2
ENSG00000018236	ENSG00000086544	1.4E-2
ENSG00000009694	ENSG00000087086	1.5E-2
ENSG00000081803	ENSG00000088298	7.9E-3
ENSG00000040731	ENSG00000260587	1.6E-2
ENSG00000007174	ENSG00000089009	4.7E-3
ENSG00000067798	ENSG00000089009	5.7E-3
ENSG00000082293	ENSG00000089009	5.1E-3
ENSG00000083067	ENSG00000089009	6.5E-3
ENSG00000060718	ENSG00000089048	1.4E-2
ENSG00000075884	ENSG00000089063	8.1E-3
ENSG00000009694	ENSG00000089157	3.8E-3
ENSG00000044524	ENSG00000089157	3.5E-3
ENSG00000067798	ENSG00000089157	4E-3
ENSG00000069020	ENSG00000089157	4.2E-3
ENSG00000085276	ENSG00000089157	4.1E-3
ENSG00000081803	ENSG00000089248	9E-3
ENSG00000048052	ENSG00000089902	2.5E-2
