# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000007314	1.9E-2
ENSG00000005108	ENSG00000030419	5.7E-3
ENSG00000005108	ENSG00000032219	1E-2
ENSG00000005108	ENSG00000034971	7.1E-3
ENSG00000018236	ENSG00000039560	1.1E-2
ENSG00000009694	ENSG00000041515	1.2E-2
ENSG00000040731	ENSG00000042781	6.8E-3
ENSG00000041515	ENSG00000044012	1.2E-2
ENSG00000042781	ENSG00000046647	4.6E-3
ENSG00000041515	ENSG00000047617	1.4E-2
ENSG00000018236	ENSG00000049192	4.4E-3
ENSG00000046889	ENSG00000049323	1.8E-2
ENSG00000048471	ENSG00000049883	1.4E-2
ENSG00000042781	ENSG00000050327	5.7E-3
ENSG00000044524	ENSG00000053108	2.9E-3
ENSG00000048052	ENSG00000053108	3.1E-3
ENSG00000040731	ENSG00000054796	6.3E-3
ENSG00000042781	ENSG00000054796	1.8E-3
ENSG00000041515	ENSG00000055732	1.1E-2
ENSG00000007174	ENSG00000055957	4.3E-3
ENSG00000013297	ENSG00000055957	2.9E-3
ENSG00000018236	ENSG00000058063	1.3E-2
ENSG00000042781	ENSG00000060709	4.8E-3
ENSG00000040731	ENSG00000060749	7.6E-3
ENSG00000018236	ENSG00000064666	6.3E-3
ENSG00000046889	ENSG00000064692	9.3E-3
ENSG00000041515	ENSG00000065600	3.8E-3
ENSG00000048052	ENSG00000271342	3.8E-2
ENSG00000040731	ENSG00000268579	1.7E-2
ENSG00000066032	ENSG00000067798	2.2E-2
ENSG00000042781	ENSG00000068024	5.9E-3
ENSG00000018236	ENSG00000068383	1.3E-2
ENSG00000044524	ENSG00000068976	2.6E-2
ENSG00000009694	ENSG00000069018	3.9E-2
ENSG00000041515	ENSG00000069018	1.3E-2
ENSG00000060709	ENSG00000069712	1.2E-2
ENSG00000067715	ENSG00000069712	1.7E-2
ENSG00000048471	ENSG00000070214	8.7E-3
ENSG00000047648	ENSG00000070748	9.3E-3
ENSG00000040731	ENSG00000071073	2.6E-2
ENSG00000018236	ENSG00000071242	1.2E-2
ENSG00000046889	ENSG00000072195	1.2E-2
ENSG00000018236	ENSG00000072422	1.4E-2
ENSG00000042781	ENSG00000072657	3E-3
ENSG00000041515	ENSG00000073060	1.4E-2
ENSG00000007174	ENSG00000073670	6.4E-3
ENSG00000013297	ENSG00000073670	4.3E-3
ENSG00000042781	ENSG00000263298	9.5E-3
ENSG00000040731	ENSG00000073754	1.1E-2
ENSG00000042781	ENSG00000073754	3.2E-3
ENSG00000060709	ENSG00000073754	7.9E-3
ENSG00000066032	ENSG00000073969	1.6E-2
ENSG00000066032	ENSG00000074276	2E-3
ENSG00000069667	ENSG00000074317	2E-2
ENSG00000067715	ENSG00000074319	1.4E-2
ENSG00000072657	ENSG00000074416	1.1E-2
ENSG00000060718	ENSG00000074590	1.6E-2
ENSG00000005108	ENSG00000074660	1.6E-2
ENSG00000066032	ENSG00000074771	4.6E-3
ENSG00000042781	ENSG00000074803	7.3E-3
ENSG00000072657	ENSG00000074803	1.1E-2
ENSG00000072657	ENSG00000074966	6.6E-3
ENSG00000002746	ENSG00000075035	2.1E-2
ENSG00000021645	ENSG00000075073	6.9E-3
ENSG00000040731	ENSG00000075290	9.9E-3
ENSG00000042781	ENSG00000075290	2.9E-3
ENSG00000060709	ENSG00000075290	7E-3
ENSG00000002746	ENSG00000075429	7.7E-3
ENSG00000040731	ENSG00000075673	6.5E-3
ENSG00000066032	ENSG00000075673	4.4E-3
ENSG00000041515	ENSG00000075975	1.4E-2
ENSG00000042781	ENSG00000076053	2.8E-3
ENSG00000048471	ENSG00000077254	1.7E-2
ENSG00000041515	ENSG00000077264	7.7E-3
ENSG00000046889	ENSG00000077279	1.6E-2
ENSG00000046889	ENSG00000077498	4.6E-3
ENSG00000075213	ENSG00000077498	9.2E-3
ENSG00000046889	ENSG00000077522	1.7E-2
ENSG00000072657	ENSG00000077616	3.6E-3
ENSG00000018236	ENSG00000262532	1.6E-3
ENSG00000021645	ENSG00000262532	4.4E-3
ENSG00000047617	ENSG00000262532	4.5E-3
ENSG00000018236	ENSG00000077942	1.4E-2
ENSG00000041515	ENSG00000077943	7.3E-3
ENSG00000060718	ENSG00000078098	1.5E-2
ENSG00000042781	ENSG00000078725	7.6E-3
ENSG00000060709	ENSG00000078725	1.9E-2
ENSG00000046889	ENSG00000079112	1.9E-3
ENSG00000009694	ENSG00000080298	5.3E-3
ENSG00000018236	ENSG00000080298	2.2E-3
ENSG00000021645	ENSG00000080298	5.9E-3
ENSG00000047648	ENSG00000080298	6E-3
ENSG00000078328	ENSG00000080298	4.9E-3
ENSG00000075213	ENSG00000080511	7.9E-3
ENSG00000072657	ENSG00000080546	8.2E-3
ENSG00000018236	ENSG00000080573	8.9E-3
ENSG00000072657	ENSG00000080822	1.2E-2
ENSG00000005108	ENSG00000080910	1.1E-2
ENSG00000009694	ENSG00000080910	1.1E-2
ENSG00000042781	ENSG00000081014	5.9E-3
ENSG00000041515	ENSG00000081052	8.5E-3
ENSG00000075884	ENSG00000262418	1.2E-2
ENSG00000069020	ENSG00000081479	1.8E-2
ENSG00000042781	ENSG00000081800	3.1E-3
ENSG00000072657	ENSG00000081800	4.7E-3
ENSG00000060718	ENSG00000082196	1.6E-2
ENSG00000041515	ENSG00000082438	1.5E-2
ENSG00000042781	ENSG00000082482	8.3E-3
ENSG00000042781	ENSG00000083123	9.7E-3
ENSG00000042781	ENSG00000083544	9.8E-3
ENSG00000072657	ENSG00000083544	1.5E-2
ENSG00000018236	ENSG00000083782	1.1E-2
ENSG00000048471	ENSG00000083838	3.1E-3
ENSG00000069020	ENSG00000083838	4.8E-3
ENSG00000066032	ENSG00000084234	1.9E-2
ENSG00000046889	ENSG00000084453	2.6E-2
ENSG00000048471	ENSG00000084710	1.4E-2
ENSG00000075213	ENSG00000084734	7.8E-3
ENSG00000066032	ENSG00000085433	1.7E-2
