# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000010361	1.2E-2
ENSG00000009694	ENSG00000010932	1.1E-2
ENSG00000013297	ENSG00000015413	4.1E-3
ENSG00000005108	ENSG00000015592	3.4E-3
ENSG00000018236	ENSG00000022267	1.8E-2
ENSG00000018236	ENSG00000029725	1.7E-2
ENSG00000005108	ENSG00000036565	7.7E-3
ENSG00000009694	ENSG00000041515	5.1E-3
ENSG00000007174	ENSG00000046651	1.5E-2
ENSG00000018236	ENSG00000047936	1.1E-2
ENSG00000041515	ENSG00000048462	4.8E-3
ENSG00000041515	ENSG00000048545	6.4E-3
ENSG00000040731	ENSG00000048991	8.7E-3
ENSG00000040731	ENSG00000049167	8.3E-3
ENSG00000002746	ENSG00000049192	1.4E-2
ENSG00000013297	ENSG00000262184	2.3E-2
ENSG00000013297	ENSG00000269002	9.9E-3
ENSG00000041515	ENSG00000050730	4E-3
ENSG00000042781	ENSG00000055147	1.6E-2
ENSG00000002746	ENSG00000055955	5.4E-3
ENSG00000013297	ENSG00000055955	3.9E-3
ENSG00000047617	ENSG00000055955	5.2E-3
ENSG00000048471	ENSG00000056558	1.3E-2
ENSG00000041515	ENSG00000056998	5.4E-3
ENSG00000041515	ENSG00000057468	2.5E-3
ENSG00000048052	ENSG00000058804	1.3E-2
ENSG00000040731	ENSG00000058866	8.2E-3
ENSG00000047648	ENSG00000058866	2.4E-2
ENSG00000040731	ENSG00000060709	5.4E-3
ENSG00000040731	ENSG00000060749	1.1E-2
ENSG00000060709	ENSG00000061918	1.3E-2
ENSG00000041515	ENSG00000064393	5.3E-3
ENSG00000007174	ENSG00000064692	1.3E-2
ENSG00000048052	ENSG00000064763	1.3E-2
ENSG00000042781	ENSG00000065600	6.4E-3
ENSG00000041515	ENSG00000065609	3.2E-3
ENSG00000060709	ENSG00000066382	1.6E-2
ENSG00000041515	ENSG00000066405	6.9E-3
ENSG00000060709	ENSG00000066557	9.7E-3
ENSG00000048052	ENSG00000067066	2.3E-2
ENSG00000040731	ENSG00000067715	1.2E-2
ENSG00000060709	ENSG00000067715	1.7E-2
ENSG00000040731	ENSG00000067992	1.2E-2
ENSG00000013297	ENSG00000068903	7.3E-3
ENSG00000041515	ENSG00000068976	4E-3
ENSG00000041515	ENSG00000069018	5.3E-3
ENSG00000046889	ENSG00000069122	3.1E-2
ENSG00000041515	ENSG00000069431	6.3E-3
ENSG00000041515	ENSG00000069482	6.4E-3
ENSG00000066032	ENSG00000070214	1.4E-2
ENSG00000007174	ENSG00000070718	1.3E-2
ENSG00000007174	ENSG00000070731	1.1E-2
ENSG00000041515	ENSG00000070915	6.9E-3
ENSG00000040731	ENSG00000071189	9.3E-3
ENSG00000040731	ENSG00000071537	9.5E-3
ENSG00000005108	ENSG00000072657	1.2E-2
ENSG00000066032	ENSG00000072657	5.7E-3
ENSG00000067798	ENSG00000072657	1.2E-2
ENSG00000040731	ENSG00000072694	5.6E-3
ENSG00000060709	ENSG00000072803	9.7E-3
ENSG00000041515	ENSG00000073060	6.5E-3
ENSG00000041515	ENSG00000073464	6.1E-3
ENSG00000021645	ENSG00000073598	9.3E-3
ENSG00000013297	ENSG00000073670	1.1E-2
ENSG00000040731	ENSG00000074706	1E-2
ENSG00000009694	ENSG00000074771	2.2E-2
ENSG00000041515	ENSG00000074771	4.2E-3
ENSG00000041515	ENSG00000074966	4.5E-3
ENSG00000005108	ENSG00000075035	5E-3
ENSG00000021645	ENSG00000075035	4.5E-3
ENSG00000047617	ENSG00000075073	1.9E-2
ENSG00000066032	ENSG00000075391	1.5E-2
ENSG00000072657	ENSG00000075651	7.7E-3
ENSG00000041515	ENSG00000075891	6.4E-3
ENSG00000060709	ENSG00000076321	1.2E-2
ENSG00000060709	ENSG00000077092	1.6E-2
ENSG00000018236	ENSG00000077264	4.7E-3
ENSG00000048471	ENSG00000077264	6E-3
ENSG00000075213	ENSG00000263001	1.7E-2
ENSG00000041515	ENSG00000077943	1.6E-3
ENSG00000075884	ENSG00000077984	1.3E-2
ENSG00000060709	ENSG00000078053	3.6E-3
ENSG00000060718	ENSG00000078053	4.7E-3
ENSG00000067715	ENSG00000078053	8.1E-3
ENSG00000048052	ENSG00000078081	2E-2
ENSG00000048471	ENSG00000078098	1.9E-2
ENSG00000040731	ENSG00000078401	9.3E-3
ENSG00000042781	ENSG00000078725	4.9E-3
ENSG00000047648	ENSG00000078725	7.4E-3
ENSG00000060718	ENSG00000078725	4.9E-3
ENSG00000072657	ENSG00000078725	2.7E-3
ENSG00000066032	ENSG00000078795	4.9E-3
ENSG00000009694	ENSG00000079101	2.9E-2
ENSG00000009694	ENSG00000079112	9.9E-3
ENSG00000041515	ENSG00000080618	3E-3
ENSG00000041515	ENSG00000080644	7.6E-3
ENSG00000007174	ENSG00000080823	1.3E-2
ENSG00000042781	ENSG00000081052	5.8E-3
ENSG00000058091	ENSG00000081052	9.4E-3
ENSG00000041515	ENSG00000081138	5.6E-3
ENSG00000060718	ENSG00000081189	2.4E-2
ENSG00000069667	ENSG00000081377	1.6E-2
ENSG00000005108	ENSG00000081479	9.6E-3
ENSG00000047648	ENSG00000081479	8.7E-3
