# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000005249	8.6E-3
ENSG00000005108	ENSG00000012223	1.3E-2
ENSG00000007174	ENSG00000013275	1.5E-2
ENSG00000002746	ENSG00000018869	1.2E-2
ENSG00000013297	ENSG00000019169	7.3E-3
ENSG00000040731	ENSG00000049192	1.2E-2
ENSG00000005108	ENSG00000049449	7.7E-3
ENSG00000040731	ENSG00000050555	8.9E-3
ENSG00000048471	ENSG00000051009	5.1E-3
ENSG00000009694	ENSG00000053438	1.7E-2
ENSG00000033122	ENSG00000053524	2.1E-2
ENSG00000040731	ENSG00000053747	1.2E-2
ENSG00000041515	ENSG00000054356	1.1E-2
ENSG00000021645	ENSG00000054793	1.9E-2
ENSG00000040731	ENSG00000055118	9.2E-3
ENSG00000033122	ENSG00000055957	2.5E-2
ENSG00000040731	ENSG00000056291	8.2E-3
ENSG00000055609	ENSG00000060339	1.8E-2
ENSG00000040731	ENSG00000061337	1.1E-2
ENSG00000033122	ENSG00000061492	6.7E-3
ENSG00000055609	ENSG00000061987	2.2E-2
ENSG00000047617	ENSG00000064205	2.5E-2
ENSG00000048052	ENSG00000064763	2E-2
ENSG00000009694	ENSG00000064835	1.4E-2
ENSG00000044524	ENSG00000065485	1E-2
ENSG00000007174	ENSG00000068120	8.9E-3
ENSG00000069667	ENSG00000069956	5.1E-3
ENSG00000055609	ENSG00000070018	3.3E-2
ENSG00000009694	ENSG00000070019	2.1E-2
ENSG00000002746	ENSG00000070182	2.7E-2
ENSG00000042781	ENSG00000070193	1.8E-2
ENSG00000047648	ENSG00000070748	2.4E-2
ENSG00000009694	ENSG00000071677	5E-3
ENSG00000060718	ENSG00000071677	5.3E-3
ENSG00000040731	ENSG00000072041	9.7E-3
ENSG00000047617	ENSG00000072163	6E-3
ENSG00000039139	ENSG00000072422	5.5E-3
ENSG00000021645	ENSG00000072858	8.6E-3
ENSG00000044524	ENSG00000072954	2.4E-2
ENSG00000060709	ENSG00000269335	1.1E-2
ENSG00000009694	ENSG00000073067	1.2E-2
ENSG00000048052	ENSG00000073756	1.5E-2
ENSG00000002746	ENSG00000073861	1.2E-2
ENSG00000021645	ENSG00000074317	2.3E-2
ENSG00000040731	ENSG00000075043	9.2E-3
ENSG00000069667	ENSG00000075223	8.8E-3
ENSG00000040731	ENSG00000075388	9.7E-3
ENSG00000069020	ENSG00000075399	1.4E-2
ENSG00000040731	ENSG00000075429	8.4E-3
ENSG00000060709	ENSG00000076258	1.3E-2
ENSG00000075884	ENSG00000076641	9E-3
ENSG00000046889	ENSG00000076662	1.7E-2
ENSG00000075884	ENSG00000077984	8.4E-3
ENSG00000067715	ENSG00000078098	3.1E-2
ENSG00000075884	ENSG00000078589	1.6E-2
ENSG00000067798	ENSG00000078596	2.5E-2
ENSG00000039139	ENSG00000079156	1.2E-2
ENSG00000048052	ENSG00000080031	1.4E-2
ENSG00000058091	ENSG00000081386	1.1E-2
ENSG00000067798	ENSG00000081386	1.1E-2
ENSG00000069667	ENSG00000081386	1.1E-2
ENSG00000005108	ENSG00000081479	1.8E-2
ENSG00000047648	ENSG00000081479	2.1E-2
ENSG00000080224	ENSG00000082175	3E-2
ENSG00000042781	ENSG00000082684	2.8E-2
ENSG00000005108	ENSG00000083814	1.9E-2
ENSG00000066032	ENSG00000083845	8.7E-3
ENSG00000081803	ENSG00000083857	1.1E-2
ENSG00000069020	ENSG00000084636	1.4E-2
ENSG00000060718	ENSG00000085265	5.7E-3
ENSG00000021645	ENSG00000085276	3.3E-2
ENSG00000081803	ENSG00000085382	3.9E-3
ENSG00000075884	ENSG00000085563	1.3E-2
ENSG00000060718	ENSG00000085741	8.7E-3
ENSG00000038945	ENSG00000086300	7.7E-3
ENSG00000072657	ENSG00000086300	7E-3
ENSG00000067798	ENSG00000086696	1.8E-2
ENSG00000078295	ENSG00000087206	1.7E-2
ENSG00000040731	ENSG00000087237	5.3E-3
ENSG00000071909	ENSG00000087237	1.4E-2
ENSG00000005108	ENSG00000087301	5.8E-3
ENSG00000086289	ENSG00000087301	4.1E-3
ENSG00000002746	ENSG00000087589	2.4E-2
ENSG00000075213	ENSG00000268104	2.1E-2
ENSG00000079841	ENSG00000268104	1.9E-2
ENSG00000047617	ENSG00000260587	4.1E-3
ENSG00000069020	ENSG00000088808	9.6E-3
ENSG00000021645	ENSG00000088854	6.4E-3
ENSG00000069020	ENSG00000088854	6.7E-3
ENSG00000069667	ENSG00000089009	8.3E-3
ENSG00000075884	ENSG00000089012	1.3E-2
ENSG00000018236	ENSG00000089157	5.4E-3
ENSG00000066032	ENSG00000089157	4.7E-3
ENSG00000055609	ENSG00000089682	1.3E-2
ENSG00000060709	ENSG00000090097	7.2E-3
ENSG00000081803	ENSG00000090920	1.1E-2
ENSG00000040731	ENSG00000090924	9E-3
ENSG00000055609	ENSG00000091009	2E-2
ENSG00000086289	ENSG00000091640	3.1E-3
ENSG00000079841	ENSG00000091844	2.4E-2
ENSG00000021645	ENSG00000092529	1E-2
ENSG00000013297	ENSG00000092964	7.3E-3
ENSG00000072657	ENSG00000092964	6.2E-3
ENSG00000018236	ENSG00000262993	1.3E-2
ENSG00000069667	ENSG00000094841	7.1E-3
ENSG00000039139	ENSG00000094963	1.7E-2
ENSG00000085276	ENSG00000094975	1E-2
ENSG00000075213	ENSG00000095564	5.9E-3
ENSG00000067798	ENSG00000096006	2.2E-2
ENSG00000086289	ENSG00000096060	1.7E-2
ENSG00000040731	ENSG00000096070	9.5E-3
ENSG00000018236	ENSG00000235650	5.6E-3
ENSG00000066032	ENSG00000235650	5.1E-3
ENSG00000021645	ENSG00000096696	5.6E-3
ENSG00000075213	ENSG00000096696	5.1E-3
ENSG00000085276	ENSG00000096696	7.2E-3
ENSG00000081803	ENSG00000096717	5.5E-3
ENSG00000048052	ENSG00000099337	1.5E-2
ENSG00000041515	ENSG00000099399	5.7E-3
ENSG00000083067	ENSG00000099399	6.9E-3
ENSG00000071909	ENSG00000099769	8.6E-3
ENSG00000095777	ENSG00000099769	9.2E-3
