# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000021488	7.8E-3
ENSG00000018236	ENSG00000021488	6.1E-3
ENSG00000018236	ENSG00000026652	1.3E-2
ENSG00000018236	ENSG00000035403	2.4E-2
ENSG00000002746	ENSG00000042813	1.1E-2
ENSG00000007174	ENSG00000042813	9.5E-3
ENSG00000041515	ENSG00000042832	3.1E-3
ENSG00000005108	ENSG00000044459	5.4E-3
ENSG00000009694	ENSG00000044459	5.4E-3
ENSG00000002746	ENSG00000047936	5.2E-3
ENSG00000018236	ENSG00000047936	4.1E-3
ENSG00000042781	ENSG00000047936	3.3E-3
ENSG00000005108	ENSG00000049167	1E-2
ENSG00000048471	ENSG00000049167	4.4E-3
ENSG00000007174	ENSG00000053702	6.8E-3
ENSG00000041515	ENSG00000054796	3.7E-3
ENSG00000048471	ENSG00000055732	5.1E-3
ENSG00000007174	ENSG00000055957	9.6E-3
ENSG00000040731	ENSG00000056972	1.9E-2
ENSG00000005108	ENSG00000058866	5.8E-3
ENSG00000038945	ENSG00000058866	5.1E-3
ENSG00000047648	ENSG00000058866	5.9E-3
ENSG00000041515	ENSG00000060140	7.1E-3
ENSG00000046889	ENSG00000060491	1.3E-2
ENSG00000007174	ENSG00000062096	1.2E-2
ENSG00000041515	ENSG00000064655	7.3E-3
ENSG00000018236	ENSG00000064989	2.5E-2
ENSG00000041515	ENSG00000065029	5.2E-3
ENSG00000046889	ENSG00000065029	1.1E-2
ENSG00000047617	ENSG00000065325	2.4E-2
ENSG00000007174	ENSG00000065609	2.3E-2
ENSG00000013297	ENSG00000065609	1.4E-2
ENSG00000040731	ENSG00000065883	2.3E-2
ENSG00000041515	ENSG00000066056	5.1E-3
ENSG00000047648	ENSG00000066056	1.8E-2
ENSG00000047617	ENSG00000066230	1.2E-2
ENSG00000013297	ENSG00000066926	1.3E-2
ENSG00000046889	ENSG00000068903	1.2E-2
ENSG00000007174	ENSG00000069188	1.1E-2
ENSG00000048471	ENSG00000069206	1.4E-2
ENSG00000044524	ENSG00000069712	1.6E-2
ENSG00000048052	ENSG00000069712	1.2E-2
ENSG00000060709	ENSG00000069712	8.5E-3
ENSG00000067715	ENSG00000069764	1.9E-2
ENSG00000048471	ENSG00000070214	8.9E-3
ENSG00000041515	ENSG00000269216	6.1E-3
ENSG00000041515	ENSG00000070601	6.5E-3
ENSG00000048471	ENSG00000071203	9E-3
ENSG00000067798	ENSG00000071677	1.8E-2
ENSG00000005108	ENSG00000072041	5.7E-3
ENSG00000060709	ENSG00000072041	3E-3
ENSG00000046889	ENSG00000072182	6.3E-3
ENSG00000069667	ENSG00000072210	1.6E-2
ENSG00000042781	ENSG00000072315	8.9E-3
ENSG00000066032	ENSG00000072401	9.3E-3
ENSG00000066032	ENSG00000269384	7.9E-3
ENSG00000013297	ENSG00000072840	1.8E-2
ENSG00000066032	ENSG00000073067	5.5E-3
ENSG00000038945	ENSG00000073737	1.6E-2
ENSG00000041515	ENSG00000073803	9.1E-3
ENSG00000048052	ENSG00000073849	2E-2
ENSG00000066032	ENSG00000074276	6E-3
ENSG00000060718	ENSG00000074590	1.4E-2
ENSG00000060718	ENSG00000074657	1.3E-2
ENSG00000041515	ENSG00000075213	4.4E-3
ENSG00000040731	ENSG00000075290	2.9E-3
ENSG00000044524	ENSG00000075290	5.2E-3
ENSG00000060709	ENSG00000075290	2.9E-3
ENSG00000066032	ENSG00000075391	1.1E-2
ENSG00000041515	ENSG00000075826	2E-3
ENSG00000075213	ENSG00000075826	3.5E-3
ENSG00000075884	ENSG00000076662	6.7E-3
ENSG00000075884	ENSG00000272879	7.5E-3
ENSG00000041515	ENSG00000077009	4.2E-3
