# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000004939	9.9E-3
ENSG00000007174	ENSG00000008226	4.6E-3
ENSG00000007174	ENSG00000016402	1.2E-2
ENSG00000013297	ENSG00000018236	1.7E-2
ENSG00000013297	ENSG00000020181	1.6E-2
ENSG00000002746	ENSG00000021852	4.1E-3
ENSG00000007174	ENSG00000032742	6.6E-3
ENSG00000007174	ENSG00000039139	1.5E-2
ENSG00000007174	ENSG00000039537	8.6E-3
ENSG00000005108	ENSG00000039560	1.4E-2
ENSG00000042781	ENSG00000047365	5.8E-3
ENSG00000007174	ENSG00000048342	1.4E-2
ENSG00000040731	ENSG00000049759	1.8E-2
ENSG00000018236	ENSG00000050165	1.7E-2
ENSG00000021645	ENSG00000050426	6.1E-3
ENSG00000021645	ENSG00000051009	7.3E-3
ENSG00000042781	ENSG00000052126	3.8E-3
ENSG00000042781	ENSG00000053524	6.7E-4
ENSG00000048471	ENSG00000053524	4.7E-3
ENSG00000007174	ENSG00000053900	1.3E-2
ENSG00000038945	ENSG00000054282	1.4E-2
ENSG00000042781	ENSG00000055044	2.7E-3
ENSG00000021645	ENSG00000056487	2.3E-2
ENSG00000007174	ENSG00000056972	1.1E-2
ENSG00000042781	ENSG00000059588	2.5E-3
ENSG00000021645	ENSG00000060656	8.6E-3
ENSG00000018236	ENSG00000064666	6.9E-3
ENSG00000042781	ENSG00000064835	5.7E-3
ENSG00000055609	ENSG00000065183	9.1E-3
ENSG00000042781	ENSG00000066084	5.4E-3
ENSG00000042781	ENSG00000066557	6.9E-3
ENSG00000046889	ENSG00000066777	1.6E-2
ENSG00000042781	ENSG00000067365	2.8E-3
ENSG00000018236	ENSG00000067798	1.9E-2
ENSG00000041515	ENSG00000269840	2.4E-2
ENSG00000042781	ENSG00000069018	7.5E-3
ENSG00000040731	ENSG00000069482	2.1E-2
ENSG00000069667	ENSG00000069966	2E-2
ENSG00000047617	ENSG00000070182	2.9E-2
ENSG00000042781	ENSG00000070269	2.3E-3
ENSG00000060718	ENSG00000070540	4.6E-3
ENSG00000060718	ENSG00000071282	8E-3
ENSG00000021645	ENSG00000072133	3E-2
ENSG00000042781	ENSG00000072315	3.8E-3
ENSG00000038945	ENSG00000072694	8.7E-3
ENSG00000013297	ENSG00000072952	1.3E-2
ENSG00000018236	ENSG00000072952	9.2E-3
ENSG00000067798	ENSG00000072952	1.3E-2
ENSG00000060718	ENSG00000073712	6E-3
ENSG00000033122	ENSG00000073754	3.5E-3
ENSG00000046889	ENSG00000074416	8.2E-3
ENSG00000069020	ENSG00000074416	1.1E-2
ENSG00000009694	ENSG00000074590	5.3E-3
ENSG00000060718	ENSG00000074590	3.6E-3
ENSG00000005108	ENSG00000075213	2.4E-2
ENSG00000060718	ENSG00000075426	8.1E-3
ENSG00000005108	ENSG00000075945	1.9E-2
ENSG00000048471	ENSG00000076258	1.5E-2
ENSG00000075884	ENSG00000076641	6.2E-3
ENSG00000075884	ENSG00000076662	4.7E-3
ENSG00000042781	ENSG00000076685	5.5E-3
ENSG00000042781	ENSG00000077274	5.8E-3
ENSG00000005108	ENSG00000077279	2.1E-2
ENSG00000075884	ENSG00000077420	7.6E-3
ENSG00000040731	ENSG00000077616	2.3E-2
ENSG00000042781	ENSG00000077616	6E-3
ENSG00000055609	ENSG00000263001	4.9E-3
ENSG00000075884	ENSG00000077984	3.6E-3
ENSG00000060718	ENSG00000078098	2.8E-3
ENSG00000042781	ENSG00000078142	5.1E-3
ENSG00000021645	ENSG00000078579	1E-2
ENSG00000075884	ENSG00000078589	4.1E-3
ENSG00000075884	ENSG00000078596	4E-3
ENSG00000018236	ENSG00000079150	8.5E-3
ENSG00000069667	ENSG00000079156	1.8E-2
ENSG00000078328	ENSG00000079393	4E-3
ENSG00000071909	ENSG00000079841	2.1E-2
ENSG00000048052	ENSG00000080511	2.2E-3
ENSG00000067798	ENSG00000080546	1.1E-2
ENSG00000007174	ENSG00000080572	4.8E-3
ENSG00000039139	ENSG00000080572	7.4E-3
ENSG00000060718	ENSG00000080573	5.8E-3
ENSG00000042781	ENSG00000080709	5.3E-3
ENSG00000055609	ENSG00000080802	3.3E-2
ENSG00000018236	ENSG00000080910	1.1E-2
ENSG00000067798	ENSG00000080910	1.7E-2
ENSG00000080224	ENSG00000081148	2.3E-2
ENSG00000075884	ENSG00000081189	4.8E-3
ENSG00000075884	ENSG00000262418	8E-3
ENSG00000075884	ENSG00000081320	6.1E-3
ENSG00000075884	ENSG00000082074	4.1E-3
ENSG00000007174	ENSG00000082175	1.1E-2
ENSG00000042781	ENSG00000082269	5.5E-3
ENSG00000038945	ENSG00000082397	1E-2
ENSG00000075884	ENSG00000082397	4.3E-3
ENSG00000082293	ENSG00000082512	2.2E-2
ENSG00000060718	ENSG00000082781	9.8E-3
ENSG00000075884	ENSG00000082996	4.9E-3
ENSG00000042781	ENSG00000083093	1.5E-3
ENSG00000060718	ENSG00000083782	4.8E-3
ENSG00000075884	ENSG00000084070	6.6E-3
ENSG00000067715	ENSG00000084453	1.9E-2
ENSG00000013297	ENSG00000084636	1.2E-2
ENSG00000018236	ENSG00000084636	7.7E-3
ENSG00000066032	ENSG00000084693	2.5E-2
ENSG00000066032	ENSG00000085552	1.2E-2
ENSG00000072657	ENSG00000085741	2.8E-2
ENSG00000055609	ENSG00000085760	1.4E-2
ENSG00000075884	ENSG00000086300	3.7E-3
ENSG00000060718	ENSG00000086717	7.2E-3
ENSG00000060718	ENSG00000087116	6.4E-3
ENSG00000042781	ENSG00000087299	4.7E-3
ENSG00000086289	ENSG00000087303	6.4E-3
ENSG00000018236	ENSG00000087494	1.7E-2
ENSG00000009694	ENSG00000260587	2.3E-2
ENSG00000060718	ENSG00000088756	6.3E-3
ENSG00000075884	ENSG00000088827	3.4E-3
ENSG00000005108	ENSG00000088854	2.7E-2
ENSG00000078328	ENSG00000089169	1E-2
ENSG00000021645	ENSG00000089199	1.9E-2
ENSG00000069020	ENSG00000089289	1.5E-2
ENSG00000018236	ENSG00000089472	1.9E-2
ENSG00000047617	ENSG00000089693	1.5E-2
ENSG00000066032	ENSG00000089693	8.5E-3
ENSG00000075884	ENSG00000090104	6.5E-3
ENSG00000075884	ENSG00000090376	6E-3
ENSG00000075884	ENSG00000090382	6.8E-3
ENSG00000042781	ENSG00000090487	6.4E-3
ENSG00000075884	ENSG00000091106	6.1E-3
ENSG00000042781	ENSG00000091137	5.1E-3
ENSG00000078328	ENSG00000091317	2.9E-2
ENSG00000042781	ENSG00000091483	3.9E-3
ENSG00000071909	ENSG00000091536	2E-2
ENSG00000085276	ENSG00000091651	1.1E-2
ENSG00000067798	ENSG00000091844	1.9E-2
ENSG00000075213	ENSG00000091844	1.6E-2
ENSG00000007174	ENSG00000091947	1.1E-2
ENSG00000038945	ENSG00000091986	5E-3
ENSG00000060718	ENSG00000091986	2.9E-3
ENSG00000091831	ENSG00000092067	7.4E-3
ENSG00000048052	ENSG00000092200	1.2E-2
ENSG00000071909	ENSG00000092607	2.5E-2
ENSG00000039139	ENSG00000092850	1.3E-2
