# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000007038	1E-2
ENSG00000002746	ENSG00000007314	3.8E-3
ENSG00000005108	ENSG00000007314	4.9E-3
ENSG00000009694	ENSG00000010310	7.5E-3
ENSG00000002746	ENSG00000016490	4.6E-3
ENSG00000007174	ENSG00000021852	2E-2
ENSG00000018236	ENSG00000044012	1.3E-2
ENSG00000041515	ENSG00000047578	8.3E-3
ENSG00000009694	ENSG00000054796	1.2E-2
ENSG00000009694	ENSG00000058799	1.5E-2
ENSG00000040731	ENSG00000060140	7.9E-3
ENSG00000055609	ENSG00000060339	2.7E-2
ENSG00000040731	ENSG00000061918	7.3E-3
ENSG00000048471	ENSG00000064201	2.2E-2
ENSG00000058091	ENSG00000271342	1.8E-2
ENSG00000058091	ENSG00000066651	7.4E-3
ENSG00000002746	ENSG00000067715	3.7E-2
ENSG00000013297	ENSG00000267915	2E-2
ENSG00000060718	ENSG00000267915	2.2E-2
ENSG00000040731	ENSG00000068615	9.4E-3
ENSG00000069020	ENSG00000069667	2.9E-2
ENSG00000067798	ENSG00000071539	1.7E-2
ENSG00000005108	ENSG00000072315	4.6E-3
ENSG00000041515	ENSG00000072315	5.4E-3
ENSG00000067715	ENSG00000072954	5.9E-3
ENSG00000048471	ENSG00000075884	1.7E-2
ENSG00000040731	ENSG00000076067	6.3E-3
ENSG00000033122	ENSG00000076258	7.9E-3
ENSG00000048471	ENSG00000076662	1.4E-2
ENSG00000075884	ENSG00000076662	7.2E-3
ENSG00000058091	ENSG00000077312	2E-2
ENSG00000018236	ENSG00000262532	1.9E-2
ENSG00000040731	ENSG00000078328	7.2E-3
ENSG00000055609	ENSG00000078674	2.3E-2
ENSG00000040731	ENSG00000078967	9.4E-3
ENSG00000066032	ENSG00000079689	8E-3
ENSG00000067715	ENSG00000079689	1.2E-2
ENSG00000040731	ENSG00000080572	6.7E-3
ENSG00000040731	ENSG00000081803	2.4E-3
ENSG00000047648	ENSG00000081803	7.5E-3
ENSG00000066032	ENSG00000081803	5.9E-3
ENSG00000044524	ENSG00000082293	1.5E-2
ENSG00000007174	ENSG00000082482	2E-2
ENSG00000081803	ENSG00000082556	8.7E-3
ENSG00000081803	ENSG00000083307	5.9E-3
ENSG00000047617	ENSG00000083857	1.6E-2
ENSG00000058091	ENSG00000084090	6.9E-3
ENSG00000067798	ENSG00000085552	2E-2
ENSG00000060709	ENSG00000085644	5.2E-3
ENSG00000082293	ENSG00000085644	3.5E-3
ENSG00000044524	ENSG00000086544	2.2E-2
ENSG00000040731	ENSG00000086717	5.8E-3
ENSG00000042781	ENSG00000270886	1.7E-2
ENSG00000009694	ENSG00000088808	1.2E-2
ENSG00000013297	ENSG00000088882	1.3E-2
ENSG00000039139	ENSG00000089169	1.8E-2
ENSG00000040731	ENSG00000089169	4.1E-3
ENSG00000075884	ENSG00000089289	8.3E-3
ENSG00000005108	ENSG00000090447	1.2E-2
ENSG00000072657	ENSG00000090447	5.4E-3
