# Gene_A	Gene_B	Weight
ENSG00000009694	ENSG00000051620	9.1E-3
ENSG00000041515	ENSG00000053438	1.3E-2
ENSG00000040731	ENSG00000055732	1.4E-2
ENSG00000055609	ENSG00000058673	2.6E-2
ENSG00000058091	ENSG00000059804	8.3E-3
ENSG00000013297	ENSG00000059915	1.2E-2
ENSG00000033122	ENSG00000059915	1.2E-2
ENSG00000040731	ENSG00000060718	1.1E-2
ENSG00000013297	ENSG00000064205	1.1E-2
ENSG00000044524	ENSG00000064205	9.9E-3
ENSG00000055609	ENSG00000065457	8.4E-3
ENSG00000040731	ENSG00000066185	1.2E-2
ENSG00000040731	ENSG00000067798	1.3E-2
ENSG00000038945	ENSG00000068366	1E-2
ENSG00000021645	ENSG00000269840	3.7E-3
ENSG00000033122	ENSG00000269840	4.9E-3
ENSG00000040731	ENSG00000069431	1.2E-2
ENSG00000069667	ENSG00000069702	9.2E-3
ENSG00000009694	ENSG00000069974	1.4E-2
ENSG00000007174	ENSG00000070031	9.6E-3
ENSG00000069020	ENSG00000070087	9.7E-3
ENSG00000038945	ENSG00000070193	1.2E-2
ENSG00000066032	ENSG00000070193	8E-3
ENSG00000058091	ENSG00000269216	1.3E-2
ENSG00000069667	ENSG00000070882	7.1E-3
ENSG00000013297	ENSG00000072182	8.3E-3
ENSG00000047648	ENSG00000072422	1.1E-2
ENSG00000040731	ENSG00000072657	1.2E-2
ENSG00000069667	ENSG00000072858	5.8E-3
ENSG00000039139	ENSG00000072954	1.3E-2
ENSG00000058091	ENSG00000072954	1.4E-2
ENSG00000047617	ENSG00000074317	9.9E-3
ENSG00000060709	ENSG00000075073	6.2E-3
ENSG00000066032	ENSG00000075290	9.1E-3
ENSG00000047648	ENSG00000075945	1.6E-2
ENSG00000069667	ENSG00000076248	6.9E-3
ENSG00000072657	ENSG00000076258	1.3E-2
ENSG00000038945	ENSG00000076641	1.1E-2
ENSG00000048471	ENSG00000076650	8.4E-3
ENSG00000066032	ENSG00000077063	1.1E-2
ENSG00000066032	ENSG00000262532	6.6E-3
ENSG00000013297	ENSG00000078098	2.1E-2
ENSG00000069667	ENSG00000078589	1.2E-2
ENSG00000069667	ENSG00000078596	9E-3
ENSG00000009694	ENSG00000079739	1E-2
ENSG00000058091	ENSG00000079739	9.5E-3
ENSG00000013297	ENSG00000080031	1.2E-2
ENSG00000033122	ENSG00000080031	1.2E-2
ENSG00000079841	ENSG00000080511	1.5E-2
ENSG00000067798	ENSG00000080618	2.8E-2
ENSG00000042781	ENSG00000080823	9.7E-3
ENSG00000009694	ENSG00000081320	3E-2
ENSG00000066032	ENSG00000082175	1.3E-2
ENSG00000055609	ENSG00000083223	1.9E-2
ENSG00000041515	ENSG00000083750	2.7E-2
ENSG00000066032	ENSG00000084636	5.3E-3
ENSG00000075884	ENSG00000085063	1.2E-2
ENSG00000069667	ENSG00000085563	2.2E-2
ENSG00000009694	ENSG00000086288	2.4E-2
ENSG00000075884	ENSG00000086300	8.6E-3
ENSG00000079841	ENSG00000086967	1.3E-2
ENSG00000047617	ENSG00000087128	3.8E-2
ENSG00000075884	ENSG00000087206	9.7E-3
ENSG00000039139	ENSG00000087250	9.6E-3
ENSG00000048471	ENSG00000087301	5.3E-3
ENSG00000040731	ENSG00000087494	1.2E-2
ENSG00000060709	ENSG00000087495	2.3E-2
ENSG00000075884	ENSG00000087502	1.4E-2
ENSG00000069667	ENSG00000088179	8E-3
ENSG00000040731	ENSG00000088926	1.1E-2
ENSG00000033122	ENSG00000089116	6.4E-3
ENSG00000066032	ENSG00000090097	5.1E-3
ENSG00000039139	ENSG00000090920	7.3E-3
ENSG00000066032	ENSG00000091428	1.3E-2
ENSG00000078328	ENSG00000092009	1.9E-2
ENSG00000040731	ENSG00000094755	1.1E-2
ENSG00000091831	ENSG00000262993	8E-3
ENSG00000040731	ENSG00000095777	1.5E-2
ENSG00000038945	ENSG00000096060	1E-2
ENSG00000047648	ENSG00000099256	1.5E-2
ENSG00000038945	ENSG00000099769	5.3E-3
ENSG00000083067	ENSG00000099814	8.1E-3
ENSG00000091831	ENSG00000099864	1.1E-2
ENSG00000078295	ENSG00000099866	1.6E-2
ENSG00000044524	ENSG00000099998	5.1E-3
ENSG00000079841	ENSG00000099998	6.1E-3
ENSG00000091656	ENSG00000099998	4.8E-3
ENSG00000018236	ENSG00000099999	4.7E-3
ENSG00000082293	ENSG00000099999	4E-3
ENSG00000086289	ENSG00000099999	4.1E-3
ENSG00000021645	ENSG00000100121	6.4E-3
ENSG00000067715	ENSG00000100121	6.5E-3
ENSG00000066032	ENSG00000100147	9.8E-3
ENSG00000091831	ENSG00000100151	6.4E-3
ENSG00000002746	ENSG00000100156	7.1E-3
ENSG00000067798	ENSG00000100228	4.2E-3
ENSG00000095777	ENSG00000100228	4.8E-3
ENSG00000013297	ENSG00000100253	9.9E-3
ENSG00000091656	ENSG00000100253	8.5E-3
ENSG00000002746	ENSG00000100276	4.8E-3
ENSG00000048052	ENSG00000100276	5.1E-3
ENSG00000038945	ENSG00000100312	1.1E-2
ENSG00000066032	ENSG00000100312	6.8E-3
ENSG00000069667	ENSG00000100385	8.5E-3
ENSG00000082293	ENSG00000100399	1E-2
ENSG00000100154	ENSG00000100532	8.2E-3
ENSG00000067798	ENSG00000100593	7.6E-3
ENSG00000058091	ENSG00000100644	6.1E-3
ENSG00000060718	ENSG00000100652	1.2E-2
ENSG00000007174	ENSG00000100665	1.1E-2
ENSG00000091831	ENSG00000100665	1.1E-2
ENSG00000055609	ENSG00000100784	6.9E-3
ENSG00000044524	ENSG00000100884	1.4E-2
ENSG00000055609	ENSG00000101109	3.1E-2
ENSG00000091831	ENSG00000101197	5.7E-3
ENSG00000041515	ENSG00000101280	1.3E-2
ENSG00000007174	ENSG00000101306	5.9E-3
ENSG00000072657	ENSG00000101333	2.2E-2
ENSG00000078328	ENSG00000101342	2.4E-2
ENSG00000039139	ENSG00000101400	9.9E-3
ENSG00000018236	ENSG00000101405	4.4E-3
ENSG00000066032	ENSG00000101435	1.4E-2
ENSG00000055609	ENSG00000101596	1.5E-2
ENSG00000101333	ENSG00000101605	1.6E-2
ENSG00000047617	ENSG00000101638	1.2E-2
ENSG00000075884	ENSG00000101882	5.3E-3
ENSG00000075884	ENSG00000101916	1.1E-2
ENSG00000048052	ENSG00000268740	1.6E-2
ENSG00000080224	ENSG00000268353	9.9E-3
ENSG00000009694	ENSG00000102010	5.8E-3
ENSG00000018236	ENSG00000102195	1E-2
ENSG00000069020	ENSG00000102245	6E-3
ENSG00000069667	ENSG00000102245	7.5E-3
ENSG00000091656	ENSG00000102313	1.9E-2
ENSG00000060718	ENSG00000102383	1.7E-2
ENSG00000067715	ENSG00000102383	1.7E-2
ENSG00000066032	ENSG00000268815	9.8E-3
ENSG00000100154	ENSG00000269173	1.2E-2
ENSG00000058091	ENSG00000102445	1.1E-2
ENSG00000075884	ENSG00000102524	5.9E-3
ENSG00000013297	ENSG00000102539	1.7E-2
ENSG00000021645	ENSG00000102539	1.2E-2
ENSG00000033122	ENSG00000102539	1.7E-2
ENSG00000080224	ENSG00000102683	2.6E-2
ENSG00000075884	ENSG00000102710	1.5E-2
ENSG00000067715	ENSG00000102780	1.6E-2
ENSG00000067798	ENSG00000102780	1.4E-2
ENSG00000055609	ENSG00000102908	2.6E-2
ENSG00000041515	ENSG00000102924	2.4E-2
ENSG00000072657	ENSG00000102924	1.9E-2
ENSG00000066032	ENSG00000103021	1.2E-2
ENSG00000047617	ENSG00000103023	1.1E-2
ENSG00000072657	ENSG00000103175	1.4E-2
ENSG00000101333	ENSG00000103175	1.8E-2
ENSG00000102935	ENSG00000103184	2E-2
ENSG00000102935	ENSG00000103316	9.2E-3
ENSG00000075884	ENSG00000103569	3.3E-3
ENSG00000066032	ENSG00000103942	1.3E-2
ENSG00000048052	ENSG00000104044	3.9E-3
ENSG00000033122	ENSG00000104059	9.8E-3
ENSG00000066032	ENSG00000104059	4.5E-3
ENSG00000102290	ENSG00000104059	8.3E-3
ENSG00000007174	ENSG00000104140	5E-3
ENSG00000091831	ENSG00000104140	5.2E-3
ENSG00000099139	ENSG00000104205	1.2E-2
ENSG00000091831	ENSG00000104213	1.1E-2
ENSG00000040731	ENSG00000104237	1.2E-2
ENSG00000067798	ENSG00000104237	1.5E-2
ENSG00000072657	ENSG00000104237	1.2E-2
ENSG00000047648	ENSG00000104267	1.2E-2
ENSG00000060718	ENSG00000104313	9.8E-3
ENSG00000067798	ENSG00000104313	9.4E-3
ENSG00000007174	ENSG00000104371	1.2E-2
ENSG00000104375	ENSG00000104412	1.3E-2
ENSG00000104044	ENSG00000104413	4.8E-3
ENSG00000104044	ENSG00000104611	1.1E-3
ENSG00000102290	ENSG00000104755	2.9E-2
ENSG00000091831	ENSG00000104760	1.9E-2
ENSG00000044524	ENSG00000104804	6.7E-3
ENSG00000091656	ENSG00000104804	6.5E-3
ENSG00000005108	ENSG00000104833	5.7E-3
ENSG00000042781	ENSG00000104833	6E-3
ENSG00000060709	ENSG00000104833	8.8E-3
ENSG00000060718	ENSG00000104833	7.9E-3
ENSG00000085276	ENSG00000104833	6.3E-3
ENSG00000102466	ENSG00000104833	8E-3
