# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000006047	1.8E-2
ENSG00000013297	ENSG00000019169	2.5E-2
ENSG00000021645	ENSG00000025423	2.3E-2
ENSG00000021645	ENSG00000035403	2.1E-2
ENSG00000007174	ENSG00000055957	6.6E-3
ENSG00000047617	ENSG00000056291	2.3E-2
ENSG00000048052	ENSG00000063169	4.4E-3
ENSG00000018236	ENSG00000063978	7E-3
ENSG00000041515	ENSG00000063978	6.4E-3
ENSG00000048471	ENSG00000064666	1.2E-2
ENSG00000048471	ENSG00000064687	8.2E-3
ENSG00000021645	ENSG00000068615	2.1E-2
ENSG00000069020	ENSG00000269645	2.4E-3
ENSG00000021645	ENSG00000072163	1.1E-2
ENSG00000048052	ENSG00000072609	1.1E-2
ENSG00000067798	ENSG00000072609	9.3E-3
ENSG00000067798	ENSG00000072832	1.2E-2
ENSG00000021645	ENSG00000073712	2E-2
ENSG00000072657	ENSG00000263298	1.2E-2
ENSG00000013297	ENSG00000074527	3.2E-3
ENSG00000021645	ENSG00000074657	1.2E-2
ENSG00000042781	ENSG00000074966	8.2E-3
ENSG00000048471	ENSG00000075884	1.7E-2
ENSG00000048052	ENSG00000077044	4.7E-3
ENSG00000067798	ENSG00000077044	4.2E-3
ENSG00000069667	ENSG00000077044	4E-3
ENSG00000060718	ENSG00000077152	8.6E-3
ENSG00000039139	ENSG00000262532	1.9E-2
ENSG00000013297	ENSG00000078053	1.5E-2
ENSG00000044524	ENSG00000078549	3.6E-2
ENSG00000055609	ENSG00000079112	5.7E-3
ENSG00000071909	ENSG00000079112	5.1E-3
ENSG00000072657	ENSG00000079112	1.9E-3
ENSG00000060718	ENSG00000079462	5E-3
ENSG00000066032	ENSG00000079482	2.1E-2
ENSG00000069020	ENSG00000233280	8.7E-3
ENSG00000075884	ENSG00000081052	1.5E-2
ENSG00000042781	ENSG00000081985	6.8E-3
ENSG00000048052	ENSG00000082068	2.5E-3
ENSG00000081803	ENSG00000082781	1.8E-2
ENSG00000072657	ENSG00000083123	1.7E-2
ENSG00000081803	ENSG00000083307	7.9E-3
ENSG00000040731	ENSG00000086544	6.6E-3
ENSG00000058091	ENSG00000087206	8.3E-3
ENSG00000082293	ENSG00000270886	1.5E-2
ENSG00000066032	ENSG00000088543	2.2E-2
ENSG00000058091	ENSG00000088881	5.4E-3
ENSG00000069667	ENSG00000088881	5.1E-3
ENSG00000060718	ENSG00000088899	2.1E-2
ENSG00000002746	ENSG00000088986	3.5E-3
ENSG00000038945	ENSG00000088986	3.5E-3
ENSG00000086289	ENSG00000089220	2.6E-2
ENSG00000041515	ENSG00000089558	1.6E-2
ENSG00000060709	ENSG00000089737	9.3E-3
ENSG00000081803	ENSG00000090013	2.6E-3
ENSG00000085276	ENSG00000090013	7.4E-3
ENSG00000039139	ENSG00000090097	5.1E-3
ENSG00000078295	ENSG00000090097	4.3E-3
ENSG00000086289	ENSG00000090432	7.6E-3
ENSG00000081803	ENSG00000091136	1.5E-2
ENSG00000040731	ENSG00000091137	2.3E-2
ENSG00000082293	ENSG00000091428	7.7E-3
ENSG00000021645	ENSG00000091482	2E-2
ENSG00000013297	ENSG00000091986	2.7E-2
ENSG00000072657	ENSG00000092607	9.8E-3
ENSG00000007174	ENSG00000092964	5.4E-3
ENSG00000018236	ENSG00000092964	5.6E-3
ENSG00000041515	ENSG00000092964	5.2E-3
ENSG00000066032	ENSG00000094661	1.5E-2
ENSG00000044524	ENSG00000262993	1.2E-2
ENSG00000072657	ENSG00000095596	1.3E-2
ENSG00000055609	ENSG00000096696	4.5E-3
ENSG00000072657	ENSG00000096696	1.4E-3
ENSG00000060718	ENSG00000099256	1.1E-2
ENSG00000080224	ENSG00000099399	1.6E-2
ENSG00000002746	ENSG00000099814	5.5E-3
ENSG00000069020	ENSG00000099949	5.9E-3
ENSG00000041515	ENSG00000268928	8.2E-3
ENSG00000040731	ENSG00000100151	1.6E-2
ENSG00000009694	ENSG00000100156	2.2E-2
ENSG00000072657	ENSG00000100156	9.4E-3
ENSG00000081803	ENSG00000100196	1.2E-2
ENSG00000055609	ENSG00000100221	9.4E-3
ENSG00000007174	ENSG00000100276	1.2E-2
ENSG00000081803	ENSG00000100300	3.7E-3
ENSG00000039139	ENSG00000100302	2E-2
ENSG00000009694	ENSG00000100341	1.3E-2
ENSG00000041515	ENSG00000100351	1.9E-2
ENSG00000095777	ENSG00000100416	6.4E-3
ENSG00000069020	ENSG00000100445	3.6E-3
ENSG00000100154	ENSG00000100445	3.8E-3
ENSG00000091831	ENSG00000100461	4.6E-3
ENSG00000075884	ENSG00000100503	1.5E-2
ENSG00000099139	ENSG00000100504	1.5E-2
ENSG00000081803	ENSG00000100522	5.6E-3
ENSG00000085276	ENSG00000100522	1.6E-2
ENSG00000072657	ENSG00000100532	1.1E-2
ENSG00000075884	ENSG00000100580	1.6E-2
ENSG00000009694	ENSG00000100652	8.5E-3
ENSG00000067798	ENSG00000100726	2.2E-2
ENSG00000075884	ENSG00000100767	1.4E-2
ENSG00000081803	ENSG00000254692	1.5E-2
ENSG00000013297	ENSG00000100979	1.3E-2
ENSG00000095777	ENSG00000101188	9.6E-3
ENSG00000040731	ENSG00000101197	4.7E-3
ENSG00000078295	ENSG00000101197	6.7E-3
ENSG00000078328	ENSG00000101197	6.9E-3
ENSG00000091831	ENSG00000101197	7.3E-3
ENSG00000099139	ENSG00000101197	6.6E-3
