# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000008056	1.6E-2
ENSG00000018236	ENSG00000018699	3.7E-3
ENSG00000018236	ENSG00000041880	3.5E-3
ENSG00000040731	ENSG00000050327	1.8E-2
ENSG00000041515	ENSG00000050393	9E-3
ENSG00000018236	ENSG00000050730	5.7E-3
ENSG00000018236	ENSG00000051620	7.3E-3
ENSG00000009694	ENSG00000053438	1.7E-2
ENSG00000018236	ENSG00000053438	6.9E-3
ENSG00000039139	ENSG00000055044	1.1E-2
ENSG00000018236	ENSG00000055118	4.9E-3
ENSG00000021645	ENSG00000058056	1.2E-2
ENSG00000055609	ENSG00000058272	6E-3
ENSG00000041515	ENSG00000062370	1.2E-2
ENSG00000058091	ENSG00000064933	1.6E-2
ENSG00000018236	ENSG00000065457	2E-3
ENSG00000018236	ENSG00000065618	3.5E-3
ENSG00000055609	ENSG00000065883	6.6E-3
ENSG00000018236	ENSG00000067141	5.8E-3
ENSG00000066032	ENSG00000268675	1.3E-2
ENSG00000040731	ENSG00000070182	8.7E-3
ENSG00000055609	ENSG00000070214	7.7E-3
ENSG00000066032	ENSG00000070785	1.9E-2
ENSG00000055609	ENSG00000070882	1.2E-2
ENSG00000058091	ENSG00000071655	1.6E-2
ENSG00000041515	ENSG00000072201	2.1E-2
ENSG00000018236	ENSG00000072657	7.7E-3
ENSG00000021645	ENSG00000073050	1.8E-2
ENSG00000072657	ENSG00000073146	1.8E-2
ENSG00000060718	ENSG00000073584	4.8E-3
ENSG00000055609	ENSG00000073614	9.5E-3
ENSG00000040731	ENSG00000073711	5.9E-3
ENSG00000058091	ENSG00000073711	5.2E-3
ENSG00000018236	ENSG00000073756	7.2E-3
ENSG00000060718	ENSG00000073756	1.7E-2
ENSG00000072657	ENSG00000074527	1E-2
ENSG00000048052	ENSG00000075651	2E-2
ENSG00000055609	ENSG00000075790	6.7E-3
ENSG00000009694	ENSG00000076258	1.9E-2
ENSG00000018236	ENSG00000076641	5.7E-3
ENSG00000055609	ENSG00000076770	5.8E-3
ENSG00000040731	ENSG00000077092	1E-2
ENSG00000040731	ENSG00000077279	1.2E-2
ENSG00000066032	ENSG00000077498	1.5E-2
ENSG00000067715	ENSG00000077549	1.3E-2
ENSG00000041515	ENSG00000077585	2.2E-2
ENSG00000058091	ENSG00000078328	1.5E-2
ENSG00000066032	ENSG00000078596	2.4E-2
ENSG00000075884	ENSG00000078668	1.1E-2
ENSG00000047648	ENSG00000078898	1.5E-2
ENSG00000021645	ENSG00000079689	1E-2
ENSG00000018236	ENSG00000079931	7.2E-3
ENSG00000018236	ENSG00000080493	7.5E-3
ENSG00000078328	ENSG00000081014	1.4E-2
ENSG00000040731	ENSG00000081052	1.6E-2
ENSG00000018236	ENSG00000081189	7.4E-3
ENSG00000039139	ENSG00000081800	6.1E-3
ENSG00000058091	ENSG00000081913	1.4E-2
ENSG00000021645	ENSG00000083290	1.2E-2
ENSG00000055609	ENSG00000083857	6.6E-3
ENSG00000078328	ENSG00000084112	1.6E-2
ENSG00000078295	ENSG00000085978	1.1E-2
ENSG00000060718	ENSG00000085998	2.2E-2
ENSG00000072657	ENSG00000085998	1.8E-2
ENSG00000058091	ENSG00000086619	1.3E-2
ENSG00000040731	ENSG00000087206	7.4E-3
ENSG00000060709	ENSG00000087206	9.3E-3
ENSG00000047648	ENSG00000087502	1.1E-2
ENSG00000079841	ENSG00000088726	1.5E-2
ENSG00000002746	ENSG00000088808	1.7E-2
ENSG00000021645	ENSG00000088899	1.7E-2
ENSG00000040731	ENSG00000089169	1E-2
ENSG00000058091	ENSG00000089639	1.4E-2
ENSG00000041515	ENSG00000090932	8.7E-3
ENSG00000041515	ENSG00000091536	2.2E-2
ENSG00000060718	ENSG00000091583	1.6E-2
ENSG00000072657	ENSG00000091583	1.5E-2
ENSG00000060709	ENSG00000091831	7.5E-3
ENSG00000091831	ENSG00000092009	6.2E-3
ENSG00000055609	ENSG00000092148	7.2E-3
ENSG00000021645	ENSG00000092421	1.9E-2
ENSG00000058091	ENSG00000095303	1.4E-2
ENSG00000079841	ENSG00000095303	2.8E-2
ENSG00000009694	ENSG00000095713	1.5E-2
ENSG00000078295	ENSG00000095739	2E-2
ENSG00000091831	ENSG00000099139	6.2E-3
ENSG00000002746	ENSG00000099194	2.1E-2
ENSG00000047648	ENSG00000099864	1.6E-2
ENSG00000060709	ENSG00000099866	1.7E-2
ENSG00000066032	ENSG00000099866	1.7E-2
ENSG00000091831	ENSG00000099866	6.2E-3
ENSG00000072657	ENSG00000100027	1.6E-2
ENSG00000075884	ENSG00000100060	2.3E-2
