# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000007516	5.8E-3
ENSG00000002746	ENSG00000008197	6.7E-3
ENSG00000007174	ENSG00000008226	2.9E-3
ENSG00000021645	ENSG00000021762	1.2E-2
ENSG00000018236	ENSG00000026025	1.1E-2
ENSG00000007174	ENSG00000032742	3.8E-3
ENSG00000007174	ENSG00000034239	4.6E-3
ENSG00000007174	ENSG00000039139	8.3E-3
ENSG00000007174	ENSG00000039537	6.2E-3
ENSG00000007174	ENSG00000048342	4.9E-3
ENSG00000040731	ENSG00000269002	1.5E-2
ENSG00000005108	ENSG00000052795	1.3E-2
ENSG00000007174	ENSG00000053900	6.1E-3
ENSG00000021645	ENSG00000056487	1.4E-2
ENSG00000007174	ENSG00000056972	7.7E-3
ENSG00000038945	ENSG00000057252	1.9E-2
ENSG00000048471	ENSG00000057657	5.7E-3
ENSG00000058091	ENSG00000060718	6.2E-3
ENSG00000007174	ENSG00000064692	6.2E-3
ENSG00000005108	ENSG00000064989	1.7E-2
ENSG00000048471	ENSG00000068831	9.3E-3
ENSG00000067715	ENSG00000069018	1.7E-2
ENSG00000007174	ENSG00000069493	5.7E-3
ENSG00000069667	ENSG00000069869	1.7E-2
ENSG00000002746	ENSG00000070193	7.3E-3
ENSG00000042781	ENSG00000070193	7.4E-3
ENSG00000060718	ENSG00000070404	4.8E-3
ENSG00000033122	ENSG00000071203	8.8E-3
ENSG00000060718	ENSG00000072110	5.9E-3
ENSG00000069667	ENSG00000072201	2.4E-2
ENSG00000009694	ENSG00000072315	1.5E-2
ENSG00000042781	ENSG00000072315	2.4E-2
ENSG00000060718	ENSG00000072682	6.3E-3
ENSG00000038945	ENSG00000072694	1.3E-2
ENSG00000021645	ENSG00000072832	2.2E-2
ENSG00000069667	ENSG00000072858	1.1E-2
ENSG00000067798	ENSG00000072952	6E-3
ENSG00000071909	ENSG00000073067	2E-2
ENSG00000007174	ENSG00000073536	6.6E-3
ENSG00000009694	ENSG00000073670	1.5E-2
ENSG00000021645	ENSG00000073910	1.8E-2
ENSG00000048052	ENSG00000074276	8.2E-3
ENSG00000060718	ENSG00000074590	2.7E-3
ENSG00000048471	ENSG00000075826	9.6E-3
ENSG00000009694	ENSG00000075891	1.6E-2
ENSG00000069020	ENSG00000077264	2.2E-2
ENSG00000007174	ENSG00000077327	1E-2
ENSG00000075884	ENSG00000077420	1.1E-2
ENSG00000044524	ENSG00000077943	1.3E-2
ENSG00000060718	ENSG00000078098	3E-3
ENSG00000069020	ENSG00000078401	2E-2
ENSG00000060718	ENSG00000079102	8.3E-3
ENSG00000018236	ENSG00000079150	8.2E-3
ENSG00000060718	ENSG00000079150	3E-3
ENSG00000038945	ENSG00000079308	1.8E-2
ENSG00000009694	ENSG00000079689	1.3E-2
ENSG00000078295	ENSG00000080293	1.2E-2
ENSG00000007174	ENSG00000080572	3E-3
ENSG00000039139	ENSG00000080572	8.6E-3
ENSG00000044524	ENSG00000080573	9.4E-3
ENSG00000060718	ENSG00000080573	3.8E-3
ENSG00000002746	ENSG00000080910	5.7E-3
ENSG00000042781	ENSG00000080910	6.1E-3
ENSG00000072657	ENSG00000080910	5.9E-3
ENSG00000079841	ENSG00000080910	7.3E-3
ENSG00000069020	ENSG00000081041	1.5E-2
ENSG00000005108	ENSG00000081052	1.6E-2
ENSG00000047617	ENSG00000081148	1.4E-2
ENSG00000075884	ENSG00000081189	1.1E-2
ENSG00000040731	ENSG00000081277	1.3E-2
ENSG00000075884	ENSG00000082074	6.2E-3
ENSG00000067715	ENSG00000082126	2.4E-2
ENSG00000075213	ENSG00000082175	1.3E-2
ENSG00000060718	ENSG00000082196	7.1E-3
ENSG00000042781	ENSG00000082293	2.3E-2
ENSG00000075884	ENSG00000082397	1.2E-2
ENSG00000009694	ENSG00000082556	1.8E-2
ENSG00000047617	ENSG00000082805	2.3E-2
ENSG00000047617	ENSG00000083720	1.7E-2
ENSG00000060718	ENSG00000083782	8.7E-3
ENSG00000058091	ENSG00000083857	2.8E-2
ENSG00000060718	ENSG00000084636	3.2E-3
ENSG00000067798	ENSG00000084636	6.2E-3
ENSG00000079841	ENSG00000084674	1.2E-2
ENSG00000069020	ENSG00000085514	1.4E-2
ENSG00000047617	ENSG00000085552	8.8E-3
ENSG00000066032	ENSG00000085552	8E-3
ENSG00000060718	ENSG00000086717	5.9E-3
ENSG00000060718	ENSG00000086991	7.5E-3
ENSG00000044524	ENSG00000087116	2E-2
ENSG00000060718	ENSG00000087116	6.4E-3
ENSG00000018236	ENSG00000087245	5.9E-3
ENSG00000058091	ENSG00000087245	5.6E-3
ENSG00000060718	ENSG00000087245	2.6E-3
