# Gene_A	Gene_B	Weight
ENSG00000002746	ENSG00000004939	1.1E-2
ENSG00000002746	ENSG00000005981	1.2E-2
ENSG00000002746	ENSG00000006116	6.7E-3
ENSG00000002746	ENSG00000011332	6.9E-3
ENSG00000005108	ENSG00000011405	4.9E-3
ENSG00000002746	ENSG00000015592	7E-3
ENSG00000002746	ENSG00000015676	1.2E-2
ENSG00000002746	ENSG00000019505	1.6E-3
ENSG00000007174	ENSG00000019505	4.2E-3
ENSG00000018236	ENSG00000019505	2.7E-3
ENSG00000009694	ENSG00000048052	2E-2
ENSG00000009694	ENSG00000048540	5E-3
ENSG00000048052	ENSG00000048540	6.1E-3
ENSG00000018236	ENSG00000050405	1.5E-2
ENSG00000041515	ENSG00000053108	2.6E-2
ENSG00000021645	ENSG00000055118	1.2E-2
ENSG00000007174	ENSG00000057468	1.7E-2
ENSG00000021645	ENSG00000058272	1.9E-2
ENSG00000038945	ENSG00000059377	1.3E-2
ENSG00000005108	ENSG00000061918	1.6E-2
ENSG00000009694	ENSG00000064115	1.5E-2
ENSG00000021645	ENSG00000065534	9.7E-3
ENSG00000002746	ENSG00000065600	2.9E-3
ENSG00000042781	ENSG00000065882	3.4E-2
ENSG00000047648	ENSG00000066382	6.9E-3
ENSG00000040731	ENSG00000263148	7.5E-3
ENSG00000021645	ENSG00000068615	1.8E-2
ENSG00000040731	ENSG00000269840	6.9E-3
ENSG00000013297	ENSG00000069188	2.3E-2
ENSG00000048052	ENSG00000069974	1.4E-2
ENSG00000002746	ENSG00000070182	9.8E-3
ENSG00000040731	ENSG00000070495	5.6E-3
ENSG00000002746	ENSG00000070915	9.6E-3
ENSG00000040731	ENSG00000070915	8.1E-3
ENSG00000009694	ENSG00000071242	8E-3
ENSG00000069667	ENSG00000072080	9.8E-3
ENSG00000060718	ENSG00000072110	7.5E-3
ENSG00000021645	ENSG00000072163	7.5E-3
ENSG00000021645	ENSG00000072195	1.3E-2
ENSG00000040731	ENSG00000072315	7.8E-3
ENSG00000066032	ENSG00000072422	1.8E-2
ENSG00000060718	ENSG00000072682	9E-3
ENSG00000038945	ENSG00000072694	1.6E-2
ENSG00000060718	ENSG00000072840	8.6E-3
ENSG00000002746	ENSG00000073670	1E-2
ENSG00000018236	ENSG00000073711	1.9E-2
ENSG00000048052	ENSG00000073792	1.4E-2
ENSG00000009694	ENSG00000073803	1.6E-2
ENSG00000072657	ENSG00000074276	8.7E-3
ENSG00000060718	ENSG00000074590	9.5E-3
ENSG00000047648	ENSG00000074706	1.8E-2
ENSG00000040731	ENSG00000074771	4.2E-3
ENSG00000040731	ENSG00000074966	6.7E-3
ENSG00000005108	ENSG00000075035	1.6E-2
ENSG00000040731	ENSG00000075043	9.5E-3
ENSG00000021645	ENSG00000075073	9.9E-3
ENSG00000040731	ENSG00000075213	6.2E-3
ENSG00000069020	ENSG00000075461	1.6E-2
