# Gene_A	Gene_B	Weight
ENSG00000005108	ENSG00000007062	2.1E-2
ENSG00000002746	ENSG00000013297	1.9E-2
ENSG00000007174	ENSG00000013588	1.1E-2
ENSG00000009694	ENSG00000260130	1.4E-2
ENSG00000013297	ENSG00000041515	3.5E-3
ENSG00000040731	ENSG00000041515	4.6E-4
ENSG00000041515	ENSG00000042980	3.1E-3
ENSG00000041515	ENSG00000043591	2.9E-3
ENSG00000042781	ENSG00000043591	2.7E-2
ENSG00000040731	ENSG00000046647	2E-3
ENSG00000040731	ENSG00000046774	4.5E-3
ENSG00000040731	ENSG00000046889	3.4E-3
ENSG00000040731	ENSG00000047457	2.6E-3
ENSG00000040731	ENSG00000047648	2.9E-3
ENSG00000041515	ENSG00000047648	4.1E-3
ENSG00000040731	ENSG00000047936	3.8E-3
ENSG00000040731	ENSG00000048540	3.8E-3
ENSG00000040731	ENSG00000048545	3.8E-3
ENSG00000041515	ENSG00000048545	4.6E-3
ENSG00000040731	ENSG00000049089	1.3E-3
ENSG00000046889	ENSG00000049192	1.2E-2
ENSG00000040731	ENSG00000049247	4.3E-3
ENSG00000009694	ENSG00000049449	1.6E-2
ENSG00000040731	ENSG00000050165	3.7E-3
ENSG00000041515	ENSG00000050165	4.6E-3
ENSG00000041515	ENSG00000050327	3.5E-3
ENSG00000009694	ENSG00000050438	1.1E-2
ENSG00000040731	ENSG00000050628	4.6E-3
ENSG00000041515	ENSG00000050730	3.1E-3
ENSG00000048052	ENSG00000053747	2.3E-2
ENSG00000048052	ENSG00000054277	1.5E-2
ENSG00000040731	ENSG00000054598	4E-3
ENSG00000041515	ENSG00000054611	3.6E-3
ENSG00000040731	ENSG00000054796	3.8E-3
ENSG00000041515	ENSG00000055732	2.4E-3
ENSG00000040731	ENSG00000056736	3.4E-3
ENSG00000040731	ENSG00000057019	7.2E-4
ENSG00000047648	ENSG00000057019	5.5E-3
ENSG00000041515	ENSG00000057149	5.4E-3
ENSG00000040731	ENSG00000057294	3.7E-3
ENSG00000047617	ENSG00000057593	4E-3
ENSG00000040731	ENSG00000058085	4.4E-3
ENSG00000040731	ENSG00000058453	3.9E-3
ENSG00000041515	ENSG00000058453	4.9E-3
ENSG00000048471	ENSG00000059145	3.3E-2
ENSG00000002746	ENSG00000060656	2.3E-2
ENSG00000040731	ENSG00000060718	2.1E-3
ENSG00000041515	ENSG00000060718	2.2E-3
ENSG00000048052	ENSG00000060982	1.3E-2
ENSG00000041515	ENSG00000061337	4.8E-3
ENSG00000040731	ENSG00000061676	3.6E-3
ENSG00000041515	ENSG00000061676	4.6E-3
ENSG00000009694	ENSG00000061918	1.9E-2
ENSG00000041515	ENSG00000062370	3.3E-3
ENSG00000046889	ENSG00000062370	2.7E-2
ENSG00000048052	ENSG00000062650	2.2E-2
ENSG00000041515	ENSG00000267876	3.4E-3
ENSG00000044524	ENSG00000064199	2E-2
ENSG00000041515	ENSG00000064270	4.7E-3
ENSG00000002746	ENSG00000064393	2.2E-2
ENSG00000041515	ENSG00000064692	7.2E-4
ENSG00000009694	ENSG00000064886	1.1E-2
ENSG00000060718	ENSG00000064933	9.8E-3
ENSG00000040731	ENSG00000064989	3.3E-3
ENSG00000041515	ENSG00000064989	4.7E-3
