# Gene_A	Gene_B	Weight
ENSG00000007174	ENSG00000011677	1.6E-2
ENSG00000009694	ENSG00000018625	9E-3
ENSG00000018236	ENSG00000025423	1.3E-2
ENSG00000038945	ENSG00000039560	1.2E-2
ENSG00000002746	ENSG00000041515	1.7E-2
ENSG00000007174	ENSG00000042813	7.1E-3
ENSG00000042781	ENSG00000042813	4E-3
ENSG00000033122	ENSG00000044012	5.8E-3
ENSG00000039139	ENSG00000047457	1.3E-2
ENSG00000044524	ENSG00000049323	1.1E-2
ENSG00000002746	ENSG00000050767	1.1E-2
ENSG00000002746	ENSG00000052850	1.3E-2
ENSG00000018236	ENSG00000057019	2.9E-2
ENSG00000018236	ENSG00000060718	9.7E-3
ENSG00000005108	ENSG00000061918	7.6E-3
ENSG00000060709	ENSG00000061936	2.3E-2
ENSG00000040731	ENSG00000063180	1.3E-2
ENSG00000013297	ENSG00000064205	1.2E-2
ENSG00000044524	ENSG00000064205	1.2E-2
ENSG00000055609	ENSG00000064419	1.7E-2
ENSG00000005108	ENSG00000064652	2.1E-2
ENSG00000007174	ENSG00000065325	2.1E-2
ENSG00000048052	ENSG00000066382	1.2E-2
ENSG00000040731	ENSG00000067715	8.9E-3
ENSG00000067715	ENSG00000068024	9.8E-3
ENSG00000067715	ENSG00000069018	7.2E-3
ENSG00000066032	ENSG00000070601	1.3E-2
ENSG00000060718	ENSG00000071282	7.4E-3
ENSG00000042781	ENSG00000072134	1.2E-2
ENSG00000021645	ENSG00000072422	1.3E-2
ENSG00000060709	ENSG00000072571	4.2E-3
ENSG00000038945	ENSG00000072694	1E-2
ENSG00000072657	ENSG00000073605	9.7E-3
ENSG00000005108	ENSG00000073712	5.1E-3
ENSG00000067798	ENSG00000073712	5.4E-3
ENSG00000058091	ENSG00000074590	8.6E-3
ENSG00000060718	ENSG00000074590	3.6E-3
ENSG00000067715	ENSG00000075213	9.8E-3
ENSG00000067715	ENSG00000075407	6.8E-3
ENSG00000048471	ENSG00000075884	7.3E-3
ENSG00000002746	ENSG00000075891	1.5E-2
ENSG00000072657	ENSG00000076258	2.7E-3
ENSG00000075884	ENSG00000076513	5.9E-3
ENSG00000041515	ENSG00000077264	1.1E-2
ENSG00000075884	ENSG00000077420	5.6E-3
ENSG00000058091	ENSG00000077585	9.2E-3
