# Gene_A	Gene_B	Weight
ENSG00000069667	ENSG00000100393	1E-1
ENSG00000079841	ENSG00000101152	1.8E-1
ENSG00000067715	ENSG00000101438	1.4E-1
ENSG00000079841	ENSG00000101438	1.4E-1
ENSG00000067715	ENSG00000104888	1.5E-1
ENSG00000079841	ENSG00000104888	1.5E-1
ENSG00000067715	ENSG00000105649	1E-1
ENSG00000075213	ENSG00000262063	1.4E-1
ENSG00000018236	ENSG00000108797	5.4E-1
ENSG00000069667	ENSG00000109819	9.2E-2
ENSG00000067715	ENSG00000109971	9.4E-2
ENSG00000079841	ENSG00000109971	9.2E-2
ENSG00000060718	ENSG00000114270	5E-1
ENSG00000107611	ENSG00000118137	5.7E-2
ENSG00000069667	ENSG00000126368	4E-1
ENSG00000075213	ENSG00000126458	1.5E-1
ENSG00000131018	ENSG00000132604	5.5E-2
ENSG00000069667	ENSG00000133794	1.3E-1
ENSG00000134115	ENSG00000134121	5.8E-1
ENSG00000075213	ENSG00000136238	5.2E-2
ENSG00000131018	ENSG00000139351	3.8E-2
ENSG00000060718	ENSG00000140459	5E-1
ENSG00000127928	ENSG00000141404	9.6E-1
ENSG00000141510	ENSG00000143207	6.4E-1
ENSG00000107611	ENSG00000145321	2.9E-1
ENSG00000131018	ENSG00000147601	6.1E-2
ENSG00000145147	ENSG00000147799	3.3E-1
ENSG00000018236	ENSG00000163531	2.2E-1
ENSG00000111700	ENSG00000163631	4.4E-1
ENSG00000162599	ENSG00000163882	2.5E-2
ENSG00000146143	ENSG00000163918	5.8E-2
ENSG00000131018	ENSG00000164754	3.8E-2
ENSG00000146143	ENSG00000164815	2.6E-2
ENSG00000131018	ENSG00000164828	5.3E-2
ENSG00000075213	ENSG00000164885	1.5E-1
ENSG00000067715	ENSG00000165646	1.9E-1
ENSG00000079841	ENSG00000165646	1.8E-1
ENSG00000107611	ENSG00000166126	3.7E-1
ENSG00000146143	ENSG00000166508	2.5E-2
ENSG00000131018	ENSG00000166848	5.5E-2
ENSG00000131018	ENSG00000168148	3.1E-2
ENSG00000162599	ENSG00000168495	7.6E-2
ENSG00000067715	ENSG00000168993	9.4E-2
ENSG00000079841	ENSG00000168993	9.2E-2
ENSG00000141510	ENSG00000169375	3.6E-1
ENSG00000145147	ENSG00000169855	2.6E-1
ENSG00000164418	ENSG00000171189	8.3E-1
ENSG00000164330	ENSG00000172216	2.4E-1
ENSG00000075213	ENSG00000172602	8.4E-2
ENSG00000155657	ENSG00000173991	1.6E-1
ENSG00000155657	ENSG00000175084	1.6E-1
ENSG00000146143	ENSG00000175482	3E-2
ENSG00000075213	ENSG00000176749	3.4E-1
ENSG00000146143	ENSG00000177084	3.1E-2
ENSG00000075213	ENSG00000182511	1.4E-1
ENSG00000155657	ENSG00000183091	1.6E-1
ENSG00000169855	ENSG00000187323	8.8E-2
ENSG00000171587	ENSG00000187323	1E-1
ENSG00000067715	ENSG00000187714	1.9E-1
ENSG00000079841	ENSG00000187714	1.8E-1
ENSG00000131018	ENSG00000196074	3.8E-2
ENSG00000187323	ENSG00000196470	2.3E-1
ENSG00000145012	ENSG00000197408	1E0
ENSG00000146143	ENSG00000198056	2.2E-2
ENSG00000112902	ENSG00000268591	1E0
ENSG00000018236	ENSG00000267951	7.3E-2
ENSG00000155657	ENSG00000198947	1.6E-1
ENSG00000146143	ENSG00000204086	3.1E-2
ENSG00000213931	ENSG00000213934	2.5E-1
ENSG00000067715	ENSG00000220205	7.9E-2
ENSG00000079841	ENSG00000220205	7.8E-2
ENSG00000164330	ENSG00000221869	4.9E-1
ENSG00000213931	ENSG00000223609	2.5E-1
ENSG00000213931	ENSG00000244734	2.5E-1
ENSG00000164330	ENSG00000245848	9E-2
