# Gene_A	Gene_B	Weight
ENSG00000145216	ENSG00000186153	6.8E-2
ENSG00000186153	ENSG00000215699	6.8E-2
ENSG00000186153	ENSG00000196296	6.8E-2
ENSG00000186153	ENSG00000196504	6.8E-2
ENSG00000186153	ENSG00000197785	6.8E-2
ENSG00000186153	ENSG00000237889	6.8E-2
ENSG00000186153	ENSG00000237724	6.8E-2
ENSG00000186153	ENSG00000231825	6.8E-2
ENSG00000186153	ENSG00000204842	6.8E-2
ENSG00000186153	ENSG00000262170	6.8E-2
ENSG00000186153	ENSG00000206053	6.8E-2
ENSG00000186153	ENSG00000206075	6.8E-2
ENSG00000186153	ENSG00000213079	6.8E-2
ENSG00000186153	ENSG00000264424	6.8E-2
